country;variable;percentile;year;value;age;pop
CG;tptinc992j;p73p100;1990;1801397.5;992;j
CG;tptinc992j;p73p100;1991;1887411.25;992;j
CG;tptinc992j;p73p100;1992;1886162.125;992;j
CG;tptinc992j;p73p100;1993;1766689.625;992;j
CG;tptinc992j;p73p100;1994;1545182.0;992;j
CG;tptinc992j;p73p100;1995;1114592.875;992;j
CG;tptinc992j;p73p100;1996;1070050.125;992;j
CG;tptinc992j;p73p100;1997;1341456.75;992;j
CG;tptinc992j;p73p100;1998;1518607.125;992;j
CG;tptinc992j;p73p100;1999;1249283.125;992;j
CG;tptinc992j;p73p100;2000;1248390.25;992;j
CG;tptinc992j;p73p100;2001;1278195.625;992;j
CG;tptinc992j;p73p100;2002;1185921.0;992;j
CG;tptinc992j;p73p100;2003;1440230.875;992;j
CG;tptinc992j;p73p100;2004;1342146.5;992;j
CG;tptinc992j;p73p100;2005;1254550.75;992;j
CG;tptinc992j;p73p100;2006;1472463.25;992;j
CG;tptinc992j;p73p100;2007;1451689.375;992;j
CG;tptinc992j;p73p100;2008;1588319.0;992;j
CG;tptinc992j;p73p100;2009;1855600.25;992;j
CG;tptinc992j;p73p100;2010;2110077.0;992;j
CG;tptinc992j;p73p100;2011;1975145.75;992;j
CG;tptinc992j;p73p100;2012;2268758.0;992;j
CG;tptinc992j;p73p100;2013;2257771.5;992;j
CG;tptinc992j;p73p100;2014;2579915.0;992;j
CG;tptinc992j;p73p100;2015;2104024.25;992;j
CG;tptinc992j;p73p100;2016;1903712.875;992;j
CG;tptinc992j;p73p100;2017;1800057.125;992;j
CG;tptinc992j;p72p73;1990;1744999.0;992;j
CG;tptinc992j;p72p73;1991;1828319.875;992;j
CG;tptinc992j;p72p73;1992;1827109.875;992;j
CG;tptinc992j;p72p73;1993;1711377.875;992;j
CG;tptinc992j;p72p73;1994;1496805.125;992;j
CG;tptinc992j;p72p73;1995;1079697.0;992;j
CG;tptinc992j;p72p73;1996;1036548.8125;992;j
CG;tptinc992j;p72p73;1997;1299458.125;992;j
CG;tptinc992j;p72p73;1998;1471062.375;992;j
CG;tptinc992j;p72p73;1999;1210170.375;992;j
CG;tptinc992j;p72p73;2000;1209305.5;992;j
CG;tptinc992j;p72p73;2001;1238177.75;992;j
CG;tptinc992j;p72p73;2002;1148792.0;992;j
CG;tptinc992j;p72p73;2003;1395140.0;992;j
CG;tptinc992j;p72p73;2004;1300126.375;992;j
CG;tptinc992j;p72p73;2005;1215273.125;992;j
CG;tptinc992j;p72p73;2006;1425751.875;992;j
CG;tptinc992j;p72p73;2007;1405033.625;992;j
CG;tptinc992j;p72p73;2008;1536611.5;992;j
CG;tptinc992j;p72p73;2009;1794418.75;992;j
CG;tptinc992j;p72p73;2010;2039625.625;992;j
CG;tptinc992j;p72p73;2011;1908375.5;992;j
CG;tptinc992j;p72p73;2012;2192062.25;992;j
CG;tptinc992j;p72p73;2013;2181447.25;992;j
CG;tptinc992j;p72p73;2014;2492700.5;992;j
CG;tptinc992j;p72p73;2015;2032897.25;992;j
CG;tptinc992j;p72p73;2016;1839357.5;992;j
CG;tptinc992j;p72p73;2017;1739205.875;992;j
CG;tptinc992j;p72p100;1990;1744999.0;992;j
CG;tptinc992j;p72p100;1991;1828319.875;992;j
CG;tptinc992j;p72p100;1992;1827109.875;992;j
CG;tptinc992j;p72p100;1993;1711377.875;992;j
CG;tptinc992j;p72p100;1994;1496805.125;992;j
CG;tptinc992j;p72p100;1995;1079697.0;992;j
CG;tptinc992j;p72p100;1996;1036548.8125;992;j
CG;tptinc992j;p72p100;1997;1299458.125;992;j
CG;tptinc992j;p72p100;1998;1471062.375;992;j
CG;tptinc992j;p72p100;1999;1210170.375;992;j
CG;tptinc992j;p72p100;2000;1209305.5;992;j
CG;tptinc992j;p72p100;2001;1238177.75;992;j
CG;tptinc992j;p72p100;2002;1148792.0;992;j
CG;tptinc992j;p72p100;2003;1395140.0;992;j
CG;tptinc992j;p72p100;2004;1300126.375;992;j
CG;tptinc992j;p72p100;2005;1215273.125;992;j
CG;tptinc992j;p72p100;2006;1425751.875;992;j
CG;tptinc992j;p72p100;2007;1405033.625;992;j
CG;tptinc992j;p72p100;2008;1536611.5;992;j
CG;tptinc992j;p72p100;2009;1794418.75;992;j
CG;tptinc992j;p72p100;2010;2039625.625;992;j
CG;tptinc992j;p72p100;2011;1908375.5;992;j
CG;tptinc992j;p72p100;2012;2192062.25;992;j
CG;tptinc992j;p72p100;2013;2181447.25;992;j
