country;variable;percentile;year;value;age;pop
CK;xlcyux999i;p0p100;2018;0.21542639;999;i
CK;xlcusx999i;p0p100;2018;1.3750837;999;i
CK;xlceux999i;p0p100;2018;1.6856127;999;i
CK;npopul999i;p0p100;1950;15077.0;999;i
CK;npopul999i;p0p100;1951;15407.0;999;i
CK;npopul999i;p0p100;1952;15632.0;999;i
CK;npopul999i;p0p100;1953;15834.0;999;i
CK;npopul999i;p0p100;1954;16056.0;999;i
CK;npopul999i;p0p100;1955;16347.0;999;i
CK;npopul999i;p0p100;1956;16711.0;999;i
CK;npopul999i;p0p100;1957;17124.0;999;i
CK;npopul999i;p0p100;1958;17551.0;999;i
CK;npopul999i;p0p100;1959;17927.0;999;i
CK;npopul999i;p0p100;1960;18212.0;999;i
CK;npopul999i;p0p100;1961;18383.0;999;i
CK;npopul999i;p0p100;1962;18455.0;999;i
CK;npopul999i;p0p100;1963;18503.0;999;i
CK;npopul999i;p0p100;1964;18630.0;999;i
CK;npopul999i;p0p100;1965;18894.0;999;i
CK;npopul999i;p0p100;1966;19328.0;999;i
CK;npopul999i;p0p100;1967;19893.0;999;i
CK;npopul999i;p0p100;1968;20489.0;999;i
CK;npopul999i;p0p100;1969;20988.0;999;i
CK;npopul999i;p0p100;1970;21302.0;999;i
CK;npopul999i;p0p100;1971;21398.0;999;i
CK;npopul999i;p0p100;1972;21306.0;999;i
CK;npopul999i;p0p100;1973;21056.0;999;i
CK;npopul999i;p0p100;1974;20687.0;999;i
CK;npopul999i;p0p100;1975;20234.0;999;i
CK;npopul999i;p0p100;1976;19692.0;999;i
CK;npopul999i;p0p100;1977;19070.0;999;i
CK;npopul999i;p0p100;1978;18441.0;999;i
CK;npopul999i;p0p100;1979;17902.0;999;i
CK;npopul999i;p0p100;1980;17512.0;999;i
CK;npopul999i;p0p100;1981;17304.0;999;i
CK;npopul999i;p0p100;1982;17263.0;999;i
CK;npopul999i;p0p100;1983;17345.0;999;i
CK;npopul999i;p0p100;1984;17472.0;999;i
CK;npopul999i;p0p100;1985;17603.0;999;i
CK;npopul999i;p0p100;1986;17706.0;999;i
CK;npopul999i;p0p100;1987;17801.0;999;i
CK;npopul999i;p0p100;1988;17901.0;999;i
CK;npopul999i;p0p100;1989;18028.0;999;i
CK;npopul999i;p0p100;1990;18191.0;999;i
CK;npopul999i;p0p100;1991;18420.0;999;i
CK;npopul999i;p0p100;1992;18682.0;999;i
CK;npopul999i;p0p100;1993;18926.0;999;i
CK;npopul999i;p0p100;1994;19077.0;999;i
CK;npopul999i;p0p100;1995;19097.0;999;i
CK;npopul999i;p0p100;1996;18946.0;999;i
CK;npopul999i;p0p100;1997;18658.0;999;i
CK;npopul999i;p0p100;1998;18313.0;999;i
CK;npopul999i;p0p100;1999;18041.0;999;i
CK;npopul999i;p0p100;2000;17930.0;999;i
CK;npopul999i;p0p100;2001;18025.0;999;i
CK;npopul999i;p0p100;2002;18278.0;999;i
CK;npopul999i;p0p100;2003;18608.0;999;i
CK;npopul999i;p0p100;2004;18904.0;999;i
CK;npopul999i;p0p100;2005;19074.0;999;i
CK;npopul999i;p0p100;2006;19092.0;999;i
CK;npopul999i;p0p100;2007;19001.0;999;i
CK;npopul999i;p0p100;2008;18818.0;999;i
CK;npopul999i;p0p100;2009;18602.0;999;i
CK;npopul999i;p0p100;2010;18391.0;999;i
CK;npopul999i;p0p100;2011;18195.0;999;i
CK;npopul999i;p0p100;2012;18011.0;999;i
CK;npopul999i;p0p100;2013;17833.0;999;i
CK;npopul999i;p0p100;2014;17691.0;999;i
CK;npopul999i;p0p100;2015;17586.0;999;i
CK;npopul999i;p0p100;2016;17524.0;999;i
CK;npopul999i;p0p100;2017;17507.0;999;i
