country;variable;percentile;year;value;age;pop
CL;xlcyux999i;p0p100;1960;0.000426097;999;i
CL;xlcyux999i;p0p100;1961;0.0004265709;999;i
CL;xlcyux999i;p0p100;1962;0.0004296173;999;i
CL;xlcyux999i;p0p100;1963;0.0006587782;999;i
CL;xlcyux999i;p0p100;1964;0.0009372915;999;i
CL;xlcyux999i;p0p100;1965;0.0012822513;999;i
CL;xlcyux999i;p0p100;1966;0.0015643528;999;i
CL;xlcyux999i;p0p100;1967;0.0020587579;999;i
CL;xlcyux999i;p0p100;1968;0.0027932574;999;i
CL;xlcyux999i;p0p100;1969;0.0035005079;999;i
CL;xlcyux999i;p0p100;1970;0.004580983;999;i
CL;xlcyux999i;p0p100;1971;0.0049592163;999;i
CL;xlcyux999i;p0p100;1972;0.0092804488;999;i
CL;xlcyux999i;p0p100;1973;0.036011536;999;i
CL;xlcyux999i;p0p100;1974;0.30229163;999;i
CL;xlcyux999i;p0p100;1975;2.6402597;999;i
CL;xlcyux999i;p0p100;1976;6.7240467;999;i
CL;xlcyux999i;p0p100;1977;11.59197;999;i
CL;xlcyux999i;p0p100;1978;18.802586;999;i
CL;xlcyux999i;p0p100;1979;23.953245;999;i
CL;xlcyux999i;p0p100;1980;26.028006;999;i
CL;xlcyux999i;p0p100;1981;22.880051;999;i
CL;xlcyux999i;p0p100;1982;26.899452;999;i
CL;xlcyux999i;p0p100;1983;39.879196;999;i
CL;xlcyux999i;p0p100;1984;42.446438;999;i
CL;xlcyux999i;p0p100;1985;54.776546;999;i
CL;xlcyux999i;p0p100;1986;55.876522;999;i
CL;xlcyux999i;p0p100;1987;58.94701;999;i
CL;xlcyux999i;p0p100;1988;65.826195;999;i
CL;xlcyux999i;p0p100;1989;70.902122;999;i
CL;xlcyux999i;p0p100;1990;63.744518;999;i
CL;xlcyux999i;p0p100;1991;65.60025;999;i
CL;xlcyux999i;p0p100;1992;65.748444;999;i
CL;xlcyux999i;p0p100;1993;70.143837;999;i
CL;xlcyux999i;p0p100;1994;48.751503;999;i
CL;xlcyux999i;p0p100;1995;47.509705;999;i
CL;xlcyux999i;p0p100;1996;49.585999;999;i
CL;xlcyux999i;p0p100;1997;50.579525;999;i
CL;xlcyux999i;p0p100;1998;55.597275;999;i
CL;xlcyux999i;p0p100;1999;61.45945;999;i
CL;xlcyux999i;p0p100;2000;65.179352;999;i
CL;xlcyux999i;p0p100;2001;76.710541;999;i
CL;xlcyux999i;p0p100;2002;83.235497;999;i
CL;xlcyux999i;p0p100;2003;83.532013;999;i
CL;xlcyux999i;p0p100;2004;73.643089;999;i
CL;xlcyux999i;p0p100;2005;68.311676;999;i
CL;xlcyux999i;p0p100;2006;66.505188;999;i
CL;xlcyux999i;p0p100;2007;68.677216;999;i
CL;xlcyux999i;p0p100;2008;75.188805;999;i
CL;xlcyux999i;p0p100;2009;82.100098;999;i
CL;xlcyux999i;p0p100;2010;75.366158;999;i
CL;xlcyux999i;p0p100;2011;74.854195;999;i
CL;xlcyux999i;p0p100;2012;77.066803;999;i
CL;xlcyux999i;p0p100;2013;79.937408;999;i
CL;xlcyux999i;p0p100;2014;92.838661;999;i
CL;xlcyux999i;p0p100;2015;105.03819;999;i
CL;xlcyux999i;p0p100;2016;101.88277;999;i
CL;xlcyux999i;p0p100;2017;95.999008;999;i
CL;xlcyux999i;p0p100;2018;94.09066;999;i
CL;xlcyup999i;p0p100;1960;0.0003820835;999;i
CL;xlcyup999i;p0p100;1961;0.0003302802;999;i
CL;xlcyup999i;p0p100;1962;0.0004212244;999;i
CL;xlcyup999i;p0p100;1963;0.0006464563;999;i
CL;xlcyup999i;p0p100;1964;0.0009304689;999;i
CL;xlcyup999i;p0p100;1965;0.0012087376;999;i
CL;xlcyup999i;p0p100;1966;0.0015408081;999;i
CL;xlcyup999i;p0p100;1967;0.0018772478;999;i
CL;xlcyup999i;p0p100;1968;0.0024802964;999;i
CL;xlcyup999i;p0p100;1969;0.003489085;999;i
CL;xlcyup999i;p0p100;1970;0.0048047341;999;i
CL;xlcyup999i;p0p100;1971;0.0055356915;999;i
CL;xlcyup999i;p0p100;1972;0.010298793;999;i
CL;xlcyup999i;p0p100;1973;0.052450441;999;i
CL;xlcyup999i;p0p100;1974;0.41324544;999;i
CL;xlcyup999i;p0p100;1975;1.8066217;999;i
CL;xlcyup999i;p0p100;1976;6.0825877;999;i
CL;xlcyup999i;p0p100;1977;12.22376;999;i
CL;xlcyup999i;p0p100;1978;18.686804;999;i
CL;xlcyup999i;p0p100;1979;26.081482;999;i
CL;xlcyup999i;p0p100;1980;31.639307;999;i
CL;xlcyup999i;p0p100;1981;35.217361;999;i
CL;xlcyup999i;p0p100;1982;37.491089;999;i
CL;xlcyup999i;p0p100;1983;48.714783;999;i
CL;xlcyup999i;p0p100;1984;57.744911;999;i
CL;xlcyup999i;p0p100;1985;79.723938;999;i
CL;xlcyup999i;p0p100;1986;92.248711;999;i
CL;xlcyup999i;p0p100;1987;107.41618;999;i
CL;xlcyup999i;p0p100;1988;112.84631;999;i
CL;xlcyup999i;p0p100;1989;107.01118;999;i
CL;xlcyup999i;p0p100;1990;114.50732;999;i
CL;xlcyup999i;p0p100;1991;133.85402;999;i
CL;xlcyup999i;p0p100;1992;136.57433;999;i
CL;xlcyup999i;p0p100;1993;119.08891;999;i
CL;xlcyup999i;p0p100;1994;105.84387;999;i
CL;xlcyup999i;p0p100;1995;96.621292;999;i
CL;xlcyup999i;p0p100;1996;88.978416;999;i
CL;xlcyup999i;p0p100;1997;87.126472;999;i
CL;xlcyup999i;p0p100;1998;88.167603;999;i
CL;xlcyup999i;p0p100;1999;89.291267;999;i
CL;xlcyup999i;p0p100;2000;87.447884;999;i
CL;xlcyup999i;p0p100;2001;89.167999;999;i
CL;xlcyup999i;p0p100;2002;92.836479;999;i
CL;xlcyup999i;p0p100;2003;94.196953;999;i
CL;xlcyup999i;p0p100;2004;94.937881;999;i
CL;xlcyup999i;p0p100;2005;97.58252;999;i
CL;xlcyup999i;p0p100;2006;105.85884;999;i
CL;xlcyup999i;p0p100;2007;103.71188;999;i
CL;xlcyup999i;p0p100;2008;96.15229;999;i
CL;xlcyup999i;p0p100;2009;102.08768;999;i
CL;xlcyup999i;p0p100;2010;104.04593;999;i
CL;xlcyup999i;p0p100;2011;99.271553;999;i
CL;xlcyup999i;p0p100;2012;98.91291;999;i
CL;xlcyup999i;p0p100;2013;98.954765;999;i
CL;xlcyup999i;p0p100;2014;104.33437;999;i
CL;xlcyup999i;p0p100;2015;110.18927;999;i
CL;xlcyup999i;p0p100;2016;116.10223;999;i
CL;xlcyup999i;p0p100;2017;122.24598;999;i
CL;xlcyup999i;p0p100;2018;125.47694;999;i
CL;xlcusx999i;p0p100;1960;0.0010489693;999;i
CL;xlcusx999i;p0p100;1961;0.0010501361;999;i
CL;xlcusx999i;p0p100;1962;0.0010576358;999;i
CL;xlcusx999i;p0p100;1963;0.001621786;999;i
CL;xlcusx999i;p0p100;1964;0.0023074327;999;i
CL;xlcusx999i;p0p100;1965;0.0031566578;999;i
CL;xlcusx999i;p0p100;1966;0.0038511376;999;i
CL;xlcusx999i;p0p100;1967;0.0050682686;999;i
CL;xlcusx999i;p0p100;1968;0.0068764659;999;i
CL;xlcusx999i;p0p100;1969;0.0086175818;999;i
CL;xlcusx999i;p0p100;1970;0.011277504;999;i
CL;xlcusx999i;p0p100;1971;0.012208643;999;i
CL;xlcusx999i;p0p100;1972;0.020835225;999;i
CL;xlcusx999i;p0p100;1973;0.071641907;999;i
CL;xlcusx999i;p0p100;1974;0.59282625;999;i
CL;xlcusx999i;p0p100;1975;4.9104166;999;i
CL;xlcusx999i;p0p100;1976;13.054167;999;i
CL;xlcusx999i;p0p100;1977;21.535833;999;i
CL;xlcusx999i;p0p100;1978;31.655834;999;i
CL;xlcusx999i;p0p100;1979;37.245834;999;i
CL;xlcusx999i;p0p100;1980;39.0;999;i
CL;xlcusx999i;p0p100;1981;39.0;999;i
CL;xlcusx999i;p0p100;1982;50.908333;999;i
CL;xlcusx999i;p0p100;1983;78.78833;999;i
CL;xlcusx999i;p0p100;1984;98.477501;999;i
