country;variable;percentile;year;value;age;pop
CO;xlcyux999i;p0p100;1960;2.6951728;999;i
CO;xlcyux999i;p0p100;1961;2.721576;999;i
CO;xlcyux999i;p0p100;1962;2.803308;999;i
CO;xlcyux999i;p0p100;1963;3.6558483;999;i
CO;xlcyux999i;p0p100;1964;3.6558483;999;i
CO;xlcyux999i;p0p100;1965;4.2550015;999;i
CO;xlcyux999i;p0p100;1966;5.4837723;999;i
CO;xlcyux999i;p0p100;1967;5.8925743;999;i
CO;xlcyux999i;p0p100;1968;6.6173563;999;i
CO;xlcyux999i;p0p100;1969;7.0355344;999;i
CO;xlcyux999i;p0p100;1970;7.4916863;999;i
CO;xlcyux999i;p0p100;1971;8.0964584;999;i
CO;xlcyux999i;p0p100;1972;9.739419;999;i
CO;xlcyux999i;p0p100;1973;11.881371;999;i
CO;xlcyux999i;p0p100;1974;13.290516;999;i
CO;xlcyux999i;p0p100;1975;16.630043;999;i
CO;xlcyux999i;p0p100;1976;17.870428;999;i
CO;xlcyux999i;p0p100;1977;19.7946;999;i
CO;xlcyux999i;p0p100;1978;23.221006;999;i
CO;xlcyux999i;p0p100;1979;27.364273;999;i
CO;xlcyux999i;p0p100;1980;31.554157;999;i
CO;xlcyux999i;p0p100;1981;31.967861;999;i
CO;xlcyux999i;p0p100;1982;33.861721;999;i
CO;xlcyux999i;p0p100;1983;39.912586;999;i
CO;xlcyux999i;p0p100;1984;43.454926;999;i
CO;xlcyux999i;p0p100;1985;48.460407;999;i
CO;xlcyux999i;p0p100;1986;56.262131;999;i
CO;xlcyux999i;p0p100;1987;65.180275;999;i
CO;xlcyux999i;p0p100;1988;80.377701;999;i
CO;xlcyux999i;p0p100;1989;101.60879;999;i
CO;xlcyux999i;p0p100;1990;105.00468;999;i
CO;xlcyux999i;p0p100;1991;118.91764;999;i
CO;xlcyux999i;p0p100;1992;137.68599;999;i
CO;xlcyux999i;p0p100;1993;149.7867;999;i
CO;xlcyux999i;p0p100;1994;98.023094;999;i
CO;xlcyux999i;p0p100;1995;109.30199;999;i
CO;xlcyux999i;p0p100;1996;124.68903;999;i
CO;xlcyux999i;p0p100;1997;137.63428;999;i
CO;xlcyux999i;p0p100;1998;172.24841;999;i
CO;xlcyux999i;p0p100;1999;212.15002;999;i
CO;xlcyux999i;p0p100;2000;252.20786;999;i
CO;xlcyux999i;p0p100;2001;277.83185;999;i
CO;xlcyux999i;p0p100;2002;302.55576;999;i
CO;xlcyux999i;p0p100;2003;347.66699;999;i
CO;xlcyux999i;p0p100;2004;317.58801;999;i
CO;xlcyux999i;p0p100;2005;283.22485;999;i
CO;xlcyux999i;p0p100;2006;296.12564;999;i
CO;xlcyux999i;p0p100;2007;273.18869;999;i
CO;xlcyux999i;p0p100;2008;283.17871;999;i
CO;xlcyux999i;p0p100;2009;315.93097;999;i
CO;xlcyux999i;p0p100;2010;280.42749;999;i
CO;xlcyux999i;p0p100;2011;286.02499;999;i
CO;xlcyux999i;p0p100;2012;284.66431;999;i
CO;xlcyux999i;p0p100;2013;301.62332;999;i
CO;xlcyux999i;p0p100;2014;325.84073;999;i
CO;xlcyux999i;p0p100;2015;440.28677;999;i
CO;xlcyux999i;p0p100;2016;459.6481;999;i
CO;xlcyux999i;p0p100;2017;436.6673;999;i
CO;xlcyux999i;p0p100;2018;449.31488;999;i
CO;xlcyup999i;p0p100;1960;2.0278096;999;i
CO;xlcyup999i;p0p100;1961;1.7801878;999;i
CO;xlcyup999i;p0p100;1962;2.1437256;999;i
CO;xlcyup999i;p0p100;1963;2.8187554;999;i
CO;xlcyup999i;p0p100;1964;3.1906576;999;i
CO;xlcyup999i;p0p100;1965;3.242223;999;i
CO;xlcyup999i;p0p100;1966;3.7004941;999;i
CO;xlcyup999i;p0p100;1967;3.9892032;999;i
CO;xlcyup999i;p0p100;1968;4.283587;999;i
CO;xlcyup999i;p0p100;1969;4.6622782;999;i
CO;xlcyup999i;p0p100;1970;5.1099963;999;i
CO;xlcyup999i;p0p100;1971;5.4792533;999;i
CO;xlcyup999i;p0p100;1972;6.1824479;999;i
CO;xlcyup999i;p0p100;1973;7.2694778;999;i
CO;xlcyup999i;p0p100;1974;9.0361567;999;i
CO;xlcyup999i;p0p100;1975;10.974788;999;i
CO;xlcyup999i;p0p100;1976;13.216216;999;i
CO;xlcyup999i;p0p100;1977;16.858456;999;i
CO;xlcyup999i;p0p100;1978;19.268682;999;i
CO;xlcyup999i;p0p100;1979;22.820074;999;i
CO;xlcyup999i;p0p100;1980;27.372398;999;i
CO;xlcyup999i;p0p100;1981;33.139969;999;i
CO;xlcyup999i;p0p100;1982;40.771725;999;i
CO;xlcyup999i;p0p100;1983;48.563965;999;i
CO;xlcyup999i;p0p100;1984;60.117283;999;i
CO;xlcyup999i;p0p100;1985;73.348999;999;i
CO;xlcyup999i;p0p100;1986;89.784729;999;i
CO;xlcyup999i;p0p100;1987;103.5317;999;i
CO;xlcyup999i;p0p100;1988;114.40578;999;i
CO;xlcyup999i;p0p100;1989;120.36079;999;i
CO;xlcyup999i;p0p100;1990;136.21523;999;i
CO;xlcyup999i;p0p100;1991;166.2079;999;i
CO;xlcyup999i;p0p100;1992;187.2066;999;i
CO;xlcyup999i;p0p100;1993;183.62624;999;i
CO;xlcyup999i;p0p100;1994;178.05676;999;i
CO;xlcyup999i;p0p100;1995;179.74464;999;i
CO;xlcyup999i;p0p100;1996;196.59845;999;i
CO;xlcyup999i;p0p100;1997;218.71999;999;i
CO;xlcyup999i;p0p100;1998;257.70847;999;i
CO;xlcyup999i;p0p100;1999;282.50284;999;i
CO;xlcyup999i;p0p100;2000;289.0148;999;i
CO;xlcyup999i;p0p100;2001;306.54572;999;i
CO;xlcyup999i;p0p100;2002;325.84787;999;i
CO;xlcyup999i;p0p100;2003;337.43277;999;i
CO;xlcyup999i;p0p100;2004;335.12537;999;i
CO;xlcyup999i;p0p100;2005;337.71313;999;i
CO;xlcyup999i;p0p100;2006;340.65387;999;i
CO;xlcyup999i;p0p100;2007;334.39883;999;i
CO;xlcyup999i;p0p100;2008;331.89392;999;i
CO;xlcyup999i;p0p100;2009;350.85867;999;i
CO;xlcyup999i;p0p100;2010;335.6329;999;i
CO;xlcyup999i;p0p100;2011;331.44998;999;i
CO;xlcyup999i;p0p100;2012;336.32281;999;i
CO;xlcyup999i;p0p100;2013;336.51822;999;i
CO;xlcyup999i;p0p100;2014;341.90335;999;i
CO;xlcyup999i;p0p100;2015;352.43506;999;i
CO;xlcyup999i;p0p100;2016;371.88925;999;i
CO;xlcyup999i;p0p100;2017;392.20261;999;i
CO;xlcyup999i;p0p100;2018;407.71942;999;i
CO;xlcusx999i;p0p100;1960;6.6350002;999;i
CO;xlcusx999i;p0p100;1961;6.6999998;999;i
CO;xlcusx999i;p0p100;1962;6.9012084;999;i
CO;xlcusx999i;p0p100;1963;9.0;999;i
CO;xlcusx999i;p0p100;1964;9.0;999;i
CO;xlcusx999i;p0p100;1965;10.475;999;i
CO;xlcusx999i;p0p100;1966;13.5;999;i
CO;xlcusx999i;p0p100;1967;14.506392;999;i
CO;xlcusx999i;p0p100;1968;16.290667;999;i
CO;xlcusx999i;p0p100;1969;17.320141;999;i
CO;xlcusx999i;p0p100;1970;18.4431;999;i
CO;xlcusx999i;p0p100;1971;19.931932;999;i
CO;xlcusx999i;p0p100;1972;21.865643;999;i
CO;xlcusx999i;p0p100;1973;23.636984;999;i
CO;xlcusx999i;p0p100;1974;26.064125;999;i
CO;xlcusx999i;p0p100;1975;30.928942;999;i
CO;xlcusx999i;p0p100;1976;34.693924;999;i
CO;xlcusx999i;p0p100;1977;36.774868;999;i
CO;xlcusx999i;p0p100;1978;39.094643;999;i
CO;xlcusx999i;p0p100;1979;42.549774;999;i
CO;xlcusx999i;p0p100;1980;47.280308;999;i
CO;xlcusx999i;p0p100;1981;54.490551;999;i
CO;xlcusx999i;p0p100;1982;64.084717;999;i
CO;xlcusx999i;p0p100;1983;78.854301;999;i
CO;xlcusx999i;p0p100;1984;100.81724;999;i
CO;xlcusx999i;p0p100;1985;142.31166;999;i
CO;xlcusx999i;p0p100;1986;194.26141;999;i
CO;xlcusx999i;p0p100;1987;242.6075;999;i
CO;xlcusx999i;p0p100;1988;299.17383;999;i
CO;xlcusx999i;p0p100;1989;382.56808;999;i
CO;xlcusx999i;p0p100;1990;502.25925;999;i
CO;xlcusx999i;p0p100;1991;633.04517;999;i
CO;xlcusx999i;p0p100;1992;759.28198;999;i
CO;xlcusx999i;p0p100;1993;863.0647;999;i
CO;xlcusx999i;p0p100;1994;844.83588;999;i
CO;xlcusx999i;p0p100;1995;912.82642;999;i
CO;xlcusx999i;p0p100;1996;1036.6864;999;i
