country;variable;percentile;year;value;age;pop
CU;xlcyux999i;p0p100;1960;0.40620536;999;i
CU;xlcyux999i;p0p100;1961;0.40620536;999;i
CU;xlcyux999i;p0p100;1962;0.40620536;999;i
CU;xlcyux999i;p0p100;1963;0.40620536;999;i
CU;xlcyux999i;p0p100;1964;0.40620536;999;i
CU;xlcyux999i;p0p100;1965;0.40620536;999;i
CU;xlcyux999i;p0p100;1966;0.40620536;999;i
CU;xlcyux999i;p0p100;1967;0.40620536;999;i
CU;xlcyux999i;p0p100;1968;0.40620536;999;i
CU;xlcyux999i;p0p100;1969;0.40620536;999;i
CU;xlcyux999i;p0p100;1970;0.40620536;999;i
CU;xlcyux999i;p0p100;1971;0.40620536;999;i
CU;xlcyux999i;p0p100;1972;0.41023284;999;i
CU;xlcyux999i;p0p100;1973;0.42055902;999;i
CU;xlcyux999i;p0p100;1974;0.41915101;999;i
CU;xlcyux999i;p0p100;2018;0.1528094;999;i
CU;xlcyup999i;p0p100;1970;0.27279702;999;i
CU;xlcyup999i;p0p100;1971;0.29558071;999;i
CU;xlcyup999i;p0p100;1972;0.3153505;999;i
CU;xlcyup999i;p0p100;1973;0.31947592;999;i
CU;xlcyup999i;p0p100;1974;0.35448861;999;i
CU;xlcyup999i;p0p100;1975;0.36542296;999;i
CU;xlcyup999i;p0p100;1976;0.35267994;999;i
CU;xlcyup999i;p0p100;1977;0.333563;999;i
CU;xlcyup999i;p0p100;1978;0.35610247;999;i
CU;xlcyup999i;p0p100;1979;0.34971175;999;i
CU;xlcyup999i;p0p100;1980;0.34651741;999;i
CU;xlcyup999i;p0p100;1981;0.33299768;999;i
CU;xlcyup999i;p0p100;1982;0.32112071;999;i
CU;xlcyup999i;p0p100;1983;0.32272634;999;i
CU;xlcyup999i;p0p100;1984;0.33537725;999;i
CU;xlcyup999i;p0p100;1985;0.32061771;999;i
CU;xlcyup999i;p0p100;1986;0.29194763;999;i
CU;xlcyup999i;p0p100;1987;0.27454147;999;i
CU;xlcyup999i;p0p100;1988;0.24040157;999;i
CU;xlcyup999i;p0p100;1989;0.20409934;999;i
CU;xlcyup999i;p0p100;1990;0.18960945;999;i
CU;xlcyup999i;p0p100;1991;0.16933902;999;i
CU;xlcyup999i;p0p100;1992;0.1603743;999;i
CU;xlcyup999i;p0p100;1993;0.1503775;999;i
CU;xlcyup999i;p0p100;1994;0.14989184;999;i
CU;xlcyup999i;p0p100;1995;0.13831475;999;i
CU;xlcyup999i;p0p100;1996;0.1218904;999;i
CU;xlcyup999i;p0p100;1997;0.11292193;999;i
CU;xlcyup999i;p0p100;1998;0.11357354;999;i
CU;xlcyup999i;p0p100;1999;0.1165425;999;i
CU;xlcyup999i;p0p100;2000;0.11105886;999;i
CU;xlcyup999i;p0p100;2001;0.10959919;999;i
CU;xlcyup999i;p0p100;2002;0.114508;999;i
CU;xlcyup999i;p0p100;2003;0.11397765;999;i
CU;xlcyup999i;p0p100;2004;0.10753711;999;i
CU;xlcyup999i;p0p100;2005;0.10354915;999;i
CU;xlcyup999i;p0p100;2006;0.11053081;999;i
CU;xlcyup999i;p0p100;2007;0.10649341;999;i
CU;xlcyup999i;p0p100;2008;0.098442413;999;i
CU;xlcyup999i;p0p100;2009;0.10050421;999;i
CU;xlcyup999i;p0p100;2010;0.095136933;999;i
CU;xlcyup999i;p0p100;2011;0.091837227;999;i
CU;xlcyup999i;p0p100;2012;0.093119584;999;i
CU;xlcyup999i;p0p100;2013;0.093781315;999;i
CU;xlcyup999i;p0p100;2014;0.096582875;999;i
CU;xlcyup999i;p0p100;2015;0.10051618;999;i
CU;xlcyup999i;p0p100;2016;0.10550678;999;i
CU;xlcyup999i;p0p100;2017;0.11054841;999;i
CU;xlcyup999i;p0p100;2018;0.11583096;999;i
CU;xlcusx999i;p0p100;1960;1.0;999;i
CU;xlcusx999i;p0p100;1961;1.0;999;i
CU;xlcusx999i;p0p100;1962;1.0;999;i
CU;xlcusx999i;p0p100;1963;1.0;999;i
CU;xlcusx999i;p0p100;1964;1.0;999;i
CU;xlcusx999i;p0p100;1965;1.0;999;i
CU;xlcusx999i;p0p100;1966;1.0;999;i
CU;xlcusx999i;p0p100;1967;1.0;999;i
CU;xlcusx999i;p0p100;1968;1.0;999;i
CU;xlcusx999i;p0p100;1969;1.0;999;i
CU;xlcusx999i;p0p100;1970;1.0;999;i
CU;xlcusx999i;p0p100;1971;1.0;999;i
CU;xlcusx999i;p0p100;1972;0.921;999;i
CU;xlcusx999i;p0p100;1973;0.83666664;999;i
CU;xlcusx999i;p0p100;1974;0.82200003;999;i
CU;xlcusx999i;p0p100;2018;0.97539443;999;i
CU;xlcusp999i;p0p100;1970;0.42177305;999;i
CU;xlcusp999i;p0p100;1971;0.44900444;999;i
CU;xlcusp999i;p0p100;1972;0.46019402;999;i
CU;xlcusp999i;p0p100;1973;0.4505139;999;i
CU;xlcusp999i;p0p100;1974;0.46386176;999;i
CU;xlcusp999i;p0p100;1975;0.44423708;999;i
CU;xlcusp999i;p0p100;1976;0.42347303;999;i
CU;xlcusp999i;p0p100;1977;0.38253444;999;i
CU;xlcusp999i;p0p100;1978;0.39119631;999;i
CU;xlcusp999i;p0p100;1979;0.37219065;999;i
CU;xlcusp999i;p0p100;1980;0.3602072;999;i
CU;xlcusp999i;p0p100;1981;0.32099605;999;i
CU;xlcusp999i;p0p100;1982;0.29576015;999;i
CU;xlcusp999i;p0p100;1983;0.28777656;999;i
CU;xlcusp999i;p0p100;1984;0.28415257;999;i
CU;xlcusp999i;p0p100;1985;0.26862416;999;i
CU;xlcusp999i;p0p100;1986;0.25292474;999;i
CU;xlcusp999i;p0p100;1987;0.24800844;999;i
CU;xlcusp999i;p0p100;1988;0.24234547;999;i
CU;xlcusp999i;p0p100;1989;0.23419328;999;i
CU;xlcusp999i;p0p100;1990;0.23702827;999;i
CU;xlcusp999i;p0p100;1991;0.21193416;999;i
CU;xlcusp999i;p0p100;1992;0.2142853;999;i
CU;xlcusp999i;p0p100;1993;0.248657;999;i
CU;xlcusp999i;p0p100;1994;0.30726859;999;i
CU;xlcusp999i;p0p100;1995;0.33268782;999;i
CU;xlcusp999i;p0p100;1996;0.31722137;999;i
CU;xlcusp999i;p0p100;1997;0.30697179;999;i
CU;xlcusp999i;p0p100;1998;0.30698615;999;i
CU;xlcusp999i;p0p100;1999;0.31365171;999;i
CU;xlcusp999i;p0p100;2000;0.31176427;999;i
CU;xlcusp999i;p0p100;2001;0.30550289;999;i
CU;xlcusp999i;p0p100;2002;0.31377536;999;i
CU;xlcusp999i;p0p100;2003;0.31612983;999;i
CU;xlcusp999i;p0p100;2004;0.30939525;999;i
CU;xlcusp999i;p0p100;2005;0.3013761;999;i
CU;xlcusp999i;p0p100;2006;0.32302976;999;i
CU;xlcusp999i;p0p100;2007;0.32569352;999;i
CU;xlcusp999i;p0p100;2008;0.31813934;999;i
CU;xlcusp999i;p0p100;2009;0.31651163;999;i
CU;xlcusp999i;p0p100;2010;0.3152689;999;i
CU;xlcusp999i;p0p100;2011;0.32193872;999;i
CU;xlcusp999i;p0p100;2012;0.32513073;999;i
CU;xlcusp999i;p0p100;2013;0.32842851;999;i
CU;xlcusp999i;p0p100;2014;0.33403534;999;i
CU;xlcusp999i;p0p100;2015;0.34174335;999;i
CU;xlcusp999i;p0p100;2016;0.35267293;999;i
CU;xlcusp999i;p0p100;2017;0.36042738;999;i
CU;xlcusp999i;p0p100;2018;0.36707515;999;i
CU;xlceux999i;p0p100;2018;1.1956635;999;i
CU;xlceup999i;p0p100;1995;0.39520484;999;i
CU;xlceup999i;p0p100;1996;0.37488708;999;i
CU;xlceup999i;p0p100;1997;0.37061372;999;i
CU;xlceup999i;p0p100;1998;0.37155116;999;i
CU;xlceup999i;p0p100;1999;0.3794601;999;i
CU;xlceup999i;p0p100;2000;0.3806605;999;i
CU;xlceup999i;p0p100;2001;0.373252;999;i
CU;xlceup999i;p0p100;2002;0.38077345;999;i
CU;xlceup999i;p0p100;2003;0.38362375;999;i
CU;xlceup999i;p0p100;2004;0.37871012;999;i
CU;xlceup999i;p0p100;2005;0.37299684;999;i
CU;xlceup999i;p0p100;2006;0.40371972;999;i
CU;xlceup999i;p0p100;2007;0.40818697;999;i
CU;xlceup999i;p0p100;2008;0.39858913;999;i
CU;xlceup999i;p0p100;2009;0.39728931;999;i
CU;xlceup999i;p0p100;2010;0.39943102;999;i
CU;xlceup999i;p0p100;2011;0.4125362;999;i
CU;xlceup999i;p0p100;2012;0.41915917;999;i
CU;xlceup999i;p0p100;2013;0.42507842;999;i
CU;xlceup999i;p0p100;2014;0.43583515;999;i
CU;xlceup999i;p0p100;2015;0.44457719;999;i
CU;xlceup999i;p0p100;2016;0.45974505;999;i
CU;xlceup999i;p0p100;2017;0.47377971;999;i
CU;xlceup999i;p0p100;2018;0.48669666;999;i
CU;iquali999i;p0p100;2018;3.0;999;i
CU;npopul999m;p0p100;1950;3057124.0;999;m
CU;npopul999m;p0p100;1951;3119208.0;999;m
CU;npopul999m;p0p100;1952;3181758.0;999;m
CU;npopul999m;p0p100;1953;3242956.0;999;m
CU;npopul999m;p0p100;1954;3301788.0;999;m
CU;npopul999m;p0p100;1955;3358054.0;999;m
CU;npopul999m;p0p100;1956;3412415.0;999;m
CU;npopul999m;p0p100;1957;3466359.0;999;m
CU;npopul999m;p0p100;1958;3522046.0;999;m
CU;npopul999m;p0p100;1959;3582003.0;999;m
CU;npopul999m;p0p100;1960;3648440.0;999;m
CU;npopul999m;p0p100;1961;3722400.0;999;m
CU;npopul999m;p0p100;1962;3803018.0;999;m
CU;npopul999m;p0p100;1963;3887269.0;999;m
CU;npopul999m;p0p100;1964;3970780.0;999;m
CU;npopul999m;p0p100;1965;4050425.0;999;m
CU;npopul999m;p0p100;1966;4124680.0;999;m
CU;npopul999m;p0p100;1967;4194411.0;999;m
CU;npopul999m;p0p100;1968;4261711.0;999;m
CU;npopul999m;p0p100;1969;4329809.0;999;m
CU;npopul999m;p0p100;1970;4400758.0;999;m
CU;npopul999m;p0p100;1971;4475342.0;999;m
CU;npopul999m;p0p100;1972;4551956.0;999;m
CU;npopul999m;p0p100;1973;4627531.0;999;m
CU;npopul999m;p0p100;1974;4697811.0;999;m
CU;npopul999m;p0p100;1975;4759734.0;999;m
CU;npopul999m;p0p100;1976;4812760.0;999;m
CU;npopul999m;p0p100;1977;4857934.0;999;m
CU;npopul999m;p0p100;1978;4895833.0;999;m
CU;npopul999m;p0p100;1979;4927592.0;999;m
CU;npopul999m;p0p100;1980;4954429.0;999;m
CU;npopul999m;p0p100;1981;4975650.0;999;m
CU;npopul999m;p0p100;1982;4991998.0;999;m
CU;npopul999m;p0p100;1983;5007857.0;999;m
CU;npopul999m;p0p100;1984;5028945.0;999;m
CU;npopul999m;p0p100;1985;5059142.0;999;m
CU;npopul999m;p0p100;1986;5100536.0;999;m
CU;npopul999m;p0p100;1987;5151415.0;999;m
CU;npopul999m;p0p100;1988;5207084.0;999;m
CU;npopul999m;p0p100;1989;5260697.0;999;m
CU;npopul999m;p0p100;1990;5307315.0;999;m
CU;npopul999m;p0p100;1991;5345392.0;999;m
CU;npopul999m;p0p100;1992;5376390.0;999;m
CU;npopul999m;p0p100;1993;5401980.0;999;m
CU;npopul999m;p0p100;1994;5424972.0;999;m
CU;npopul999m;p0p100;1995;5447439.0;999;m
CU;npopul999m;p0p100;1996;5469492.0;999;m
CU;npopul999m;p0p100;1997;5490346.0;999;m
CU;npopul999m;p0p100;1998;5510185.0;999;m
CU;npopul999m;p0p100;1999;5529106.0;999;m
CU;npopul999m;p0p100;2000;5547098.0;999;m
CU;npopul999m;p0p100;2001;5564815.0;999;m
CU;npopul999m;p0p100;2002;5582125.0;999;m
CU;npopul999m;p0p100;2003;5597342.0;999;m
CU;npopul999m;p0p100;2004;5608177.0;999;m
CU;npopul999m;p0p100;2005;5613215.0;999;m
CU;npopul999m;p0p100;2006;5611447.0;999;m
CU;npopul999m;p0p100;2007;5604005.0;999;m
CU;npopul999m;p0p100;2008;5594116.0;999;m
CU;npopul999m;p0p100;2009;5586273.0;999;m
CU;npopul999m;p0p100;2010;5583618.0;999;m
CU;npopul999m;p0p100;2011;5587410.0;999;m
CU;npopul999m;p0p100;2012;5596451.0;999;m
CU;npopul999m;p0p100;2013;5608387.0;999;m
CU;npopul999m;p0p100;2014;5619691.0;999;m
CU;npopul999m;p0p100;2015;5627750.0;999;m
CU;npopul999m;p0p100;2016;5631930.0;999;m
CU;npopul999m;p0p100;2017;5632956.0;999;m
CU;npopul999m;p0p100;2018;5631334.0;999;m
CU;npopul999i;p0p100;1950;5919993.0;999;i
CU;npopul999i;p0p100;1951;6050137.0;999;i
CU;npopul999i;p0p100;1952;6178806.0;999;i
CU;npopul999i;p0p100;1953;6303722.0;999;i
CU;npopul999i;p0p100;1954;6423867.0;999;i
CU;npopul999i;p0p100;1955;6539454.0;999;i
CU;npopul999i;p0p100;1956;6652077.0;999;i
CU;npopul999i;p0p100;1957;6764555.0;999;i
CU;npopul999i;p0p100;1958;6880718.0;999;i
CU;npopul999i;p0p100;1959;7005025.0;999;i
CU;npopul999i;p0p100;1960;7141250.0;999;i
CU;npopul999i;p0p100;1961;7291200.0;999;i
CU;npopul999i;p0p100;1962;7453540.0;999;i
CU;npopul999i;p0p100;1963;7623294.0;999;i
CU;npopul999i;p0p100;1964;7793262.0;999;i
CU;npopul999i;p0p100;1965;7958169.0;999;i
CU;npopul999i;p0p100;1966;8115487.0;999;i
CU;npopul999i;p0p100;1967;8266380.0;999;i
CU;npopul999i;p0p100;1968;8413552.0;999;i
CU;npopul999i;p0p100;1969;8561384.0;999;i
CU;npopul999i;p0p100;1970;8712541.0;999;i
CU;npopul999i;p0p100;1971;8868083.0;999;i
CU;npopul999i;p0p100;1972;9025345.0;999;i
CU;npopul999i;p0p100;1973;9178804.0;999;i
CU;npopul999i;p0p100;1974;9320945.0;999;i
CU;npopul999i;p0p100;1975;9446442.0;999;i
CU;npopul999i;p0p100;1976;9554188.0;999;i
CU;npopul999i;p0p100;1977;9646142.0;999;i
CU;npopul999i;p0p100;1978;9724044.0;999;i
CU;npopul999i;p0p100;1979;9790851.0;999;i
