country;variable;percentile;year;value;age;pop
CW;npopul402i;p0p100;1950;10420.0;402;i
CW;npopul402i;p0p100;1951;10897.0;402;i
CW;npopul402i;p0p100;1952;11245.0;402;i
CW;npopul402i;p0p100;1953;11520.0;402;i
CW;npopul402i;p0p100;1954;11744.0;402;i
CW;npopul402i;p0p100;1955;11937.0;402;i
CW;npopul402i;p0p100;1956;12093.0;402;i
CW;npopul402i;p0p100;1957;12215.0;402;i
CW;npopul402i;p0p100;1958;12317.0;402;i
CW;npopul402i;p0p100;1959;12410.0;402;i
CW;npopul402i;p0p100;1960;12509.0;402;i
CW;npopul402i;p0p100;1961;12501.0;402;i
CW;npopul402i;p0p100;1962;12544.0;402;i
CW;npopul402i;p0p100;1963;12614.0;402;i
CW;npopul402i;p0p100;1964;12681.0;402;i
CW;npopul402i;p0p100;1965;12747.0;402;i
CW;npopul402i;p0p100;1966;12769.0;402;i
CW;npopul402i;p0p100;1967;12759.0;402;i
CW;npopul402i;p0p100;1968;12736.0;402;i
CW;npopul402i;p0p100;1969;12731.0;402;i
CW;npopul402i;p0p100;1970;12770.0;402;i
CW;npopul402i;p0p100;1971;12767.0;402;i
CW;npopul402i;p0p100;1972;12802.0;402;i
CW;npopul402i;p0p100;1973;12828.0;402;i
CW;npopul402i;p0p100;1974;12801.0;402;i
CW;npopul402i;p0p100;1975;12735.0;402;i
CW;npopul402i;p0p100;1976;12980.0;402;i
CW;npopul402i;p0p100;1977;13185.0;402;i
CW;npopul402i;p0p100;1978;13383.0;402;i
CW;npopul402i;p0p100;1979;13626.0;402;i
CW;npopul402i;p0p100;1980;13939.0;402;i
CW;npopul402i;p0p100;1981;14255.0;402;i
CW;npopul402i;p0p100;1982;14647.0;402;i
CW;npopul402i;p0p100;1983;15089.0;402;i
CW;npopul402i;p0p100;1984;15536.0;402;i
CW;npopul402i;p0p100;1985;15948.0;402;i
CW;npopul402i;p0p100;1986;16272.0;402;i
CW;npopul402i;p0p100;1987;16566.0;402;i
CW;npopul402i;p0p100;1988;16851.0;402;i
CW;npopul402i;p0p100;1989;17157.0;402;i
CW;npopul402i;p0p100;1990;17519.0;402;i
CW;npopul402i;p0p100;1991;17938.0;402;i
CW;npopul402i;p0p100;1992;18419.0;402;i
CW;npopul402i;p0p100;1993;18942.0;402;i
CW;npopul402i;p0p100;1994;19478.0;402;i
CW;npopul402i;p0p100;1995;20005.0;402;i
CW;npopul402i;p0p100;1996;20464.0;402;i
CW;npopul402i;p0p100;1997;20820.0;402;i
CW;npopul402i;p0p100;1998;21056.0;402;i
CW;npopul402i;p0p100;1999;21196.0;402;i
CW;npopul402i;p0p100;2000;21302.0;402;i
CW;npopul402i;p0p100;2001;21395.0;402;i
CW;npopul402i;p0p100;2002;21345.0;402;i
CW;npopul402i;p0p100;2003;21152.0;402;i
CW;npopul402i;p0p100;2004;20901.0;402;i
CW;npopul402i;p0p100;2005;20714.0;402;i
CW;npopul402i;p0p100;2006;21198.0;402;i
CW;npopul402i;p0p100;2007;21931.0;402;i
CW;npopul402i;p0p100;2008;22770.0;402;i
CW;npopul402i;p0p100;2009;23510.0;402;i
CW;npopul402i;p0p100;2010;24030.0;402;i
CW;npopul402i;p0p100;2011;23981.0;402;i
CW;npopul402i;p0p100;2012;23749.0;402;i
CW;npopul402i;p0p100;2013;23397.0;402;i
CW;npopul402i;p0p100;2014;23010.0;402;i
CW;npopul402i;p0p100;2015;22650.0;402;i
CW;npopul402i;p0p100;2016;22151.0;402;i
CW;npopul402i;p0p100;2017;21653.0;402;i
CW;npopul402i;p0p100;2018;21173.0;402;i
CW;npopul402f;p0p100;1950;4767.0;402;f
CW;npopul402f;p0p100;1951;4935.0;402;f
CW;npopul402f;p0p100;1952;5066.0;402;f
CW;npopul402f;p0p100;1953;5180.0;402;f
CW;npopul402f;p0p100;1954;5288.0;402;f
CW;npopul402f;p0p100;1955;5396.0;402;f
CW;npopul402f;p0p100;1956;5505.0;402;f
CW;npopul402f;p0p100;1957;5615.0;402;f
CW;npopul402f;p0p100;1958;5725.0;402;f
CW;npopul402f;p0p100;1959;5838.0;402;f
CW;npopul402f;p0p100;1960;5951.0;402;f
CW;npopul402f;p0p100;1961;6041.0;402;f
CW;npopul402f;p0p100;1962;6152.0;402;f
CW;npopul402f;p0p100;1963;6267.0;402;f
CW;npopul402f;p0p100;1964;6373.0;402;f
CW;npopul402f;p0p100;1965;6470.0;402;f
CW;npopul402f;p0p100;1966;6513.0;402;f
CW;npopul402f;p0p100;1967;6537.0;402;f
CW;npopul402f;p0p100;1968;6552.0;402;f
CW;npopul402f;p0p100;1969;6578.0;402;f
CW;npopul402f;p0p100;1970;6633.0;402;f
CW;npopul402f;p0p100;1971;6655.0;402;f
CW;npopul402f;p0p100;1972;6705.0;402;f
CW;npopul402f;p0p100;1973;6754.0;402;f
CW;npopul402f;p0p100;1974;6781.0;402;f
CW;npopul402f;p0p100;1975;6777.0;402;f
CW;npopul402f;p0p100;1976;6927.0;402;f
CW;npopul402f;p0p100;1977;7055.0;402;f
CW;npopul402f;p0p100;1978;7175.0;402;f
CW;npopul402f;p0p100;1979;7320.0;402;f
CW;npopul402f;p0p100;1980;7501.0;402;f
CW;npopul402f;p0p100;1981;7675.0;402;f
CW;npopul402f;p0p100;1982;7882.0;402;f
CW;npopul402f;p0p100;1983;8110.0;402;f
CW;npopul402f;p0p100;1984;8349.0;402;f
CW;npopul402f;p0p100;1985;8581.0;402;f
CW;npopul402f;p0p100;1986;8765.0;402;f
CW;npopul402f;p0p100;1987;8951.0;402;f
CW;npopul402f;p0p100;1988;9141.0;402;f
CW;npopul402f;p0p100;1989;9347.0;402;f
CW;npopul402f;p0p100;1990;9572.0;402;f
CW;npopul402f;p0p100;1991;9813.0;402;f
CW;npopul402f;p0p100;1992;10074.0;402;f
CW;npopul402f;p0p100;1993;10340.0;402;f
CW;npopul402f;p0p100;1994;10608.0;402;f
CW;npopul402f;p0p100;1995;10866.0;402;f
CW;npopul402f;p0p100;1996;11117.0;402;f
CW;npopul402f;p0p100;1997;11315.0;402;f
CW;npopul402f;p0p100;1998;11446.0;402;f
CW;npopul402f;p0p100;1999;11525.0;402;f
CW;npopul402f;p0p100;2000;11587.0;402;f
CW;npopul402f;p0p100;2001;11637.0;402;f
CW;npopul402f;p0p100;2002;11627.0;402;f
CW;npopul402f;p0p100;2003;11560.0;402;f
CW;npopul402f;p0p100;2004;11485.0;402;f
CW;npopul402f;p0p100;2005;11460.0;402;f
CW;npopul402f;p0p100;2006;11755.0;402;f
CW;npopul402f;p0p100;2007;12184.0;402;f
CW;npopul402f;p0p100;2008;12671.0;402;f
CW;npopul402f;p0p100;2009;13107.0;402;f
CW;npopul402f;p0p100;2010;13426.0;402;f
CW;npopul402f;p0p100;2011;13437.0;402;f
CW;npopul402f;p0p100;2012;13326.0;402;f
CW;npopul402f;p0p100;2013;13122.0;402;f
CW;npopul402f;p0p100;2014;12876.0;402;f
CW;npopul402f;p0p100;2015;12633.0;402;f
CW;npopul402f;p0p100;2016;12375.0;402;f
CW;npopul402f;p0p100;2017;12121.0;402;f
CW;npopul402f;p0p100;2018;11881.0;402;f
CW;npopul401m;p0p100;1950;3259.0;401;m
CW;npopul401m;p0p100;1951;3355.0;401;m
CW;npopul401m;p0p100;1952;3371.0;401;m
CW;npopul401m;p0p100;1953;3349.0;401;m
CW;npopul401m;p0p100;1954;3328.0;401;m
CW;npopul401m;p0p100;1955;3329.0;401;m
CW;npopul401m;p0p100;1956;3342.0;401;m
CW;npopul401m;p0p100;1957;3375.0;401;m
CW;npopul401m;p0p100;1958;3421.0;401;m
CW;npopul401m;p0p100;1959;3454.0;401;m
CW;npopul401m;p0p100;1960;3468.0;401;m
CW;npopul401m;p0p100;1961;3426.0;401;m
CW;npopul401m;p0p100;1962;3384.0;401;m
CW;npopul401m;p0p100;1963;3346.0;401;m
CW;npopul401m;p0p100;1964;3314.0;401;m
CW;npopul401m;p0p100;1965;3296.0;401;m
CW;npopul401m;p0p100;1966;3277.0;401;m
CW;npopul401m;p0p100;1967;3261.0;401;m
CW;npopul401m;p0p100;1968;3252.0;401;m
CW;npopul401m;p0p100;1969;3250.0;401;m
CW;npopul401m;p0p100;1970;3251.0;401;m
CW;npopul401m;p0p100;1971;3226.0;401;m
CW;npopul401m;p0p100;1972;3199.0;401;m
CW;npopul401m;p0p100;1973;3166.0;401;m
CW;npopul401m;p0p100;1974;3126.0;401;m
CW;npopul401m;p0p100;1975;3099.0;401;m
CW;npopul401m;p0p100;1976;3166.0;401;m
CW;npopul401m;p0p100;1977;3231.0;401;m
CW;npopul401m;p0p100;1978;3305.0;401;m
CW;npopul401m;p0p100;1979;3390.0;401;m
