country;variable;percentile;year;value;age;pop
DE-BD;sptinc992t;p99p100;1885;0.1217;992;t
DE-BD;sptinc992t;p99p100;1886;0.1236;992;t
DE-BD;sptinc992t;p99p100;1887;0.1256;992;t
DE-BD;sptinc992t;p99p100;1888;0.1276;992;t
DE-BD;sptinc992t;p99p100;1889;0.1296;992;t
DE-BD;sptinc992t;p99p100;1890;0.1314;992;t
DE-BD;sptinc992t;p99p100;1891;0.13060001;992;t
DE-BD;sptinc992t;p99p100;1892;0.13;992;t
DE-BD;sptinc992t;p99p100;1893;0.1301;992;t
DE-BD;sptinc992t;p99p100;1894;0.13070001;992;t
DE-BD;sptinc992t;p99p100;1895;0.13429999;992;t
DE-BD;sptinc992t;p99p100;1896;0.1366;992;t
DE-BD;sptinc992t;p99p100;1897;0.1401;992;t
DE-BD;sptinc992t;p99p100;1898;0.1415;992;t
DE-BD;sptinc992t;p99p100;1899;0.1436;992;t
DE-BD;sptinc992t;p99p100;1900;0.1462;992;t
DE-BD;sptinc992t;p99p100;1901;0.1498;992;t
DE-BD;sptinc992t;p99p100;1902;0.1426;992;t
DE-BD;sptinc992t;p99p100;1903;0.1497;992;t
DE-BD;sptinc992t;p99p100;1904;0.1542;992;t
DE-BD;sptinc992t;p99p100;1905;0.1419;992;t
DE-BD;sptinc992t;p99p100;1906;0.14740001;992;t
DE-BD;sptinc992t;p99p100;1907;0.15090001;992;t
DE-BD;sptinc992t;p99p100;1908;0.1503;992;t
DE-BD;sptinc992t;p99p100;1909;0.1529;992;t
DE-BD;sptinc992t;p99p100;1910;0.1593;992;t
DE-BD;sptinc992t;p99p100;1911;0.17550001;992;t
DE-BD;sptinc992t;p99p100;1912;0.1918;992;t
DE-BD;sptinc992t;p99p100;1913;0.1837;992;t
DE-BD;sptinc992t;p99.9p100;1885;0.041499998;992;t
DE-BD;sptinc992t;p99.9p100;1886;0.043200001;992;t
DE-BD;sptinc992t;p99.9p100;1887;0.045000002;992;t
DE-BD;sptinc992t;p99.9p100;1888;0.046799999;992;t
DE-BD;sptinc992t;p99.9p100;1889;0.048700001;992;t
DE-BD;sptinc992t;p99.9p100;1890;0.050000001;992;t
DE-BD;sptinc992t;p99.9p100;1891;0.050099999;992;t
DE-BD;sptinc992t;p99.9p100;1892;0.049600001;992;t
DE-BD;sptinc992t;p99.9p100;1893;0.049600001;992;t
DE-BD;sptinc992t;p99.9p100;1894;0.0495;992;t
DE-BD;sptinc992t;p99.9p100;1895;0.051399998;992;t
DE-BD;sptinc992t;p99.9p100;1896;0.052299999;992;t
DE-BD;sptinc992t;p99.9p100;1897;0.054699998;992;t
DE-BD;sptinc992t;p99.9p100;1898;0.0559;992;t
