country;variable;percentile;year;value;age;pop
DE-HE;sptinc992t;p99p100;1872;0.1548;992;t
DE-HE;sptinc992t;p99p100;1873;0.15979999;992;t
DE-HE;sptinc992t;p99p100;1874;0.1648;992;t
DE-HE;sptinc992t;p99p100;1875;0.1644;992;t
DE-HE;sptinc992t;p99p100;1876;0.164;992;t
DE-HE;sptinc992t;p99p100;1877;0.1636;992;t
DE-HE;sptinc992t;p99p100;1878;0.16320001;992;t
DE-HE;sptinc992t;p99p100;1879;0.1627;992;t
DE-HE;sptinc992t;p99p100;1880;0.16329999;992;t
DE-HE;sptinc992t;p99p100;1881;0.1638;992;t
DE-HE;sptinc992t;p99p100;1882;0.1644;992;t
DE-HE;sptinc992t;p99p100;1883;0.16500001;992;t
DE-HE;sptinc992t;p99p100;1884;0.16419999;992;t
DE-HE;sptinc992t;p99p100;1885;0.16429999;992;t
DE-HE;sptinc992t;p99p100;1886;0.16429999;992;t
DE-HE;sptinc992t;p99p100;1887;0.1644;992;t
DE-HE;sptinc992t;p99p100;1888;0.1644;992;t
DE-HE;sptinc992t;p99p100;1889;0.1645;992;t
DE-HE;sptinc992t;p99p100;1890;0.1645;992;t
DE-HE;sptinc992t;p99p100;1891;0.1645;992;t
DE-HE;sptinc992t;p99p100;1892;0.1645;992;t
DE-HE;sptinc992t;p99p100;1893;0.1673;992;t
DE-HE;sptinc992t;p99p100;1894;0.1679;992;t
DE-HE;sptinc992t;p99p100;1895;0.1779;992;t
DE-HE;sptinc992t;p99p100;1896;0.1807;992;t
DE-HE;sptinc992t;p99p100;1897;0.1831;992;t
DE-HE;sptinc992t;p99p100;1898;0.2061;992;t
DE-HE;sptinc992t;p99p100;1899;0.1953;992;t
DE-HE;sptinc992t;p99p100;1900;0.1841;992;t
DE-HE;sptinc992t;p99p100;1901;0.18269999;992;t
DE-HE;sptinc992t;p99p100;1902;0.1814;992;t
DE-HE;sptinc992t;p99p100;1903;0.18000001;992;t
DE-HE;sptinc992t;p99p100;1904;0.1611;992;t
DE-HE;sptinc992t;p99p100;1905;0.17120001;992;t
DE-HE;sptinc992t;p99p100;1906;0.1814;992;t
DE-HE;sptinc992t;p99p100;1907;0.17020001;992;t
DE-HE;sptinc992t;p99p100;1908;0.16940001;992;t
DE-HE;sptinc992t;p99p100;1909;0.16760001;992;t
DE-HE;sptinc992t;p99p100;1910;0.16760001;992;t
DE-HE;sptinc992t;p99p100;1911;0.1653;992;t
DE-HE;sptinc992t;p99p100;1912;0.163;992;t
DE-HE;sptinc992t;p99p100;1913;0.1657;992;t
DE-HE;sptinc992t;p99p100;1914;0.1684;992;t
DE-HE;sptinc992t;p99p100;1915;0.17120001;992;t
DE-HE;sptinc992t;p99p100;1916;0.1741;992;t
DE-HE;sptinc992t;p99p100;1917;0.17649999;992;t
DE-HE;sptinc992t;p99p100;1918;0.17309999;992;t
DE-HE;sptinc992t;p99.9p100;1872;0.059300002;992;t
DE-HE;sptinc992t;p99.9p100;1873;0.0634;992;t
DE-HE;sptinc992t;p99.9p100;1874;0.067599997;992;t
DE-HE;sptinc992t;p99.9p100;1875;0.067500003;992;t
DE-HE;sptinc992t;p99.9p100;1876;0.067299999;992;t
DE-HE;sptinc992t;p99.9p100;1877;0.067100003;992;t
DE-HE;sptinc992t;p99.9p100;1878;0.067000002;992;t
DE-HE;sptinc992t;p99.9p100;1879;0.066799998;992;t
DE-HE;sptinc992t;p99.9p100;1880;0.066600002;992;t
DE-HE;sptinc992t;p99.9p100;1881;0.066299997;992;t
DE-HE;sptinc992t;p99.9p100;1882;0.066100001;992;t
DE-HE;sptinc992t;p99.9p100;1883;0.065800004;992;t
DE-HE;sptinc992t;p99.9p100;1884;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1885;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1886;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1887;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1888;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1889;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1890;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1891;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1892;0.062100001;992;t
DE-HE;sptinc992t;p99.9p100;1893;0.063500002;992;t
DE-HE;sptinc992t;p99.9p100;1894;0.064099997;992;t
DE-HE;sptinc992t;p99.9p100;1895;0.0713;992;t
DE-HE;sptinc992t;p99.9p100;1896;0.073899999;992;t
DE-HE;sptinc992t;p99.9p100;1897;0.075400002;992;t
DE-HE;sptinc992t;p99.9p100;1898;0.092799999;992;t
DE-HE;sptinc992t;p99.9p100;1899;0.086599998;992;t
DE-HE;sptinc992t;p99.9p100;1900;0.079300001;992;t
DE-HE;sptinc992t;p99.9p100;1901;0.078400001;992;t
DE-HE;sptinc992t;p99.9p100;1902;0.077500001;992;t
DE-HE;sptinc992t;p99.9p100;1903;0.076499999;992;t
DE-HE;sptinc992t;p99.9p100;1904;0.062600002;992;t
DE-HE;sptinc992t;p99.9p100;1905;0.0713;992;t
DE-HE;sptinc992t;p99.9p100;1906;0.079999998;992;t
DE-HE;sptinc992t;p99.9p100;1907;0.070100002;992;t
DE-HE;sptinc992t;p99.9p100;1908;0.070299998;992;t
