country;variable;percentile;year;value;age;pop
DO;xlcyux999i;p0p100;1960;0.40620536;999;i
DO;xlcyux999i;p0p100;1961;0.40620536;999;i
DO;xlcyux999i;p0p100;1962;0.40620536;999;i
DO;xlcyux999i;p0p100;1963;0.40620536;999;i
DO;xlcyux999i;p0p100;1964;0.40620536;999;i
DO;xlcyux999i;p0p100;1965;0.40620536;999;i
DO;xlcyux999i;p0p100;1966;0.40620536;999;i
DO;xlcyux999i;p0p100;1967;0.40620536;999;i
DO;xlcyux999i;p0p100;1968;0.40620536;999;i
DO;xlcyux999i;p0p100;1969;0.40620536;999;i
DO;xlcyux999i;p0p100;1970;0.40620536;999;i
DO;xlcyux999i;p0p100;1971;0.40620536;999;i
DO;xlcyux999i;p0p100;1972;0.44542113;999;i
DO;xlcyux999i;p0p100;1973;0.50266021;999;i
DO;xlcyux999i;p0p100;1974;0.50991607;999;i
DO;xlcyux999i;p0p100;1975;0.53768545;999;i
DO;xlcyux999i;p0p100;1976;0.51508814;999;i
DO;xlcyux999i;p0p100;1977;0.53826427;999;i
DO;xlcyux999i;p0p100;1978;0.59396905;999;i
DO;xlcyux999i;p0p100;1979;0.64311206;999;i
DO;xlcyux999i;p0p100;1980;0.66738474;999;i
DO;xlcyux999i;p0p100;1981;0.58666795;999;i
DO;xlcyux999i;p0p100;1982;0.52838993;999;i
DO;xlcyux999i;p0p100;1983;0.50615615;999;i
DO;xlcyux999i;p0p100;1984;0.43102676;999;i
DO;xlcyux999i;p0p100;1985;1.0599151;999;i
DO;xlcyux999i;p0p100;1986;0.84115511;999;i
DO;xlcyux999i;p0p100;1987;1.0329541;999;i
DO;xlcyux999i;p0p100;1988;1.6422226;999;i
DO;xlcyux999i;p0p100;1989;1.6838825;999;i
DO;xlcyux999i;p0p100;1990;1.7823392;999;i
DO;xlcyux999i;p0p100;1991;2.3842742;999;i
DO;xlcyux999i;p0p100;1992;2.3164332;999;i
DO;xlcyux999i;p0p100;1993;2.199909;999;i
DO;xlcyux999i;p0p100;1994;1.5269213;999;i
DO;xlcyux999i;p0p100;1995;1.6281489;999;i
DO;xlcyux999i;p0p100;1996;1.6567589;999;i
DO;xlcyux999i;p0p100;1997;1.7208432;999;i
DO;xlcyux999i;p0p100;1998;1.8440233;999;i
DO;xlcyux999i;p0p100;1999;1.9367721;999;i
DO;xlcyux999i;p0p100;2000;1.982848;999;i
DO;xlcyux999i;p0p100;2001;2.0480218;999;i
DO;xlcyux999i;p0p100;2002;2.2483895;999;i
DO;xlcyux999i;p0p100;2003;3.7248485;999;i
DO;xlcyux999i;p0p100;2004;5.0863647;999;i
DO;xlcyux999i;p0p100;2005;3.7233899;999;i
DO;xlcyux999i;p0p100;2006;4.1705589;999;i
DO;xlcyux999i;p0p100;2007;4.3787999;999;i
DO;xlcyux999i;p0p100;2008;5.0176759;999;i
DO;xlcyux999i;p0p100;2009;5.2864666;999;i
DO;xlcyux999i;p0p100;2010;5.510354;999;i
DO;xlcyux999i;p0p100;2011;5.9168596;999;i
DO;xlcyux999i;p0p100;2012;6.2315559;999;i
DO;xlcyux999i;p0p100;2013;6.7478657;999;i
DO;xlcyux999i;p0p100;2014;7.0898395;999;i
DO;xlcyux999i;p0p100;2015;7.2343283;999;i
DO;xlcyux999i;p0p100;2016;6.9347782;999;i
DO;xlcyux999i;p0p100;2017;7.0403724;999;i
DO;xlcyux999i;p0p100;2018;7.5757198;999;i
DO;xlcyup999i;p0p100;1960;0.35728243;999;i
DO;xlcyup999i;p0p100;1961;0.28859326;999;i
DO;xlcyup999i;p0p100;1962;0.35076091;999;i
DO;xlcyup999i;p0p100;1963;0.40121025;999;i
DO;xlcyup999i;p0p100;1964;0.3985827;999;i
DO;xlcyup999i;p0p100;1965;0.36899373;999;i
DO;xlcyup999i;p0p100;1966;0.35718334;999;i
DO;xlcyup999i;p0p100;1967;0.35394907;999;i
DO;xlcyup999i;p0p100;1968;0.36451232;999;i
DO;xlcyup999i;p0p100;1969;0.37619796;999;i
DO;xlcyup999i;p0p100;1970;0.37630457;999;i
DO;xlcyup999i;p0p100;1971;0.36882806;999;i
DO;xlcyup999i;p0p100;1972;0.39742693;999;i
DO;xlcyup999i;p0p100;1973;0.40751335;999;i
DO;xlcyup999i;p0p100;1974;0.47582373;999;i
DO;xlcyup999i;p0p100;1975;0.54980683;999;i
DO;xlcyup999i;p0p100;1976;0.54302269;999;i
DO;xlcyup999i;p0p100;1977;0.59279037;999;i
DO;xlcyup999i;p0p100;1978;0.58493119;999;i
DO;xlcyup999i;p0p100;1979;0.62012416;999;i
DO;xlcyup999i;p0p100;1980;0.65110284;999;i
DO;xlcyup999i;p0p100;1981;0.67471355;999;i
DO;xlcyup999i;p0p100;1982;0.71715695;999;i
DO;xlcyup999i;p0p100;1983;0.73412287;999;i
DO;xlcyup999i;p0p100;1984;0.88200969;999;i
DO;xlcyup999i;p0p100;1985;1.1880251;999;i
DO;xlcyup999i;p0p100;1986;1.2282807;999;i
DO;xlcyup999i;p0p100;1987;1.2906884;999;i
DO;xlcyup999i;p0p100;1988;1.586063;999;i
DO;xlcyup999i;p0p100;1989;1.9165343;999;i
DO;xlcyup999i;p0p100;1990;2.7244642;999;i
DO;xlcyup999i;p0p100;1991;4.0222754;999;i
DO;xlcyup999i;p0p100;1992;3.8780425;999;i
DO;xlcyup999i;p0p100;1993;3.2094235;999;i
DO;xlcyup999i;p0p100;1994;2.7912509;999;i
DO;xlcyup999i;p0p100;1995;2.5499249;999;i
DO;xlcyup999i;p0p100;1996;2.3677766;999;i
DO;xlcyup999i;p0p100;1997;2.4535553;999;i
DO;xlcyup999i;p0p100;1998;2.5872283;999;i
DO;xlcyup999i;p0p100;1999;2.636781;999;i
DO;xlcyup999i;p0p100;2000;2.6228027;999;i
DO;xlcyup999i;p0p100;2001;2.7497499;999;i
DO;xlcyup999i;p0p100;2002;2.9026158;999;i
DO;xlcyup999i;p0p100;2003;3.7036166;999;i
DO;xlcyup999i;p0p100;2004;5.1045732;999;i
DO;xlcyup999i;p0p100;2005;5.1875911;999;i
DO;xlcyup999i;p0p100;2006;5.2781949;999;i
DO;xlcyup999i;p0p100;2007;5.2324176;999;i
DO;xlcyup999i;p0p100;2008;5.3579936;999;i
DO;xlcyup999i;p0p100;2009;5.6258683;999;i
DO;xlcyup999i;p0p100;2010;5.548615;999;i
DO;xlcyup999i;p0p100;2011;5.5480313;999;i
DO;xlcyup999i;p0p100;2012;5.7448878;999;i
DO;xlcyup999i;p0p100;2013;5.9004049;999;i
DO;xlcyup999i;p0p100;2014;5.9934659;999;i
DO;xlcyup999i;p0p100;2015;6.0687771;999;i
DO;xlcyup999i;p0p100;2016;6.1591449;999;i
DO;xlcyup999i;p0p100;2017;6.4244142;999;i
DO;xlcyup999i;p0p100;2018;6.7326961;999;i
DO;xlcusx999i;p0p100;1960;1.0;999;i
DO;xlcusx999i;p0p100;1961;1.0;999;i
DO;xlcusx999i;p0p100;1962;1.0;999;i
DO;xlcusx999i;p0p100;1963;1.0;999;i
DO;xlcusx999i;p0p100;1964;1.0;999;i
DO;xlcusx999i;p0p100;1965;1.0;999;i
DO;xlcusx999i;p0p100;1966;1.0;999;i
DO;xlcusx999i;p0p100;1967;1.0;999;i
DO;xlcusx999i;p0p100;1968;1.0;999;i
DO;xlcusx999i;p0p100;1969;1.0;999;i
DO;xlcusx999i;p0p100;1970;1.0;999;i
DO;xlcusx999i;p0p100;1971;1.0;999;i
DO;xlcusx999i;p0p100;1972;1.0;999;i
DO;xlcusx999i;p0p100;1973;1.0;999;i
DO;xlcusx999i;p0p100;1974;1.0;999;i
DO;xlcusx999i;p0p100;1975;1.0;999;i
DO;xlcusx999i;p0p100;1976;1.0;999;i
DO;xlcusx999i;p0p100;1977;1.0;999;i
DO;xlcusx999i;p0p100;1978;1.0;999;i
DO;xlcusx999i;p0p100;1979;1.0;999;i
DO;xlcusx999i;p0p100;1980;1.0;999;i
DO;xlcusx999i;p0p100;1981;1.0;999;i
DO;xlcusx999i;p0p100;1982;1.0;999;i
DO;xlcusx999i;p0p100;1983;1.0;999;i
DO;xlcusx999i;p0p100;1984;1.0;999;i
DO;xlcusx999i;p0p100;1985;3.1126084;999;i
DO;xlcusx999i;p0p100;1986;2.9043334;999;i
DO;xlcusx999i;p0p100;1987;3.8447583;999;i
DO;xlcusx999i;p0p100;1988;6.1125169;999;i
DO;xlcusx999i;p0p100;1989;6.3400002;999;i
DO;xlcusx999i;p0p100;1990;8.5253;999;i
DO;xlcusx999i;p0p100;1991;12.692425;999;i
DO;xlcusx999i;p0p100;1992;12.774183;999;i
DO;xlcusx999i;p0p100;1993;12.675783;999;i
DO;xlcusx999i;p0p100;1994;13.160142;999;i
DO;xlcusx999i;p0p100;1995;13.59735;999;i
DO;xlcusx999i;p0p100;1996;13.774583;999;i
DO;xlcusx999i;p0p100;1997;14.265475;999;i
DO;xlcusx999i;p0p100;1998;15.266592;999;i
DO;xlcusx999i;p0p100;1999;16.033083;999;i
DO;xlcusx999i;p0p100;2000;16.415016;999;i
DO;xlcusx999i;p0p100;2001;16.951616;999;i
DO;xlcusx999i;p0p100;2002;18.609825;999;i
DO;xlcusx999i;p0p100;2003;30.830708;999;i
DO;xlcusx999i;p0p100;2004;42.098831;999;i
DO;xlcusx999i;p0p100;2005;30.510637;999;i
DO;xlcusx999i;p0p100;2006;33.253693;999;i
DO;xlcusx999i;p0p100;2007;33.311863;999;i
DO;xlcusx999i;p0p100;2008;34.8661;999;i
DO;xlcusx999i;p0p100;2009;36.114052;999;i
DO;xlcusx999i;p0p100;2010;37.30658;999;i
DO;xlcusx999i;p0p100;2011;38.23156;999;i
DO;xlcusx999i;p0p100;2012;39.335655;999;i
DO;xlcusx999i;p0p100;2013;41.808144;999;i
DO;xlcusx999i;p0p100;2014;43.555962;999;i
DO;xlcusx999i;p0p100;2015;45.051697;999;i
DO;xlcusx999i;p0p100;2016;46.07798;999;i
DO;xlcusx999i;p0p100;2017;47.584152;999;i
DO;xlcusx999i;p0p100;2018;48.356419;999;i
DO;xlcusp999i;p0p100;1960;0.60654265;999;i
DO;xlcusp999i;p0p100;1961;0.59665126;999;i
DO;xlcusp999i;p0p100;1962;0.63380855;999;i
DO;xlcusp999i;p0p100;1963;0.6712361;999;i
DO;xlcusp999i;p0p100;1964;0.67427224;999;i
DO;xlcusp999i;p0p100;1965;0.65462112;999;i
DO;xlcusp999i;p0p100;1966;0.6211887;999;i
DO;xlcusp999i;p0p100;1967;0.61413854;999;i
DO;xlcusp999i;p0p100;1968;0.61245751;999;i
DO;xlcusp999i;p0p100;1969;0.6000821;999;i
DO;xlcusp999i;p0p100;1970;0.58180672;999;i
DO;xlcusp999i;p0p100;1971;0.56027144;999;i
DO;xlcusp999i;p0p100;1972;0.57996893;999;i
DO;xlcusp999i;p0p100;1973;0.57466125;999;i
DO;xlcusp999i;p0p100;1974;0.62263334;999;i
DO;xlcusp999i;p0p100;1975;0.66838872;999;i
DO;xlcusp999i;p0p100;1976;0.65202314;999;i
DO;xlcusp999i;p0p100;1977;0.67981982;999;i
DO;xlcusp999i;p0p100;1978;0.6425761;999;i
DO;xlcusp999i;p0p100;1979;0.65998471;999;i
DO;xlcusp999i;p0p100;1980;0.67682582;999;i
DO;xlcusp999i;p0p100;1981;0.65039605;999;i
DO;xlcusp999i;p0p100;1982;0.66051936;999;i
DO;xlcusp999i;p0p100;1983;0.65462077;999;i
DO;xlcusp999i;p0p100;1984;0.74729371;999;i
DO;xlcusp999i;p0p100;1985;0.99536693;999;i
DO;xlcusp999i;p0p100;1986;1.0641037;999;i
DO;xlcusp999i;p0p100;1987;1.1659499;999;i
DO;xlcusp999i;p0p100;1988;1.598888;999;i
DO;xlcusp999i;p0p100;1989;2.1991224;999;i
DO;xlcusp999i;p0p100;1990;3.4058166;999;i
DO;xlcusp999i;p0p100;1991;5.0340295;999;i
DO;xlcusp999i;p0p100;1992;5.181675;999;i
DO;xlcusp999i;p0p100;1993;5.3069487;999;i
DO;xlcusp999i;p0p100;1994;5.7218838;999;i
DO;xlcusp999i;p0p100;1995;6.1333222;999;i
DO;xlcusp999i;p0p100;1996;6.1621704;999;i
DO;xlcusp999i;p0p100;1997;6.6698499;999;i
DO;xlcusp999i;p0p100;1998;6.9932065;999;i
DO;xlcusp999i;p0p100;1999;7.0963883;999;i
DO;xlcusp999i;p0p100;2000;7.3627281;999;i
DO;xlcusp999i;p0p100;2001;7.6648064;999;i
DO;xlcusp999i;p0p100;2002;7.9537611;999;i
DO;xlcusp999i;p0p100;2003;10.272397;999;i
DO;xlcusp999i;p0p100;2004;14.686379;999;i
DO;xlcusp999i;p0p100;2005;15.098298;999;i
DO;xlcusp999i;p0p100;2006;15.42569;999;i
DO;xlcusp999i;p0p100;2007;16.002535;999;i
DO;xlcusp999i;p0p100;2008;17.315592;999;i
DO;xlcusp999i;p0p100;2009;17.717196;999;i
DO;xlcusp999i;p0p100;2010;18.387241;999;i
DO;xlcusp999i;p0p100;2011;19.448824;999;i
DO;xlcusp999i;p0p100;2012;20.058504;999;i
DO;xlcusp999i;p0p100;2013;20.663616;999;i
DO;xlcusp999i;p0p100;2014;20.728617;999;i
DO;xlcusp999i;p0p100;2015;20.633139;999;i
DO;xlcusp999i;p0p100;2016;20.587906;999;i
DO;xlcusp999i;p0p100;2017;20.945889;999;i
DO;xlcusp999i;p0p100;2018;21.336311;999;i
DO;xlceux999i;p0p100;1999;17.081415;999;i
DO;xlceux999i;p0p100;2000;15.12346;999;i
DO;xlceux999i;p0p100;2001;15.169096;999;i
DO;xlceux999i;p0p100;2002;17.514278;999;i
DO;xlceux999i;p0p100;2003;34.796295;999;i
DO;xlceux999i;p0p100;2004;52.27298;999;i
DO;xlceux999i;p0p100;2005;37.94289;999;i
DO;xlceux999i;p0p100;2006;41.716209;999;i
DO;xlceux999i;p0p100;2007;45.592873;999;i
DO;xlceux999i;p0p100;2008;51.072788;999;i
DO;xlceux999i;p0p100;2009;50.169319;999;i
DO;xlceux999i;p0p100;2010;49.409748;999;i
DO;xlceux999i;p0p100;2011;53.146984;999;i
DO;xlceux999i;p0p100;2012;50.540894;999;i
DO;xlceux999i;p0p100;2013;55.510368;999;i
DO;xlceux999i;p0p100;2014;57.787167;999;i
DO;xlceux999i;p0p100;2015;49.96534;999;i
DO;xlceux999i;p0p100;2016;50.969234;999;i
DO;xlceux999i;p0p100;2017;53.622143;999;i
DO;xlceux999i;p0p100;2018;59.276535;999;i
DO;xlceup999i;p0p100;1995;7.2858653;999;i
DO;xlceup999i;p0p100;1996;7.2823529;999;i
DO;xlceup999i;p0p100;1997;8.0526552;999;i
DO;xlceup999i;p0p100;1998;8.4640102;999;i
DO;xlceup999i;p0p100;1999;8.5853071;999;i
DO;xlceup999i;p0p100;2000;8.9898043;999;i
DO;xlceup999i;p0p100;2001;9.3645735;999;i
DO;xlceup999i;p0p100;2002;9.6520672;999;i
DO;xlceup999i;p0p100;2003;12.46556;999;i
DO;xlceup999i;p0p100;2004;17.976618;999;i
DO;xlceup999i;p0p100;2005;18.686344;999;i
DO;xlceup999i;p0p100;2006;19.278891;999;i
DO;xlceup999i;p0p100;2007;20.055746;999;i
DO;xlceup999i;p0p100;2008;21.694288;999;i
DO;xlceup999i;p0p100;2009;22.238842;999;i
DO;xlceup999i;p0p100;2010;23.295778;999;i
DO;xlceup999i;p0p100;2011;24.921961;999;i
DO;xlceup999i;p0p100;2012;25.859463;999;i
DO;xlceup999i;p0p100;2013;26.744503;999;i
DO;xlceup999i;p0p100;2014;27.045822;999;i
DO;xlceup999i;p0p100;2015;26.841846;999;i
DO;xlceup999i;p0p100;2016;26.83843;999;i
DO;xlceup999i;p0p100;2017;27.533249;999;i
DO;xlceup999i;p0p100;2018;28.289335;999;i
DO;npopul999m;p0p100;1950;1197309.0;999;m
DO;npopul999m;p0p100;1951;1235341.0;999;m
