country;variable;percentile;year;value;age;pop
DZ;tptinc992j;p9p100;1988;103598.6640625;992;j
DZ;tptinc992j;p9p100;1989;108253.2265625;992;j
DZ;tptinc992j;p9p100;1990;107523.53125;992;j
DZ;tptinc992j;p9p100;1991;102564.828125;992;j
DZ;tptinc992j;p9p100;1992;103175.546875;992;j
DZ;tptinc992j;p9p100;1993;99319.546875;992;j
DZ;tptinc992j;p9p100;1994;96940.5;992;j
DZ;tptinc992j;p9p100;1995;99253.1640625;992;j
DZ;tptinc992j;p9p100;1996;102152.75;992;j
DZ;tptinc992j;p9p100;1997;101875.5078125;992;j
DZ;tptinc992j;p9p100;1998;106403.625;992;j
DZ;tptinc992j;p9p100;1999;108552.921875;992;j
DZ;tptinc992j;p9p100;2000;111018.984375;992;j
DZ;tptinc992j;p9p100;2001;112981.21875;992;j
DZ;tptinc992j;p9p100;2002;117919.625;992;j
DZ;tptinc992j;p9p100;2003;124878.8359375;992;j
DZ;tptinc992j;p9p100;2004;128206.1015625;992;j
DZ;tptinc992j;p9p100;2005;135419.5;992;j
DZ;tptinc992j;p9p100;2006;137581.75;992;j
DZ;tptinc992j;p9p100;2007;145415.8125;992;j
DZ;tptinc992j;p9p100;2008;149061.515625;992;j
DZ;tptinc992j;p9p100;2009;149181.9375;992;j
DZ;tptinc992j;p9p100;2010;150061.28125;992;j
DZ;tptinc992j;p9p100;2011;152991.046875;992;j
DZ;tptinc992j;p9p100;2012;153333.84375;992;j
DZ;tptinc992j;p9p100;2013;153647.609375;992;j
DZ;tptinc992j;p9p100;2014;156375.296875;992;j
DZ;tptinc992j;p9p100;2015;158444.359375;992;j
DZ;tptinc992j;p9p100;2016;164083.703125;992;j
DZ;tptinc992j;p9p100;2017;162602.109375;992;j
DZ;tptinc992j;p9p10;1988;103598.6640625;992;j
DZ;tptinc992j;p9p10;1989;108253.2265625;992;j
DZ;tptinc992j;p9p10;1990;107523.53125;992;j
DZ;tptinc992j;p9p10;1991;102564.828125;992;j
DZ;tptinc992j;p9p10;1992;103175.546875;992;j
DZ;tptinc992j;p9p10;1993;99319.546875;992;j
DZ;tptinc992j;p9p10;1994;96940.5;992;j
DZ;tptinc992j;p9p10;1995;99253.1640625;992;j
DZ;tptinc992j;p9p10;1996;102152.75;992;j
DZ;tptinc992j;p9p10;1997;101875.5078125;992;j
DZ;tptinc992j;p9p10;1998;106403.625;992;j
DZ;tptinc992j;p9p10;1999;108552.921875;992;j
DZ;tptinc992j;p9p10;2000;111018.984375;992;j
DZ;tptinc992j;p9p10;2001;112981.21875;992;j
DZ;tptinc992j;p9p10;2002;117919.625;992;j
DZ;tptinc992j;p9p10;2003;124878.8359375;992;j
DZ;tptinc992j;p9p10;2004;128206.1015625;992;j
DZ;tptinc992j;p9p10;2005;135419.5;992;j
DZ;tptinc992j;p9p10;2006;137581.75;992;j
DZ;tptinc992j;p9p10;2007;145415.8125;992;j
DZ;tptinc992j;p9p10;2008;149061.515625;992;j
DZ;tptinc992j;p9p10;2009;149181.9375;992;j
DZ;tptinc992j;p9p10;2010;150061.28125;992;j
DZ;tptinc992j;p9p10;2011;152991.046875;992;j
DZ;tptinc992j;p9p10;2012;153333.84375;992;j
DZ;tptinc992j;p9p10;2013;153647.609375;992;j
DZ;tptinc992j;p9p10;2014;156375.296875;992;j
DZ;tptinc992j;p9p10;2015;158444.359375;992;j
DZ;tptinc992j;p9p10;2016;164083.703125;992;j
DZ;tptinc992j;p9p10;2017;162602.109375;992;j
DZ;tptinc992j;p99p99.1;1988;6285281.0;992;j
DZ;tptinc992j;p99p99.1;1989;6248209.5;992;j
DZ;tptinc992j;p99p99.1;1990;5900713.5;992;j
DZ;tptinc992j;p99p99.1;1991;5347848.0;992;j
DZ;tptinc992j;p99p99.1;1992;5107090.0;992;j
DZ;tptinc992j;p99p99.1;1993;4662475.0;992;j
DZ;tptinc992j;p99p99.1;1994;4310805.5;992;j
DZ;tptinc992j;p99p99.1;1995;4174947.5;992;j
DZ;tptinc992j;p99p99.1;1996;4151731.25;992;j
DZ;tptinc992j;p99p99.1;1997;4002952.75;992;j
DZ;tptinc992j;p99p99.1;1998;4044294.5;992;j
DZ;tptinc992j;p99p99.1;1999;3993316.75;992;j
DZ;tptinc992j;p99p99.1;2000;3954692.5;992;j
DZ;tptinc992j;p99p99.1;2001;3898973.0;992;j
DZ;tptinc992j;p99p99.1;2002;3944141.0;992;j
DZ;tptinc992j;p99p99.1;2003;4050054.75;992;j
DZ;tptinc992j;p99p99.1;2004;4033292.75;992;j
DZ;tptinc992j;p99p99.1;2005;4134043.75;992;j
DZ;tptinc992j;p99p99.1;2006;4077111.0;992;j
DZ;tptinc992j;p99p99.1;2007;4184541.0;992;j
DZ;tptinc992j;p99p99.1;2008;4166627.25;992;j
DZ;tptinc992j;p99p99.1;2009;4051813.25;992;j
DZ;tptinc992j;p99p99.1;2010;3961317.5;992;j
DZ;tptinc992j;p99p99.1;2011;3926376.5;992;j
DZ;tptinc992j;p99p99.1;2012;3935174.0;992;j
DZ;tptinc992j;p99p99.1;2013;3943226.75;992;j
DZ;tptinc992j;p99p99.1;2014;4013230.0;992;j
DZ;tptinc992j;p99p99.1;2015;4066330.75;992;j
DZ;tptinc992j;p99p99.1;2016;4211059.5;992;j
DZ;tptinc992j;p99p99.1;2017;4173035.5;992;j
DZ;tptinc992j;p99p100;1988;6285281.0;992;j
DZ;tptinc992j;p99p100;1989;6248209.5;992;j
DZ;tptinc992j;p99p100;1990;5900713.5;992;j
DZ;tptinc992j;p99p100;1991;5347848.0;992;j
DZ;tptinc992j;p99p100;1992;5107090.0;992;j
DZ;tptinc992j;p99p100;1993;4662475.0;992;j
DZ;tptinc992j;p99p100;1994;4310805.5;992;j
DZ;tptinc992j;p99p100;1995;4174947.5;992;j
DZ;tptinc992j;p99p100;1996;4151731.25;992;j
DZ;tptinc992j;p99p100;1997;4002952.75;992;j
DZ;tptinc992j;p99p100;1998;4044294.5;992;j
DZ;tptinc992j;p99p100;1999;3993316.75;992;j
DZ;tptinc992j;p99p100;2000;3954692.5;992;j
DZ;tptinc992j;p99p100;2001;3898973.0;992;j
DZ;tptinc992j;p99p100;2002;3944141.0;992;j
DZ;tptinc992j;p99p100;2003;4050054.75;992;j
DZ;tptinc992j;p99p100;2004;4033292.75;992;j
DZ;tptinc992j;p99p100;2005;4134043.75;992;j
DZ;tptinc992j;p99p100;2006;4077111.0;992;j
DZ;tptinc992j;p99p100;2007;4184541.0;992;j
DZ;tptinc992j;p99p100;2008;4166627.25;992;j
DZ;tptinc992j;p99p100;2009;4051813.25;992;j
DZ;tptinc992j;p99p100;2010;3961317.5;992;j
DZ;tptinc992j;p99p100;2011;3926376.5;992;j
DZ;tptinc992j;p99p100;2012;3935174.0;992;j
DZ;tptinc992j;p99p100;2013;3943226.75;992;j
DZ;tptinc992j;p99p100;2014;4013230.0;992;j
DZ;tptinc992j;p99p100;2015;4066330.75;992;j
DZ;tptinc992j;p99p100;2016;4211059.5;992;j
DZ;tptinc992j;p99p100;2017;4173035.5;992;j
DZ;tptinc992j;p99.9p99.91;1988;21428752.0;992;j
DZ;tptinc992j;p99.9p99.91;1989;20660354.0;992;j
DZ;tptinc992j;p99.9p99.91;1990;18853806.0;992;j
DZ;tptinc992j;p99.9p99.91;1991;16439280.0;992;j
DZ;tptinc992j;p99.9p99.91;1992;15024327.0;992;j
DZ;tptinc992j;p99.9p99.91;1993;13042565.0;992;j
DZ;tptinc992j;p99.9p99.91;1994;11375720.0;992;j
DZ;tptinc992j;p99.9p99.91;1995;10289923.0;992;j
DZ;tptinc992j;p99.9p99.91;1996;10198809.0;992;j
DZ;tptinc992j;p99.9p99.91;1997;9800079.0;992;j
DZ;tptinc992j;p99.9p99.91;1998;9867097.0;992;j
DZ;tptinc992j;p99.9p99.91;1999;9708354.0;992;j
DZ;tptinc992j;p99.9p99.91;2000;9579801.0;992;j
DZ;tptinc992j;p99.9p99.91;2001;9410038.0;992;j
DZ;tptinc992j;p99.9p99.91;2002;9483211.0;992;j
DZ;tptinc992j;p99.9p99.91;2003;9700382.0;992;j
DZ;tptinc992j;p99.9p99.91;2004;9622206.0;992;j
DZ;tptinc992j;p99.9p99.91;2005;9822851.0;992;j
DZ;tptinc992j;p99.9p99.91;2006;9647656.0;992;j
DZ;tptinc992j;p99.9p99.91;2007;9860109.0;992;j
DZ;tptinc992j;p99.9p99.91;2008;9775514.0;992;j
DZ;tptinc992j;p99.9p99.91;2009;9464116.0;992;j
