country;variable;percentile;year;value;age;pop
EG;xlcyux999i;p0p100;1960;0.14145777;999;i
EG;xlcyux999i;p0p100;1961;0.14145777;999;i
EG;xlcyux999i;p0p100;1962;0.16430566;999;i
EG;xlcyux999i;p0p100;1963;0.17661102;999;i
EG;xlcyux999i;p0p100;1964;0.17661102;999;i
EG;xlcyux999i;p0p100;1965;0.17661102;999;i
EG;xlcyux999i;p0p100;1966;0.17661102;999;i
EG;xlcyux999i;p0p100;1967;0.17661102;999;i
EG;xlcyux999i;p0p100;1968;0.17661102;999;i
EG;xlcyux999i;p0p100;1969;0.17661102;999;i
EG;xlcyux999i;p0p100;1970;0.17661102;999;i
EG;xlcyux999i;p0p100;1971;0.17661105;999;i
EG;xlcyux999i;p0p100;1972;0.19366135;999;i
EG;xlcyux999i;p0p100;1973;0.20003676;999;i
EG;xlcyux999i;p0p100;1974;0.19953202;999;i
EG;xlcyux999i;p0p100;1975;0.21039829;999;i
EG;xlcyux999i;p0p100;1976;0.20155588;999;i
EG;xlcyux999i;p0p100;1977;0.21062478;999;i
EG;xlcyux999i;p0p100;1978;0.23242226;999;i
EG;xlcyux999i;p0p100;1979;0.45017892;999;i
EG;xlcyux999i;p0p100;1980;0.46716979;999;i
EG;xlcyux999i;p0p100;1981;0.41066799;999;i
EG;xlcyux999i;p0p100;1982;0.36987334;999;i
EG;xlcyux999i;p0p100;1983;0.35430965;999;i
EG;xlcyux999i;p0p100;1984;0.30171901;999;i
EG;xlcyux999i;p0p100;1985;0.23836641;999;i
EG;xlcyux999i;p0p100;1986;0.20273471;999;i
EG;xlcyux999i;p0p100;1987;0.18806607;999;i
EG;xlcyux999i;p0p100;1988;0.18806607;999;i
EG;xlcyux999i;p0p100;1989;0.23018372;999;i
EG;xlcyux999i;p0p100;1990;0.32405028;999;i
EG;xlcyux999i;p0p100;1991;0.58947539;999;i
EG;xlcyux999i;p0p100;1992;0.60235614;999;i
EG;xlcyux999i;p0p100;1993;0.58183652;999;i
EG;xlcyux999i;p0p100;1994;0.39276415;999;i
EG;xlcyux999i;p0p100;1995;0.4061836;999;i
EG;xlcyux999i;p0p100;1996;0.4079158;999;i
EG;xlcyux999i;p0p100;1997;0.40878469;999;i
EG;xlcyux999i;p0p100;1998;0.40923023;999;i
EG;xlcyux999i;p0p100;1999;0.41014105;999;i
EG;xlcyux999i;p0p100;2000;0.41940546;999;i
EG;xlcyux999i;p0p100;2001;0.48000088;999;i
EG;xlcyux999i;p0p100;2002;0.54363775;999;i
EG;xlcyux999i;p0p100;2003;0.70688039;999;i
EG;xlcyux999i;p0p100;2004;0.7486276;999;i
EG;xlcyux999i;p0p100;2005;0.70522457;999;i
EG;xlcyux999i;p0p100;2006;0.71903318;999;i
EG;xlcyux999i;p0p100;2007;0.74077016;999;i
EG;xlcyux999i;p0p100;2008;0.78180593;999;i
EG;xlcyux999i;p0p100;2009;0.81162578;999;i
EG;xlcyux999i;p0p100;2010;0.83038694;999;i
EG;xlcyux999i;p0p100;2011;0.9181866;999;i
EG;xlcyux999i;p0p100;2012;0.95940101;999;i
EG;xlcyux999i;p0p100;2013;1.1088756;999;i
EG;xlcyux999i;p0p100;2014;1.1520606;999;i
EG;xlcyux999i;p0p100;2015;1.2350498;999;i
EG;xlcyux999i;p0p100;2016;1.5088321;999;i
EG;xlcyux999i;p0p100;2017;2.6310368;999;i
EG;xlcyux999i;p0p100;2018;2.7672346;999;i
EG;xlcyup999i;p0p100;1960;0.10579692;999;i
EG;xlcyup999i;p0p100;1961;0.087197252;999;i
EG;xlcyup999i;p0p100;1962;0.098848477;999;i
EG;xlcyup999i;p0p100;1963;0.10644669;999;i
EG;xlcyup999i;p0p100;1964;0.10446119;999;i
EG;xlcyup999i;p0p100;1965;0.1030805;999;i
EG;xlcyup999i;p0p100;1966;0.10500305;999;i
EG;xlcyup999i;p0p100;1967;0.10512123;999;i
EG;xlcyup999i;p0p100;1968;0.10593678;999;i
EG;xlcyup999i;p0p100;1969;0.10718074;999;i
EG;xlcyup999i;p0p100;1970;0.11813519;999;i
EG;xlcyup999i;p0p100;1971;0.11753014;999;i
EG;xlcyup999i;p0p100;1972;0.1156467;999;i
EG;xlcyup999i;p0p100;1973;0.11762138;999;i
EG;xlcyup999i;p0p100;1974;0.12799351;999;i
EG;xlcyup999i;p0p100;1975;0.13293955;999;i
EG;xlcyup999i;p0p100;1976;0.14213173;999;i
EG;xlcyup999i;p0p100;1977;0.16247648;999;i
EG;xlcyup999i;p0p100;1978;0.17549936;999;i
EG;xlcyup999i;p0p100;1979;0.18890025;999;i
EG;xlcyup999i;p0p100;1980;0.22141254;999;i
EG;xlcyup999i;p0p100;1981;0.25669113;999;i
EG;xlcyup999i;p0p100;1982;0.27542964;999;i
EG;xlcyup999i;p0p100;1983;0.29997557;999;i
EG;xlcyup999i;p0p100;1984;0.33394322;999;i
EG;xlcyup999i;p0p100;1985;0.35736853;999;i
EG;xlcyup999i;p0p100;1986;0.38551337;999;i
EG;xlcyup999i;p0p100;1987;0.41290733;999;i
EG;xlcyup999i;p0p100;1988;0.39768237;999;i
EG;xlcyup999i;p0p100;1989;0.3804245;999;i
EG;xlcyup999i;p0p100;1990;0.39440548;999;i
EG;xlcyup999i;p0p100;1991;0.44653288;999;i
EG;xlcyup999i;p0p100;1992;0.45617488;999;i
EG;xlcyup999i;p0p100;1993;0.38994211;999;i
EG;xlcyup999i;p0p100;1994;0.33870336;999;i
EG;xlcyup999i;p0p100;1995;0.30858904;999;i
EG;xlcyup999i;p0p100;1996;0.29527596;999;i
EG;xlcyup999i;p0p100;1997;0.28713915;999;i
EG;xlcyup999i;p0p100;1998;0.28827205;999;i
EG;xlcyup999i;p0p100;1999;0.28590703;999;i
EG;xlcyup999i;p0p100;2000;0.27562523;999;i
EG;xlcyup999i;p0p100;2001;0.28360483;999;i
EG;xlcyup999i;p0p100;2002;0.30147779;999;i
EG;xlcyup999i;p0p100;2003;0.31578422;999;i
EG;xlcyup999i;p0p100;2004;0.3185291;999;i
EG;xlcyup999i;p0p100;2005;0.32447174;999;i
EG;xlcyup999i;p0p100;2006;0.34317186;999;i
EG;xlcyup999i;p0p100;2007;0.35871744;999;i
EG;xlcyup999i;p0p100;2008;0.37155041;999;i
EG;xlcyup999i;p0p100;2009;0.41696742;999;i
EG;xlcyup999i;p0p100;2010;0.4326188;999;i
EG;xlcyup999i;p0p100;2011;0.46350387;999;i
EG;xlcyup999i;p0p100;2012;0.5188666;999;i
EG;xlcyup999i;p0p100;2013;0.56009597;999;i
EG;xlcyup999i;p0p100;2014;0.6163612;999;i
EG;xlcyup999i;p0p100;2015;0.66975152;999;i
EG;xlcyup999i;p0p100;2016;0.77386737;999;i
EG;xlcyup999i;p0p100;2017;0.95715553;999;i
EG;xlcyup999i;p0p100;2018;1.1693486;999;i
EG;xlcusx999i;p0p100;1960;0.34824198;999;i
EG;xlcusx999i;p0p100;1961;0.34824198;999;i
EG;xlcusx999i;p0p100;1962;0.40448913;999;i
EG;xlcusx999i;p0p100;1963;0.43478259;999;i
EG;xlcusx999i;p0p100;1964;0.43478259;999;i
EG;xlcusx999i;p0p100;1965;0.43478259;999;i
EG;xlcusx999i;p0p100;1966;0.43478259;999;i
EG;xlcusx999i;p0p100;1967;0.43478259;999;i
EG;xlcusx999i;p0p100;1968;0.43478259;999;i
EG;xlcusx999i;p0p100;1969;0.43478259;999;i
EG;xlcusx999i;p0p100;1970;0.43478259;999;i
EG;xlcusx999i;p0p100;1971;0.43478265;999;i
