country;variable;percentile;year;value;age;pop
EH;npopul999m;p0p100;1950;6812.0;999;m
EH;npopul999m;p0p100;1951;8146.0;999;m
EH;npopul999m;p0p100;1952;9015.0;999;m
EH;npopul999m;p0p100;1953;9670.0;999;m
EH;npopul999m;p0p100;1954;10289.0;999;m
EH;npopul999m;p0p100;1955;11035.0;999;m
EH;npopul999m;p0p100;1956;11962.0;999;m
EH;npopul999m;p0p100;1957;13114.0;999;m
EH;npopul999m;p0p100;1958;14463.0;999;m
EH;npopul999m;p0p100;1959;15961.0;999;m
EH;npopul999m;p0p100;1960;17548.0;999;m
EH;npopul999m;p0p100;1961;19194.0;999;m
EH;npopul999m;p0p100;1962;20920.0;999;m
EH;npopul999m;p0p100;1963;22831.0;999;m
EH;npopul999m;p0p100;1964;25048.0;999;m
EH;npopul999m;p0p100;1965;27647.0;999;m
EH;npopul999m;p0p100;1966;30825.0;999;m
EH;npopul999m;p0p100;1967;34469.0;999;m
EH;npopul999m;p0p100;1968;38043.0;999;m
EH;npopul999m;p0p100;1969;40751.0;999;m
EH;npopul999m;p0p100;1970;42128.0;999;m
EH;npopul999m;p0p100;1971;41759.0;999;m
EH;npopul999m;p0p100;1972;40020.0;999;m
EH;npopul999m;p0p100;1973;38139.0;999;m
EH;npopul999m;p0p100;1974;37830.0;999;m
EH;npopul999m;p0p100;1975;40247.0;999;m
EH;npopul999m;p0p100;1976;45931.0;999;m
EH;npopul999m;p0p100;1977;54328.0;999;m
EH;npopul999m;p0p100;1978;64134.0;999;m
EH;npopul999m;p0p100;1979;73494.0;999;m
EH;npopul999m;p0p100;1980;81046.0;999;m
EH;npopul999m;p0p100;1981;86379.0;999;m
EH;npopul999m;p0p100;1982;89922.0;999;m
EH;npopul999m;p0p100;1983;92247.0;999;m
EH;npopul999m;p0p100;1984;94289.0;999;m
EH;npopul999m;p0p100;1985;96748.0;999;m
EH;npopul999m;p0p100;1986;99759.0;999;m
EH;npopul999m;p0p100;1987;103125.0;999;m
