country;variable;percentile;year;value;age;pop
ER;aptinc992j;p99.4p99.5;1993;603566.859365478;992;j
ER;aptinc992j;p99.4p99.5;1994;711709.377003526;992;j
ER;aptinc992j;p99.4p99.5;1995;916593.967390137;992;j
ER;aptinc992j;p99.4p99.5;1996;847629.685682201;992;j
ER;aptinc992j;p99.4p99.5;1997;857326.497388616;992;j
ER;aptinc992j;p99.4p99.5;1998;843447.853067413;992;j
ER;aptinc992j;p99.4p99.5;1999;747592.064449678;992;j
ER;aptinc992j;p99.4p99.5;2000;725452.033484631;992;j
ER;aptinc992j;p99.4p99.5;2001;595969.33021188;992;j
ER;aptinc992j;p99.4p99.5;2002;612685.04448049;992;j
ER;aptinc992j;p99.4p99.5;2003;589650.829249636;992;j
ER;aptinc992j;p99.4p99.5;2004;534609.923852587;992;j
ER;aptinc992j;p99.4p99.5;2005;493261.729146203;992;j
ER;aptinc992j;p99.4p99.5;2006;474254.573357186;992;j
ER;aptinc992j;p99.4p99.5;2007;470602.510309597;992;j
ER;aptinc992j;p99.4p99.5;2008;413354.185288139;992;j
ER;aptinc992j;p99.4p99.5;2009;422854.529782235;992;j
ER;aptinc992j;p99.4p99.5;2010;426390.254983625;992;j
ER;aptinc992j;p99.4p99.5;2011;466989.286414668;992;j
ER;aptinc992j;p99.4p99.5;2012;503472.980488439;992;j
ER;aptinc992j;p99.4p99.5;2013;531764.738146006;992;j
ER;aptinc992j;p99.4p99.5;2014;551771.899981965;992;j
ER;aptinc992j;p99.4p99.5;2015;572403.018410633;992;j
ER;aptinc992j;p99.4p99.5;2016;574175.2463234;992;j
ER;aptinc992j;p99.4p99.5;2017;598064.594565402;992;j
ER;aptinc992j;p99.4p100;1993;1760568.24079295;992;j
ER;aptinc992j;p99.4p100;1994;2108233.49452221;992;j
ER;aptinc992j;p99.4p100;1995;2755571.85237926;992;j
ER;aptinc992j;p99.4p100;1996;2317245.99301557;992;j
ER;aptinc992j;p99.4p100;1997;2088274.11460924;992;j
ER;aptinc992j;p99.4p100;1998;1778578.72429056;992;j
ER;aptinc992j;p99.4p100;1999;1306998.51631591;992;j
ER;aptinc992j;p99.4p100;2000;1296164.55823129;992;j
ER;aptinc992j;p99.4p100;2001;1087827.96418734;992;j
ER;aptinc992j;p99.4p100;2002;1142110.84889421;992;j
ER;aptinc992j;p99.4p100;2003;1122162.69336645;992;j
ER;aptinc992j;p99.4p100;2004;1038360.60752077;992;j
ER;aptinc992j;p99.4p100;2005;874546.598045989;992;j
ER;aptinc992j;p99.4p100;2006;848795.581068554;992;j
ER;aptinc992j;p99.4p100;2007;850041.490945715;992;j
ER;aptinc992j;p99.4p100;2008;753380.251252182;992;j
ER;aptinc992j;p99.4p100;2009;777505.601472708;992;j
ER;aptinc992j;p99.4p100;2010;790784.263700248;992;j
ER;aptinc992j;p99.4p100;2011;838449.507296988;992;j
ER;aptinc992j;p99.4p100;2012;875962.20382302;992;j
ER;aptinc992j;p99.4p100;2013;897353.701739643;992;j
ER;aptinc992j;p99.4p100;2014;903883.043127239;992;j
ER;aptinc992j;p99.4p100;2015;910995.332758813;992;j
ER;aptinc992j;p99.4p100;2016;913815.882799928;992;j
ER;aptinc992j;p99.4p100;2017;951836.445325159;992;j
ER;aptinc992j;p99.3p99.4;1993;538756.571439288;992;j
ER;aptinc992j;p99.3p99.4;1994;634745.232687048;992;j
ER;aptinc992j;p99.3p99.4;1995;816815.400035609;992;j
ER;aptinc992j;p99.3p99.4;1996;759453.208465455;992;j
ER;aptinc992j;p99.3p99.4;1997;773804.605068355;992;j
ER;aptinc992j;p99.3p99.4;1998;769354.114014455;992;j
ER;aptinc992j;p99.3p99.4;1999;693217.679885013;992;j
ER;aptinc992j;p99.3p99.4;2000;671287.927029613;992;j
ER;aptinc992j;p99.3p99.4;2001;550370.422142612;992;j
ER;aptinc992j;p99.3p99.4;2002;564720.092063597;992;j
ER;aptinc992j;p99.3p99.4;2003;542484.712130444;992;j
ER;aptinc992j;p99.3p99.4;2004;490971.436853852;992;j
ER;aptinc992j;p99.3p99.4;2005;456768.097290178;992;j
ER;aptinc992j;p99.3p99.4;2006;438774.782499706;992;j
ER;aptinc992j;p99.3p99.4;2007;435019.505546436;992;j
ER;aptinc992j;p99.3p99.4;2008;381779.994319116;992;j
ER;aptinc992j;p99.3p99.4;2009;390238.054916705;992;j
ER;aptinc992j;p99.3p99.4;2010;393191.847266615;992;j
ER;aptinc992j;p99.3p99.4;2011;431923.639935069;992;j
ER;aptinc992j;p99.3p99.4;2012;467073.718976493;992;j
ER;aptinc992j;p99.3p99.4;2013;494816.545358765;992;j
ER;aptinc992j;p99.3p99.4;2014;514998.579034434;992;j
ER;aptinc992j;p99.3p99.4;2015;535890.885939882;992;j
ER;aptinc992j;p99.3p99.4;2016;537550.06794227;992;j
ER;aptinc992j;p99.3p99.4;2017;559915.575429425;992;j
ER;aptinc992j;p99.3p100;1993;1586023.71653378;992;j
ER;aptinc992j;p99.3p100;1994;1897735.17285868;992;j
ER;aptinc992j;p99.3p100;1995;2478606.64909813;992;j
ER;aptinc992j;p99.3p100;1996;2094704.16817739;992;j
ER;aptinc992j;p99.3p100;1997;1900492.76006839;992;j
ER;aptinc992j;p99.3p100;1998;1634403.77911967;992;j
ER;aptinc992j;p99.3p100;1999;1219315.53505056;992;j
ER;aptinc992j;p99.3p100;2000;1206896.4719068;992;j
ER;aptinc992j;p99.3p100;2001;1011048.31660742;992;j
ER;aptinc992j;p99.3p100;2002;1059626.45510063;992;j
ER;aptinc992j;p99.3p100;2003;1039351.55459002;992;j
ER;aptinc992j;p99.3p100;2004;960162.157976126;992;j
ER;aptinc992j;p99.3p100;2005;814863.953499846;992;j
ER;aptinc992j;p99.3p100;2006;790221.181664501;992;j
ER;aptinc992j;p99.3p100;2007;790752.634699477;992;j
ER;aptinc992j;p99.3p100;2008;700294.50225115;992;j
ER;aptinc992j;p99.3p100;2009;722181.663827042;992;j
ER;aptinc992j;p99.3p100;2010;733985.34516541;992;j
ER;aptinc992j;p99.3p100;2011;780374.386118975;992;j
ER;aptinc992j;p99.3p100;2012;817549.561377299;992;j
ER;aptinc992j;p99.3p100;2013;839848.396332377;992;j
ER;aptinc992j;p99.3p100;2014;848328.117181671;992;j
ER;aptinc992j;p99.3p100;2015;857408.984795461;992;j
ER;aptinc992j;p99.3p100;2016;860063.625121657;992;j
ER;aptinc992j;p99.3p100;2017;895847.751278913;992;j
ER;aptinc992j;p99.2p99.3;1993;488852.767105058;992;j
ER;aptinc992j;p99.2p99.3;1994;575530.220258403;992;j
ER;aptinc992j;p99.2p99.3;1995;740105.075259668;992;j
