country;variable;percentile;year;value;age;pop
ET;tptinc992j;p79p100;1981;16518.884765625;992;j
ET;tptinc992j;p79p100;1982;16343.1787109375;992;j
ET;tptinc992j;p79p100;1983;17867.474609375;992;j
ET;tptinc992j;p79p100;1984;17602.99609375;992;j
ET;tptinc992j;p79p100;1985;16696.560546875;992;j
ET;tptinc992j;p79p100;1986;17983.69140625;992;j
ET;tptinc992j;p79p100;1987;17888.365234375;992;j
ET;tptinc992j;p79p100;1988;16246.7177734375;992;j
ET;tptinc992j;p79p100;1989;15710.8583984375;992;j
ET;tptinc992j;p79p100;1990;14994.9287109375;992;j
ET;tptinc992j;p79p100;1991;13200.4697265625;992;j
ET;tptinc992j;p79p100;1992;12545.2314453125;992;j
ET;tptinc992j;p79p100;1993;13083.91796875;992;j
ET;tptinc992j;p79p100;1994;13076.4365234375;992;j
ET;tptinc992j;p79p100;1995;13631.4130859375;992;j
ET;tptinc992j;p79p100;1996;15188.212890625;992;j
ET;tptinc992j;p79p100;1997;15526.498046875;992;j
ET;tptinc992j;p79p100;1998;16051.970703125;992;j
ET;tptinc992j;p79p100;1999;17449.900390625;992;j
ET;tptinc992j;p79p100;2000;18041.21875;992;j
ET;tptinc992j;p79p100;2001;18390.333984375;992;j
ET;tptinc992j;p79p100;2002;17670.2265625;992;j
ET;tptinc992j;p79p100;2003;17961.927734375;992;j
ET;tptinc992j;p79p100;2004;19548.44140625;992;j
ET;tptinc992j;p79p100;2005;21202.044921875;992;j
ET;tptinc992j;p79p100;2006;22862.45703125;992;j
ET;tptinc992j;p79p100;2007;24673.33203125;992;j
ET;tptinc992j;p79p100;2008;26082.392578125;992;j
ET;tptinc992j;p79p100;2009;27644.916015625;992;j
ET;tptinc992j;p79p100;2010;30209.580078125;992;j
ET;tptinc992j;p79p100;2011;32055.390625;992;j
ET;tptinc992j;p79p100;2012;33417.765625;992;j
ET;tptinc992j;p79p100;2013;35357.34765625;992;j
ET;tptinc992j;p79p100;2014;37232.0;992;j
ET;tptinc992j;p79p100;2015;38610.71484375;992;j
ET;tptinc992j;p79p100;2016;40544.15625;992;j
ET;tptinc992j;p79p100;2017;42111.26171875;992;j
ET;tptinc992j;p78p79;1981;15891.53125;992;j
ET;tptinc992j;p78p79;1982;15722.822265625;992;j
ET;tptinc992j;p78p79;1983;17189.62109375;992;j
ET;tptinc992j;p78p79;1984;16935.54296875;992;j
ET;tptinc992j;p78p79;1985;16063.830078125;992;j
ET;tptinc992j;p78p79;1986;17302.57421875;992;j
ET;tptinc992j;p78p79;1987;17211.2578125;992;j
ET;tptinc992j;p78p79;1988;15632.12109375;992;j
ET;tptinc992j;p78p79;1989;15116.9033203125;992;j
ET;tptinc992j;p78p79;1990;14428.40234375;992;j
ET;tptinc992j;p78p79;1991;12702.0712890625;992;j
ET;tptinc992j;p78p79;1992;12071.8955078125;992;j
ET;tptinc992j;p78p79;1993;12590.60546875;992;j
ET;tptinc992j;p78p79;1994;12583.765625;992;j
ET;tptinc992j;p78p79;1995;13118.2216796875;992;j
ET;tptinc992j;p78p79;1996;14676.794921875;992;j
ET;tptinc992j;p78p79;1997;15058.28515625;992;j
ET;tptinc992j;p78p79;1998;15618.1806640625;992;j
ET;tptinc992j;p78p79;1999;17027.294921875;992;j
ET;tptinc992j;p78p79;2000;17601.876953125;992;j
ET;tptinc992j;p78p79;2001;17940.017578125;992;j
ET;tptinc992j;p78p79;2002;17235.1484375;992;j
ET;tptinc992j;p78p79;2003;17517.216796875;992;j
ET;tptinc992j;p78p79;2004;19061.76953125;992;j
ET;tptinc992j;p78p79;2005;20694.359375;992;j
ET;tptinc992j;p78p79;2006;22317.759765625;992;j
ET;tptinc992j;p78p79;2007;24088.466796875;992;j
ET;tptinc992j;p78p79;2008;25467.291015625;992;j
ET;tptinc992j;p78p79;2009;26996.326171875;992;j
ET;tptinc992j;p78p79;2010;29504.513671875;992;j
ET;tptinc992j;p78p79;2011;31235.7734375;992;j
ET;tptinc992j;p78p79;2012;32488.037109375;992;j
ET;tptinc992j;p78p79;2013;34293.19140625;992;j
ET;tptinc992j;p78p79;2014;36025.80859375;992;j
ET;tptinc992j;p78p79;2015;37270.1484375;992;j
ET;tptinc992j;p78p79;2016;39136.4609375;992;j
ET;tptinc992j;p78p79;2017;40649.15625;992;j
ET;tptinc992j;p78p100;1981;15891.53125;992;j
ET;tptinc992j;p78p100;1982;15722.822265625;992;j
ET;tptinc992j;p78p100;1983;17189.62109375;992;j
ET;tptinc992j;p78p100;1984;16935.54296875;992;j
ET;tptinc992j;p78p100;1985;16063.830078125;992;j
ET;tptinc992j;p78p100;1986;17302.57421875;992;j
ET;tptinc992j;p78p100;1987;17211.2578125;992;j
ET;tptinc992j;p78p100;1988;15632.12109375;992;j
ET;tptinc992j;p78p100;1989;15116.9033203125;992;j
ET;tptinc992j;p78p100;1990;14428.40234375;992;j
ET;tptinc992j;p78p100;1991;12702.0712890625;992;j
ET;tptinc992j;p78p100;1992;12071.8955078125;992;j
ET;tptinc992j;p78p100;1993;12590.60546875;992;j
ET;tptinc992j;p78p100;1994;12583.765625;992;j
ET;tptinc992j;p78p100;1995;13118.2216796875;992;j
ET;tptinc992j;p78p100;1996;14676.794921875;992;j
ET;tptinc992j;p78p100;1997;15058.28515625;992;j
ET;tptinc992j;p78p100;1998;15618.1806640625;992;j
ET;tptinc992j;p78p100;1999;17027.294921875;992;j
ET;tptinc992j;p78p100;2000;17601.876953125;992;j
ET;tptinc992j;p78p100;2001;17940.017578125;992;j
ET;tptinc992j;p78p100;2002;17235.1484375;992;j
ET;tptinc992j;p78p100;2003;17517.216796875;992;j
ET;tptinc992j;p78p100;2004;19061.76953125;992;j
ET;tptinc992j;p78p100;2005;20694.359375;992;j
ET;tptinc992j;p78p100;2006;22317.759765625;992;j
ET;tptinc992j;p78p100;2007;24088.466796875;992;j
ET;tptinc992j;p78p100;2008;25467.291015625;992;j
ET;tptinc992j;p78p100;2009;26996.326171875;992;j
ET;tptinc992j;p78p100;2010;29504.513671875;992;j
ET;tptinc992j;p78p100;2011;31235.7734375;992;j
ET;tptinc992j;p78p100;2012;32488.037109375;992;j
ET;tptinc992j;p78p100;2013;34293.19140625;992;j
ET;tptinc992j;p78p100;2014;36025.80859375;992;j
ET;tptinc992j;p78p100;2015;37270.1484375;992;j
ET;tptinc992j;p78p100;2016;39136.4609375;992;j
ET;tptinc992j;p78p100;2017;40649.15625;992;j
ET;tptinc992j;p77p78;1981;15282.3154296875;992;j
ET;tptinc992j;p77p78;1982;15126.560546875;992;j
ET;tptinc992j;p77p78;1983;16545.068359375;992;j
ET;tptinc992j;p77p78;1984;16307.99609375;992;j
ET;tptinc992j;p77p78;1985;15475.9306640625;992;j
ET;tptinc992j;p77p78;1986;16677.53515625;992;j
ET;tptinc992j;p77p78;1987;16597.966796875;992;j
ET;tptinc992j;p77p78;1988;15083.060546875;992;j
ET;tptinc992j;p77p78;1989;14593.9287109375;992;j
ET;tptinc992j;p77p78;1990;13937.1669921875;992;j
ET;tptinc992j;p77p78;1991;12276.8564453125;992;j
ET;tptinc992j;p77p78;1992;11674.94140625;992;j
ET;tptinc992j;p77p78;1993;12184.3701171875;992;j
ET;tptinc992j;p77p78;1994;12185.8447265625;992;j
ET;tptinc992j;p77p78;1995;12712.197265625;992;j
ET;tptinc992j;p77p78;1996;14252.25;992;j
ET;tptinc992j;p77p78;1997;14649.5048828125;992;j
ET;tptinc992j;p77p78;1998;15218.8349609375;992;j
ET;tptinc992j;p77p78;1999;16615.892578125;992;j
ET;tptinc992j;p77p78;2000;17170.6953125;992;j
ET;tptinc992j;p77p78;2001;17494.501953125;992;j
ET;tptinc992j;p77p78;2002;16801.28515625;992;j
ET;tptinc992j;p77p78;2003;17070.267578125;992;j
ET;tptinc992j;p77p78;2004;18568.85546875;992;j
ET;tptinc992j;p77p78;2005;20201.80859375;992;j
ET;tptinc992j;p77p78;2006;21774.3046875;992;j
ET;tptinc992j;p77p78;2007;23488.62890625;992;j
ET;tptinc992j;p77p78;2008;24819.0625;992;j
ET;tptinc992j;p77p78;2009;26294.25390625;992;j
ET;tptinc992j;p77p78;2010;28720.86328125;992;j
ET;tptinc992j;p77p78;2011;30367.107421875;992;j
ET;tptinc992j;p77p78;2012;31543.3671875;992;j
ET;tptinc992j;p77p78;2013;33251.94140625;992;j
ET;tptinc992j;p77p78;2014;34884.9609375;992;j
ET;tptinc992j;p77p78;2015;36040.56640625;992;j
ET;tptinc992j;p77p78;2016;37845.3046875;992;j
ET;tptinc992j;p77p78;2017;39308.09765625;992;j
ET;tptinc992j;p77p100;1981;15282.3154296875;992;j
ET;tptinc992j;p77p100;1982;15126.560546875;992;j
ET;tptinc992j;p77p100;1983;16545.068359375;992;j
ET;tptinc992j;p77p100;1984;16307.99609375;992;j
ET;tptinc992j;p77p100;1985;15475.9306640625;992;j
ET;tptinc992j;p77p100;1986;16677.53515625;992;j
ET;tptinc992j;p77p100;1987;16597.966796875;992;j
ET;tptinc992j;p77p100;1988;15083.060546875;992;j
ET;tptinc992j;p77p100;1989;14593.9287109375;992;j
ET;tptinc992j;p77p100;1990;13937.1669921875;992;j
ET;tptinc992j;p77p100;1991;12276.8564453125;992;j
ET;tptinc992j;p77p100;1992;11674.94140625;992;j
ET;tptinc992j;p77p100;1993;12184.3701171875;992;j
ET;tptinc992j;p77p100;1994;12185.8447265625;992;j
ET;tptinc992j;p77p100;1995;12712.197265625;992;j
ET;tptinc992j;p77p100;1996;14252.25;992;j
ET;tptinc992j;p77p100;1997;14649.5048828125;992;j
ET;tptinc992j;p77p100;1998;15218.8349609375;992;j
ET;tptinc992j;p77p100;1999;16615.892578125;992;j
ET;tptinc992j;p77p100;2000;17170.6953125;992;j
ET;tptinc992j;p77p100;2001;17494.501953125;992;j
ET;tptinc992j;p77p100;2002;16801.28515625;992;j
ET;tptinc992j;p77p100;2003;17070.267578125;992;j
ET;tptinc992j;p77p100;2004;18568.85546875;992;j
ET;tptinc992j;p77p100;2005;20201.80859375;992;j
ET;tptinc992j;p77p100;2006;21774.3046875;992;j
ET;tptinc992j;p77p100;2007;23488.62890625;992;j
ET;tptinc992j;p77p100;2008;24819.0625;992;j
ET;tptinc992j;p77p100;2009;26294.25390625;992;j
ET;tptinc992j;p77p100;2010;28720.86328125;992;j
ET;tptinc992j;p77p100;2011;30367.107421875;992;j
ET;tptinc992j;p77p100;2012;31543.3671875;992;j
ET;tptinc992j;p77p100;2013;33251.94140625;992;j
ET;tptinc992j;p77p100;2014;34884.9609375;992;j
ET;tptinc992j;p77p100;2015;36040.56640625;992;j
ET;tptinc992j;p77p100;2016;37845.3046875;992;j
ET;tptinc992j;p77p100;2017;39308.09765625;992;j
ET;tptinc992j;p76p77;1981;14701.591796875;992;j
ET;tptinc992j;p76p77;1982;14559.7900390625;992;j
ET;tptinc992j;p76p77;1983;15934.2216796875;992;j
ET;tptinc992j;p76p77;1984;15715.1396484375;992;j
ET;tptinc992j;p76p77;1985;14922.3837890625;992;j
ET;tptinc992j;p76p77;1986;16091.107421875;992;j
ET;tptinc992j;p76p77;1987;16024.736328125;992;j
ET;tptinc992j;p76p77;1988;14571.9345703125;992;j
ET;tptinc992j;p76p77;1989;14109.1875;992;j
ET;tptinc992j;p76p77;1990;13483.9521484375;992;j
ET;tptinc992j;p76p77;1991;11886.5078125;992;j
ET;tptinc992j;p76p77;1992;11312.4931640625;992;j
ET;tptinc992j;p76p77;1993;11815.6083984375;992;j
ET;tptinc992j;p76p77;1994;11826.919921875;992;j
ET;tptinc992j;p76p77;1995;12348.4951171875;992;j
ET;tptinc992j;p76p77;1996;13858.193359375;992;j
ET;tptinc992j;p76p77;1997;14256.7822265625;992;j
ET;tptinc992j;p76p77;1998;14822.1298828125;992;j
ET;tptinc992j;p76p77;1999;16193.705078125;992;j
ET;tptinc992j;p76p77;2000;16739.125;992;j
ET;tptinc992j;p76p77;2001;17059.62890625;992;j
ET;tptinc992j;p76p77;2002;16388.322265625;992;j
ET;tptinc992j;p76p77;2003;16655.482421875;992;j
ET;tptinc992j;p76p77;2004;18122.904296875;992;j
ET;tptinc992j;p76p77;2005;19716.328125;992;j
ET;tptinc992j;p76p77;2006;21243.71484375;992;j
ET;tptinc992j;p76p77;2007;22908.359375;992;j
ET;tptinc992j;p76p77;2008;24197.5625;992;j
ET;tptinc992j;p76p77;2009;25626.94140625;992;j
ET;tptinc992j;p76p77;2010;27982.26171875;992;j
ET;tptinc992j;p76p77;2011;29535.55859375;992;j
ET;tptinc992j;p76p77;2012;30626.099609375;992;j
ET;tptinc992j;p76p77;2013;32227.568359375;992;j
ET;tptinc992j;p76p77;2014;33748.9453125;992;j
ET;tptinc992j;p76p77;2015;34802.39453125;992;j
ET;tptinc992j;p76p77;2016;36545.1328125;992;j
ET;tptinc992j;p76p77;2017;37957.66796875;992;j
ET;tptinc992j;p76p100;1981;14701.591796875;992;j
ET;tptinc992j;p76p100;1982;14559.7900390625;992;j
ET;tptinc992j;p76p100;1983;15934.2216796875;992;j
ET;tptinc992j;p76p100;1984;15715.1396484375;992;j
ET;tptinc992j;p76p100;1985;14922.3837890625;992;j
ET;tptinc992j;p76p100;1986;16091.107421875;992;j
ET;tptinc992j;p76p100;1987;16024.736328125;992;j
ET;tptinc992j;p76p100;1988;14571.9345703125;992;j
ET;tptinc992j;p76p100;1989;14109.1875;992;j
ET;tptinc992j;p76p100;1990;13483.9521484375;992;j
ET;tptinc992j;p76p100;1991;11886.5078125;992;j
ET;tptinc992j;p76p100;1992;11312.4931640625;992;j
ET;tptinc992j;p76p100;1993;11815.6083984375;992;j
ET;tptinc992j;p76p100;1994;11826.919921875;992;j
ET;tptinc992j;p76p100;1995;12348.4951171875;992;j
ET;tptinc992j;p76p100;1996;13858.193359375;992;j
ET;tptinc992j;p76p100;1997;14256.7822265625;992;j
ET;tptinc992j;p76p100;1998;14822.1298828125;992;j
ET;tptinc992j;p76p100;1999;16193.705078125;992;j
ET;tptinc992j;p76p100;2000;16739.125;992;j
ET;tptinc992j;p76p100;2001;17059.62890625;992;j
ET;tptinc992j;p76p100;2002;16388.322265625;992;j
ET;tptinc992j;p76p100;2003;16655.482421875;992;j
ET;tptinc992j;p76p100;2004;18122.904296875;992;j
ET;tptinc992j;p76p100;2005;19716.328125;992;j
ET;tptinc992j;p76p100;2006;21243.71484375;992;j
ET;tptinc992j;p76p100;2007;22908.359375;992;j
ET;tptinc992j;p76p100;2008;24197.5625;992;j
ET;tptinc992j;p76p100;2009;25626.94140625;992;j
ET;tptinc992j;p76p100;2010;27982.26171875;992;j
ET;tptinc992j;p76p100;2011;29535.55859375;992;j
ET;tptinc992j;p76p100;2012;30626.099609375;992;j
ET;tptinc992j;p76p100;2013;32227.568359375;992;j
ET;tptinc992j;p76p100;2014;33748.9453125;992;j
ET;tptinc992j;p76p100;2015;34802.39453125;992;j
ET;tptinc992j;p76p100;2016;36545.1328125;992;j
ET;tptinc992j;p76p100;2017;37957.66796875;992;j
ET;tptinc992j;p75p76;1981;14173.0673828125;992;j
ET;tptinc992j;p75p76;1982;14034.822265625;992;j
ET;tptinc992j;p75p76;1983;15357.958984375;992;j
ET;tptinc992j;p75p76;1984;15145.0302734375;992;j
ET;tptinc992j;p75p76;1985;14379.298828125;992;j
ET;tptinc992j;p75p76;1986;15503.5556640625;992;j
ET;tptinc992j;p75p76;1987;15437.62109375;992;j
ET;tptinc992j;p75p76;1988;14036.1767578125;992;j
ET;tptinc992j;p75p76;1989;13588.572265625;992;j
ET;tptinc992j;p75p76;1990;12984.5556640625;992;j
ET;tptinc992j;p75p76;1991;11444.583984375;992;j
ET;tptinc992j;p75p76;1992;10890.2421875;992;j
ET;tptinc992j;p75p76;1993;11372.7705078125;992;j
ET;tptinc992j;p75p76;1994;11381.78125;992;j
ET;tptinc992j;p75p76;1995;11881.6884765625;992;j
ET;tptinc992j;p75p76;1996;13405.8076171875;992;j
ET;tptinc992j;p75p76;1997;13855.5810546875;992;j
ET;tptinc992j;p75p76;1998;14463.77734375;992;j
ET;tptinc992j;p75p76;1999;15859.138671875;992;j
ET;tptinc992j;p75p76;2000;16391.8984375;992;j
ET;tptinc992j;p75p76;2001;16704.330078125;992;j
ET;tptinc992j;p75p76;2002;16045.626953125;992;j
ET;tptinc992j;p75p76;2003;16305.7900390625;992;j
ET;tptinc992j;p75p76;2004;17740.853515625;992;j
ET;tptinc992j;p75p76;2005;19290.4375;992;j
ET;tptinc992j;p75p76;2006;20784.064453125;992;j
ET;tptinc992j;p75p76;2007;22411.85546875;992;j
ET;tptinc992j;p75p76;2008;23672.22265625;992;j
ET;tptinc992j;p75p76;2009;25069.611328125;992;j
ET;tptinc992j;p75p76;2010;27372.65234375;992;j
ET;tptinc992j;p75p76;2011;28845.744140625;992;j
ET;tptinc992j;p75p76;2012;29861.74609375;992;j
ET;tptinc992j;p75p76;2013;31370.54296875;992;j
ET;tptinc992j;p75p76;2014;32795.1171875;992;j
ET;tptinc992j;p75p76;2015;33759.45703125;992;j
ET;tptinc992j;p75p76;2016;35449.97265625;992;j
ET;tptinc992j;p75p76;2017;36820.17578125;992;j
ET;tptinc992j;p75p100;1981;14173.0673828125;992;j
ET;tptinc992j;p75p100;1982;14034.822265625;992;j
ET;tptinc992j;p75p100;1983;15357.958984375;992;j
ET;tptinc992j;p75p100;1984;15145.0302734375;992;j
