country;variable;percentile;year;value;age;pop
FJ;xlcyux999i;p0p100;1960;0.32206318;999;i
FJ;xlcyux999i;p0p100;1961;0.32206318;999;i
FJ;xlcyux999i;p0p100;1962;0.32206318;999;i
FJ;xlcyux999i;p0p100;1963;0.32206318;999;i
FJ;xlcyux999i;p0p100;1964;0.32206318;999;i
FJ;xlcyux999i;p0p100;1965;0.32206318;999;i
FJ;xlcyux999i;p0p100;1966;0.32206318;999;i
FJ;xlcyux999i;p0p100;1967;0.32734224;999;i
FJ;xlcyux999i;p0p100;1968;0.35373744;999;i
FJ;xlcyux999i;p0p100;1969;0.35373744;999;i
FJ;xlcyux999i;p0p100;1970;0.35373744;999;i
FJ;xlcyux999i;p0p100;1971;0.34885862;999;i
FJ;xlcyux999i;p0p100;1972;0.36755425;999;i
FJ;xlcyux999i;p0p100;1973;0.39922473;999;i
FJ;xlcyux999i;p0p100;1974;0.41079029;999;i
FJ;xlcyux999i;p0p100;1975;0.44191459;999;i
FJ;xlcyux999i;p0p100;1976;0.46240255;999;i
FJ;xlcyux999i;p0p100;1977;0.49382541;999;i
FJ;xlcyux999i;p0p100;1978;0.50295562;999;i
FJ;xlcyux999i;p0p100;1979;0.5374766;999;i
FJ;xlcyux999i;p0p100;1980;0.54589719;999;i
FJ;xlcyux999i;p0p100;1981;0.50138205;999;i
FJ;xlcyux999i;p0p100;1982;0.49269652;999;i
FJ;xlcyux999i;p0p100;1983;0.5147711;999;i
FJ;xlcyux999i;p0p100;1984;0.4666281;999;i
FJ;xlcyux999i;p0p100;1985;0.39281183;999;i
FJ;xlcyux999i;p0p100;1986;0.3281014;999;i
FJ;xlcyux999i;p0p100;1987;0.33418187;999;i
FJ;xlcyux999i;p0p100;1988;0.3842611;999;i
FJ;xlcyux999i;p0p100;1989;0.39396831;999;i
FJ;xlcyux999i;p0p100;1990;0.30960563;999;i
FJ;xlcyux999i;p0p100;1991;0.27718371;999;i
FJ;xlcyux999i;p0p100;1992;0.27254799;999;i
FJ;xlcyux999i;p0p100;1993;0.2675783;999;i
FJ;xlcyux999i;p0p100;1994;0.16987686;999;i
FJ;xlcyux999i;p0p100;1995;0.16839458;999;i
FJ;xlcyux999i;p0p100;1996;0.16878405;999;i
FJ;xlcyux999i;p0p100;1997;0.17415041;999;i
FJ;xlcyux999i;p0p100;1998;0.23998389;999;i
FJ;xlcyux999i;p0p100;1999;0.23792771;999;i
FJ;xlcyux999i;p0p100;2000;0.25712675;999;i
FJ;xlcyux999i;p0p100;2001;0.27505311;999;i
FJ;xlcyux999i;p0p100;2002;0.26419029;999;i
