country;variable;percentile;year;value;age;pop
GA;tptinc992j;p9p100;1990;1240572.75;992;j
GA;tptinc992j;p9p100;1991;1294405.0;992;j
GA;tptinc992j;p9p100;1992;1165990.25;992;j
GA;tptinc992j;p9p100;1993;1207399.375;992;j
GA;tptinc992j;p9p100;1994;1245260.0;992;j
GA;tptinc992j;p9p100;1995;1254195.875;992;j
GA;tptinc992j;p9p100;1996;1261597.625;992;j
GA;tptinc992j;p9p100;1997;1306636.625;992;j
GA;tptinc992j;p9p100;1998;1349208.875;992;j
GA;tptinc992j;p9p100;1999;1143385.5;992;j
GA;tptinc992j;p9p100;2000;1056412.5;992;j
GA;tptinc992j;p9p100;2001;1083942.625;992;j
GA;tptinc992j;p9p100;2002;1074984.75;992;j
GA;tptinc992j;p9p100;2003;1081736.625;992;j
GA;tptinc992j;p9p100;2004;997253.0625;992;j
GA;tptinc992j;p9p100;2005;1005548.375;992;j
GA;tptinc992j;p9p100;2006;942663.5625;992;j
GA;tptinc992j;p9p100;2007;995435.4375;992;j
GA;tptinc992j;p9p100;2008;934489.9375;992;j
GA;tptinc992j;p9p100;2009;875631.4375;992;j
GA;tptinc992j;p9p100;2010;886276.5625;992;j
GA;tptinc992j;p9p100;2011;980405.5625;992;j
GA;tptinc992j;p9p100;2012;967279.0625;992;j
GA;tptinc992j;p9p100;2013;1039715.3125;992;j
GA;tptinc992j;p9p100;2014;1068354.75;992;j
GA;tptinc992j;p9p100;2015;1102127.25;992;j
GA;tptinc992j;p9p100;2016;1101251.75;992;j
GA;tptinc992j;p9p100;2017;1092971.875;992;j
GA;tptinc992j;p9p10;1990;1240572.75;992;j
GA;tptinc992j;p9p10;1991;1294405.0;992;j
GA;tptinc992j;p9p10;1992;1165990.25;992;j
GA;tptinc992j;p9p10;1993;1207399.375;992;j
GA;tptinc992j;p9p10;1994;1245260.0;992;j
GA;tptinc992j;p9p10;1995;1254195.875;992;j
GA;tptinc992j;p9p10;1996;1261597.625;992;j
GA;tptinc992j;p9p10;1997;1306636.625;992;j
GA;tptinc992j;p9p10;1998;1349208.875;992;j
GA;tptinc992j;p9p10;1999;1143385.5;992;j
GA;tptinc992j;p9p10;2000;1056412.5;992;j
GA;tptinc992j;p9p10;2001;1083942.625;992;j
GA;tptinc992j;p9p10;2002;1074984.75;992;j
GA;tptinc992j;p9p10;2003;1081736.625;992;j
GA;tptinc992j;p9p10;2004;997253.0625;992;j
GA;tptinc992j;p9p10;2005;1005548.375;992;j
GA;tptinc992j;p9p10;2006;942663.5625;992;j
GA;tptinc992j;p9p10;2007;995435.4375;992;j
GA;tptinc992j;p9p10;2008;934489.9375;992;j
GA;tptinc992j;p9p10;2009;875631.4375;992;j
GA;tptinc992j;p9p10;2010;886276.5625;992;j
GA;tptinc992j;p9p10;2011;980405.5625;992;j
GA;tptinc992j;p9p10;2012;967279.0625;992;j
GA;tptinc992j;p9p10;2013;1039715.3125;992;j
GA;tptinc992j;p9p10;2014;1068354.75;992;j
GA;tptinc992j;p9p10;2015;1102127.25;992;j
GA;tptinc992j;p9p10;2016;1101251.75;992;j
GA;tptinc992j;p9p10;2017;1092971.875;992;j
GA;tptinc992j;p99p99.1;1990;81971408.0;992;j
GA;tptinc992j;p99p99.1;1991;85528400.0;992;j
GA;tptinc992j;p99p99.1;1992;77043336.0;992;j
GA;tptinc992j;p99p99.1;1993;79779464.0;992;j
GA;tptinc992j;p99p99.1;1994;82281120.0;992;j
GA;tptinc992j;p99p99.1;1995;82871560.0;992;j
GA;tptinc992j;p99p99.1;1996;83360632.0;992;j
GA;tptinc992j;p99p99.1;1997;86336608.0;992;j
GA;tptinc992j;p99p99.1;1998;89149584.0;992;j
GA;tptinc992j;p99p99.1;1999;75549712.0;992;j
GA;tptinc992j;p99p99.1;2000;69802936.0;992;j
GA;tptinc992j;p99p99.1;2001;71622000.0;992;j
GA;tptinc992j;p99p99.1;2002;71030104.0;992;j
