country;variable;percentile;year;value;age;pop
GE;xlcyux999i;p0p100;1996;0.15188518;999;i
GE;xlcyux999i;p0p100;1997;0.15651733;999;i
GE;xlcyux999i;p0p100;1998;0.16787337;999;i
GE;xlcyux999i;p0p100;1999;0.24455853;999;i
GE;xlcyux999i;p0p100;2000;0.2387106;999;i
GE;xlcyux999i;p0p100;2001;0.25045303;999;i
GE;xlcyux999i;p0p100;2002;0.2652756;999;i
GE;xlcyux999i;p0p100;2003;0.25922924;999;i
GE;xlcyux999i;p0p100;2004;0.23156893;999;i
GE;xlcyux999i;p0p100;2005;0.22121124;999;i
GE;xlcyux999i;p0p100;2006;0.22329555;999;i
GE;xlcyux999i;p0p100;2007;0.2195839;999;i
GE;xlcyux999i;p0p100;2008;0.21454391;999;i
GE;xlcyux999i;p0p100;2009;0.24453013;999;i
GE;xlcyux999i;p0p100;2010;0.2632601;999;i
GE;xlcyux999i;p0p100;2011;0.26100835;999;i
GE;xlcyux999i;p0p100;2012;0.26159242;999;i
GE;xlcyux999i;p0p100;2013;0.26846594;999;i
GE;xlcyux999i;p0p100;2014;0.28740713;999;i
GE;xlcyux999i;p0p100;2015;0.36440721;999;i
GE;xlcyux999i;p0p100;2016;0.35619429;999;i
GE;xlcyux999i;p0p100;2017;0.37130237;999;i
GE;xlcyux999i;p0p100;2018;0.39153406;999;i
GE;xlcyup999i;p0p100;1965;7.99e-07;999;i
GE;xlcyup999i;p0p100;1966;7.933e-07;999;i
GE;xlcyup999i;p0p100;1967;7.788e-07;999;i
GE;xlcyup999i;p0p100;1968;7.709e-07;999;i
GE;xlcyup999i;p0p100;1969;8.012e-07;999;i
GE;xlcyup999i;p0p100;1970;7.829e-07;999;i
GE;xlcyup999i;p0p100;1971;7.79e-07;999;i
GE;xlcyup999i;p0p100;1972;7.682e-07;999;i
GE;xlcyup999i;p0p100;1973;7.543e-07;999;i
GE;xlcyup999i;p0p100;1974;7.617e-07;999;i
GE;xlcyup999i;p0p100;1975;7.593e-07;999;i
GE;xlcyup999i;p0p100;1976;7.311e-07;999;i
GE;xlcyup999i;p0p100;1977;7.321e-07;999;i
GE;xlcyup999i;p0p100;1978;7.173e-07;999;i
GE;xlcyup999i;p0p100;1979;7.031e-07;999;i
GE;xlcyup999i;p0p100;1980;6.675e-07;999;i
GE;xlcyup999i;p0p100;1981;6.806e-07;999;i
GE;xlcyup999i;p0p100;1982;6.956e-07;999;i
GE;xlcyup999i;p0p100;1983;6.698e-07;999;i
GE;xlcyup999i;p0p100;1984;6.826e-07;999;i
GE;xlcyup999i;p0p100;1985;6.356e-07;999;i
GE;xlcyup999i;p0p100;1986;6.419e-07;999;i
GE;xlcyup999i;p0p100;1987;6.14e-07;999;i
GE;xlcyup999i;p0p100;1988;5.173e-07;999;i
GE;xlcyup999i;p0p100;1989;4.638e-07;999;i
GE;xlcyup999i;p0p100;1990;5.004e-07;999;i
GE;xlcyup999i;p0p100;1991;7.848e-07;999;i
GE;xlcyup999i;p0p100;1992;9.325e-06;999;i
GE;xlcyup999i;p0p100;1993;0.0020734419;999;i
GE;xlcyup999i;p0p100;1994;0.11958595;999;i
GE;xlcyup999i;p0p100;1995;0.19901705;999;i
GE;xlcyup999i;p0p100;1996;0.16959548;999;i
GE;xlcyup999i;p0p100;1997;0.16967769;999;i
GE;xlcyup999i;p0p100;1998;0.18014511;999;i
GE;xlcyup999i;p0p100;1999;0.19543423;999;i
GE;xlcyup999i;p0p100;2000;0.19161816;999;i
GE;xlcyup999i;p0p100;2001;0.19836813;999;i
GE;xlcyup999i;p0p100;2002;0.21000259;999;i
GE;xlcyup999i;p0p100;2003;0.20994729;999;i
GE;xlcyup999i;p0p100;2004;0.21348573;999;i
GE;xlcyup999i;p0p100;2005;0.22104664;999;i
GE;xlcyup999i;p0p100;2006;0.23185287;999;i
GE;xlcyup999i;p0p100;2007;0.23604855;999;i
GE;xlcyup999i;p0p100;2008;0.23997171;999;i
GE;xlcyup999i;p0p100;2009;0.23825154;999;i
GE;xlcyup999i;p0p100;2010;0.24189667;999;i
GE;xlcyup999i;p0p100;2011;0.24498858;999;i
GE;xlcyup999i;p0p100;2012;0.24396178;999;i
GE;xlcyup999i;p0p100;2013;0.23751028;999;i
GE;xlcyup999i;p0p100;2014;0.24535497;999;i
GE;xlcyup999i;p0p100;2015;0.2613883;999;i
GE;xlcyup999i;p0p100;2016;0.27400461;999;i
GE;xlcyup999i;p0p100;2017;0.29398894;999;i
GE;xlcyup999i;p0p100;2018;0.30657482;999;i
GE;xlcusx999i;p0p100;1996;1.2628;999;i
GE;xlcusx999i;p0p100;1997;1.2975;999;i
GE;xlcusx999i;p0p100;1998;1.3898166;999;i
GE;xlcusx999i;p0p100;1999;2.0245166;999;i
GE;xlcusx999i;p0p100;2000;1.9761667;999;i
GE;xlcusx999i;p0p100;2001;2.0730166;999;i
GE;xlcusx999i;p0p100;2002;2.1956749;999;i
GE;xlcusx999i;p0p100;2003;2.1456499;999;i
GE;xlcusx999i;p0p100;2004;1.9166501;999;i
GE;xlcusx999i;p0p100;2005;1.812675;999;i
GE;xlcusx999i;p0p100;2006;1.7804333;999;i
GE;xlcusx999i;p0p100;2007;1.6704917;999;i
GE;xlcusx999i;p0p100;2008;1.4907917;999;i
GE;xlcusx999i;p0p100;2009;1.670487;999;i
GE;xlcusx999i;p0p100;2010;1.7823417;999;i
GE;xlcusx999i;p0p100;2011;1.6864954;999;i
GE;xlcusx999i;p0p100;2012;1.6512583;999;i
GE;xlcusx999i;p0p100;2013;1.66335;999;i
GE;xlcusx999i;p0p100;2014;1.7656667;999;i
GE;xlcusx999i;p0p100;2015;2.2693417;999;i
GE;xlcusx999i;p0p100;2016;2.366725;999;i
GE;xlcusx999i;p0p100;2017;2.5095417;999;i
GE;xlcusx999i;p0p100;2018;2.499193;999;i
GE;xlcusp999i;p0p100;1965;1.4175e-06;999;i
GE;xlcusp999i;p0p100;1966;1.3796e-06;999;i
GE;xlcusp999i;p0p100;1967;1.3513e-06;999;i
GE;xlcusp999i;p0p100;1968;1.2952e-06;999;i
GE;xlcusp999i;p0p100;1969;1.2781e-06;999;i
GE;xlcusp999i;p0p100;1970;1.2104e-06;999;i
GE;xlcusp999i;p0p100;1971;1.1833e-06;999;i
GE;xlcusp999i;p0p100;1972;1.121e-06;999;i
GE;xlcusp999i;p0p100;1973;1.0636e-06;999;i
GE;xlcusp999i;p0p100;1974;9.967e-07;999;i
GE;xlcusp999i;p0p100;1975;9.23e-07;999;i
GE;xlcusp999i;p0p100;1976;8.779e-07;999;i
GE;xlcusp999i;p0p100;1977;8.396e-07;999;i
GE;xlcusp999i;p0p100;1978;7.88e-07;999;i
GE;xlcusp999i;p0p100;1979;7.483e-07;999;i
GE;xlcusp999i;p0p100;1980;6.939e-07;999;i
GE;xlcusp999i;p0p100;1981;6.561e-07;999;i
GE;xlcusp999i;p0p100;1982;6.406e-07;999;i
GE;xlcusp999i;p0p100;1983;5.973e-07;999;i
GE;xlcusp999i;p0p100;1984;5.784e-07;999;i
GE;xlcusp999i;p0p100;1985;5.325e-07;999;i
GE;xlcusp999i;p0p100;1986;5.561e-07;999;i
GE;xlcusp999i;p0p100;1987;5.546e-07;999;i
GE;xlcusp999i;p0p100;1988;5.215e-07;999;i
GE;xlcusp999i;p0p100;1989;5.322e-07;999;i
GE;xlcusp999i;p0p100;1990;6.256e-07;999;i
GE;xlcusp999i;p0p100;1991;9.823e-07;999;i
GE;xlcusp999i;p0p100;1992;1.24597e-05;999;i
GE;xlcusp999i;p0p100;1993;0.0034285439;999;i
GE;xlcusp999i;p0p100;1994;0.24514346;999;i
GE;xlcusp999i;p0p100;1995;0.47869477;999;i
GE;xlcusp999i;p0p100;1996;0.44137448;999;i
GE;xlcusp999i;p0p100;1997;0.46125907;999;i
GE;xlcusp999i;p0p100;1998;0.48692727;999;i
GE;xlcusp999i;p0p100;1999;0.52597362;999;i
GE;xlcusp999i;p0p100;2000;0.53791022;999;i
GE;xlcusp999i;p0p100;2001;0.5529424;999;i
GE;xlcusp999i;p0p100;2002;0.57545006;999;i
GE;xlcusp999i;p0p100;2003;0.58231241;999;i
GE;xlcusp999i;p0p100;2004;0.61422032;999;i
GE;xlcusp999i;p0p100;2005;0.64334834;999;i
GE;xlcusp999i;p0p100;2006;0.67759728;999;i
GE;xlcusp999i;p0p100;2007;0.72191775;999;i
GE;xlcusp999i;p0p100;2008;0.7755239;999;i
GE;xlcusp999i;p0p100;2009;0.75031066;999;i
GE;xlcusp999i;p0p100;2010;0.80160773;999;i
GE;xlcusp999i;p0p100;2011;0.85881627;999;i
GE;xlcusp999i;p0p100;2012;0.85180223;999;i
GE;xlcusp999i;p0p100;2013;0.83177704;999;i
GE;xlcusp999i;p0p100;2014;0.84856898;999;i
GE;xlcusp999i;p0p100;2015;0.88868988;999;i
GE;xlcusp999i;p0p100;2016;0.91590333;999;i
GE;xlcusp999i;p0p100;2017;0.95850921;999;i
GE;xlcusp999i;p0p100;2018;0.97155374;999;i
GE;xlceux999i;p0p100;1999;2.1568909;999;i
GE;xlceux999i;p0p100;2000;1.8206792;999;i
GE;xlceux999i;p0p100;2001;1.855032;999;i
GE;xlceux999i;p0p100;2002;2.0664172;999;i
GE;xlceux999i;p0p100;2003;2.4216332;999;i
GE;xlceux999i;p0p100;2004;2.3798525;999;i
GE;xlceux999i;p0p100;2005;2.2542343;999;i
GE;xlceux999i;p0p100;2006;2.2335241;999;i
GE;xlceux999i;p0p100;2007;2.2863481;999;i
GE;xlceux999i;p0p100;2008;2.1837511;999;i
GE;xlceux999i;p0p100;2009;2.3206258;999;i
GE;xlceux999i;p0p100;2010;2.3605771;999;i
GE;xlceux999i;p0p100;2011;2.3444543;999;i
GE;xlceux999i;p0p100;2012;2.1216393;999;i
GE;xlceux999i;p0p100;2013;2.2084973;999;i
GE;xlceux999i;p0p100;2014;2.3425696;999;i
GE;xlceux999i;p0p100;2015;2.5168514;999;i
GE;xlceux999i;p0p100;2016;2.6179569;999;i
GE;xlceux999i;p0p100;2017;2.8279796;999;i
GE;xlceux999i;p0p100;2018;3.0635746;999;i
GE;xlceup999i;p0p100;1995;0.56864864;999;i
GE;xlceup999i;p0p100;1996;0.52160919;999;i
GE;xlceup999i;p0p100;1997;0.5568881;999;i
GE;xlceup999i;p0p100;1998;0.58933729;999;i
GE;xlceup999i;p0p100;1999;0.63633007;999;i
GE;xlceup999i;p0p100;2000;0.65678203;999;i
GE;xlceup999i;p0p100;2001;0.67556435;999;i
GE;xlceup999i;p0p100;2002;0.69832158;999;i
GE;xlceup999i;p0p100;2003;0.70663643;999;i
GE;xlceup999i;p0p100;2004;0.75182617;999;i
GE;xlceup999i;p0p100;2005;0.79623729;999;i
GE;xlceup999i;p0p100;2006;0.84685504;999;i
GE;xlceup999i;p0p100;2007;0.90476906;999;i
GE;xlceup999i;p0p100;2008;0.97163528;999;i
GE;xlceup999i;p0p100;2009;0.94179922;999;i
GE;xlceup999i;p0p100;2010;1.0155996;999;i
GE;xlceup999i;p0p100;2011;1.1004976;999;i
GE;xlceup999i;p0p100;2012;1.098145;999;i
GE;xlceup999i;p0p100;2013;1.0765523;999;i
GE;xlceup999i;p0p100;2014;1.1071769;999;i
GE;xlceup999i;p0p100;2015;1.1561052;999;i
GE;xlceup999i;p0p100;2016;1.1939732;999;i
GE;xlceup999i;p0p100;2017;1.2599548;999;i
GE;xlceup999i;p0p100;2018;1.2881613;999;i
GE;npopul999m;p0p100;1950;1629219.0;999;m
GE;npopul999m;p0p100;1951;1643676.0;999;m
GE;npopul999m;p0p100;1952;1659872.0;999;m
GE;npopul999m;p0p100;1953;1678058.0;999;m
GE;npopul999m;p0p100;1954;1698444.0;999;m
GE;npopul999m;p0p100;1955;1721122.0;999;m
GE;npopul999m;p0p100;1956;1746126.0;999;m
GE;npopul999m;p0p100;1957;1773390.0;999;m
GE;npopul999m;p0p100;1958;1802786.0;999;m
GE;npopul999m;p0p100;1959;1834123.0;999;m
GE;npopul999m;p0p100;1960;1867137.0;999;m
GE;npopul999m;p0p100;1961;1901582.0;999;m
GE;npopul999m;p0p100;1962;1937170.0;999;m
GE;npopul999m;p0p100;1963;1973683.0;999;m
GE;npopul999m;p0p100;1964;2010805.0;999;m
GE;npopul999m;p0p100;1965;2048191.0;999;m
GE;npopul999m;p0p100;1966;2085928.0;999;m
GE;npopul999m;p0p100;1967;2123531.0;999;m
GE;npopul999m;p0p100;1968;2159440.0;999;m
GE;npopul999m;p0p100;1969;2191649.0;999;m
GE;npopul999m;p0p100;1970;2218786.0;999;m
GE;npopul999m;p0p100;1971;2240273.0;999;m
GE;npopul999m;p0p100;1972;2256716.0;999;m
GE;npopul999m;p0p100;1973;2269487.0;999;m
GE;npopul999m;p0p100;1974;2280632.0;999;m
GE;npopul999m;p0p100;1975;2291724.0;999;m
GE;npopul999m;p0p100;1976;2303100.0;999;m
GE;npopul999m;p0p100;1977;2314694.0;999;m
GE;npopul999m;p0p100;1978;2327108.0;999;m
GE;npopul999m;p0p100;1979;2340968.0;999;m
GE;npopul999m;p0p100;1980;2356692.0;999;m
GE;npopul999m;p0p100;1981;2373801.0;999;m
GE;npopul999m;p0p100;1982;2392053.0;999;m
GE;npopul999m;p0p100;1983;2412213.0;999;m
GE;npopul999m;p0p100;1984;2435332.0;999;m
GE;npopul999m;p0p100;1985;2461579.0;999;m
GE;npopul999m;p0p100;1986;2491991.0;999;m
GE;npopul999m;p0p100;1987;2524835.0;999;m
GE;npopul999m;p0p100;1988;2554070.0;999;m
GE;npopul999m;p0p100;1989;2571683.0;999;m
GE;npopul999m;p0p100;1990;2572132.0;999;m
GE;npopul999m;p0p100;1991;2553639.0;999;m
GE;npopul999m;p0p100;1992;2518452.0;999;m
GE;npopul999m;p0p100;1993;2470170.0;999;m
GE;npopul999m;p0p100;1994;2414304.0;999;m
GE;npopul999m;p0p100;1995;2355426.0;999;m
GE;npopul999m;p0p100;1996;2293962.0;999;m
GE;npopul999m;p0p100;1997;2230267.0;999;m
GE;npopul999m;p0p100;1998;2168792.0;999;m
GE;npopul999m;p0p100;1999;2114882.0;999;m
GE;npopul999m;p0p100;2000;2072239.0;999;m
GE;npopul999m;p0p100;2001;2043170.0;999;m
GE;npopul999m;p0p100;2002;2026633.0;999;m
GE;npopul999m;p0p100;2003;2018720.0;999;m
GE;npopul999m;p0p100;2004;2013546.0;999;m
GE;npopul999m;p0p100;2005;2006770.0;999;m
GE;npopul999m;p0p100;2006;1997211.0;999;m
GE;npopul999m;p0p100;2007;1986029.0;999;m
GE;npopul999m;p0p100;2008;1973993.0;999;m
GE;npopul999m;p0p100;2009;1962631.0;999;m
GE;npopul999m;p0p100;2010;1953010.0;999;m
GE;npopul999m;p0p100;2011;1945045.0;999;m
GE;npopul999m;p0p100;2012;1938079.0;999;m
GE;npopul999m;p0p100;2013;1931983.0;999;m
GE;npopul999m;p0p100;2014;1926599.0;999;m
GE;npopul999m;p0p100;2015;1921748.0;999;m
GE;npopul999m;p0p100;2016;1917421.0;999;m
GE;npopul999m;p0p100;2017;1913522.0;999;m
GE;npopul999m;p0p100;2018;1909756.0;999;m
GE;npopul999i;p0p100;1950;3527008.0;999;i
GE;npopul999i;p0p100;1951;3555874.0;999;i
GE;npopul999i;p0p100;1952;3588622.0;999;i
