country;variable;percentile;year;value;age;pop
GH;tptinc992j;p9p100;1987;1534.4793701172;992;j
GH;tptinc992j;p9p100;1988;1559.3627929688;992;j
GH;tptinc992j;p9p100;1989;1570.427734375;992;j
GH;tptinc992j;p9p100;1990;1548.1820068359;992;j
GH;tptinc992j;p9p100;1991;1561.4660644531;992;j
GH;tptinc992j;p9p100;1992;1534.8879394531;992;j
GH;tptinc992j;p9p100;1993;1521.462890625;992;j
GH;tptinc992j;p9p100;1994;1487.4089355469;992;j
GH;tptinc992j;p9p100;1995;1464.4797363281;992;j
GH;tptinc992j;p9p100;1996;1446.7979736328;992;j
GH;tptinc992j;p9p100;1997;1443.9012451172;992;j
GH;tptinc992j;p9p100;1998;1426.41796875;992;j
GH;tptinc992j;p9p100;1999;1422.8529052734;992;j
GH;tptinc992j;p9p100;2000;1405.3685302734;992;j
GH;tptinc992j;p9p100;2001;1403.8150634766;992;j
GH;tptinc992j;p9p100;2002;1392.4323730469;992;j
GH;tptinc992j;p9p100;2003;1390.5986328125;992;j
GH;tptinc992j;p9p100;2004;1386.6029052734;992;j
GH;tptinc992j;p9p100;2005;1400.0532226562;992;j
GH;tptinc992j;p9p100;2006;1430.1317138672;992;j
GH;tptinc992j;p9p100;2007;1441.8369140625;992;j
GH;tptinc992j;p9p100;2008;1552.9741210938;992;j
GH;tptinc992j;p9p100;2009;1547.6669921875;992;j
GH;tptinc992j;p9p100;2010;1628.5258789062;992;j
GH;tptinc992j;p9p100;2011;1802.0706787109;992;j
GH;tptinc992j;p9p100;2012;1894.1511230469;992;j
GH;tptinc992j;p9p100;2013;1943.4495849609;992;j
GH;tptinc992j;p9p100;2014;1841.1845703125;992;j
GH;tptinc992j;p9p100;2015;1770.3681640625;992;j
GH;tptinc992j;p9p100;2016;1707.4289550781;992;j
GH;tptinc992j;p9p100;2017;1751.9976806641;992;j
GH;tptinc992j;p9p10;1987;1534.4793701172;992;j
GH;tptinc992j;p9p10;1988;1559.3627929688;992;j
GH;tptinc992j;p9p10;1989;1570.427734375;992;j
GH;tptinc992j;p9p10;1990;1548.1820068359;992;j
GH;tptinc992j;p9p10;1991;1561.4660644531;992;j
GH;tptinc992j;p9p10;1992;1534.8879394531;992;j
GH;tptinc992j;p9p10;1993;1521.462890625;992;j
GH;tptinc992j;p9p10;1994;1487.4089355469;992;j
GH;tptinc992j;p9p10;1995;1464.4797363281;992;j
GH;tptinc992j;p9p10;1996;1446.7979736328;992;j
GH;tptinc992j;p9p10;1997;1443.9012451172;992;j
GH;tptinc992j;p9p10;1998;1426.41796875;992;j
GH;tptinc992j;p9p10;1999;1422.8529052734;992;j
GH;tptinc992j;p9p10;2000;1405.3685302734;992;j
GH;tptinc992j;p9p10;2001;1403.8150634766;992;j
GH;tptinc992j;p9p10;2002;1392.4323730469;992;j
GH;tptinc992j;p9p10;2003;1390.5986328125;992;j
GH;tptinc992j;p9p10;2004;1386.6029052734;992;j
GH;tptinc992j;p9p10;2005;1400.0532226562;992;j
GH;tptinc992j;p9p10;2006;1430.1317138672;992;j
GH;tptinc992j;p9p10;2007;1441.8369140625;992;j
GH;tptinc992j;p9p10;2008;1552.9741210938;992;j
GH;tptinc992j;p9p10;2009;1547.6669921875;992;j
GH;tptinc992j;p9p10;2010;1628.5258789062;992;j
GH;tptinc992j;p9p10;2011;1802.0706787109;992;j
GH;tptinc992j;p9p10;2012;1894.1511230469;992;j
GH;tptinc992j;p9p10;2013;1943.4495849609;992;j
GH;tptinc992j;p9p10;2014;1841.1845703125;992;j
GH;tptinc992j;p9p10;2015;1770.3681640625;992;j
GH;tptinc992j;p9p10;2016;1707.4289550781;992;j
GH;tptinc992j;p9p10;2017;1751.9976806641;992;j
GH;tptinc992j;p99p99.1;1987;67922.6875;992;j
GH;tptinc992j;p99p99.1;1988;71512.828125;992;j
GH;tptinc992j;p99p99.1;1989;74735.8671875;992;j
GH;tptinc992j;p99p99.1;1990;76400.09375;992;j
GH;tptinc992j;p99p99.1;1991;79849.7265625;992;j
GH;tptinc992j;p99p99.1;1992;79458.3984375;992;j
GH;tptinc992j;p99p99.1;1993;79764.140625;992;j
GH;tptinc992j;p99p99.1;1994;79000.2734375;992;j
GH;tptinc992j;p99p99.1;1995;78833.3671875;992;j
GH;tptinc992j;p99p99.1;1996;78967.515625;992;j
GH;tptinc992j;p99p99.1;1997;79944.109375;992;j
GH;tptinc992j;p99p99.1;1998;80150.9609375;992;j
GH;tptinc992j;p99p99.1;1999;82867.0390625;992;j
GH;tptinc992j;p99p99.1;2000;84828.953125;992;j
GH;tptinc992j;p99p99.1;2001;87818.671875;992;j
