country;variable;percentile;year;value;age;pop
GI;npopul999i;p0p100;1950;22039.0;999;i
GI;npopul999i;p0p100;1951;22285.0;999;i
GI;npopul999i;p0p100;1952;22485.0;999;i
GI;npopul999i;p0p100;1953;22625.0;999;i
GI;npopul999i;p0p100;1954;22721.0;999;i
GI;npopul999i;p0p100;1955;22788.0;999;i
GI;npopul999i;p0p100;1956;22830.0;999;i
GI;npopul999i;p0p100;1957;22880.0;999;i
GI;npopul999i;p0p100;1958;22974.0;999;i
GI;npopul999i;p0p100;1959;23151.0;999;i
GI;npopul999i;p0p100;1960;23420.0;999;i
GI;npopul999i;p0p100;1961;23813.0;999;i
GI;npopul999i;p0p100;1962;24313.0;999;i
GI;npopul999i;p0p100;1963;24889.0;999;i
GI;npopul999i;p0p100;1964;25479.0;999;i
GI;npopul999i;p0p100;1965;26073.0;999;i
GI;npopul999i;p0p100;1966;26633.0;999;i
GI;npopul999i;p0p100;1967;27173.0;999;i
GI;npopul999i;p0p100;1968;27685.0;999;i
GI;npopul999i;p0p100;1969;28166.0;999;i
GI;npopul999i;p0p100;1970;28606.0;999;i
GI;npopul999i;p0p100;1971;29006.0;999;i
GI;npopul999i;p0p100;1972;29358.0;999;i
GI;npopul999i;p0p100;1973;29650.0;999;i
GI;npopul999i;p0p100;1974;29886.0;999;i
GI;npopul999i;p0p100;1975;30067.0;999;i
GI;npopul999i;p0p100;1976;30180.0;999;i
GI;npopul999i;p0p100;1977;30234.0;999;i
GI;npopul999i;p0p100;1978;30232.0;999;i
GI;npopul999i;p0p100;1979;30169.0;999;i
GI;npopul999i;p0p100;1980;30065.0;999;i
GI;npopul999i;p0p100;1981;29902.0;999;i
GI;npopul999i;p0p100;1982;29691.0;999;i
GI;npopul999i;p0p100;1983;29482.0;999;i
GI;npopul999i;p0p100;1984;29283.0;999;i
GI;npopul999i;p0p100;1985;29154.0;999;i
GI;npopul999i;p0p100;1986;29094.0;999;i
GI;npopul999i;p0p100;1987;29115.0;999;i
GI;npopul999i;p0p100;1988;29159.0;999;i
GI;npopul999i;p0p100;1989;29187.0;999;i
GI;npopul999i;p0p100;1990;29147.0;999;i
GI;npopul999i;p0p100;1991;29022.0;999;i
GI;npopul999i;p0p100;1992;28840.0;999;i
GI;npopul999i;p0p100;1993;28675.0;999;i
GI;npopul999i;p0p100;1994;28602.0;999;i
GI;npopul999i;p0p100;1995;28692.0;999;i
GI;npopul999i;p0p100;1996;28971.0;999;i
GI;npopul999i;p0p100;1997;29408.0;999;i
GI;npopul999i;p0p100;1998;29947.0;999;i
GI;npopul999i;p0p100;1999;30529.0;999;i
GI;npopul999i;p0p100;2000;31077.0;999;i
GI;npopul999i;p0p100;2001;31602.0;999;i
GI;npopul999i;p0p100;2002;32102.0;999;i
GI;npopul999i;p0p100;2003;32555.0;999;i
GI;npopul999i;p0p100;2004;32928.0;999;i
GI;npopul999i;p0p100;2005;33219.0;999;i
GI;npopul999i;p0p100;2006;33417.0;999;i
GI;npopul999i;p0p100;2007;33517.0;999;i
GI;npopul999i;p0p100;2008;33559.0;999;i
GI;npopul999i;p0p100;2009;33565.0;999;i
GI;npopul999i;p0p100;2010;33585.0;999;i
GI;npopul999i;p0p100;2011;33612.0;999;i
GI;npopul999i;p0p100;2012;33646.0;999;i
GI;npopul999i;p0p100;2013;33692.0;999;i
GI;npopul999i;p0p100;2014;33725.0;999;i
GI;npopul999i;p0p100;2015;33736.0;999;i
GI;npopul999i;p0p100;2016;33737.0;999;i
GI;npopul999i;p0p100;2017;33728.0;999;i
GI;npopul999i;p0p100;2018;33718.0;999;i
