country;variable;percentile;year;value;age;pop
GL;xlcyux999i;p0p100;2018;0.95158106;999;i
GL;xlcusx999i;p0p100;2018;6.074017;999;i
GL;xlceux999i;p0p100;2018;7.4456854;999;i
GL;npopul999i;p0p100;1950;22996.0;999;i
GL;npopul999i;p0p100;1951;23473.0;999;i
GL;npopul999i;p0p100;1952;23938.0;999;i
GL;npopul999i;p0p100;1953;24469.0;999;i
GL;npopul999i;p0p100;1954;25093.0;999;i
GL;npopul999i;p0p100;1955;25846.0;999;i
GL;npopul999i;p0p100;1956;26718.0;999;i
GL;npopul999i;p0p100;1957;27731.0;999;i
GL;npopul999i;p0p100;1958;28850.0;999;i
GL;npopul999i;p0p100;1959;30017.0;999;i
GL;npopul999i;p0p100;1960;31239.0;999;i
GL;npopul999i;p0p100;1961;32471.0;999;i
GL;npopul999i;p0p100;1962;33730.0;999;i
GL;npopul999i;p0p100;1963;35043.0;999;i
GL;npopul999i;p0p100;1964;36445.0;999;i
GL;npopul999i;p0p100;1965;37964.0;999;i
GL;npopul999i;p0p100;1966;39610.0;999;i
GL;npopul999i;p0p100;1967;41361.0;999;i
GL;npopul999i;p0p100;1968;43097.0;999;i
GL;npopul999i;p0p100;1969;44699.0;999;i
GL;npopul999i;p0p100;1970;46074.0;999;i
GL;npopul999i;p0p100;1971;47186.0;999;i
GL;npopul999i;p0p100;1972;48077.0;999;i
GL;npopul999i;p0p100;1973;48738.0;999;i
GL;npopul999i;p0p100;1974;49234.0;999;i
GL;npopul999i;p0p100;1975;49586.0;999;i
GL;npopul999i;p0p100;1976;49780.0;999;i
GL;npopul999i;p0p100;1977;49844.0;999;i
GL;npopul999i;p0p100;1978;49860.0;999;i
GL;npopul999i;p0p100;1979;49946.0;999;i
GL;npopul999i;p0p100;1980;50179.0;999;i
GL;npopul999i;p0p100;1981;50584.0;999;i
GL;npopul999i;p0p100;1982;51157.0;999;i
GL;npopul999i;p0p100;1983;51829.0;999;i
GL;npopul999i;p0p100;1984;52534.0;999;i
GL;npopul999i;p0p100;1985;53190.0;999;i
GL;npopul999i;p0p100;1986;53797.0;999;i
GL;npopul999i;p0p100;1987;54373.0;999;i
GL;npopul999i;p0p100;1988;54878.0;999;i
GL;npopul999i;p0p100;1989;55295.0;999;i
GL;npopul999i;p0p100;1990;55604.0;999;i
GL;npopul999i;p0p100;1991;55789.0;999;i
GL;npopul999i;p0p100;1992;55861.0;999;i
GL;npopul999i;p0p100;1993;55848.0;999;i
GL;npopul999i;p0p100;1994;55815.0;999;i
GL;npopul999i;p0p100;1995;55811.0;999;i
GL;npopul999i;p0p100;1996;55837.0;999;i
GL;npopul999i;p0p100;1997;55881.0;999;i
GL;npopul999i;p0p100;1998;55948.0;999;i
GL;npopul999i;p0p100;1999;56046.0;999;i
GL;npopul999i;p0p100;2000;56175.0;999;i
GL;npopul999i;p0p100;2001;56327.0;999;i
GL;npopul999i;p0p100;2002;56518.0;999;i
GL;npopul999i;p0p100;2003;56708.0;999;i
GL;npopul999i;p0p100;2004;56861.0;999;i
GL;npopul999i;p0p100;2005;56951.0;999;i
GL;npopul999i;p0p100;2006;56971.0;999;i
GL;npopul999i;p0p100;2007;56927.0;999;i
GL;npopul999i;p0p100;2008;56841.0;999;i
GL;npopul999i;p0p100;2009;56728.0;999;i
GL;npopul999i;p0p100;2010;56638.0;999;i
GL;npopul999i;p0p100;2011;56552.0;999;i
GL;npopul999i;p0p100;2012;56470.0;999;i
GL;npopul999i;p0p100;2013;56414.0;999;i
GL;npopul999i;p0p100;2014;56381.0;999;i
GL;npopul999i;p0p100;2015;56377.0;999;i
GL;npopul999i;p0p100;2016;56412.0;999;i
GL;npopul999i;p0p100;2017;56481.0;999;i
GL;npopul999i;p0p100;2018;56564.0;999;i
GL;mgdpro999i;p0p100;1970;5189750789.0;999;i
GL;mgdpro999i;p0p100;1971;5867574673.0;999;i
GL;mgdpro999i;p0p100;1972;6230025402.0;999;i
GL;mgdpro999i;p0p100;1973;6654048671.0;999;i
GL;mgdpro999i;p0p100;1974;7033743710.0;999;i
GL;mgdpro999i;p0p100;1975;7079195467.0;999;i
GL;mgdpro999i;p0p100;1976;7501067433.0;999;i
GL;mgdpro999i;p0p100;1977;8162827040.0;999;i
GL;mgdpro999i;p0p100;1978;8653976114.0;999;i
GL;mgdpro999i;p0p100;1979;9074603267.0;999;i
GL;mgdpro999i;p0p100;1980;9861919853.0;999;i
GL;mgdpro999i;p0p100;1981;9927527407.0;999;i
GL;mgdpro999i;p0p100;1982;9488762595.0;999;i
GL;mgdpro999i;p0p100;1983;9816799126.0;999;i
GL;mgdpro999i;p0p100;1984;9308333831.0;999;i
GL;mgdpro999i;p0p100;1985;9648678448.0;999;i
GL;mgdpro999i;p0p100;1986;10333472663.0;999;i
GL;mgdpro999i;p0p100;1987;10903464744.0;999;i
GL;mgdpro999i;p0p100;1988;11514461643.0;999;i
GL;mgdpro999i;p0p100;1989;12281252216.0;999;i
GL;mgdpro999i;p0p100;1990;10841946748.0;999;i
GL;mgdpro999i;p0p100;1991;10829655078.0;999;i
GL;mgdpro999i;p0p100;1992;10276084275.0;999;i
GL;mgdpro999i;p0p100;1993;9759403801.0;999;i
GL;mgdpro999i;p0p100;1994;10337579412.0;999;i
GL;mgdpro999i;p0p100;1995;10723040562.0;999;i
GL;mgdpro999i;p0p100;1996;10887052574.0;999;i
GL;mgdpro999i;p0p100;1997;11046995160.0;999;i
GL;mgdpro999i;p0p100;1998;11904008722.0;999;i
GL;mgdpro999i;p0p100;1999;12068025246.0;999;i
GL;mgdpro999i;p0p100;2000;12925045768.0;999;i
GL;mgdpro999i;p0p100;2001;13089083840.0;999;i
GL;mgdpro999i;p0p100;2002;12961962263.0;999;i
GL;mgdpro999i;p0p100;2003;12912750507.0;999;i
GL;mgdpro999i;p0p100;2004;13804578667.0;999;i
GL;mgdpro999i;p0p100;2005;14493078147.0;999;i
GL;mgdpro999i;p0p100;2006;15298279911.0;999;i
GL;mgdpro999i;p0p100;2007;15658145174.0;999;i
GL;mgdpro999i;p0p100;2008;16623670172.0;999;i
GL;mgdpro999i;p0p100;2009;16767612746.0;999;i
GL;mgdpro999i;p0p100;2010;17058677141.0;999;i
GL;mgdpro999i;p0p100;2011;16973974333.0;999;i
GL;mgdpro999i;p0p100;2012;17210612820.0;999;i
GL;mgdpro999i;p0p100;2013;16987165071.0;999;i
GL;mgdpro999i;p0p100;2014;17786686054.0;999;i
