country;variable;percentile;year;value;age;pop
GN;tptinc992j;p9p100;1990;632271.5625;992;j
GN;tptinc992j;p9p100;1991;633445.875;992;j
GN;tptinc992j;p9p100;1992;808260.5625;992;j
GN;tptinc992j;p9p100;1993;1014163.5625;992;j
GN;tptinc992j;p9p100;1994;1211737.875;992;j
GN;tptinc992j;p9p100;1995;1264222.125;992;j
GN;tptinc992j;p9p100;1996;1321456.375;992;j
GN;tptinc992j;p9p100;1997;1379710.875;992;j
GN;tptinc992j;p9p100;1998;1436167.125;992;j
GN;tptinc992j;p9p100;1999;1512486.75;992;j
GN;tptinc992j;p9p100;2000;1546640.0;992;j
GN;tptinc992j;p9p100;2001;1601950.0;992;j
GN;tptinc992j;p9p100;2002;1719712.5;992;j
GN;tptinc992j;p9p100;2003;1849561.125;992;j
GN;tptinc992j;p9p100;2004;1896505.0;992;j
GN;tptinc992j;p9p100;2005;1976649.875;992;j
GN;tptinc992j;p9p100;2006;1923246.75;992;j
GN;tptinc992j;p9p100;2007;2028060.375;992;j
GN;tptinc992j;p9p100;2008;2170206.75;992;j
GN;tptinc992j;p9p100;2009;2120009.75;992;j
GN;tptinc992j;p9p100;2010;2292656.75;992;j
GN;tptinc992j;p9p100;2011;2439328.25;992;j
GN;tptinc992j;p9p100;2012;2639517.75;992;j
GN;tptinc992j;p9p100;2013;2568844.25;992;j
GN;tptinc992j;p9p100;2014;2653304.75;992;j
GN;tptinc992j;p9p100;2015;2693313.75;992;j
GN;tptinc992j;p9p100;2016;2862425.5;992;j
GN;tptinc992j;p9p100;2017;3023720.75;992;j
GN;tptinc992j;p99p99.1;1990;79607312.0;992;j
GN;tptinc992j;p99p99.1;1991;79755160.0;992;j
GN;tptinc992j;p99p99.1;1992;86377280.0;992;j
GN;tptinc992j;p99p99.1;1993;95507296.0;992;j
GN;tptinc992j;p99p99.1;1994;103122520.0;992;j
GN;tptinc992j;p99p99.1;1995;104837776.0;992;j
GN;tptinc992j;p99p99.1;1996;106813928.0;992;j
GN;tptinc992j;p99p99.1;1997;108734880.0;992;j
GN;tptinc992j;p99p99.1;1998;110385192.0;992;j
GN;tptinc992j;p99p99.1;1999;113406120.0;992;j
GN;tptinc992j;p99p99.1;2000;113157192.0;992;j
GN;tptinc992j;p99p99.1;2001;114391552.0;992;j
GN;tptinc992j;p99p99.1;2002;119881528.0;992;j
GN;tptinc992j;p99p99.1;2003;111716752.0;992;j
GN;tptinc992j;p99p99.1;2004;109559880.0;992;j
GN;tptinc992j;p99p99.1;2005;109083360.0;992;j
GN;tptinc992j;p99p99.1;2006;101250888.0;992;j
GN;tptinc992j;p99p99.1;2007;101690040.0;992;j
GN;tptinc992j;p99p99.1;2008;101795384.0;992;j
GN;tptinc992j;p99p99.1;2009;93235856.0;992;j
GN;tptinc992j;p99p99.1;2010;94729496.0;992;j
GN;tptinc992j;p99p99.1;2011;94865456.0;992;j
GN;tptinc992j;p99p99.1;2012;96775184.0;992;j
GN;tptinc992j;p99p99.1;2013;94184016.0;992;j
GN;tptinc992j;p99p99.1;2014;97280664.0;992;j
GN;tptinc992j;p99p99.1;2015;98747560.0;992;j
GN;tptinc992j;p99p99.1;2016;104947864.0;992;j
GN;tptinc992j;p99p99.1;2017;110861592.0;992;j
GN;tptinc992j;p99p100;1990;79607312.0;992;j
GN;tptinc992j;p99p100;1991;79755160.0;992;j
GN;tptinc992j;p99p100;1992;86377280.0;992;j
GN;tptinc992j;p99p100;1993;95507296.0;992;j
GN;tptinc992j;p99p100;1994;103122520.0;992;j
GN;tptinc992j;p99p100;1995;104837776.0;992;j
GN;tptinc992j;p99p100;1996;106813928.0;992;j
GN;tptinc992j;p99p100;1997;108734880.0;992;j
GN;tptinc992j;p99p100;1998;110385192.0;992;j
GN;tptinc992j;p99p100;1999;113406120.0;992;j
GN;tptinc992j;p99p100;2000;113157192.0;992;j
GN;tptinc992j;p99p100;2001;114391552.0;992;j
GN;tptinc992j;p99p100;2002;119881528.0;992;j
GN;tptinc992j;p99p100;2003;111716752.0;992;j
GN;tptinc992j;p99p100;2004;109559880.0;992;j
GN;tptinc992j;p99p100;2005;109083360.0;992;j
GN;tptinc992j;p99p100;2006;101250888.0;992;j
GN;tptinc992j;p99p100;2007;101690040.0;992;j
GN;tptinc992j;p99p100;2008;101795384.0;992;j
GN;tptinc992j;p99p100;2009;93235856.0;992;j
GN;tptinc992j;p99p100;2010;94729496.0;992;j
GN;tptinc992j;p99p100;2011;94865456.0;992;j
GN;tptinc992j;p99p100;2012;96775184.0;992;j
GN;tptinc992j;p99p100;2013;94184016.0;992;j
GN;tptinc992j;p99p100;2014;97280664.0;992;j
GN;tptinc992j;p99p100;2015;98747560.0;992;j
GN;tptinc992j;p99p100;2016;104947864.0;992;j
GN;tptinc992j;p99p100;2017;110861592.0;992;j
GN;tptinc992j;p99.9p99.91;1990;217489344.0;992;j
GN;tptinc992j;p99.9p99.91;1991;217893280.0;992;j
GN;tptinc992j;p99.9p99.91;1992;243593360.0;992;j
GN;tptinc992j;p99.9p99.91;1993;276742784.0;992;j
GN;tptinc992j;p99.9p99.91;1994;305892320.0;992;j
GN;tptinc992j;p99.9p99.91;1995;313111296.0;992;j
GN;tptinc992j;p99.9p99.91;1996;321206560.0;992;j
GN;tptinc992j;p99.9p99.91;1997;329238592.0;992;j
GN;tptinc992j;p99.9p99.91;1998;336548672.0;992;j
GN;tptinc992j;p99.9p99.91;1999;348159712.0;992;j
GN;tptinc992j;p99.9p99.91;2000;349815456.0;992;j
GN;tptinc992j;p99.9p99.91;2001;356102912.0;992;j
GN;tptinc992j;p99.9p99.91;2002;375810112.0;992;j
GN;tptinc992j;p99.9p99.91;2003;366605824.0;992;j
GN;tptinc992j;p99.9p99.91;2004;343165920.0;992;j
GN;tptinc992j;p99.9p99.91;2005;323713152.0;992;j
GN;tptinc992j;p99.9p99.91;2006;282032864.0;992;j
GN;tptinc992j;p99.9p99.91;2007;262720240.0;992;j
GN;tptinc992j;p99.9p99.91;2008;264796128.0;992;j
GN;tptinc992j;p99.9p99.91;2009;244230976.0;992;j
GN;tptinc992j;p99.9p99.91;2010;249922512.0;992;j
GN;tptinc992j;p99.9p99.91;2011;252116464.0;992;j
GN;tptinc992j;p99.9p99.91;2012;259121120.0;992;j
GN;tptinc992j;p99.9p99.91;2013;252183104.0;992;j
GN;tptinc992j;p99.9p99.91;2014;260474576.0;992;j
GN;tptinc992j;p99.9p99.91;2015;264402256.0;992;j
GN;tptinc992j;p99.9p99.91;2016;281003936.0;992;j
GN;tptinc992j;p99.9p99.91;2017;296838272.0;992;j
GN;tptinc992j;p99.9p100;1990;217489344.0;992;j
GN;tptinc992j;p99.9p100;1991;217893280.0;992;j
GN;tptinc992j;p99.9p100;1992;243593360.0;992;j
GN;tptinc992j;p99.9p100;1993;276742784.0;992;j
GN;tptinc992j;p99.9p100;1994;305892320.0;992;j
GN;tptinc992j;p99.9p100;1995;313111296.0;992;j
GN;tptinc992j;p99.9p100;1996;321206560.0;992;j
GN;tptinc992j;p99.9p100;1997;329238592.0;992;j
GN;tptinc992j;p99.9p100;1998;336548672.0;992;j
GN;tptinc992j;p99.9p100;1999;348159712.0;992;j
GN;tptinc992j;p99.9p100;2000;349815456.0;992;j
GN;tptinc992j;p99.9p100;2001;356102912.0;992;j
GN;tptinc992j;p99.9p100;2002;375810112.0;992;j
GN;tptinc992j;p99.9p100;2003;366605824.0;992;j
GN;tptinc992j;p99.9p100;2004;343165920.0;992;j
GN;tptinc992j;p99.9p100;2005;323713152.0;992;j
GN;tptinc992j;p99.9p100;2006;282032864.0;992;j
GN;tptinc992j;p99.9p100;2007;262720240.0;992;j
GN;tptinc992j;p99.9p100;2008;264796128.0;992;j
GN;tptinc992j;p99.9p100;2009;244230976.0;992;j
GN;tptinc992j;p99.9p100;2010;249922512.0;992;j
GN;tptinc992j;p99.9p100;2011;252116464.0;992;j
GN;tptinc992j;p99.9p100;2012;259121120.0;992;j
GN;tptinc992j;p99.9p100;2013;252183104.0;992;j
GN;tptinc992j;p99.9p100;2014;260474576.0;992;j
GN;tptinc992j;p99.9p100;2015;264402256.0;992;j
GN;tptinc992j;p99.9p100;2016;281003936.0;992;j
GN;tptinc992j;p99.9p100;2017;296838272.0;992;j
GN;tptinc992j;p99.99p99.991;1990;594186816.0;992;j
GN;tptinc992j;p99.99p99.991;1991;595290368.0;992;j
GN;tptinc992j;p99.99p99.991;1992;686959872.0;992;j
GN;tptinc992j;p99.99p99.991;1993;801892224.0;992;j
GN;tptinc992j;p99.99p99.991;1994;907368384.0;992;j
GN;tptinc992j;p99.99p99.991;1995;935146560.0;992;j
GN;tptinc992j;p99.99p99.991;1996;965919424.0;992;j
GN;tptinc992j;p99.99p99.991;1997;996902336.0;992;j
GN;tptinc992j;p99.99p99.991;1998;1026088896.0;992;j
GN;tptinc992j;p99.99p99.991;1999;1068859328.0;992;j
GN;tptinc992j;p99.99p99.991;2000;1081423616.0;992;j
GN;tptinc992j;p99.99p99.991;2001;1108554624.0;992;j
GN;tptinc992j;p99.99p99.991;2002;1178106624.0;992;j
GN;tptinc992j;p99.99p99.991;2003;1203041024.0;992;j
GN;tptinc992j;p99.99p99.991;2004;1074872064.0;992;j
GN;tptinc992j;p99.99p99.991;2005;960643264.0;992;j
GN;tptinc992j;p99.99p99.991;2006;785598400.0;992;j
GN;tptinc992j;p99.99p99.991;2007;678748160.0;992;j
GN;tptinc992j;p99.99p99.991;2008;688803264.0;992;j
GN;tptinc992j;p99.99p99.991;2009;639762112.0;992;j
GN;tptinc992j;p99.99p99.991;2010;659364480.0;992;j
GN;tptinc992j;p99.99p99.991;2011;670030080.0;992;j
GN;tptinc992j;p99.99p99.991;2012;693811648.0;992;j
GN;tptinc992j;p99.99p99.991;2013;675234752.0;992;j
GN;tptinc992j;p99.99p99.991;2014;697435584.0;992;j
GN;tptinc992j;p99.99p99.991;2015;707952256.0;992;j
GN;tptinc992j;p99.99p99.991;2016;752404160.0;992;j
GN;tptinc992j;p99.99p99.991;2017;794801536.0;992;j
GN;tptinc992j;p99.99p100;1990;594186816.0;992;j
GN;tptinc992j;p99.99p100;1991;595290368.0;992;j
GN;tptinc992j;p99.99p100;1992;686959872.0;992;j
GN;tptinc992j;p99.99p100;1993;801892224.0;992;j
GN;tptinc992j;p99.99p100;1994;907368384.0;992;j
GN;tptinc992j;p99.99p100;1995;935146560.0;992;j
GN;tptinc992j;p99.99p100;1996;965919424.0;992;j
GN;tptinc992j;p99.99p100;1997;996902336.0;992;j
GN;tptinc992j;p99.99p100;1998;1026088896.0;992;j
GN;tptinc992j;p99.99p100;1999;1068859328.0;992;j
GN;tptinc992j;p99.99p100;2000;1081423616.0;992;j
GN;tptinc992j;p99.99p100;2001;1108554624.0;992;j
GN;tptinc992j;p99.99p100;2002;1178106624.0;992;j
GN;tptinc992j;p99.99p100;2003;1203041024.0;992;j
GN;tptinc992j;p99.99p100;2004;1074872064.0;992;j
GN;tptinc992j;p99.99p100;2005;960643264.0;992;j
GN;tptinc992j;p99.99p100;2006;785598400.0;992;j
GN;tptinc992j;p99.99p100;2007;678748160.0;992;j
GN;tptinc992j;p99.99p100;2008;688803264.0;992;j
GN;tptinc992j;p99.99p100;2009;639762112.0;992;j
GN;tptinc992j;p99.99p100;2010;659364480.0;992;j
GN;tptinc992j;p99.99p100;2011;670030080.0;992;j
GN;tptinc992j;p99.99p100;2012;693811648.0;992;j
GN;tptinc992j;p99.99p100;2013;675234752.0;992;j
GN;tptinc992j;p99.99p100;2014;697435584.0;992;j
GN;tptinc992j;p99.99p100;2015;707952256.0;992;j
GN;tptinc992j;p99.99p100;2016;752404160.0;992;j
GN;tptinc992j;p99.99p100;2017;794801536.0;992;j
GN;tptinc992j;p99.999p100;1990;1623334656.0;992;j
GN;tptinc992j;p99.999p100;1991;1626349568.0;992;j
GN;tptinc992j;p99.999p100;1992;1937301760.0;992;j
GN;tptinc992j;p99.999p100;1993;2323569920.0;992;j
GN;tptinc992j;p99.999p100;1994;2691526656.0;992;j
GN;tptinc992j;p99.999p100;1995;2792933632.0;992;j
GN;tptinc992j;p99.999p100;1996;2904674048.0;992;j
GN;tptinc992j;p99.999p100;1997;3018522880.0;992;j
GN;tptinc992j;p99.999p100;1998;3128398592.0;992;j
GN;tptinc992j;p99.999p100;1999;3281425664.0;992;j
GN;tptinc992j;p99.999p100;2000;3343125760.0;992;j
GN;tptinc992j;p99.999p100;2001;3450949888.0;992;j
GN;tptinc992j;p99.999p100;2002;3693182464.0;992;j
GN;tptinc992j;p99.999p100;2003;3947857920.0;992;j
GN;tptinc992j;p99.999p100;2004;3366738432.0;992;j
GN;tptinc992j;p99.999p100;2005;2850781696.0;992;j
GN;tptinc992j;p99.999p100;2006;2188272896.0;992;j
GN;tptinc992j;p99.999p100;2007;1753572736.0;992;j
GN;tptinc992j;p99.999p100;2008;1791755520.0;992;j
GN;tptinc992j;p99.999p100;2009;1675854464.0;992;j
GN;tptinc992j;p99.999p100;2010;1739585280.0;992;j
GN;tptinc992j;p99.999p100;2011;1780686336.0;992;j
GN;tptinc992j;p99.999p100;2012;1857720576.0;992;j
GN;tptinc992j;p99.999p100;2013;1807979776.0;992;j
GN;tptinc992j;p99.999p100;2014;1867423872.0;992;j
GN;tptinc992j;p99.999p100;2015;1895582720.0;992;j
GN;tptinc992j;p99.999p100;2016;2014605312.0;992;j
GN;tptinc992j;p99.999p100;2017;2128126720.0;992;j
GN;tptinc992j;p99.998p99.999;1990;1199535104.0;992;j
GN;tptinc992j;p99.998p99.999;1991;1201762944.0;992;j
GN;tptinc992j;p99.998p99.999;1992;1417926528.0;992;j
GN;tptinc992j;p99.998p99.999;1993;1686816768.0;992;j
GN;tptinc992j;p99.998p99.999;1994;1940205824.0;992;j
GN;tptinc992j;p99.998p99.999;1995;2009170944.0;992;j
GN;tptinc992j;p99.998p99.999;1996;2085249280.0;992;j
GN;tptinc992j;p99.998p99.999;1997;2162501120.0;992;j
GN;tptinc992j;p99.998p99.999;1998;2236569088.0;992;j
GN;tptinc992j;p99.998p99.999;1999;2341090560.0;992;j
GN;tptinc992j;p99.998p99.999;2000;2380130560.0;992;j
GN;tptinc992j;p99.998p99.999;2001;2451750144.0;992;j
GN;tptinc992j;p99.998p99.999;2002;2618332672.0;992;j
GN;tptinc992j;p99.998p99.999;2003;2760613632.0;992;j
GN;tptinc992j;p99.998p99.999;2004;2387497216.0;992;j
GN;tptinc992j;p99.998p99.999;2005;2054739840.0;992;j
GN;tptinc992j;p99.998p99.999;2006;1607581312.0;992;j
GN;tptinc992j;p99.998p99.999;2007;1317755008.0;992;j
GN;tptinc992j;p99.998p99.999;2008;1343680640.0;992;j
GN;tptinc992j;p99.998p99.999;2009;1254123264.0;992;j
GN;tptinc992j;p99.998p99.999;2010;1299019648.0;992;j
GN;tptinc992j;p99.998p99.999;2011;1326790272.0;992;j
GN;tptinc992j;p99.998p99.999;2012;1381077888.0;992;j
GN;tptinc992j;p99.998p99.999;2013;1344099328.0;992;j
GN;tptinc992j;p99.998p99.999;2014;1388291584.0;992;j
GN;tptinc992j;p99.998p99.999;2015;1409225600.0;992;j
GN;tptinc992j;p99.998p99.999;2016;1497710080.0;992;j
GN;tptinc992j;p99.998p99.999;2017;1582104832.0;992;j
GN;tptinc992j;p99.998p100;1990;1199535104.0;992;j
GN;tptinc992j;p99.998p100;1991;1201762944.0;992;j
GN;tptinc992j;p99.998p100;1992;1417926528.0;992;j
GN;tptinc992j;p99.998p100;1993;1686816768.0;992;j
GN;tptinc992j;p99.998p100;1994;1940205824.0;992;j
GN;tptinc992j;p99.998p100;1995;2009170944.0;992;j
GN;tptinc992j;p99.998p100;1996;2085249280.0;992;j
GN;tptinc992j;p99.998p100;1997;2162501120.0;992;j
GN;tptinc992j;p99.998p100;1998;2236569088.0;992;j
GN;tptinc992j;p99.998p100;1999;2341090560.0;992;j
GN;tptinc992j;p99.998p100;2000;2380130560.0;992;j
GN;tptinc992j;p99.998p100;2001;2451750144.0;992;j
GN;tptinc992j;p99.998p100;2002;2618332672.0;992;j
GN;tptinc992j;p99.998p100;2003;2760613632.0;992;j
GN;tptinc992j;p99.998p100;2004;2387497216.0;992;j
GN;tptinc992j;p99.998p100;2005;2054739840.0;992;j
GN;tptinc992j;p99.998p100;2006;1607581312.0;992;j
GN;tptinc992j;p99.998p100;2007;1317755008.0;992;j
GN;tptinc992j;p99.998p100;2008;1343680640.0;992;j
GN;tptinc992j;p99.998p100;2009;1254123264.0;992;j
GN;tptinc992j;p99.998p100;2010;1299019648.0;992;j
GN;tptinc992j;p99.998p100;2011;1326790272.0;992;j
GN;tptinc992j;p99.998p100;2012;1381077888.0;992;j
GN;tptinc992j;p99.998p100;2013;1344099328.0;992;j
GN;tptinc992j;p99.998p100;2014;1388291584.0;992;j
GN;tptinc992j;p99.998p100;2015;1409225600.0;992;j
GN;tptinc992j;p99.998p100;2016;1497710080.0;992;j
GN;tptinc992j;p99.998p100;2017;1582104832.0;992;j
GN;tptinc992j;p99.997p99.998;1990;1004966912.0;992;j
GN;tptinc992j;p99.997p99.998;1991;1006833408.0;992;j
GN;tptinc992j;p99.997p99.998;1992;1181315328.0;992;j
GN;tptinc992j;p99.997p99.998;1993;1398642688.0;992;j
GN;tptinc992j;p99.997p99.998;1994;1602119296.0;992;j
GN;tptinc992j;p99.997p99.998;1995;1657073152.0;992;j
GN;tptinc992j;p99.997p99.998;1996;1717745408.0;992;j
GN;tptinc992j;p99.997p99.998;1997;1779227520.0;992;j
GN;tptinc992j;p99.997p99.998;1998;1837934336.0;992;j
GN;tptinc992j;p99.997p99.998;1999;1921483904.0;992;j
GN;tptinc992j;p99.997p99.998;2000;1951140096.0;992;j
GN;tptinc992j;p99.997p99.998;2001;2007387648.0;992;j
GN;tptinc992j;p99.997p99.998;2002;2141142144.0;992;j
GN;tptinc992j;p99.997p99.998;2003;2239382272.0;992;j
GN;tptinc992j;p99.997p99.998;2004;1952664192.0;992;j
GN;tptinc992j;p99.997p99.998;2005;1696566912.0;992;j
GN;tptinc992j;p99.997p99.998;2006;1342238848.0;992;j
GN;tptinc992j;p99.997p99.998;2007;1114929024.0;992;j
GN;tptinc992j;p99.997p99.998;2008;1135496704.0;992;j
GN;tptinc992j;p99.997p99.998;2009;1058511808.0;992;j
GN;tptinc992j;p99.997p99.998;2010;1095027200.0;992;j
GN;tptinc992j;p99.997p99.998;2011;1116998912.0;992;j
GN;tptinc992j;p99.997p99.998;2012;1161173504.0;992;j
GN;tptinc992j;p99.997p99.998;2013;1130082816.0;992;j
GN;tptinc992j;p99.997p99.998;2014;1167238528.0;992;j
GN;tptinc992j;p99.997p99.998;2015;1184839424.0;992;j
GN;tptinc992j;p99.997p99.998;2016;1259234688.0;992;j
GN;tptinc992j;p99.997p99.998;2017;1330191616.0;992;j
GN;tptinc992j;p99.997p100;1990;1004966912.0;992;j
GN;tptinc992j;p99.997p100;1991;1006833408.0;992;j
GN;tptinc992j;p99.997p100;1992;1181315328.0;992;j
GN;tptinc992j;p99.997p100;1993;1398642688.0;992;j
GN;tptinc992j;p99.997p100;1994;1602119296.0;992;j
GN;tptinc992j;p99.997p100;1995;1657073152.0;992;j
GN;tptinc992j;p99.997p100;1996;1717745408.0;992;j
GN;tptinc992j;p99.997p100;1997;1779227520.0;992;j
GN;tptinc992j;p99.997p100;1998;1837934336.0;992;j
GN;tptinc992j;p99.997p100;1999;1921483904.0;992;j
GN;tptinc992j;p99.997p100;2000;1951140096.0;992;j
GN;tptinc992j;p99.997p100;2001;2007387648.0;992;j
GN;tptinc992j;p99.997p100;2002;2141142144.0;992;j
GN;tptinc992j;p99.997p100;2003;2239382272.0;992;j
GN;tptinc992j;p99.997p100;2004;1952664192.0;992;j
GN;tptinc992j;p99.997p100;2005;1696566912.0;992;j
GN;tptinc992j;p99.997p100;2006;1342238848.0;992;j
GN;tptinc992j;p99.997p100;2007;1114929024.0;992;j
GN;tptinc992j;p99.997p100;2008;1135496704.0;992;j
GN;tptinc992j;p99.997p100;2009;1058511808.0;992;j
GN;tptinc992j;p99.997p100;2010;1095027200.0;992;j
GN;tptinc992j;p99.997p100;2011;1116998912.0;992;j
GN;tptinc992j;p99.997p100;2012;1161173504.0;992;j
GN;tptinc992j;p99.997p100;2013;1130082816.0;992;j
GN;tptinc992j;p99.997p100;2014;1167238528.0;992;j
GN;tptinc992j;p99.997p100;2015;1184839424.0;992;j
GN;tptinc992j;p99.997p100;2016;1259234688.0;992;j
GN;tptinc992j;p99.997p100;2017;1330191616.0;992;j
GN;tptinc992j;p99.996p99.997;1990;886375744.0;992;j
GN;tptinc992j;p99.996p99.997;1991;888022016.0;992;j
GN;tptinc992j;p99.996p99.997;1992;1037791680.0;992;j
GN;tptinc992j;p99.996p99.997;1993;1224560128.0;992;j
GN;tptinc992j;p99.996p99.997;1994;1398610816.0;992;j
GN;tptinc992j;p99.996p99.997;1995;1445350528.0;992;j
GN;tptinc992j;p99.996p99.997;1996;1496988672.0;992;j
GN;tptinc992j;p99.996p99.997;1997;1549238272.0;992;j
GN;tptinc992j;p99.996p99.997;1998;1598978048.0;992;j
GN;tptinc992j;p99.996p99.997;1999;1670220672.0;992;j
GN;tptinc992j;p99.996p99.997;2000;1694528512.0;992;j
GN;tptinc992j;p99.996p99.997;2001;1741862144.0;992;j
GN;tptinc992j;p99.996p99.997;2002;1856302976.0;992;j
GN;tptinc992j;p99.996p99.997;2003;1930410752.0;992;j
GN;tptinc992j;p99.996p99.997;2004;1693075584.0;992;j
GN;tptinc992j;p99.996p99.997;2005;1480981760.0;992;j
GN;tptinc992j;p99.996p99.997;2006;1180985216.0;992;j
GN;tptinc992j;p99.996p99.997;2007;990251648.0;992;j
GN;tptinc992j;p99.996p99.997;2008;1007658432.0;992;j
GN;tptinc992j;p99.996p99.997;2009;938521280.0;992;j
GN;tptinc992j;p99.996p99.997;2010;970031232.0;992;j
GN;tptinc992j;p99.996p99.997;2011;988592064.0;992;j
GN;tptinc992j;p99.996p99.997;2012;1026729344.0;992;j
GN;tptinc992j;p99.996p99.997;2013;999238464.0;992;j
GN;tptinc992j;p99.996p99.997;2014;1032092224.0;992;j
GN;tptinc992j;p99.996p99.997;2015;1047655104.0;992;j
GN;tptinc992j;p99.996p99.997;2016;1113436800.0;992;j
GN;tptinc992j;p99.996p99.997;2017;1176178048.0;992;j
GN;tptinc992j;p99.996p100;1990;886375744.0;992;j
GN;tptinc992j;p99.996p100;1991;888022016.0;992;j
GN;tptinc992j;p99.996p100;1992;1037791680.0;992;j
GN;tptinc992j;p99.996p100;1993;1224560128.0;992;j
GN;tptinc992j;p99.996p100;1994;1398610816.0;992;j
GN;tptinc992j;p99.996p100;1995;1445350528.0;992;j
GN;tptinc992j;p99.996p100;1996;1496988672.0;992;j
GN;tptinc992j;p99.996p100;1997;1549238272.0;992;j
GN;tptinc992j;p99.996p100;1998;1598978048.0;992;j
GN;tptinc992j;p99.996p100;1999;1670220672.0;992;j
GN;tptinc992j;p99.996p100;2000;1694528512.0;992;j
GN;tptinc992j;p99.996p100;2001;1741862144.0;992;j
GN;tptinc992j;p99.996p100;2002;1856302976.0;992;j
GN;tptinc992j;p99.996p100;2003;1930410752.0;992;j
