country;variable;percentile;year;value;age;pop
GQ;tptinc992j;p9p100;1990;174224.859375;992;j
GQ;tptinc992j;p9p100;1991;170617.171875;992;j
GQ;tptinc992j;p9p100;1992;196373.90625;992;j
GQ;tptinc992j;p9p100;1993;201896.609375;992;j
GQ;tptinc992j;p9p100;1994;210864.828125;992;j
GQ;tptinc992j;p9p100;1995;206675.453125;992;j
GQ;tptinc992j;p9p100;1996;254474.640625;992;j
GQ;tptinc992j;p9p100;1997;485595.59375;992;j
GQ;tptinc992j;p9p100;1998;523183.4375;992;j
GQ;tptinc992j;p9p100;1999;589753.0;992;j
GQ;tptinc992j;p9p100;2000;596467.25;992;j
GQ;tptinc992j;p9p100;2001;1014355.1875;992;j
GQ;tptinc992j;p9p100;2002;1156651.625;992;j
GQ;tptinc992j;p9p100;2003;1242943.375;992;j
GQ;tptinc992j;p9p100;2004;1465321.75;992;j
GQ;tptinc992j;p9p100;2005;1494467.75;992;j
GQ;tptinc992j;p9p100;2006;1477986.125;992;j
GQ;tptinc992j;p9p100;2007;1634879.875;992;j
GQ;tptinc992j;p9p100;2008;1851856.5;992;j
GQ;tptinc992j;p9p100;2009;1739288.25;992;j
GQ;tptinc992j;p9p100;2010;1443717.75;992;j
GQ;tptinc992j;p9p100;2011;1473372.625;992;j
GQ;tptinc992j;p9p100;2012;1540929.625;992;j
GQ;tptinc992j;p9p100;2013;1397227.125;992;j
GQ;tptinc992j;p9p100;2014;1339286.0;992;j
GQ;tptinc992j;p9p100;2015;1151903.625;992;j
GQ;tptinc992j;p9p100;2016;1014149.125;992;j
GQ;tptinc992j;p9p100;2017;953943.5;992;j
GQ;tptinc992j;p9p10;1990;174224.859375;992;j
GQ;tptinc992j;p9p10;1991;170617.171875;992;j
GQ;tptinc992j;p9p10;1992;196373.90625;992;j
GQ;tptinc992j;p9p10;1993;201896.609375;992;j
GQ;tptinc992j;p9p10;1994;210864.828125;992;j
GQ;tptinc992j;p9p10;1995;206675.453125;992;j
GQ;tptinc992j;p9p10;1996;254474.640625;992;j
GQ;tptinc992j;p9p10;1997;485595.59375;992;j
GQ;tptinc992j;p9p10;1998;523183.4375;992;j
GQ;tptinc992j;p9p10;1999;589753.0;992;j
GQ;tptinc992j;p9p10;2000;596467.25;992;j
GQ;tptinc992j;p9p10;2001;1014355.1875;992;j
GQ;tptinc992j;p9p10;2002;1156651.625;992;j
GQ;tptinc992j;p9p10;2003;1242943.375;992;j
GQ;tptinc992j;p9p10;2004;1465321.75;992;j
GQ;tptinc992j;p9p10;2005;1494467.75;992;j
GQ;tptinc992j;p9p10;2006;1477986.125;992;j
GQ;tptinc992j;p9p10;2007;1634879.875;992;j
GQ;tptinc992j;p9p10;2008;1851856.5;992;j
GQ;tptinc992j;p9p10;2009;1739288.25;992;j
GQ;tptinc992j;p9p10;2010;1443717.75;992;j
GQ;tptinc992j;p9p10;2011;1473372.625;992;j
GQ;tptinc992j;p9p10;2012;1540929.625;992;j
GQ;tptinc992j;p9p10;2013;1397227.125;992;j
GQ;tptinc992j;p9p10;2014;1339286.0;992;j
GQ;tptinc992j;p9p10;2015;1151903.625;992;j
GQ;tptinc992j;p9p10;2016;1014149.125;992;j
GQ;tptinc992j;p9p10;2017;953943.5;992;j
GQ;tptinc992j;p99p99.1;1990;12534077.0;992;j
GQ;tptinc992j;p99p99.1;1991;12275986.0;992;j
GQ;tptinc992j;p99p99.1;1992;14130300.0;992;j
GQ;tptinc992j;p99p99.1;1993;14474589.0;992;j
GQ;tptinc992j;p99p99.1;1994;15061732.0;992;j
GQ;tptinc992j;p99p99.1;1995;14707080.0;992;j
GQ;tptinc992j;p99p99.1;1996;18655834.0;992;j
GQ;tptinc992j;p99p99.1;1997;36479436.0;992;j
GQ;tptinc992j;p99p99.1;1998;40297928.0;992;j
GQ;tptinc992j;p99p99.1;1999;46607152.0;992;j
GQ;tptinc992j;p99p99.1;2000;48401064.0;992;j
GQ;tptinc992j;p99p99.1;2001;80258368.0;992;j
GQ;tptinc992j;p99p99.1;2002;90084416.0;992;j
GQ;tptinc992j;p99p99.1;2003;94799144.0;992;j
GQ;tptinc992j;p99p99.1;2004;111509960.0;992;j
GQ;tptinc992j;p99p99.1;2005;113439512.0;992;j
GQ;tptinc992j;p99p99.1;2006;111972512.0;992;j
GQ;tptinc992j;p99p99.1;2007;123581408.0;992;j
GQ;tptinc992j;p99p99.1;2008;140059952.0;992;j
GQ;tptinc992j;p99p99.1;2009;133004208.0;992;j
GQ;tptinc992j;p99p99.1;2010;111625240.0;992;j
GQ;tptinc992j;p99p99.1;2011;115157608.0;992;j
GQ;tptinc992j;p99p99.1;2012;121049112.0;992;j
GQ;tptinc992j;p99p99.1;2013;110313064.0;992;j
GQ;tptinc992j;p99p99.1;2014;106277368.0;992;j
GQ;tptinc992j;p99p99.1;2015;91273072.0;992;j
GQ;tptinc992j;p99p99.1;2016;80277984.0;992;j
GQ;tptinc992j;p99p99.1;2017;75447632.0;992;j
GQ;tptinc992j;p99p100;1990;12534077.0;992;j
GQ;tptinc992j;p99p100;1991;12275986.0;992;j
GQ;tptinc992j;p99p100;1992;14130300.0;992;j
GQ;tptinc992j;p99p100;1993;14474589.0;992;j
GQ;tptinc992j;p99p100;1994;15061732.0;992;j
GQ;tptinc992j;p99p100;1995;14707080.0;992;j
GQ;tptinc992j;p99p100;1996;18655834.0;992;j
GQ;tptinc992j;p99p100;1997;36479436.0;992;j
GQ;tptinc992j;p99p100;1998;40297928.0;992;j
GQ;tptinc992j;p99p100;1999;46607152.0;992;j
GQ;tptinc992j;p99p100;2000;48401064.0;992;j
GQ;tptinc992j;p99p100;2001;80258368.0;992;j
GQ;tptinc992j;p99p100;2002;90084416.0;992;j
GQ;tptinc992j;p99p100;2003;94799144.0;992;j
GQ;tptinc992j;p99p100;2004;111509960.0;992;j
GQ;tptinc992j;p99p100;2005;113439512.0;992;j
GQ;tptinc992j;p99p100;2006;111972512.0;992;j
GQ;tptinc992j;p99p100;2007;123581408.0;992;j
GQ;tptinc992j;p99p100;2008;140059952.0;992;j
GQ;tptinc992j;p99p100;2009;133004208.0;992;j
GQ;tptinc992j;p99p100;2010;111625240.0;992;j
GQ;tptinc992j;p99p100;2011;115157608.0;992;j
GQ;tptinc992j;p99p100;2012;121049112.0;992;j
GQ;tptinc992j;p99p100;2013;110313064.0;992;j
GQ;tptinc992j;p99p100;2014;106277368.0;992;j
GQ;tptinc992j;p99p100;2015;91273072.0;992;j
GQ;tptinc992j;p99p100;2016;80277984.0;992;j
GQ;tptinc992j;p99p100;2017;75447632.0;992;j
GQ;tptinc992j;p99.9p99.91;1990;39044884.0;992;j
GQ;tptinc992j;p99.9p99.91;1991;38243516.0;992;j
GQ;tptinc992j;p99.9p99.91;1992;44023988.0;992;j
GQ;tptinc992j;p99.9p99.91;1993;45004452.0;992;j
GQ;tptinc992j;p99.9p99.91;1994;46732728.0;992;j
GQ;tptinc992j;p99.9p99.91;1995;45535096.0;992;j
GQ;tptinc992j;p99.9p99.91;1996;57743900.0;992;j
GQ;tptinc992j;p99.9p99.91;1997;113513512.0;992;j
GQ;tptinc992j;p99.9p99.91;1998;126051864.0;992;j
GQ;tptinc992j;p99.9p99.91;1999;146541296.0;992;j
GQ;tptinc992j;p99.9p99.91;2000;152961680.0;992;j
GQ;tptinc992j;p99.9p99.91;2001;253805648.0;992;j
GQ;tptinc992j;p99.9p99.91;2002;281561568.0;992;j
GQ;tptinc992j;p99.9p99.91;2003;290480128.0;992;j
GQ;tptinc992j;p99.9p99.91;2004;340398528.0;992;j
GQ;tptinc992j;p99.9p99.91;2005;344918080.0;992;j
GQ;tptinc992j;p99.9p99.91;2006;337691520.0;992;j
GQ;tptinc992j;p99.9p99.91;2007;369551296.0;992;j
GQ;tptinc992j;p99.9p99.91;2008;417942720.0;992;j
GQ;tptinc992j;p99.9p99.91;2009;396694144.0;992;j
GQ;tptinc992j;p99.9p99.91;2010;332750176.0;992;j
GQ;tptinc992j;p99.9p99.91;2011;343040640.0;992;j
GQ;tptinc992j;p99.9p99.91;2012;359950080.0;992;j
GQ;tptinc992j;p99.9p99.91;2013;327438272.0;992;j
GQ;tptinc992j;p99.9p99.91;2014;314915264.0;992;j
GQ;tptinc992j;p99.9p99.91;2015;270191936.0;992;j
GQ;tptinc992j;p99.9p99.91;2016;237492304.0;992;j
GQ;tptinc992j;p99.9p99.91;2017;223090400.0;992;j
GQ;tptinc992j;p99.9p100;1990;39044884.0;992;j
GQ;tptinc992j;p99.9p100;1991;38243516.0;992;j
GQ;tptinc992j;p99.9p100;1992;44023988.0;992;j
GQ;tptinc992j;p99.9p100;1993;45004452.0;992;j
GQ;tptinc992j;p99.9p100;1994;46732728.0;992;j
GQ;tptinc992j;p99.9p100;1995;45535096.0;992;j
GQ;tptinc992j;p99.9p100;1996;57743900.0;992;j
GQ;tptinc992j;p99.9p100;1997;113513512.0;992;j
GQ;tptinc992j;p99.9p100;1998;126051864.0;992;j
GQ;tptinc992j;p99.9p100;1999;146541296.0;992;j
GQ;tptinc992j;p99.9p100;2000;152961680.0;992;j
GQ;tptinc992j;p99.9p100;2001;253805648.0;992;j
GQ;tptinc992j;p99.9p100;2002;281561568.0;992;j
GQ;tptinc992j;p99.9p100;2003;290480128.0;992;j
GQ;tptinc992j;p99.9p100;2004;340398528.0;992;j
GQ;tptinc992j;p99.9p100;2005;344918080.0;992;j
GQ;tptinc992j;p99.9p100;2006;337691520.0;992;j
GQ;tptinc992j;p99.9p100;2007;369551296.0;992;j
GQ;tptinc992j;p99.9p100;2008;417942720.0;992;j
GQ;tptinc992j;p99.9p100;2009;396694144.0;992;j
GQ;tptinc992j;p99.9p100;2010;332750176.0;992;j
GQ;tptinc992j;p99.9p100;2011;343040640.0;992;j
GQ;tptinc992j;p99.9p100;2012;359950080.0;992;j
GQ;tptinc992j;p99.9p100;2013;327438272.0;992;j
GQ;tptinc992j;p99.9p100;2014;314915264.0;992;j
GQ;tptinc992j;p99.9p100;2015;270191936.0;992;j
GQ;tptinc992j;p99.9p100;2016;237492304.0;992;j
GQ;tptinc992j;p99.9p100;2017;223090400.0;992;j
GQ;tptinc992j;p99.99p99.991;1990;121628648.0;992;j
