country;variable;percentile;year;value;age;pop
GT;npopul802f;p0p100;1950;3504.0;802;f
GT;npopul802f;p0p100;1951;3709.0;802;f
GT;npopul802f;p0p100;1952;3871.0;802;f
GT;npopul802f;p0p100;1953;4002.0;802;f
GT;npopul802f;p0p100;1954;4106.0;802;f
GT;npopul802f;p0p100;1955;4185.0;802;f
GT;npopul802f;p0p100;1956;4571.0;802;f
GT;npopul802f;p0p100;1957;4922.0;802;f
GT;npopul802f;p0p100;1958;5209.0;802;f
GT;npopul802f;p0p100;1959;5416.0;802;f
GT;npopul802f;p0p100;1960;5551.0;802;f
GT;npopul802f;p0p100;1961;5999.0;802;f
GT;npopul802f;p0p100;1962;6356.0;802;f
GT;npopul802f;p0p100;1963;6627.0;802;f
GT;npopul802f;p0p100;1964;6844.0;802;f
GT;npopul802f;p0p100;1965;7030.0;802;f
GT;npopul802f;p0p100;1966;7611.0;802;f
GT;npopul802f;p0p100;1967;8124.0;802;f
GT;npopul802f;p0p100;1968;8540.0;802;f
GT;npopul802f;p0p100;1969;8853.0;802;f
GT;npopul802f;p0p100;1970;9070.0;802;f
GT;npopul802f;p0p100;1971;9693.0;802;f
GT;npopul802f;p0p100;1972;10199.0;802;f
GT;npopul802f;p0p100;1973;10596.0;802;f
GT;npopul802f;p0p100;1974;10928.0;802;f
GT;npopul802f;p0p100;1975;11217.0;802;f
GT;npopul802f;p0p100;1976;11975.0;802;f
GT;npopul802f;p0p100;1977;12605.0;802;f
GT;npopul802f;p0p100;1978;13115.0;802;f
GT;npopul802f;p0p100;1979;13556.0;802;f
GT;npopul802f;p0p100;1980;13955.0;802;f
GT;npopul802f;p0p100;1981;14913.0;802;f
GT;npopul802f;p0p100;1982;15752.0;802;f
GT;npopul802f;p0p100;1983;16409.0;802;f
GT;npopul802f;p0p100;1984;16850.0;802;f
GT;npopul802f;p0p100;1985;17087.0;802;f
GT;npopul802f;p0p100;1986;17893.0;802;f
GT;npopul802f;p0p100;1987;18494.0;802;f
GT;npopul802f;p0p100;1988;18935.0;802;f
GT;npopul802f;p0p100;1989;19318.0;802;f
GT;npopul802f;p0p100;1990;19697.0;802;f
GT;npopul802f;p0p100;1991;20831.0;802;f
