country;variable;percentile;year;value;age;pop
GU;xlcyux999i;p0p100;2018;0.15666421;999;i
GU;xlcusx999i;p0p100;2018;1.0;999;i
GU;xlceux999i;p0p100;2018;1.2258255;999;i
GU;npopul999m;p0p100;1950;40452.0;999;m
GU;npopul999m;p0p100;1951;40408.0;999;m
GU;npopul999m;p0p100;1952;40311.0;999;m
GU;npopul999m;p0p100;1953;40140.0;999;m
GU;npopul999m;p0p100;1954;39911.0;999;m
GU;npopul999m;p0p100;1955;39623.0;999;m
GU;npopul999m;p0p100;1956;39320.0;999;m
GU;npopul999m;p0p100;1957;39044.0;999;m
GU;npopul999m;p0p100;1958;38865.0;999;m
GU;npopul999m;p0p100;1959;38847.0;999;m
GU;npopul999m;p0p100;1960;39043.0;999;m
GU;npopul999m;p0p100;1961;39481.0;999;m
GU;npopul999m;p0p100;1962;40154.0;999;m
GU;npopul999m;p0p100;1963;40985.0;999;m
GU;npopul999m;p0p100;1964;41874.0;999;m
GU;npopul999m;p0p100;1965;42753.0;999;m
GU;npopul999m;p0p100;1966;43593.0;999;m
GU;npopul999m;p0p100;1967;44407.0;999;m
GU;npopul999m;p0p100;1968;45198.0;999;m
GU;npopul999m;p0p100;1969;45979.0;999;m
GU;npopul999m;p0p100;1970;46740.0;999;m
GU;npopul999m;p0p100;1971;47496.0;999;m
GU;npopul999m;p0p100;1972;48229.0;999;m
GU;npopul999m;p0p100;1973;48951.0;999;m
GU;npopul999m;p0p100;1974;49661.0;999;m
GU;npopul999m;p0p100;1975;50357.0;999;m
GU;npopul999m;p0p100;1976;51035.0;999;m
GU;npopul999m;p0p100;1977;51717.0;999;m
GU;npopul999m;p0p100;1978;52441.0;999;m
GU;npopul999m;p0p100;1979;53282.0;999;m
GU;npopul999m;p0p100;1980;54296.0;999;m
GU;npopul999m;p0p100;1981;55487.0;999;m
GU;npopul999m;p0p100;1982;56836.0;999;m
GU;npopul999m;p0p100;1983;58330.0;999;m
GU;npopul999m;p0p100;1984;59897.0;999;m
GU;npopul999m;p0p100;1985;61508.0;999;m
GU;npopul999m;p0p100;1986;63144.0;999;m
GU;npopul999m;p0p100;1987;64806.0;999;m
GU;npopul999m;p0p100;1988;66460.0;999;m
GU;npopul999m;p0p100;1989;68070.0;999;m
GU;npopul999m;p0p100;1990;69607.0;999;m
GU;npopul999m;p0p100;1991;71060.0;999;m
GU;npopul999m;p0p100;1992;72412.0;999;m
GU;npopul999m;p0p100;1993;73669.0;999;m
GU;npopul999m;p0p100;1994;74813.0;999;m
GU;npopul999m;p0p100;1995;75854.0;999;m
GU;npopul999m;p0p100;1996;76788.0;999;m
GU;npopul999m;p0p100;1997;77604.0;999;m
GU;npopul999m;p0p100;1998;78317.0;999;m
GU;npopul999m;p0p100;1999;78921.0;999;m
GU;npopul999m;p0p100;2000;79427.0;999;m
GU;npopul999m;p0p100;2001;79845.0;999;m
GU;npopul999m;p0p100;2002;80173.0;999;m
GU;npopul999m;p0p100;2003;80431.0;999;m
GU;npopul999m;p0p100;2004;80609.0;999;m
GU;npopul999m;p0p100;2005;80748.0;999;m
GU;npopul999m;p0p100;2006;80839.0;999;m
GU;npopul999m;p0p100;2007;80896.0;999;m
GU;npopul999m;p0p100;2008;80942.0;999;m
GU;npopul999m;p0p100;2009;80978.0;999;m
GU;npopul999m;p0p100;2010;81023.0;999;m
GU;npopul999m;p0p100;2011;81093.0;999;m
GU;npopul999m;p0p100;2012;81175.0;999;m
GU;npopul999m;p0p100;2013;81328.0;999;m
GU;npopul999m;p0p100;2014;81556.0;999;m
GU;npopul999m;p0p100;2015;81917.0;999;m
GU;npopul999m;p0p100;2016;82410.0;999;m
