country;variable;percentile;year;value;age;pop
GY;xlcyux999i;p0p100;1960;0.69635379;999;i
GY;xlcyux999i;p0p100;1961;0.69635379;999;i
GY;xlcyux999i;p0p100;1962;0.69635379;999;i
GY;xlcyux999i;p0p100;1963;0.69635379;999;i
GY;xlcyux999i;p0p100;1964;0.69635379;999;i
GY;xlcyux999i;p0p100;1965;0.69635379;999;i
GY;xlcyux999i;p0p100;1966;0.69635379;999;i
GY;xlcyux999i;p0p100;1967;0.70602524;999;i
GY;xlcyux999i;p0p100;1968;0.81241071;999;i
GY;xlcyux999i;p0p100;1969;0.81241071;999;i
GY;xlcyux999i;p0p100;1970;0.81241071;999;i
GY;xlcyux999i;p0p100;1971;0.80780447;999;i
GY;xlcyux999i;p0p100;1972;0.92971545;999;i
GY;xlcyux999i;p0p100;1973;1.0586909;999;i
GY;xlcyux999i;p0p100;1974;1.1355093;999;i
GY;xlcyux999i;p0p100;1975;1.2664558;999;i
GY;xlcyux999i;p0p100;1976;1.3134748;999;i
GY;xlcyux999i;p0p100;1977;1.372574;999;i
GY;xlcyux999i;p0p100;1978;1.514621;999;i
GY;xlcyux999i;p0p100;1979;1.6399357;999;i
GY;xlcyux999i;p0p100;1980;1.7018311;999;i
GY;xlcyux999i;p0p100;1981;1.6500037;999;i
GY;xlcyux999i;p0p100;1982;1.5851699;999;i
GY;xlcyux999i;p0p100;1983;1.5184684;999;i
GY;xlcyux999i;p0p100;1984;1.6515098;999;i
GY;xlcyux999i;p0p100;1985;1.4478548;999;i
GY;xlcyux999i;p0p100;1986;1.2373804;999;i
GY;xlcyux999i;p0p100;1987;2.6210563;999;i
GY;xlcyux999i;p0p100;1988;2.6866553;999;i
GY;xlcyux999i;p0p100;1989;7.2132721;999;i
GY;xlcyux999i;p0p100;1990;8.2650242;999;i
GY;xlcyux999i;p0p100;1991;21.003653;999;i
GY;xlcyux999i;p0p100;1992;22.667589;999;i
GY;xlcyux999i;p0p100;1993;21.994335;999;i
GY;xlcyux999i;p0p100;1994;16.04529;999;i
GY;xlcyux999i;p0p100;1995;17.001806;999;i
GY;xlcyux999i;p0p100;1996;16.883816;999;i
GY;xlcyux999i;p0p100;1997;17.177801;999;i
GY;xlcyux999i;p0p100;1998;18.180931;999;i
GY;xlcyux999i;p0p100;1999;21.501526;999;i
GY;xlcyux999i;p0p100;2000;22.036589;999;i
GY;xlcyux999i;p0p100;2001;22.631302;999;i
GY;xlcyux999i;p0p100;2002;23.035637;999;i
GY;xlcyux999i;p0p100;2003;23.423639;999;i
GY;xlcyux999i;p0p100;2004;23.959436;999;i
GY;xlcyux999i;p0p100;2005;24.391905;999;i
GY;xlcyux999i;p0p100;2006;25.106903;999;i
GY;xlcyux999i;p0p100;2007;26.5982;999;i
GY;xlcyux999i;p0p100;2008;29.305431;999;i
GY;xlcyux999i;p0p100;2009;29.854717;999;i
GY;xlcyux999i;p0p100;2010;30.077953;999;i
GY;xlcyux999i;p0p100;2011;31.574512;999;i
GY;xlcyux999i;p0p100;2012;32.374454;999;i
GY;xlcyux999i;p0p100;2013;33.150772;999;i
GY;xlcyux999i;p0p100;2014;33.604851;999;i
GY;xlcyux999i;p0p100;2015;33.159435;999;i
GY;xlcyux999i;p0p100;2016;31.07844;999;i
GY;xlcyux999i;p0p100;2017;30.552963;999;i
GY;xlcyux999i;p0p100;2018;31.163862;999;i
GY;xlcyup999i;p0p100;1960;0.95634764;999;i
GY;xlcyup999i;p0p100;1961;0.80903327;999;i
GY;xlcyup999i;p0p100;1962;0.94777548;999;i
GY;xlcyup999i;p0p100;1963;1.0394362;999;i
GY;xlcyup999i;p0p100;1964;1.0064187;999;i
GY;xlcyup999i;p0p100;1965;0.92482966;999;i
GY;xlcyup999i;p0p100;1966;0.93447006;999;i
GY;xlcyup999i;p0p100;1967;0.95401204;999;i
GY;xlcyup999i;p0p100;1968;1.0099924;999;i
GY;xlcyup999i;p0p100;1969;1.0280311;999;i
GY;xlcyup999i;p0p100;1970;1.0376319;999;i
GY;xlcyup999i;p0p100;1971;1.0295724;999;i
GY;xlcyup999i;p0p100;1972;1.1130865;999;i
GY;xlcyup999i;p0p100;1973;1.155152;999;i
GY;xlcyup999i;p0p100;1974;1.5858558;999;i
GY;xlcyup999i;p0p100;1975;1.7655613;999;i
GY;xlcyup999i;p0p100;1976;1.5752116;999;i
GY;xlcyup999i;p0p100;1977;1.5810239;999;i
GY;xlcyup999i;p0p100;1978;1.7721173;999;i
GY;xlcyup999i;p0p100;1979;1.8017802;999;i
GY;xlcyup999i;p0p100;1980;1.893597;999;i
GY;xlcyup999i;p0p100;1981;1.9481281;999;i
GY;xlcyup999i;p0p100;1982;2.0041142;999;i
GY;xlcyup999i;p0p100;1983;2.140192;999;i
GY;xlcyup999i;p0p100;1984;2.6672537;999;i
GY;xlcyup999i;p0p100;1985;2.9402544;999;i
GY;xlcyup999i;p0p100;1986;3.1782136;999;i
GY;xlcyup999i;p0p100;1987;4.4519739;999;i
GY;xlcyup999i;p0p100;1988;4.9276233;999;i
GY;xlcyup999i;p0p100;1989;10.921286;999;i
GY;xlcyup999i;p0p100;1990;15.074828;999;i
GY;xlcyup999i;p0p100;1991;34.118832;999;i
GY;xlcyup999i;p0p100;1992;34.642036;999;i
GY;xlcyup999i;p0p100;1993;31.918455;999;i
GY;xlcyup999i;p0p100;1994;29.610731;999;i
GY;xlcyup999i;p0p100;1995;27.566908;999;i
GY;xlcyup999i;p0p100;1996;25.958511;999;i
GY;xlcyup999i;p0p100;1997;24.718607;999;i
GY;xlcyup999i;p0p100;1998;25.277786;999;i
GY;xlcyup999i;p0p100;1999;27.791338;999;i
GY;xlcyup999i;p0p100;2000;27.748774;999;i
