country;variable;percentile;year;value;age;pop
HK;xlcyux999i;p0p100;1960;2.3211794;999;i
HK;xlcyux999i;p0p100;1961;2.3211794;999;i
HK;xlcyux999i;p0p100;1962;2.3211794;999;i
HK;xlcyux999i;p0p100;1963;2.3211794;999;i
HK;xlcyux999i;p0p100;1964;2.3211794;999;i
HK;xlcyux999i;p0p100;1965;2.3211794;999;i
HK;xlcyux999i;p0p100;1966;2.3211794;999;i
HK;xlcyux999i;p0p100;1967;2.3329017;999;i
HK;xlcyux999i;p0p100;1968;2.4618483;999;i
HK;xlcyux999i;p0p100;1969;2.4618483;999;i
HK;xlcyux999i;p0p100;1970;2.4618483;999;i
HK;xlcyux999i;p0p100;1971;2.4292748;999;i
HK;xlcyux999i;p0p100;1972;2.5128062;999;i
HK;xlcyux999i;p0p100;1973;2.5869408;999;i
HK;xlcyux999i;p0p100;1974;2.565685;999;i
HK;xlcyux999i;p0p100;1975;2.6535676;999;i
HK;xlcyux999i;p0p100;1976;2.5263784;999;i
HK;xlcyux999i;p0p100;1977;2.5093882;999;i
HK;xlcyux999i;p0p100;1978;2.7819529;999;i
HK;xlcyux999i;p0p100;1979;3.2172751;999;i
HK;xlcyux999i;p0p100;1980;3.3209622;999;i
HK;xlcyux999i;p0p100;1981;3.279083;999;i
HK;xlcyux999i;p0p100;1982;3.207283;999;i
HK;xlcyux999i;p0p100;1983;3.6773086;999;i
HK;xlcyux999i;p0p100;1984;3.369767;999;i
HK;xlcyux999i;p0p100;1985;2.6529303;999;i
HK;xlcyux999i;p0p100;1986;2.2600069;999;i
HK;xlcyux999i;p0p100;1987;2.0951211;999;i
HK;xlcyux999i;p0p100;1988;2.0972033;999;i
HK;xlcyux999i;p0p100;1989;2.0716314;999;i
HK;xlcyux999i;p0p100;1990;1.6285617;999;i
HK;xlcyux999i;p0p100;1991;1.459815;999;i
HK;xlcyux999i;p0p100;1992;1.4036548;999;i
HK;xlcyux999i;p0p100;1993;1.3425268;999;i
HK;xlcyux999i;p0p100;1994;0.89669877;999;i
HK;xlcyux999i;p0p100;1995;0.92628992;999;i
HK;xlcyux999i;p0p100;1996;0.93024921;999;i
HK;xlcyux999i;p0p100;1997;0.933927;999;i
HK;xlcyux999i;p0p100;1998;0.93554443;999;i
HK;xlcyux999i;p0p100;1999;0.93709427;999;i
HK;xlcyux999i;p0p100;2000;0.94113219;999;i
HK;xlcyux999i;p0p100;2001;0.94221163;999;i
HK;xlcyux999i;p0p100;2002;0.94224441;999;i
HK;xlcyux999i;p0p100;2003;0.94076544;999;i
HK;xlcyux999i;p0p100;2004;0.94094324;999;i
HK;xlcyux999i;p0p100;2005;0.94911307;999;i
HK;xlcyux999i;p0p100;2006;0.97421378;999;i
HK;xlcyux999i;p0p100;2007;1.0254859;999;i
HK;xlcyux999i;p0p100;2008;1.1206245;999;i
HK;xlcyux999i;p0p100;2009;1.1347208;999;i
HK;xlcyux999i;p0p100;2010;1.1475418;999;i
HK;xlcyux999i;p0p100;2011;1.204681;999;i
HK;xlcyux999i;p0p100;2012;1.2287719;999;i
HK;xlcyux999i;p0p100;2013;1.2518241;999;i
HK;xlcyux999i;p0p100;2014;1.2621741;999;i
HK;xlcyux999i;p0p100;2015;1.2447635;999;i
HK;xlcyux999i;p0p100;2016;1.1682258;999;i
HK;xlcyux999i;p0p100;2018;1.2251222;999;i
HK;xlcyup999i;p0p100;1952;2.2987292;999;i
HK;xlcyup999i;p0p100;1953;2.2107213;999;i
HK;xlcyup999i;p0p100;1954;1.9845259;999;i
HK;xlcyup999i;p0p100;1955;1.9593991;999;i
HK;xlcyup999i;p0p100;1956;1.969475;999;i
HK;xlcyup999i;p0p100;1957;1.9099321;999;i
HK;xlcyup999i;p0p100;1958;1.8547925;999;i
HK;xlcyup999i;p0p100;1959;1.7778652;999;i
HK;xlcyup999i;p0p100;1960;1.6805003;999;i
HK;xlcyup999i;p0p100;1961;1.3912195;999;i
HK;xlcyup999i;p0p100;1962;1.6016037;999;i
