country;variable;percentile;year;value;age;pop
HN;xlcyux999i;p0p100;1960;0.81241071;999;i
HN;xlcyux999i;p0p100;1961;0.81241071;999;i
HN;xlcyux999i;p0p100;1962;0.81241071;999;i
HN;xlcyux999i;p0p100;1963;0.81241071;999;i
HN;xlcyux999i;p0p100;1964;0.81241071;999;i
HN;xlcyux999i;p0p100;1965;0.81241071;999;i
HN;xlcyux999i;p0p100;1966;0.81241071;999;i
HN;xlcyux999i;p0p100;1967;0.81241071;999;i
HN;xlcyux999i;p0p100;1968;0.81241071;999;i
HN;xlcyux999i;p0p100;1969;0.81241071;999;i
HN;xlcyux999i;p0p100;1970;0.81241071;999;i
HN;xlcyux999i;p0p100;1971;0.81241071;999;i
HN;xlcyux999i;p0p100;1972;0.89084637;999;i
HN;xlcyux999i;p0p100;1973;1.0053208;999;i
HN;xlcyux999i;p0p100;1974;1.0198321;999;i
HN;xlcyux999i;p0p100;1975;1.0753709;999;i
HN;xlcyux999i;p0p100;1976;1.0301763;999;i
HN;xlcyux999i;p0p100;1977;1.0765285;999;i
HN;xlcyux999i;p0p100;1978;1.1879381;999;i
HN;xlcyux999i;p0p100;1979;1.2862241;999;i
HN;xlcyux999i;p0p100;1980;1.3347695;999;i
HN;xlcyux999i;p0p100;1981;1.1733359;999;i
HN;xlcyux999i;p0p100;1982;1.0567799;999;i
HN;xlcyux999i;p0p100;1983;1.0123123;999;i
HN;xlcyux999i;p0p100;1984;0.86205351;999;i
HN;xlcyux999i;p0p100;1985;0.68104619;999;i
HN;xlcyux999i;p0p100;1986;0.57924145;999;i
HN;xlcyux999i;p0p100;1987;0.53733104;999;i
HN;xlcyux999i;p0p100;1988;0.53733104;999;i
HN;xlcyux999i;p0p100;1989;0.5311932;999;i
HN;xlcyux999i;p0p100;1990;0.85967052;999;i
HN;xlcyux999i;p0p100;1991;0.99873674;999;i
HN;xlcyux999i;p0p100;1992;0.9969762;999;i
HN;xlcyux999i;p0p100;1993;1.1231569;999;i
HN;xlcyux999i;p0p100;1994;0.97563612;999;i
HN;xlcyux999i;p0p100;1995;1.1340575;999;i
HN;xlcyux999i;p0p100;1996;1.407873;999;i
HN;xlcyux999i;p0p100;1997;1.5686082;999;i
HN;xlcyux999i;p0p100;1998;1.6167511;999;i
HN;xlcyux999i;p0p100;1999;1.7169291;999;i
HN;xlcyux999i;p0p100;2000;1.7926698;999;i
HN;xlcyux999i;p0p100;2001;1.8698438;999;i
HN;xlcyux999i;p0p100;2002;1.9858816;999;i
HN;xlcyux999i;p0p100;2003;2.0964618;999;i
HN;xlcyux999i;p0p100;2004;2.2000921;999;i
HN;xlcyux999i;p0p100;2005;2.2982199;999;i
HN;xlcyux999i;p0p100;2006;2.3697691;999;i
HN;xlcyux999i;p0p100;2007;2.4837356;999;i
HN;xlcyux999i;p0p100;2008;2.7204916;999;i
HN;xlcyux999i;p0p100;2009;2.7659125;999;i
HN;xlcyux999i;p0p100;2010;2.7908936;999;i
HN;xlcyux999i;p0p100;2011;2.9276876;999;i
HN;xlcyux999i;p0p100;2012;3.0895472;999;i
HN;xlcyux999i;p0p100;2013;3.285115;999;i
HN;xlcyux999i;p0p100;2014;3.4161932;999;i
HN;xlcyux999i;p0p100;2015;3.5239205;999;i
HN;xlcyux999i;p0p100;2016;3.4366922;999;i
HN;xlcyux999i;p0p100;2017;3.4750607;999;i
HN;xlcyux999i;p0p100;2018;3.58992;999;i
HN;xlcyup999i;p0p100;1960;0.60721159;999;i
HN;xlcyup999i;p0p100;1961;0.51316333;999;i
HN;xlcyup999i;p0p100;1962;0.59637934;999;i
HN;xlcyup999i;p0p100;1963;0.64997053;999;i
HN;xlcyup999i;p0p100;1964;0.66834247;999;i
HN;xlcyup999i;p0p100;1965;0.63832569;999;i
HN;xlcyup999i;p0p100;1966;0.64931029;999;i
HN;xlcyup999i;p0p100;1967;0.64870805;999;i
HN;xlcyup999i;p0p100;1968;0.65147513;999;i
HN;xlcyup999i;p0p100;1969;0.67088717;999;i
HN;xlcyup999i;p0p100;1970;0.68641543;999;i
HN;xlcyup999i;p0p100;1971;0.67637336;999;i
HN;xlcyup999i;p0p100;1972;0.70073766;999;i
HN;xlcyup999i;p0p100;1973;0.72430354;999;i
HN;xlcyup999i;p0p100;1974;0.8246628;999;i
HN;xlcyup999i;p0p100;1975;0.86684948;999;i
HN;xlcyup999i;p0p100;1976;0.90327698;999;i
HN;xlcyup999i;p0p100;1977;1.0004973;999;i
HN;xlcyup999i;p0p100;1978;1.0264827;999;i
HN;xlcyup999i;p0p100;1979;1.0918963;999;i
HN;xlcyup999i;p0p100;1980;1.1621603;999;i
HN;xlcyup999i;p0p100;1981;1.2279853;999;i
