country;variable;percentile;year;value;age;pop
HT;xlcyux999i;p0p100;1960;2.0310268;999;i
HT;xlcyux999i;p0p100;1961;2.0310268;999;i
HT;xlcyux999i;p0p100;1962;2.0310268;999;i
HT;xlcyux999i;p0p100;1963;2.0310268;999;i
HT;xlcyux999i;p0p100;1964;2.0310268;999;i
HT;xlcyux999i;p0p100;1965;2.0310268;999;i
HT;xlcyux999i;p0p100;1966;2.0310268;999;i
HT;xlcyux999i;p0p100;1967;2.0310268;999;i
HT;xlcyux999i;p0p100;1968;2.0310268;999;i
HT;xlcyux999i;p0p100;1969;2.0310268;999;i
HT;xlcyux999i;p0p100;1970;2.0310268;999;i
HT;xlcyux999i;p0p100;1971;2.0310268;999;i
HT;xlcyux999i;p0p100;1972;2.227114;999;i
HT;xlcyux999i;p0p100;1973;2.5133052;999;i
HT;xlcyux999i;p0p100;1974;2.5495825;999;i
HT;xlcyux999i;p0p100;1975;2.6884274;999;i
HT;xlcyux999i;p0p100;1976;2.5754406;999;i
HT;xlcyux999i;p0p100;1977;2.6913216;999;i
HT;xlcyux999i;p0p100;1978;2.9698451;999;i
HT;xlcyux999i;p0p100;1979;3.2155604;999;i
HT;xlcyux999i;p0p100;1980;3.3369238;999;i
HT;xlcyux999i;p0p100;1981;2.9333398;999;i
HT;xlcyux999i;p0p100;1982;2.6419499;999;i
HT;xlcyux999i;p0p100;1983;2.5307806;999;i
HT;xlcyux999i;p0p100;1984;2.1551337;999;i
HT;xlcyux999i;p0p100;1985;1.7026155;999;i
HT;xlcyux999i;p0p100;1986;1.4481035;999;i
HT;xlcyux999i;p0p100;1987;1.3433276;999;i
HT;xlcyux999i;p0p100;1988;1.3433276;999;i
HT;xlcyux999i;p0p100;1989;1.327983;999;i
HT;xlcyux999i;p0p100;1990;1.0453235;999;i
HT;xlcyux999i;p0p100;1991;1.1335193;999;i
HT;xlcyux999i;p0p100;1992;1.7774056;999;i
HT;xlcyux999i;p0p100;1993;2.2253721;999;i
HT;xlcyux999i;p0p100;1994;1.7450341;999;i
HT;xlcyux999i;p0p100;1995;1.809242;999;i
HT;xlcyux999i;p0p100;1996;1.8884797;999;i
HT;xlcyux999i;p0p100;1997;2.0090311;999;i
HT;xlcyux999i;p0p100;1998;2.0250938;999;i
HT;xlcyux999i;p0p100;1999;2.0460715;999;i
HT;xlcyux999i;p0p100;2000;2.5573056;999;i
HT;xlcyux999i;p0p100;2001;2.9514174;999;i
HT;xlcyux999i;p0p100;2002;3.5339656;999;i
HT;xlcyux999i;p0p100;2003;5.1185899;999;i
