country;variable;percentile;year;value;age;pop
ID;xlcyux999i;p0p100;1967;60.761551;999;i
ID;xlcyux999i;p0p100;1968;120.35526;999;i
ID;xlcyux999i;p0p100;1969;132.42294;999;i
ID;xlcyux999i;p0p100;1970;147.38486;999;i
ID;xlcyux999i;p0p100;1971;159.18173;999;i
ID;xlcyux999i;p0p100;1972;184.84976;999;i
ID;xlcyux999i;p0p100;1973;208.60399;999;i
ID;xlcyux999i;p0p100;1974;211.61516;999;i
ID;xlcyux999i;p0p100;1975;223.13947;999;i
ID;xlcyux999i;p0p100;1976;213.76158;999;i
ID;xlcyux999i;p0p100;1977;223.37968;999;i
ID;xlcyux999i;p0p100;1978;262.56128;999;i
ID;xlcyux999i;p0p100;1979;400.69452;999;i
ID;xlcyux999i;p0p100;1980;418.44626;999;i
ID;xlcyux999i;p0p100;1981;370.63138;999;i
ID;xlcyux999i;p0p100;1982;349.4881;999;i
ID;xlcyux999i;p0p100;1983;460.22998;999;i
ID;xlcyux999i;p0p100;1984;442.20966;999;i
ID;xlcyux999i;p0p100;1985;378.17813;999;i
ID;xlcyux999i;p0p100;1986;371.45596;999;i
ID;xlcyux999i;p0p100;1987;441.64542;999;i
ID;xlcyux999i;p0p100;1988;452.89063;999;i
ID;xlcyux999i;p0p100;1989;470.1217;999;i
ID;xlcyux999i;p0p100;1990;385.26721;999;i
ID;xlcyux999i;p0p100;1991;366.36749;999;i
ID;xlcyux999i;p0p100;1992;368.09991;999;i
ID;xlcyux999i;p0p100;1993;362.22125;999;i
ID;xlcyux999i;p0p100;1994;250.70404;999;i
ID;xlcyux999i;p0p100;1995;269.24869;999;i
ID;xlcyux999i;p0p100;1996;281.72327;999;i
ID;xlcyux999i;p0p100;1997;350.95828;999;i
ID;xlcyux999i;p0p100;1998;1209.5269;999;i
ID;xlcyux999i;p0p100;1999;948.8902;999;i
ID;xlcyux999i;p0p100;2000;1017.3064;999;i
ID;xlcyux999i;p0p100;2001;1239.672;999;i
ID;xlcyux999i;p0p100;2002;1124.9534;999;i
ID;xlcyux999i;p0p100;2003;1036.2566;999;i
ID;xlcyux999i;p0p100;2004;1079.9884;999;i
ID;xlcyux999i;p0p100;2005;1184.3258;999;i
ID;xlcyux999i;p0p100;2006;1148.7286;999;i
ID;xlcyux999i;p0p100;2007;1201.5723;999;i
ID;xlcyux999i;p0p100;2008;1395.8043;999;i
ID;xlcyux999i;p0p100;2009;1520.9054;999;i
ID;xlcyux999i;p0p100;2010;1342.6991;999;i
ID;xlcyux999i;p0p100;2011;1357.3452;999;i
ID;xlcyux999i;p0p100;2012;1487.0302;999;i
ID;xlcyux999i;p0p100;2013;1688.4519;999;i
ID;xlcyux999i;p0p100;2014;1931.3646;999;i
ID;xlcyux999i;p0p100;2015;2150.0503;999;i
ID;xlcyux999i;p0p100;2016;2002.9154;999;i
ID;xlcyux999i;p0p100;2017;1979.7834;999;i
ID;xlcyux999i;p0p100;2018;2111.1121;999;i
ID;xlcyup999i;p0p100;1952;0.071842775;999;i
ID;xlcyup999i;p0p100;1953;0.071349986;999;i
ID;xlcyup999i;p0p100;1954;0.073770493;999;i
ID;xlcyup999i;p0p100;1955;0.090609625;999;i
ID;xlcyup999i;p0p100;1956;0.10109885;999;i
ID;xlcyup999i;p0p100;1957;0.11969578;999;i
ID;xlcyup999i;p0p100;1958;0.16159144;999;i
ID;xlcyup999i;p0p100;1959;0.19361493;999;i
ID;xlcyup999i;p0p100;1960;0.25109708;999;i
ID;xlcyup999i;p0p100;1961;0.24860065;999;i
ID;xlcyup999i;p0p100;1962;0.74990904;999;i
ID;xlcyup999i;p0p100;1963;1.7512665;999;i
ID;xlcyup999i;p0p100;1964;3.487967;999;i
ID;xlcyup999i;p0p100;1965;13.200463;999;i
ID;xlcyup999i;p0p100;1966;14.952276;999;i
ID;xlcyup999i;p0p100;1967;39.212234;999;i
ID;xlcyup999i;p0p100;1968;87.513237;999;i
ID;xlcyup999i;p0p100;1969;103.1422;999;i
ID;xlcyup999i;p0p100;1970;113.51483;999;i
ID;xlcyup999i;p0p100;1971;114.7351;999;i
ID;xlcyup999i;p0p100;1972;121.91467;999;i
ID;xlcyup999i;p0p100;1973;156.74754;999;i
ID;xlcyup999i;p0p100;1974;218.61826;999;i
ID;xlcyup999i;p0p100;1975;257.16916;999;i
