country;variable;percentile;year;value;age;pop
IL;xlcyux999i;p0p100;1960;7.31168e-05;999;i
IL;xlcyux999i;p0p100;1961;7.31168e-05;999;i
IL;xlcyux999i;p0p100;1962;0.0001177993;999;i
IL;xlcyux999i;p0p100;1963;0.0001218614;999;i
IL;xlcyux999i;p0p100;1964;0.0001218614;999;i
IL;xlcyux999i;p0p100;1965;0.0001218614;999;i
IL;xlcyux999i;p0p100;1966;0.0001218614;999;i
IL;xlcyux999i;p0p100;1967;0.0001252464;999;i
IL;xlcyux999i;p0p100;1968;0.0001421716;999;i
IL;xlcyux999i;p0p100;1969;0.0001421716;999;i
IL;xlcyux999i;p0p100;1970;0.0001421716;999;i
IL;xlcyux999i;p0p100;1971;0.0001540192;999;i
IL;xlcyux999i;p0p100;1972;0.000186177;999;i
IL;xlcyux999i;p0p100;1973;0.0002108505;999;i
IL;xlcyux999i;p0p100;1974;0.0002269909;999;i
IL;xlcyux999i;p0p100;1975;0.0003406856;999;i
IL;xlcyux999i;p0p100;1976;0.0004082368;999;i
IL;xlcyux999i;p0p100;1977;0.0005622417;999;i
IL;xlcyux999i;p0p100;1978;0.0010356071;999;i
IL;xlcyux999i;p0p100;1979;0.0016339142;999;i
IL;xlcyux999i;p0p100;1980;0.0034198742;999;i
IL;xlcyux999i;p0p100;1981;0.0067059519;999;i
IL;xlcyux999i;p0p100;1982;0.012822439;999;i
IL;xlcyux999i;p0p100;1983;0.028453309;999;i
IL;xlcyux999i;p0p100;1984;0.1263812;999;i
IL;xlcyux999i;p0p100;1985;0.40142542;999;i
IL;xlcyux999i;p0p100;1986;0.43090978;999;i
IL;xlcyux999i;p0p100;1987;0.42842525;999;i
IL;xlcyux999i;p0p100;1988;0.42957827;999;i
IL;xlcyux999i;p0p100;1989;0.50899374;999;i
IL;xlcyux999i;p0p100;1990;0.42151102;999;i
IL;xlcyux999i;p0p100;1991;0.42813089;999;i
IL;xlcyux999i;p0p100;1992;0.445923;999;i
IL;xlcyux999i;p0p100;1993;0.49116695;999;i
IL;xlcyux999i;p0p100;1994;0.3493613;999;i
IL;xlcyux999i;p0p100;1995;0.36057258;999;i
IL;xlcyux999i;p0p100;1996;0.38388056;999;i
IL;xlcyux999i;p0p100;1997;0.41609484;999;i
IL;xlcyux999i;p0p100;1998;0.45900401;999;i
IL;xlcyux999i;p0p100;1999;0.50007147;999;i
IL;xlcyux999i;p0p100;2000;0.49252054;999;i
IL;xlcyux999i;p0p100;2001;0.50810862;999;i
IL;xlcyux999i;p0p100;2002;0.57241142;999;i
IL;xlcyux999i;p0p100;2003;0.55021304;999;i
IL;xlcyux999i;p0p100;2004;0.54151154;999;i
IL;xlcyux999i;p0p100;2005;0.54766005;999;i
IL;xlcyux999i;p0p100;2006;0.55883145;999;i
IL;xlcyux999i;p0p100;2007;0.54000199;999;i
IL;xlcyux999i;p0p100;2008;0.51636195;999;i
IL;xlcyux999i;p0p100;2009;0.57562524;999;i
IL;xlcyux999i;p0p100;2010;0.55226392;999;i
IL;xlcyux999i;p0p100;2011;0.5537647;999;i
IL;xlcyux999i;p0p100;2012;0.61085528;999;i
IL;xlcyux999i;p0p100;2013;0.58277905;999;i
IL;xlcyux999i;p0p100;2014;0.58239818;999;i
IL;xlcyux999i;p0p100;2015;0.6241414;999;i
IL;xlcyux999i;p0p100;2016;0.57800877;999;i
IL;xlcyux999i;p0p100;2017;0.53257668;999;i
IL;xlcyux999i;p0p100;2018;0.54119104;999;i
IL;xlcyup999i;p0p100;1960;0.000111653;999;i
IL;xlcyup999i;p0p100;1961;9.83655e-05;999;i
IL;xlcyup999i;p0p100;1962;0.0001209562;999;i
IL;xlcyup999i;p0p100;1963;0.0001390076;999;i
IL;xlcyup999i;p0p100;1964;0.0001425972;999;i
IL;xlcyup999i;p0p100;1965;0.0001315654;999;i
IL;xlcyup999i;p0p100;1966;0.0001418186;999;i
IL;xlcyup999i;p0p100;1967;0.0001357372;999;i
IL;xlcyup999i;p0p100;1968;0.0001324895;999;i
IL;xlcyup999i;p0p100;1969;0.0001350957;999;i
IL;xlcyup999i;p0p100;1970;0.0001696146;999;i
IL;xlcyup999i;p0p100;1971;0.0001880059;999;i
IL;xlcyup999i;p0p100;1972;0.0002186299;999;i
IL;xlcyup999i;p0p100;1973;0.0002622276;999;i
IL;xlcyup999i;p0p100;1974;0.0003524582;999;i
IL;xlcyup999i;p0p100;1975;0.0004756025;999;i
IL;xlcyup999i;p0p100;1976;0.0005998849;999;i
IL;xlcyup999i;p0p100;1977;0.0008383371;999;i
IL;xlcyup999i;p0p100;1978;0.0012783082;999;i
IL;xlcyup999i;p0p100;1979;0.0021570981;999;i
IL;xlcyup999i;p0p100;1980;0.0045704017;999;i
IL;xlcyup999i;p0p100;1981;0.010122357;999;i
IL;xlcyup999i;p0p100;1982;0.02268743;999;i
IL;xlcyup999i;p0p100;1983;0.056088641;999;i
IL;xlcyup999i;p0p100;1984;0.27544129;999;i
IL;xlcyup999i;p0p100;1985;0.98106277;999;i
IL;xlcyup999i;p0p100;1986;1.3960738;999;i
IL;xlcyup999i;p0p100;1987;1.5681814;999;i
IL;xlcyup999i;p0p100;1988;1.6164117;999;i
IL;xlcyup999i;p0p100;1989;1.6188717;999;i
IL;xlcyup999i;p0p100;1990;1.6564015;999;i
IL;xlcyup999i;p0p100;1991;1.9188702;999;i
IL;xlcyup999i;p0p100;1992;1.962891;999;i
IL;xlcyup999i;p0p100;1993;1.7185526;999;i
IL;xlcyup999i;p0p100;1994;1.5265652;999;i
IL;xlcyup999i;p0p100;1995;1.3675334;999;i
IL;xlcyup999i;p0p100;1996;1.3691278;999;i
IL;xlcyup999i;p0p100;1997;1.3931631;999;i
IL;xlcyup999i;p0p100;1998;1.4784333;999;i
IL;xlcyup999i;p0p100;1999;1.5532391;999;i
IL;xlcyup999i;p0p100;2000;1.487499;999;i
IL;xlcyup999i;p0p100;2001;1.48726;999;i
IL;xlcyup999i;p0p100;2002;1.5536587;999;i
IL;xlcyup999i;p0p100;2003;1.4958169;999;i
IL;xlcyup999i;p0p100;2004;1.4036062;999;i
