country;variable;percentile;year;value;age;pop
IQ;xlcyux999i;p0p100;1960;0.1450734;999;i
IQ;xlcyux999i;p0p100;1961;0.1450734;999;i
IQ;xlcyux999i;p0p100;1962;0.1450734;999;i
IQ;xlcyux999i;p0p100;1963;0.1450734;999;i
IQ;xlcyux999i;p0p100;1964;0.1450734;999;i
IQ;xlcyux999i;p0p100;1965;0.1450734;999;i
IQ;xlcyux999i;p0p100;1966;0.1450734;999;i
IQ;xlcyux999i;p0p100;1967;0.1450734;999;i
IQ;xlcyux999i;p0p100;1968;0.1450734;999;i
IQ;xlcyux999i;p0p100;1969;0.1450734;999;i
IQ;xlcyux999i;p0p100;1970;0.1450734;999;i
IQ;xlcyux999i;p0p100;1971;380.05301;999;i
IQ;xlcyux999i;p0p100;1972;955.23553;999;i
IQ;xlcyux999i;p0p100;1973;980.61188;999;i
IQ;xlcyux999i;p0p100;1974;969.99567;999;i
IQ;xlcyux999i;p0p100;1975;1022.8205;999;i
IQ;xlcyux999i;p0p100;1976;979.83435;999;i
IQ;xlcyux999i;p0p100;1977;1023.9216;999;i
IQ;xlcyux999i;p0p100;1978;1129.8867;999;i
IQ;xlcyux999i;p0p100;1979;1223.3699;999;i
IQ;xlcyux999i;p0p100;1980;1269.543;999;i
IQ;xlcyux999i;p0p100;1981;1115.9982;999;i
IQ;xlcyux999i;p0p100;1982;1016.0545;999;i
IQ;xlcyux999i;p0p100;1983;1013.5198;999;i
IQ;xlcyux999i;p0p100;1984;863.08173;999;i
IQ;xlcyux999i;p0p100;1985;681.85852;999;i
IQ;xlcyux999i;p0p100;1986;579.93237;999;i
IQ;xlcyux999i;p0p100;1987;537.97198;999;i
IQ;xlcyux999i;p0p100;1988;537.97198;999;i
IQ;xlcyux999i;p0p100;1989;531.82684;999;i
IQ;xlcyux999i;p0p100;1990;418.62814;999;i
IQ;xlcyux999i;p0p100;1991;376.1485;999;i
IQ;xlcyux999i;p0p100;1992;363.10678;999;i
IQ;xlcyux999i;p0p100;1993;347.51837;999;i
IQ;xlcyux999i;p0p100;1994;232.32939;999;i
IQ;xlcyux999i;p0p100;1995;239.76617;999;i
IQ;xlcyux999i;p0p100;1996;240.84016;999;i
IQ;xlcyux999i;p0p100;1997;241.54782;999;i
IQ;xlcyux999i;p0p100;1998;241.86464;999;i
IQ;xlcyux999i;p0p100;1999;241.88565;999;i
IQ;xlcyux999i;p0p100;2000;241.87985;999;i
IQ;xlcyux999i;p0p100;2001;241.922;999;i
IQ;xlcyux999i;p0p100;2002;241.92134;999;i
IQ;xlcyux999i;p0p100;2004;175.60126;999;i
IQ;xlcyux999i;p0p100;2005;179.63669;999;i
IQ;xlcyux999i;p0p100;2006;184.03813;999;i
IQ;xlcyux999i;p0p100;2007;164.91119;999;i
IQ;xlcyux999i;p0p100;2008;171.69989;999;i
IQ;xlcyux999i;p0p100;2009;171.26756;999;i
IQ;xlcyux999i;p0p100;2010;172.81441;999;i
IQ;xlcyux999i;p0p100;2011;181.07358;999;i
IQ;xlcyux999i;p0p100;2012;184.74417;999;i
IQ;xlcyux999i;p0p100;2013;188.19327;999;i
IQ;xlcyux999i;p0p100;2014;189.79613;999;i
IQ;xlcyux999i;p0p100;2015;187.4485;999;i
IQ;xlcyux999i;p0p100;2016;177.89209;999;i
IQ;xlcyux999i;p0p100;2017;175.18019;999;i
IQ;xlcyux999i;p0p100;2018;184.35114;999;i
IQ;xlcyup999i;p0p100;1960;0.17301479;999;i
IQ;xlcyup999i;p0p100;1961;0.14162432;999;i
IQ;xlcyup999i;p0p100;1962;0.1619813;999;i
IQ;xlcyup999i;p0p100;1963;0.17968637;999;i
IQ;xlcyup999i;p0p100;1964;0.17466959;999;i
IQ;xlcyup999i;p0p100;1965;0.16268562;999;i
IQ;xlcyup999i;p0p100;1966;0.16448125;999;i
IQ;xlcyup999i;p0p100;1967;0.1654014;999;i
IQ;xlcyup999i;p0p100;1968;0.16733132;999;i
IQ;xlcyup999i;p0p100;1969;0.16890748;999;i
IQ;xlcyup999i;p0p100;1970;0.17266379;999;i
IQ;xlcyup999i;p0p100;1971;0.18120633;999;i
IQ;xlcyup999i;p0p100;1972;0.18765719;999;i
IQ;xlcyup999i;p0p100;1973;0.17355156;999;i
IQ;xlcyup999i;p0p100;1974;0.33500323;999;i
IQ;xlcyup999i;p0p100;1975;0.34503347;999;i
IQ;xlcyup999i;p0p100;1976;0.36018756;999;i
IQ;xlcyup999i;p0p100;1977;0.39315191;999;i
IQ;xlcyup999i;p0p100;1978;0.3882874;999;i
IQ;xlcyup999i;p0p100;1979;0.47130108;999;i
IQ;xlcyup999i;p0p100;1980;0.61784053;999;i
