country;variable;percentile;year;value;age;pop
JM;xlcyux999i;p0p100;1960;0.29014683;999;i
JM;xlcyux999i;p0p100;1961;0.29014683;999;i
JM;xlcyux999i;p0p100;1962;0.29014683;999;i
JM;xlcyux999i;p0p100;1963;0.29014683;999;i
JM;xlcyux999i;p0p100;1964;0.29014683;999;i
JM;xlcyux999i;p0p100;1965;0.29014683;999;i
JM;xlcyux999i;p0p100;1966;0.29014683;999;i
JM;xlcyux999i;p0p100;1967;0.29417676;999;i
JM;xlcyux999i;p0p100;1968;0.33850476;999;i
JM;xlcyux999i;p0p100;1969;0.33850464;999;i
JM;xlcyux999i;p0p100;1970;0.33850434;999;i
JM;xlcyux999i;p0p100;1971;0.33828855;999;i
JM;xlcyux999i;p0p100;1972;0.34184289;999;i
JM;xlcyux999i;p0p100;1973;0.45696336;999;i
JM;xlcyux999i;p0p100;1974;0.46355957;999;i
JM;xlcyux999i;p0p100;1975;0.48880449;999;i
JM;xlcyux999i;p0p100;1976;0.46826148;999;i
JM;xlcyux999i;p0p100;1977;0.48933068;999;i
JM;xlcyux999i;p0p100;1978;0.83943164;999;i
JM;xlcyux999i;p0p100;1979;1.1349503;999;i
JM;xlcyux999i;p0p100;1980;1.1888926;999;i
JM;xlcyux999i;p0p100;1981;1.045102;999;i
JM;xlcyux999i;p0p100;1982;0.94128442;999;i
JM;xlcyux999i;p0p100;1983;0.97800374;999;i
JM;xlcyux999i;p0p100;1984;1.6994541;999;i
JM;xlcyux999i;p0p100;1985;1.8928175;999;i
JM;xlcyux999i;p0p100;1986;1.586494;999;i
JM;xlcyux999i;p0p100;1987;1.4740783;999;i
JM;xlcyux999i;p0p100;1988;1.4745853;999;i
JM;xlcyux999i;p0p100;1989;1.5257573;999;i
JM;xlcyux999i;p0p100;1990;1.5019259;999;i
JM;xlcyux999i;p0p100;1991;2.2759693;999;i
JM;xlcyux999i;p0p100;1992;4.1635633;999;i
JM;xlcyux999i;p0p100;1993;4.3298736;999;i
JM;xlcyux999i;p0p100;1994;3.8388352;999;i
JM;xlcyux999i;p0p100;1995;4.2079229;999;i
JM;xlcyux999i;p0p100;1996;4.4646111;999;i
JM;xlcyux999i;p0p100;1997;4.2708383;999;i
JM;xlcyux999i;p0p100;1998;4.4148064;999;i
JM;xlcyux999i;p0p100;1999;4.7163978;999;i
JM;xlcyux999i;p0p100;2000;5.1924477;999;i
JM;xlcyux999i;p0p100;2001;5.5570703;999;i
JM;xlcyux999i;p0p100;2002;5.8494854;999;i
JM;xlcyux999i;p0p100;2003;6.9760323;999;i
JM;xlcyux999i;p0p100;2004;7.3938227;999;i
JM;xlcyux999i;p0p100;2005;7.6004767;999;i
JM;xlcyux999i;p0p100;2006;8.2453585;999;i
JM;xlcyux999i;p0p100;2007;9.0952177;999;i
JM;xlcyux999i;p0p100;2008;10.470545;999;i
JM;xlcyux999i;p0p100;2009;12.866164;999;i
JM;xlcyux999i;p0p100;2010;12.879272;999;i
JM;xlcyux999i;p0p100;2011;13.293038;999;i
JM;xlcyux999i;p0p100;2012;14.059927;999;i
JM;xlcyux999i;p0p100;2013;16.178982;999;i
JM;xlcyux999i;p0p100;2014;18.057413;999;i
JM;xlcyux999i;p0p100;2015;18.771225;999;i
JM;xlcyux999i;p0p100;2016;18.826918;999;i
JM;xlcyux999i;p0p100;2017;18.933153;999;i
JM;xlcyux999i;p0p100;2018;19.399321;999;i
JM;xlcyup999i;p0p100;1960;0.24402891;999;i
JM;xlcyup999i;p0p100;1961;0.21119946;999;i
JM;xlcyup999i;p0p100;1962;0.24183181;999;i
JM;xlcyup999i;p0p100;1963;0.26260698;999;i
JM;xlcyup999i;p0p100;1964;0.26064989;999;i
JM;xlcyup999i;p0p100;1965;0.25029567;999;i
JM;xlcyup999i;p0p100;1966;0.25285783;999;i
