country;variable;percentile;year;value;age;pop
JP;mpwequ999i;p0p100;1970;32353143179655.0;999;i
JP;mpwequ999i;p0p100;1971;30776934721831.0;999;i
JP;mpwequ999i;p0p100;1972;44937346258078.0;999;i
JP;mpwequ999i;p0p100;1973;54948228233802.0;999;i
JP;mpwequ999i;p0p100;1974;44729121740867.0;999;i
JP;mpwequ999i;p0p100;1975;37596701381810.0;999;i
JP;mpwequ999i;p0p100;1976;38212923490952.0;999;i
JP;mpwequ999i;p0p100;1977;39255729559339.0;999;i
JP;mpwequ999i;p0p100;1978;43581330134776.0;999;i
JP;mpwequ999i;p0p100;1979;51839360075592.0;999;i
JP;mpwequ999i;p0p100;1980;52151948082351.0;999;i
JP;mpwequ999i;p0p100;1981;52835853869037.0;999;i
JP;mpwequ999i;p0p100;1982;54348426262755.0;999;i
JP;mpwequ999i;p0p100;1983;61620195055603.0;999;i
JP;mpwequ999i;p0p100;1984;76112192781361.0;999;i
JP;mpwequ999i;p0p100;1985;91372012026767.0;999;i
JP;mpwequ999i;p0p100;1986;113714669595617.0;999;i
JP;mpwequ999i;p0p100;1987;138165336985943.0;999;i
JP;mpwequ999i;p0p100;1988;170658433675805.0;999;i
JP;mpwequ999i;p0p100;1989;226746020095024.0;999;i
JP;mpwequ999i;p0p100;1990;211415395543197.0;999;i
JP;mpwequ999i;p0p100;1991;157357322135422.0;999;i
JP;mpwequ999i;p0p100;1992;129556106932109.0;999;i
JP;mpwequ999i;p0p100;1993;112870752257367.0;999;i
JP;mpwequ999i;p0p100;1994;124608024602916.0;999;i
JP;mpwequ999i;p0p100;1995;133843914241753.0;999;i
JP;mpwequ999i;p0p100;1996;135543744005130.0;999;i
JP;mpwequ999i;p0p100;1997;120539575036994.0;999;i
JP;mpwequ999i;p0p100;1998;103544237526723.0;999;i
JP;mpwequ999i;p0p100;1999;126447214264465.0;999;i
JP;mpwequ999i;p0p100;2000;147632254803272.0;999;i
JP;mpwequ999i;p0p100;2001;131988338215783.0;999;i
JP;mpwequ999i;p0p100;2002;116499981608242.0;999;i
JP;mpwequ999i;p0p100;2003;128749101667061.0;999;i
JP;mpwequ999i;p0p100;2004;159331732713453.0;999;i
JP;mpwequ999i;p0p100;2005;218998863287649.0;999;i
JP;mpwequ999i;p0p100;2006;279230454282351.0;999;i
JP;mpwequ999i;p0p100;2007;261688008802961.0;999;i
JP;mpwequ999i;p0p100;2008;187991243587554.0;999;i
JP;mpwequ999i;p0p100;2009;153309895552542.0;999;i
JP;mpwequ999i;p0p100;2010;171618891555979.0;999;i
JP;mpwequ999i;p0p100;2011;173726773314014.0;999;i
JP;mpwequ999i;p0p100;2012;180893697315876.0;999;i
JP;mpwequ999i;p0p100;2013;233754975755511.0;999;i
JP;mpwequ999i;p0p100;2014;280535935131336.0;999;i
JP;mpwequ999i;p0p100;2015;295131876584587.0;999;i
JP;mpweqi999i;p0p100;1970;25707886740135.0;999;i
JP;mpweqi999i;p0p100;1971;24455427642496.0;999;i
JP;mpweqi999i;p0p100;1972;35707325300355.0;999;i
JP;mpweqi999i;p0p100;1973;43661996615339.0;999;i
JP;mpweqi999i;p0p100;1974;35541869589444.0;999;i
JP;mpweqi999i;p0p100;1975;29874430918788.0;999;i
JP;mpweqi999i;p0p100;1976;30364082514635.0;999;i
JP;mpweqi999i;p0p100;1977;31192698768368.0;999;i
JP;mpweqi999i;p0p100;1978;34629831570548.0;999;i
JP;mpweqi999i;p0p100;1979;41191682369287.0;999;i
JP;mpweqi999i;p0p100;1980;41440065564375.0;999;i
JP;mpweqi999i;p0p100;1981;41983498776023.0;999;i
JP;mpweqi999i;p0p100;1982;43185392501403.0;999;i
JP;mpweqi999i;p0p100;1983;48963557778542.0;999;i
JP;mpweqi999i;p0p100;1984;60478934633993.0;999;i
JP;mpweqi999i;p0p100;1985;72604424347850.0;999;i
JP;mpweqi999i;p0p100;1986;90357954725535.0;999;i
JP;mpweqi999i;p0p100;1987;109786514865760.0;999;i
JP;mpweqi999i;p0p100;1988;135605609007578.0;999;i
JP;mpweqi999i;p0p100;1989;180172942425110.0;999;i
JP;mpweqi999i;p0p100;1990;167991190641507.0;999;i
JP;mpweqi999i;p0p100;1991;125036513229178.0;999;i
JP;mpweqi999i;p0p100;1992;102945599597814.0;999;i
JP;mpweqi999i;p0p100;1993;89687375943459.0;999;i
JP;mpweqi999i;p0p100;1994;98272630596441.0;999;i
JP;mpweqi999i;p0p100;1995;103243818276855.0;999;i
JP;mpweqi999i;p0p100;1996;102511302392926.0;999;i
JP;mpweqi999i;p0p100;1997;88670934875096.0;999;i
JP;mpweqi999i;p0p100;1998;72613979833961.0;999;i
JP;mpweqi999i;p0p100;1999;92910227565404.0;999;i
JP;mpweqi999i;p0p100;2000;110586511267985.0;999;i
JP;mpweqi999i;p0p100;2001;93857933352372.0;999;i
JP;mpweqi999i;p0p100;2002;80528259982902.0;999;i
JP;mpweqi999i;p0p100;2003;92993428646776.0;999;i
JP;mpweqi999i;p0p100;2004;119047054512295.0;999;i
JP;mpweqi999i;p0p100;2005;172399465944738.0;999;i
JP;mpweqi999i;p0p100;2006;219945505218027.0;999;i
JP;mpweqi999i;p0p100;2007;188663348195448.0;999;i
JP;mpweqi999i;p0p100;2008;121311393142273.0;999;i
JP;mpweqi999i;p0p100;2009;93295993796783.0;999;i
JP;mpweqi999i;p0p100;2010;103494109925687.0;999;i
JP;mpweqi999i;p0p100;2011;104756601117391.0;999;i
JP;mpweqi999i;p0p100;2012;110303969003685.0;999;i
JP;mpweqi999i;p0p100;2013;150665229768174.0;999;i
JP;mpweqi999i;p0p100;2014;184138791186048.0;999;i
JP;mpweqi999i;p0p100;2015;192757110168715.0;999;i
JP;mpweal999i;p0p100;1970;410251341546821.0;999;i
JP;mpweal999i;p0p100;1971;467573115072636.0;999;i
JP;mpweal999i;p0p100;1972;575908246339203.0;999;i
JP;mpweal999i;p0p100;1973;672282193866855.0;999;i
JP;mpweal999i;p0p100;1974;646266446309402.0;999;i
JP;mpweal999i;p0p100;1975;648796962111102.0;999;i
JP;mpweal999i;p0p100;1976;660617280902329.0;999;i
JP;mpweal999i;p0p100;1977;684244183299314.0;999;i
JP;mpweal999i;p0p100;1978;727066941803087.0;999;i
JP;mpweal999i;p0p100;1979;831946032705033.0;999;i
JP;mpweal999i;p0p100;1980;930730134050548.0;999;i
JP;mpweal999i;p0p100;1981;1012208351350640.0;999;i
JP;mpweal999i;p0p100;1982;1085167657994570.0;999;i
JP;mpweal999i;p0p100;1983;1149756422686180.0;999;i
JP;mpweal999i;p0p100;1984;1199233956351270.0;999;i
JP;mpweal999i;p0p100;1985;1272699773192830.0;999;i
JP;mpweal999i;p0p100;1986;1423223303276570.0;999;i
JP;mpweal999i;p0p100;1987;1717238104548990.0;999;i
JP;mpweal999i;p0p100;1988;1975880667887900.0;999;i
JP;mpweal999i;p0p100;1989;2175964658775670.0;999;i
JP;mpweal999i;p0p100;1990;2320563378415000.0;999;i
JP;mpweal999i;p0p100;1991;2272326267501550.0;999;i
JP;mpweal999i;p0p100;1992;2148421092986000.0;999;i
JP;mpweal999i;p0p100;1993;2084363819247650.0;999;i
JP;mpweal999i;p0p100;1994;2084570273689410.0;999;i
JP;mpweal999i;p0p100;1995;2097501654851010.0;999;i
JP;mpweal999i;p0p100;1996;2123569959906240.0;999;i
JP;mpweal999i;p0p100;1997;2144086548482980.0;999;i
JP;mpweal999i;p0p100;1998;2158490582981630.0;999;i
JP;mpweal999i;p0p100;1999;2205329865901100.0;999;i
JP;mpweal999i;p0p100;2000;2241905288605820.0;999;i
JP;mpweal999i;p0p100;2001;2231810924924450.0;999;i
JP;mpweal999i;p0p100;2002;2221991076810490.0;999;i
JP;mpweal999i;p0p100;2003;2228119612549070.0;999;i
JP;mpweal999i;p0p100;2004;2241533866211770.0;999;i
JP;mpweal999i;p0p100;2005;2302855890506600.0;999;i
JP;mpweal999i;p0p100;2006;2394291348263150.0;999;i
JP;mpweal999i;p0p100;2007;2425223231742340.0;999;i
JP;mpweal999i;p0p100;2008;2380689073679770.0;999;i
JP;mpweal999i;p0p100;2009;2331465529049440.0;999;i
JP;mpweal999i;p0p100;2010;2383745830993130.0;999;i
JP;mpweal999i;p0p100;2011;2412905285578800.0;999;i
JP;mpweal999i;p0p100;2012;2445976143220080.0;999;i
JP;mpweal999i;p0p100;2013;2539005716179100.0;999;i
JP;mpweal999i;p0p100;2014;2583361796903680.0;999;i
JP;mpweal999i;p0p100;2015;2571853229810950.0;999;i
JP;mpwdwe999i;p0p100;1970;49097065536527.0;999;i
JP;mpwdwe999i;p0p100;1971;58104451049389.0;999;i
JP;mpwdwe999i;p0p100;1972;73750755133039.0;999;i
JP;mpwdwe999i;p0p100;1973;93088041330749.0;999;i
JP;mpwdwe999i;p0p100;1974;99763869688245.0;999;i
JP;mpwdwe999i;p0p100;1975;107713729747561.0;999;i
JP;mpwdwe999i;p0p100;1976;115379210489061.0;999;i
JP;mpwdwe999i;p0p100;1977;123424160875633.0;999;i
JP;mpwdwe999i;p0p100;1978;129733325380441.0;999;i
JP;mpwdwe999i;p0p100;1979;148701460181671.0;999;i
JP;mpwdwe999i;p0p100;1980;163881760231884.0;999;i
JP;mpwdwe999i;p0p100;1981;168184720392325.0;999;i
JP;mpwdwe999i;p0p100;1982;170958449441884.0;999;i
JP;mpwdwe999i;p0p100;1983;173022459956525.0;999;i
JP;mpwdwe999i;p0p100;1984;173359037794782.0;999;i
JP;mpwdwe999i;p0p100;1985;175234106442322.0;999;i
JP;mpwdwe999i;p0p100;1986;173454809088073.0;999;i
JP;mpwdwe999i;p0p100;1987;180405526536891.0;999;i
JP;mpwdwe999i;p0p100;1988;191095381839936.0;999;i
JP;mpwdwe999i;p0p100;1989;202720194016862.0;999;i
JP;mpwdwe999i;p0p100;1990;217598532939150.0;999;i
JP;mpwdwe999i;p0p100;1991;225700090511206.0;999;i
JP;mpwdwe999i;p0p100;1992;230249076841722.0;999;i
JP;mpwdwe999i;p0p100;1993;235209926082266.0;999;i
JP;mpwdwe999i;p0p100;1994;241192514409879.0;999;i
JP;mpwdwe999i;p0p100;1995;247470718952439.0;999;i
JP;mpwdwe999i;p0p100;1996;257282370836598.0;999;i
JP;mpwdwe999i;p0p100;1997;264756182916768.0;999;i
JP;mpwdwe999i;p0p100;1998;266124013596093.0;999;i
JP;mpwdwe999i;p0p100;1999;268644764828489.0;999;i
JP;mpwdwe999i;p0p100;2000;273590414306778.0;999;i
JP;mpwdwe999i;p0p100;2001;277319632134851.0;999;i
JP;mpwdwe999i;p0p100;2002;280115029472166.0;999;i
JP;mpwdwe999i;p0p100;2003;285326159399787.0;999;i
JP;mpwdwe999i;p0p100;2004;292112601054469.0;999;i
JP;mpwdwe999i;p0p100;2005;298310409087175.0;999;i
JP;mpwdwe999i;p0p100;2006;305934689295691.0;999;i
JP;mpwdwe999i;p0p100;2007;314195711923912.0;999;i
JP;mpwdwe999i;p0p100;2008;321696972025224.0;999;i
JP;mpwdwe999i;p0p100;2009;317625833578284.0;999;i
JP;mpwdwe999i;p0p100;2010;316513317386225.0;999;i
