country;variable;percentile;year;value;age;pop
KE;tptinc992j;p99.8p100;1990;9520629.0;992;j
KE;tptinc992j;p99.8p100;1991;9276051.0;992;j
KE;tptinc992j;p99.8p100;1992;8876714.0;992;j
KE;tptinc992j;p99.8p100;1993;7199855.0;992;j
KE;tptinc992j;p99.8p100;1994;5562995.5;992;j
KE;tptinc992j;p99.8p100;1995;5676991.0;992;j
KE;tptinc992j;p99.8p100;1996;5797799.5;992;j
KE;tptinc992j;p99.8p100;1997;5641469.5;992;j
KE;tptinc992j;p99.8p100;1998;5750006.0;992;j
KE;tptinc992j;p99.8p100;1999;5740283.0;992;j
KE;tptinc992j;p99.8p100;2000;5594790.0;992;j
KE;tptinc992j;p99.8p100;2001;5758348.5;992;j
KE;tptinc992j;p99.8p100;2002;5623693.0;992;j
KE;tptinc992j;p99.8p100;2003;5628333.0;992;j
KE;tptinc992j;p99.8p100;2004;5737297.0;992;j
KE;tptinc992j;p99.8p100;2005;5969251.5;992;j
KE;tptinc992j;p99.8p100;2006;6037154.5;992;j
KE;tptinc992j;p99.8p100;2007;6090438.5;992;j
KE;tptinc992j;p99.8p100;2008;5782262.0;992;j
KE;tptinc992j;p99.8p100;2009;5601521.5;992;j
KE;tptinc992j;p99.8p100;2010;5673292.0;992;j
KE;tptinc992j;p99.8p100;2011;5674297.0;992;j
KE;tptinc992j;p99.8p100;2012;5550529.5;992;j
KE;tptinc992j;p99.8p100;2013;5152387.0;992;j
KE;tptinc992j;p99.8p100;2014;4947067.0;992;j
KE;tptinc992j;p99.8p100;2015;4916245.0;992;j
KE;tptinc992j;p99.8p100;2016;5091557.0;992;j
KE;tptinc992j;p99.8p100;2017;5101354.0;992;j
KE;tptinc992j;p99.7p99.8;1990;7310344.5;992;j
KE;tptinc992j;p99.7p99.8;1991;7122547.5;992;j
KE;tptinc992j;p99.7p99.8;1992;6815919.0;992;j
KE;tptinc992j;p99.7p99.8;1993;5640990.5;992;j
KE;tptinc992j;p99.7p99.8;1994;4508913.0;992;j
KE;tptinc992j;p99.7p99.8;1995;4661435.5;992;j
KE;tptinc992j;p99.7p99.8;1996;4821780.0;992;j
KE;tptinc992j;p99.7p99.8;1997;4751015.0;992;j
KE;tptinc992j;p99.7p99.8;1998;4810430.5;992;j
KE;tptinc992j;p99.7p99.8;1999;4771324.5;992;j
KE;tptinc992j;p99.7p99.8;2000;4621101.5;992;j
KE;tptinc992j;p99.7p99.8;2001;4726933.5;992;j
KE;tptinc992j;p99.7p99.8;2002;4588645.0;992;j
KE;tptinc992j;p99.7p99.8;2003;4565447.5;992;j
KE;tptinc992j;p99.7p99.8;2004;4627101.0;992;j
KE;tptinc992j;p99.7p99.8;2005;4787128.0;992;j
KE;tptinc992j;p99.7p99.8;2006;4857703.0;992;j
KE;tptinc992j;p99.7p99.8;2007;4917872.5;992;j
KE;tptinc992j;p99.7p99.8;2008;4686524.5;992;j
