country;variable;percentile;year;value;age;pop
KG;xlcyux999i;p0p100;1994;1.2579193;999;i
KG;xlcyux999i;p0p100;1995;1.295814;999;i
KG;xlcyux999i;p0p100;1996;1.5406891;999;i
KG;xlcyux999i;p0p100;1997;2.0944362;999;i
KG;xlcyux999i;p0p100;1998;2.5169311;999;i
KG;xlcyux999i;p0p100;1999;4.7120748;999;i
KG;xlcyux999i;p0p100;2000;5.7623734;999;i
KG;xlcyux999i;p0p100;2001;5.8448186;999;i
KG;xlcyux999i;p0p100;2002;5.6708112;999;i
KG;xlcyux999i;p0p100;2003;5.2734303;999;i
KG;xlcyux999i;p0p100;2004;5.1529498;999;i
KG;xlcyux999i;p0p100;2005;5.0049105;999;i
KG;xlcyux999i;p0p100;2006;5.0358329;999;i
KG;xlcyux999i;p0p100;2007;4.9051723;999;i
KG;xlcyux999i;p0p100;2008;5.2635498;999;i
KG;xlcyux999i;p0p100;2009;6.2804122;999;i
KG;xlcyux999i;p0p100;2010;6.7891335;999;i
KG;xlcyux999i;p0p100;2011;7.1414032;999;i
KG;xlcyux999i;p0p100;2012;7.4464517;999;i
KG;xlcyux999i;p0p100;2013;7.8179388;999;i
KG;xlcyux999i;p0p100;2014;8.7335615;999;i
KG;xlcyux999i;p0p100;2015;10.35122;999;i
KG;xlcyux999i;p0p100;2016;10.52213;999;i
KG;xlcyux999i;p0p100;2017;10.189253;999;i
KG;xlcyux999i;p0p100;2018;10.748923;999;i
KG;xlcyup999i;p0p100;1987;0.0048996508;999;i
KG;xlcyup999i;p0p100;1988;0.0041585402;999;i
KG;xlcyup999i;p0p100;1989;0.0037537634;999;i
KG;xlcyup999i;p0p100;1990;0.0035771972;999;i
KG;xlcyup999i;p0p100;1991;0.0080987364;999;i
KG;xlcyup999i;p0p100;1992;0.068763927;999;i
KG;xlcyup999i;p0p100;1993;0.46304858;999;i
KG;xlcyup999i;p0p100;1994;1.0265813;999;i
KG;xlcyup999i;p0p100;1995;1.2175049;999;i
KG;xlcyup999i;p0p100;1996;1.4920008;999;i
KG;xlcyup999i;p0p100;1997;1.6716681;999;i
KG;xlcyup999i;p0p100;1998;1.8103356;999;i
KG;xlcyup999i;p0p100;1999;2.4624221;999;i
KG;xlcyup999i;p0p100;2000;2.9328785;999;i
KG;xlcyup999i;p0p100;2001;3.0925348;999;i
KG;xlcyup999i;p0p100;2002;3.1535447;999;i
KG;xlcyup999i;p0p100;2003;3.1694949;999;i
KG;xlcyup999i;p0p100;2004;3.1241736;999;i
KG;xlcyup999i;p0p100;2005;3.2105627;999;i
KG;xlcyup999i;p0p100;2006;3.3968294;999;i
KG;xlcyup999i;p0p100;2007;3.6292889;999;i
KG;xlcyup999i;p0p100;2008;4.1144619;999;i
KG;xlcyup999i;p0p100;2009;4.3425832;999;i
KG;xlcyup999i;p0p100;2010;4.469409;999;i
KG;xlcyup999i;p0p100;2011;5.0653386;999;i
KG;xlcyup999i;p0p100;2012;5.422636;999;i
KG;xlcyup999i;p0p100;2013;5.4886947;999;i
KG;xlcyup999i;p0p100;2014;5.9232063;999;i
KG;xlcyup999i;p0p100;2015;6.1636963;999;i
KG;xlcyup999i;p0p100;2016;6.5766234;999;i
KG;xlcyup999i;p0p100;2017;6.9196262;999;i
KG;xlcyup999i;p0p100;2018;7.0643044;999;i
KG;xlcusx999i;p0p100;1994;10.841683;999;i
KG;xlcusx999i;p0p100;1995;10.821883;999;i
KG;xlcusx999i;p0p100;1996;12.809558;999;i
KG;xlcusx999i;p0p100;1997;17.362492;999;i
KG;xlcusx999i;p0p100;1998;20.837566;999;i
KG;xlcusx999i;p0p100;1999;39.007732;999;i
KG;xlcusx999i;p0p100;2000;47.703835;999;i
KG;xlcusx999i;p0p100;2001;48.37796;999;i
KG;xlcusx999i;p0p100;2002;46.937065;999;i
KG;xlcusx999i;p0p100;2003;43.648376;999;i
KG;xlcusx999i;p0p100;2004;42.64994;999;i
KG;xlcusx999i;p0p100;2005;41.011822;999;i
KG;xlcusx999i;p0p100;2006;40.152901;999;i
KG;xlcusx999i;p0p100;2007;37.316257;999;i
KG;xlcusx999i;p0p100;2008;36.574593;999;i
KG;xlcusx999i;p0p100;2009;42.90411;999;i
KG;xlcusx999i;p0p100;2010;45.96426;999;i
KG;xlcusx999i;p0p100;2011;46.143902;999;i
KG;xlcusx999i;p0p100;2012;47.004478;999;i
KG;xlcusx999i;p0p100;2013;48.438061;999;i
KG;xlcusx999i;p0p100;2014;53.654057;999;i
KG;xlcusx999i;p0p100;2015;64.462105;999;i
KG;xlcusx999i;p0p100;2016;69.914063;999;i
KG;xlcusx999i;p0p100;2017;68.866669;999;i
KG;xlcusx999i;p0p100;2018;68.611229;999;i
KG;xlcusp999i;p0p100;1987;0.0044261245;999;i
KG;xlcusp999i;p0p100;1988;0.0041921665;999;i
KG;xlcusp999i;p0p100;1989;0.0043072463;999;i
KG;xlcusp999i;p0p100;1990;0.0044718068;999;i
KG;xlcusp999i;p0p100;1991;0.010135873;999;i
KG;xlcusp999i;p0p100;1992;0.091879427;999;i
KG;xlcusp999i;p0p100;1993;0.76567489;999;i
KG;xlcusp999i;p0p100;1994;2.1044252;999;i
KG;xlcusp999i;p0p100;1995;2.9284587;999;i
KG;xlcusp999i;p0p100;1996;3.882952;999;i
KG;xlcusp999i;p0p100;1997;4.5443339;999;i
KG;xlcusp999i;p0p100;1998;4.8932872;999;i
KG;xlcusp999i;p0p100;1999;6.6271353;999;i
KG;xlcusp999i;p0p100;2000;8.2331724;999;i
