country;variable;percentile;year;value;age;pop
KH;xlcyux999i;p0p100;1960;14.217188;999;i
KH;xlcyux999i;p0p100;1961;14.217188;999;i
KH;xlcyux999i;p0p100;1962;14.217188;999;i
KH;xlcyux999i;p0p100;1963;14.217188;999;i
KH;xlcyux999i;p0p100;1964;14.217188;999;i
KH;xlcyux999i;p0p100;1965;14.217188;999;i
KH;xlcyux999i;p0p100;1966;14.217188;999;i
KH;xlcyux999i;p0p100;1967;14.217188;999;i
KH;xlcyux999i;p0p100;1968;14.217188;999;i
KH;xlcyux999i;p0p100;1969;17.69363;999;i
KH;xlcyux999i;p0p100;1970;22.560646;999;i
KH;xlcyux999i;p0p100;1971;30.799166;999;i
KH;xlcyux999i;p0p100;1972;72.269577;999;i
KH;xlcyux999i;p0p100;1973;123.10986;999;i
KH;xlcyux999i;p0p100;1990;89.113823;999;i
KH;xlcyux999i;p0p100;1991;134.93904;999;i
KH;xlcyux999i;p0p100;1992;229.67854;999;i
KH;xlcyux999i;p0p100;1993;466.68164;999;i
KH;xlcyux999i;p0p100;1994;295.31567;999;i
KH;xlcyux999i;p0p100;1995;293.46317;999;i
KH;xlcyux999i;p0p100;1996;315.6156;999;i
KH;xlcyux999i;p0p100;1997;355.40591;999;i
KH;xlcyux999i;p0p100;1998;452.28116;999;i
KH;xlcyux999i;p0p100;1999;459.98047;999;i
KH;xlcyux999i;p0p100;2000;463.9425;999;i
KH;xlcyux999i;p0p100;2001;473.15463;999;i
KH;xlcyux999i;p0p100;2002;472.64749;999;i
KH;xlcyux999i;p0p100;2003;480.04297;999;i
KH;xlcyux999i;p0p100;2004;485.24182;999;i
KH;xlcyux999i;p0p100;2005;499.43152;999;i
KH;xlcyux999i;p0p100;2006;514.61487;999;i
KH;xlcyux999i;p0p100;2007;533.17773;999;i
KH;xlcyux999i;p0p100;2008;583.44623;999;i
KH;xlcyux999i;p0p100;2009;605.92615;999;i
KH;xlcyux999i;p0p100;2010;618.13153;999;i
KH;xlcyux999i;p0p100;2011;628.10864;999;i
KH;xlcyux999i;p0p100;2012;638.90802;999;i
KH;xlcyux999i;p0p100;2013;650.00116;999;i
KH;xlcyux999i;p0p100;2014;657.20575;999;i
KH;xlcyux999i;p0p100;2015;653.19269;999;i
KH;xlcyux999i;p0p100;2016;610.83728;999;i
KH;xlcyux999i;p0p100;2017;599.30859;999;i
KH;xlcyux999i;p0p100;2018;624.42743;999;i
KH;xlcyup999i;p0p100;1970;3.6870327;999;i
KH;xlcyup999i;p0p100;1971;5.0789561;999;i
KH;xlcyup999i;p0p100;1972;2.7946308;999;i
KH;xlcyup999i;p0p100;1973;4.6063838;999;i
KH;xlcyup999i;p0p100;1974;4.1151142;999;i
KH;xlcyup999i;p0p100;1975;4.1496191;999;i
KH;xlcyup999i;p0p100;1976;3.9363189;999;i
KH;xlcyup999i;p0p100;1977;4.4921861;999;i
KH;xlcyup999i;p0p100;1978;4.318264;999;i
KH;xlcyup999i;p0p100;1979;4.6846404;999;i
KH;xlcyup999i;p0p100;1980;4.6688776;999;i
KH;xlcyup999i;p0p100;1981;4.6596189;999;i
KH;xlcyup999i;p0p100;1982;4.4337058;999;i
KH;xlcyup999i;p0p100;1983;5.2766719;999;i
KH;xlcyup999i;p0p100;1984;8.8378839;999;i
KH;xlcyup999i;p0p100;1985;7.8287649;999;i
KH;xlcyup999i;p0p100;1986;19.088614;999;i
KH;xlcyup999i;p0p100;1987;32.042049;999;i
KH;xlcyup999i;p0p100;1988;47.170891;999;i
KH;xlcyup999i;p0p100;1989;49.155411;999;i
KH;xlcyup999i;p0p100;1990;106.56665;999;i
KH;xlcyup999i;p0p100;1991;213.16951;999;i
KH;xlcyup999i;p0p100;1992;341.31772;999;i
KH;xlcyup999i;p0p100;1993;557.85907;999;i
KH;xlcyup999i;p0p100;1994;425.62143;999;i
KH;xlcyup999i;p0p100;1995;399.52335;999;i
KH;xlcyup999i;p0p100;1996;392.36801;999;i
KH;xlcyup999i;p0p100;1997;384.62897;999;i
KH;xlcyup999i;p0p100;1998;420.10928;999;i
KH;xlcyup999i;p0p100;1999;423.59335;999;i
KH;xlcyup999i;p0p100;2000;384.04269;999;i
KH;xlcyup999i;p0p100;2001;387.27063;999;i
KH;xlcyup999i;p0p100;2002;389.83014;999;i
KH;xlcyup999i;p0p100;2003;383.59805;999;i
KH;xlcyup999i;p0p100;2004;377.08661;999;i
KH;xlcyup999i;p0p100;2005;383.70993;999;i
KH;xlcyup999i;p0p100;2006;388.29938;999;i
KH;xlcyup999i;p0p100;2007;384.69098;999;i
KH;xlcyup999i;p0p100;2008;400.56799;999;i
KH;xlcyup999i;p0p100;2009;416.55481;999;i
KH;xlcyup999i;p0p100;2010;401.78549;999;i
KH;xlcyup999i;p0p100;2011;384.28207;999;i
KH;xlcyup999i;p0p100;2012;383.81543;999;i
KH;xlcyup999i;p0p100;2013;384.99921;999;i
KH;xlcyup999i;p0p100;2014;389.67719;999;i
KH;xlcyup999i;p0p100;2015;397.01416;999;i
KH;xlcyup999i;p0p100;2016;413.52103;999;i
KH;xlcyup999i;p0p100;2017;428.82852;999;i
KH;xlcyup999i;p0p100;2018;444.66592;999;i
KH;xlcusx999i;p0p100;1960;35.0;999;i
KH;xlcusx999i;p0p100;1961;35.0;999;i
KH;xlcusx999i;p0p100;1962;35.0;999;i
KH;xlcusx999i;p0p100;1963;35.0;999;i
KH;xlcusx999i;p0p100;1964;35.0;999;i
KH;xlcusx999i;p0p100;1965;35.0;999;i
KH;xlcusx999i;p0p100;1966;35.0;999;i
KH;xlcusx999i;p0p100;1967;35.0;999;i
KH;xlcusx999i;p0p100;1968;35.0;999;i
KH;xlcusx999i;p0p100;1969;43.558334;999;i
KH;xlcusx999i;p0p100;1970;55.540001;999;i
KH;xlcusx999i;p0p100;1971;75.821663;999;i
KH;xlcusx999i;p0p100;1972;162.25;999;i
KH;xlcusx999i;p0p100;1973;244.91667;999;i
KH;xlcusx999i;p0p100;1990;426.25;999;i
KH;xlcusx999i;p0p100;1991;718.33331;999;i
KH;xlcusx999i;p0p100;1992;1266.5834;999;i
KH;xlcusx999i;p0p100;1993;2689.0;999;i
KH;xlcusx999i;p0p100;1994;2545.25;999;i
KH;xlcusx999i;p0p100;1995;2450.8333;999;i
KH;xlcusx999i;p0p100;1996;2624.0833;999;i
KH;xlcusx999i;p0p100;1997;2946.25;999;i
KH;xlcusx999i;p0p100;1998;3744.4167;999;i
KH;xlcusx999i;p0p100;1999;3807.8333;999;i
KH;xlcusx999i;p0p100;2000;3840.75;999;i
KH;xlcusx999i;p0p100;2001;3916.3333;999;i
KH;xlcusx999i;p0p100;2002;3912.0833;999;i
KH;xlcusx999i;p0p100;2003;3973.3333;999;i
KH;xlcusx999i;p0p100;2004;4016.25;999;i
KH;xlcusx999i;p0p100;2005;4092.5;999;i
KH;xlcusx999i;p0p100;2006;4103.25;999;i
KH;xlcusx999i;p0p100;2007;4056.1667;999;i
KH;xlcusx999i;p0p100;2008;4054.1667;999;i
KH;xlcusx999i;p0p100;2009;4139.3335;999;i
KH;xlcusx999i;p0p100;2010;4184.9165;999;i
KH;xlcusx999i;p0p100;2011;4058.5;999;i
KH;xlcusx999i;p0p100;2012;4033.0;999;i
KH;xlcusx999i;p0p100;2013;4027.25;999;i
KH;xlcusx999i;p0p100;2014;4037.5;999;i
KH;xlcusx999i;p0p100;2015;4067.75;999;i
KH;xlcusx999i;p0p100;2016;4058.6946;999;i
KH;xlcusx999i;p0p100;2017;4050.5801;999;i
KH;xlcusx999i;p0p100;2018;3985.7698;999;i
KH;xlcusp999i;p0p100;1970;5.7005429;999;i
KH;xlcusp999i;p0p100;1971;7.7152319;999;i
KH;xlcusp999i;p0p100;1972;4.0782313;999;i
KH;xlcusp999i;p0p100;1973;6.4957633;999;i
KH;xlcusp999i;p0p100;1974;5.3847828;999;i
KH;xlcusp999i;p0p100;1975;5.0446057;999;i
KH;xlcusp999i;p0p100;1976;4.7264524;999;i
KH;xlcusp999i;p0p100;1977;5.1516981;999;i
KH;xlcusp999i;p0p100;1978;4.7438283;999;i
KH;xlcusp999i;p0p100;1979;4.9857616;999;i
KH;xlcusp999i;p0p100;1980;4.8533301;999;i
KH;xlcusp999i;p0p100;1981;4.4916806;999;i
KH;xlcusp999i;p0p100;1982;4.0835533;999;i
KH;xlcusp999i;p0p100;1983;4.7052326;999;i
KH;xlcusp999i;p0p100;1984;7.488008;999;i
KH;xlcusp999i;p0p100;1985;6.5591993;999;i
KH;xlcusp999i;p0p100;1986;16.537153;999;i
KH;xlcusp999i;p0p100;1987;28.945349;999;i
KH;xlcusp999i;p0p100;1988;47.552319;999;i
KH;xlcusp999i;p0p100;1989;56.403252;999;i
KH;xlcusp999i;p0p100;1990;133.21756;999;i
KH;xlcusp999i;p0p100;1991;266.78967;999;i
KH;xlcusp999i;p0p100;1992;456.05417;999;i
KH;xlcusp999i;p0p100;1993;922.44891;999;i
KH;xlcusp999i;p0p100;1994;872.4964;999;i
KH;xlcusp999i;p0p100;1995;960.97162;999;i
KH;xlcusp999i;p0p100;1996;1021.143;999;i
KH;xlcusp999i;p0p100;1997;1045.5918;999;i
KH;xlcusp999i;p0p100;1998;1135.5438;999;i
KH;xlcusp999i;p0p100;1999;1140.02;999;i
KH;xlcusp999i;p0p100;2000;1078.0841;999;i
KH;xlcusp999i;p0p100;2001;1079.4998;999;i
KH;xlcusp999i;p0p100;2002;1068.2144;999;i
KH;xlcusp999i;p0p100;2003;1063.9524;999;i
KH;xlcusp999i;p0p100;2004;1084.9167;999;i
KH;xlcusp999i;p0p100;2005;1116.774;999;i
KH;xlcusp999i;p0p100;2006;1134.8171;999;i
KH;xlcusp999i;p0p100;2007;1176.5175;999;i
KH;xlcusp999i;p0p100;2008;1294.5278;999;i
KH;xlcusp999i;p0p100;2009;1311.83;999;i
KH;xlcusp999i;p0p100;2010;1331.4542;999;i
KH;xlcusp999i;p0p100;2011;1347.1146;999;i
KH;xlcusp999i;p0p100;2012;1340.1068;999;i
KH;xlcusp999i;p0p100;2013;1348.2932;999;i
KH;xlcusp999i;p0p100;2014;1347.7125;999;i
KH;xlcusp999i;p0p100;2015;1349.8021;999;i
KH;xlcusp999i;p0p100;2016;1382.2588;999;i
KH;xlcusp999i;p0p100;2017;1398.1344;999;i
KH;xlcusp999i;p0p100;2018;1409.1726;999;i
KH;xlceux999i;p0p100;1999;4056.8105;999;i
KH;xlceux999i;p0p100;2000;3538.5544;999;i
KH;xlceux999i;p0p100;2001;3504.5176;999;i
