country;variable;percentile;year;value;age;pop
KI;xlcyux999i;p0p100;1960;0.36268333;999;i
KI;xlcyux999i;p0p100;1961;0.36268333;999;i
KI;xlcyux999i;p0p100;1962;0.36268333;999;i
KI;xlcyux999i;p0p100;1963;0.36268333;999;i
KI;xlcyux999i;p0p100;1964;0.36268333;999;i
KI;xlcyux999i;p0p100;1965;0.36268333;999;i
KI;xlcyux999i;p0p100;1966;0.36268333;999;i
KI;xlcyux999i;p0p100;1967;0.36268333;999;i
KI;xlcyux999i;p0p100;1968;0.36268333;999;i
KI;xlcyux999i;p0p100;1969;0.36268333;999;i
KI;xlcyux999i;p0p100;1970;0.36268333;999;i
KI;xlcyux999i;p0p100;1971;0.35854542;999;i
KI;xlcyux999i;p0p100;1972;0.37357372;999;i
KI;xlcyux999i;p0p100;1973;0.35393003;999;i
KI;xlcyux999i;p0p100;1974;0.35524112;999;i
KI;xlcyux999i;p0p100;1975;0.41072246;999;i
KI;xlcyux999i;p0p100;1976;0.42148843;999;i
KI;xlcyux999i;p0p100;1977;0.4854202;999;i
KI;xlcyux999i;p0p100;1978;0.51892656;999;i
KI;xlcyux999i;p0p100;1979;0.5753544;999;i
KI;xlcyux999i;p0p100;1980;0.58612686;999;i
KI;xlcyux999i;p0p100;1981;0.51052701;999;i
KI;xlcyux999i;p0p100;1982;0.52092004;999;i
KI;xlcyux999i;p0p100;1983;0.56184089;999;i
KI;xlcyux999i;p0p100;1984;0.49116325;999;i
KI;xlcyux999i;p0p100;1985;0.48759332;999;i
KI;xlcyux999i;p0p100;1986;0.43326512;999;i
KI;xlcyux999i;p0p100;1987;0.38370275;999;i
KI;xlcyux999i;p0p100;1988;0.34386724;999;i
KI;xlcyux999i;p0p100;1989;0.33587259;999;i
KI;xlcyux999i;p0p100;1990;0.26782373;999;i
KI;xlcyux999i;p0p100;1991;0.24115375;999;i
KI;xlcyux999i;p0p100;1992;0.24691734;999;i
KI;xlcyux999i;p0p100;1993;0.25521877;999;i
KI;xlcyux999i;p0p100;1994;0.15869494;999;i
KI;xlcyux999i;p0p100;1995;0.16153337;999;i
KI;xlcyux999i;p0p100;1996;0.15369697;999;i
KI;xlcyux999i;p0p100;1997;0.16253436;999;i
KI;xlcyux999i;p0p100;1998;0.19227399;999;i
KI;xlcyux999i;p0p100;1999;0.1872316;999;i
KI;xlcyux999i;p0p100;2000;0.20835003;999;i
KI;xlcyux999i;p0p100;2001;0.23359026;999;i
KI;xlcyux999i;p0p100;2002;0.22237186;999;i
KI;xlcyux999i;p0p100;2003;0.18628819;999;i
KI;xlcyux999i;p0p100;2004;0.1642848;999;i
KI;xlcyux999i;p0p100;2005;0.15980262;999;i
KI;xlcyux999i;p0p100;2006;0.16654967;999;i
KI;xlcyux999i;p0p100;2007;0.15709069;999;i
KI;xlcyux999i;p0p100;2008;0.17156966;999;i
KI;xlcyux999i;p0p100;2009;0.18769003;999;i
KI;xlcyux999i;p0p100;2010;0.16102161;999;i
KI;xlcyux999i;p0p100;2011;0.15003777;999;i
KI;xlcyux999i;p0p100;2012;0.15300225;999;i
KI;xlcyux999i;p0p100;2013;0.16718586;999;i
KI;xlcyux999i;p0p100;2014;0.18057707;999;i
