country;variable;percentile;year;value;age;pop
KM;tptinc992j;p9p100;1990;136348.703125;992;j
KM;tptinc992j;p9p100;1991;135165.5;992;j
KM;tptinc992j;p9p100;1992;144733.5625;992;j
KM;tptinc992j;p9p100;1993;144565.578125;992;j
KM;tptinc992j;p9p100;1994;131959.25;992;j
KM;tptinc992j;p9p100;1995;133348.8125;992;j
KM;tptinc992j;p9p100;1996;123384.7265625;992;j
KM;tptinc992j;p9p100;1997;121485.828125;992;j
KM;tptinc992j;p9p100;1998;115977.8125;992;j
KM;tptinc992j;p9p100;1999;111256.7890625;992;j
KM;tptinc992j;p9p100;2000;106713.859375;992;j
KM;tptinc992j;p9p100;2001;102783.8046875;992;j
KM;tptinc992j;p9p100;2002;98540.8671875;992;j
KM;tptinc992j;p9p100;2003;93257.4921875;992;j
KM;tptinc992j;p9p100;2004;88569.9765625;992;j
KM;tptinc992j;p9p100;2005;91485.5859375;992;j
KM;tptinc992j;p9p100;2006;94627.734375;992;j
KM;tptinc992j;p9p100;2007;78713.359375;992;j
KM;tptinc992j;p9p100;2008;84552.265625;992;j
KM;tptinc992j;p9p100;2009;86970.3984375;992;j
KM;tptinc992j;p9p100;2010;90792.921875;992;j
KM;tptinc992j;p9p100;2011;95869.0078125;992;j
KM;tptinc992j;p9p100;2012;101430.015625;992;j
KM;tptinc992j;p9p100;2013;110453.1640625;992;j
KM;tptinc992j;p9p100;2014;111194.4140625;992;j
KM;tptinc992j;p9p100;2015;109870.7578125;992;j
KM;tptinc992j;p9p100;2016;111256.265625;992;j
KM;tptinc992j;p9p100;2017;111907.1171875;992;j
KM;tptinc992j;p9p10;1990;136348.703125;992;j
KM;tptinc992j;p9p10;1991;135165.5;992;j
KM;tptinc992j;p9p10;1992;144733.5625;992;j
KM;tptinc992j;p9p10;1993;144565.578125;992;j
KM;tptinc992j;p9p10;1994;131959.25;992;j
KM;tptinc992j;p9p10;1995;133348.8125;992;j
KM;tptinc992j;p9p10;1996;123384.7265625;992;j
KM;tptinc992j;p9p10;1997;121485.828125;992;j
KM;tptinc992j;p9p10;1998;115977.8125;992;j
KM;tptinc992j;p9p10;1999;111256.7890625;992;j
KM;tptinc992j;p9p10;2000;106713.859375;992;j
KM;tptinc992j;p9p10;2001;102783.8046875;992;j
KM;tptinc992j;p9p10;2002;98540.8671875;992;j
KM;tptinc992j;p9p10;2003;93257.4921875;992;j
KM;tptinc992j;p9p10;2004;88569.9765625;992;j
KM;tptinc992j;p9p10;2005;91485.5859375;992;j
KM;tptinc992j;p9p10;2006;94627.734375;992;j
KM;tptinc992j;p9p10;2007;78713.359375;992;j
KM;tptinc992j;p9p10;2008;84552.265625;992;j
KM;tptinc992j;p9p10;2009;86970.3984375;992;j
KM;tptinc992j;p9p10;2010;90792.921875;992;j
KM;tptinc992j;p9p10;2011;95869.0078125;992;j
KM;tptinc992j;p9p10;2012;101430.015625;992;j
KM;tptinc992j;p9p10;2013;110453.1640625;992;j
KM;tptinc992j;p9p10;2014;111194.4140625;992;j
KM;tptinc992j;p9p10;2015;109870.7578125;992;j
KM;tptinc992j;p9p10;2016;111256.265625;992;j
KM;tptinc992j;p9p10;2017;111907.1171875;992;j
KM;tptinc992j;p99p99.1;1990;11567202.0;992;j
KM;tptinc992j;p99p99.1;1991;11466825.0;992;j
KM;tptinc992j;p99p99.1;1992;12278536.0;992;j
KM;tptinc992j;p99p99.1;1993;12264285.0;992;j
KM;tptinc992j;p99p99.1;1994;11194821.0;992;j
KM;tptinc992j;p99p99.1;1995;11312706.0;992;j
KM;tptinc992j;p99p99.1;1996;11472379.0;992;j
KM;tptinc992j;p99p99.1;1997;12342993.0;992;j
KM;tptinc992j;p99p99.1;1998;12843175.0;992;j
KM;tptinc992j;p99p99.1;1999;13400138.0;992;j
KM;tptinc992j;p99p99.1;2000;13955054.0;992;j
KM;tptinc992j;p99p99.1;2001;14572989.0;992;j
KM;tptinc992j;p99p99.1;2002;15131018.0;992;j
KM;tptinc992j;p99p99.1;2003;15495201.0;992;j
KM;tptinc992j;p99p99.1;2004;15915031.0;992;j
KM;tptinc992j;p99p99.1;2005;15355730.0;992;j
KM;tptinc992j;p99p99.1;2006;14830802.0;992;j
KM;tptinc992j;p99p99.1;2007;11512359.0;992;j
KM;tptinc992j;p99p99.1;2008;11530614.0;992;j
KM;tptinc992j;p99p99.1;2009;11046871.0;992;j
KM;tptinc992j;p99p99.1;2010;10726503.0;992;j
KM;tptinc992j;p99p99.1;2011;10516295.0;992;j
KM;tptinc992j;p99p99.1;2012;10307944.0;992;j
KM;tptinc992j;p99p99.1;2013;10370292.0;992;j
KM;tptinc992j;p99p99.1;2014;10439887.0;992;j
KM;tptinc992j;p99p99.1;2015;10315610.0;992;j
KM;tptinc992j;p99p99.1;2016;10445694.0;992;j
KM;tptinc992j;p99p99.1;2017;10506801.0;992;j
KM;tptinc992j;p99p100;1990;11567202.0;992;j
KM;tptinc992j;p99p100;1991;11466825.0;992;j
KM;tptinc992j;p99p100;1992;12278536.0;992;j
KM;tptinc992j;p99p100;1993;12264285.0;992;j
KM;tptinc992j;p99p100;1994;11194821.0;992;j
KM;tptinc992j;p99p100;1995;11312706.0;992;j
KM;tptinc992j;p99p100;1996;11472379.0;992;j
KM;tptinc992j;p99p100;1997;12342993.0;992;j
KM;tptinc992j;p99p100;1998;12843175.0;992;j
KM;tptinc992j;p99p100;1999;13400138.0;992;j
KM;tptinc992j;p99p100;2000;13955054.0;992;j
KM;tptinc992j;p99p100;2001;14572989.0;992;j
KM;tptinc992j;p99p100;2002;15131018.0;992;j
