country;variable;percentile;year;value;age;pop
KP;xlcyux999i;p0p100;2018;140.99779;999;i
KP;xlcusx999i;p0p100;2018;900.0;999;i
KP;xlceux999i;p0p100;2018;1103.243;999;i
KP;npopul999m;p0p100;1950;4871824.0;999;m
KP;npopul999m;p0p100;1951;4703998.0;999;m
KP;npopul999m;p0p100;1952;4591147.0;999;m
KP;npopul999m;p0p100;1953;4536203.0;999;m
KP;npopul999m;p0p100;1954;4538506.0;999;m
KP;npopul999m;p0p100;1955;4593824.0;999;m
KP;npopul999m;p0p100;1956;4694096.0;999;m
KP;npopul999m;p0p100;1957;4827695.0;999;m
KP;npopul999m;p0p100;1958;4980151.0;999;m
KP;npopul999m;p0p100;1959;5135341.0;999;m
KP;npopul999m;p0p100;1960;5279176.0;999;m
KP;npopul999m;p0p100;1961;5403446.0;999;m
KP;npopul999m;p0p100;1962;5509271.0;999;m
KP;npopul999m;p0p100;1963;5608515.0;999;m
KP;npopul999m;p0p100;1964;5719678.0;999;m
KP;npopul999m;p0p100;1965;5855746.0;999;m
KP;npopul999m;p0p100;1966;6018837.0;999;m
KP;npopul999m;p0p100;1967;6202697.0;999;m
KP;npopul999m;p0p100;1968;6401762.0;999;m
KP;npopul999m;p0p100;1969;6607588.0;999;m
KP;npopul999m;p0p100;1970;6813288.0;999;m
KP;npopul999m;p0p100;1971;7018535.0;999;m
KP;npopul999m;p0p100;1972;7223368.0;999;m
KP;npopul999m;p0p100;1973;7421783.0;999;m
KP;npopul999m;p0p100;1974;7606560.0;999;m
KP;npopul999m;p0p100;1975;7773011.0;999;m
KP;npopul999m;p0p100;1976;7917772.0;999;m
KP;npopul999m;p0p100;1977;8043120.0;999;m
KP;npopul999m;p0p100;1978;8157112.0;999;m
KP;npopul999m;p0p100;1979;8271336.0;999;m
KP;npopul999m;p0p100;1980;8394230.0;999;m
KP;npopul999m;p0p100;1981;8528728.0;999;m
KP;npopul999m;p0p100;1982;8672582.0;999;m
KP;npopul999m;p0p100;1983;8822808.0;999;m
KP;npopul999m;p0p100;1984;8974360.0;999;m
KP;npopul999m;p0p100;1985;9123613.0;999;m
KP;npopul999m;p0p100;1986;9269208.0;999;m
KP;npopul999m;p0p100;1987;9412650.0;999;m
KP;npopul999m;p0p100;1988;9556528.0;999;m
KP;npopul999m;p0p100;1989;9704659.0;999;m
KP;npopul999m;p0p100;1990;9859249.0;999;m
KP;npopul999m;p0p100;1991;10021816.0;999;m
KP;npopul999m;p0p100;1992;10189996.0;999;m
KP;npopul999m;p0p100;1993;10357422.0;999;m
KP;npopul999m;p0p100;1994;10515411.0;999;m
KP;npopul999m;p0p100;1995;10657909.0;999;m
KP;npopul999m;p0p100;1996;10782010.0;999;m
KP;npopul999m;p0p100;1997;10889920.0;999;m
KP;npopul999m;p0p100;1998;10986937.0;999;m
KP;npopul999m;p0p100;1999;11080997.0;999;m
KP;npopul999m;p0p100;2000;11177728.0;999;m
KP;npopul999m;p0p100;2001;11279172.0;999;m
KP;npopul999m;p0p100;2002;11383213.0;999;m
KP;npopul999m;p0p100;2003;11486354.0;999;m
KP;npopul999m;p0p100;2004;11583283.0;999;m
KP;npopul999m;p0p100;2005;11670344.0;999;m
KP;npopul999m;p0p100;2006;11746496.0;999;m
KP;npopul999m;p0p100;2007;11813654.0;999;m
KP;npopul999m;p0p100;2008;11874749.0;999;m
KP;npopul999m;p0p100;2009;11934032.0;999;m
KP;npopul999m;p0p100;2010;11994618.0;999;m
KP;npopul999m;p0p100;2011;12057413.0;999;m
KP;npopul999m;p0p100;2012;12121648.0;999;m
KP;npopul999m;p0p100;2013;12186651.0;999;m
KP;npopul999m;p0p100;2014;12251177.0;999;m
KP;npopul999m;p0p100;2015;12314250.0;999;m
KP;npopul999m;p0p100;2016;12375845.0;999;m
KP;npopul999m;p0p100;2017;12436268.0;999;m
KP;npopul999m;p0p100;2018;12495328.0;999;m
KP;npopul999i;p0p100;1950;10549472.0;999;i
KP;npopul999i;p0p100;1951;10248496.0;999;i
KP;npopul999i;p0p100;1952;10049029.0;999;i
KP;npopul999i;p0p100;1953;9957242.0;999;i
KP;npopul999i;p0p100;1954;9972436.0;999;i
KP;npopul999i;p0p100;1955;10086991.0;999;i
KP;npopul999i;p0p100;1956;10285940.0;999;i
KP;npopul999i;p0p100;1957;10547389.0;999;i
KP;npopul999i;p0p100;1958;10843979.0;999;i
KP;npopul999i;p0p100;1959;11145152.0;999;i
KP;npopul999i;p0p100;1960;11424176.0;999;i
KP;npopul999i;p0p100;1961;11665595.0;999;i
KP;npopul999i;p0p100;1962;11871712.0;999;i
KP;npopul999i;p0p100;1963;12065468.0;999;i
KP;npopul999i;p0p100;1964;12282419.0;999;i
KP;npopul999i;p0p100;1965;12547525.0;999;i
KP;npopul999i;p0p100;1966;12864954.0;999;i
KP;npopul999i;p0p100;1967;13222694.0;999;i
KP;npopul999i;p0p100;1968;13609982.0;999;i
KP;npopul999i;p0p100;1969;14010339.0;999;i
KP;npopul999i;p0p100;1970;14410400.0;999;i
KP;npopul999i;p0p100;1971;14809521.0;999;i
KP;npopul999i;p0p100;1972;15207771.0;999;i
KP;npopul999i;p0p100;1973;15593351.0;999;i
KP;npopul999i;p0p100;1974;15952078.0;999;i
KP;npopul999i;p0p100;1975;16274740.0;999;i
KP;npopul999i;p0p100;1976;16554746.0;999;i
KP;npopul999i;p0p100;1977;16796578.0;999;i
KP;npopul999i;p0p100;1978;17015984.0;999;i
KP;npopul999i;p0p100;1979;17235666.0;999;i
KP;npopul999i;p0p100;1980;17472140.0;999;i
KP;npopul999i;p0p100;1981;17731230.0;999;i
KP;npopul999i;p0p100;1982;18008564.0;999;i
KP;npopul999i;p0p100;1983;18298214.0;999;i
KP;npopul999i;p0p100;1984;18590138.0;999;i
KP;npopul999i;p0p100;1985;18877238.0;999;i
KP;npopul999i;p0p100;1986;19156796.0;999;i
KP;npopul999i;p0p100;1987;19431986.0;999;i
KP;npopul999i;p0p100;1988;19708324.0;999;i
KP;npopul999i;p0p100;1989;19993756.0;999;i
KP;npopul999i;p0p100;1990;20293054.0;999;i
KP;npopul999i;p0p100;1991;20609150.0;999;i
KP;npopul999i;p0p100;1992;20937404.0;999;i
KP;npopul999i;p0p100;1993;21265834.0;999;i
KP;npopul999i;p0p100;1994;21577982.0;999;i
KP;npopul999i;p0p100;1995;21862300.0;999;i
KP;npopul999i;p0p100;1996;22113438.0;999;i
KP;npopul999i;p0p100;1997;22335268.0;999;i
KP;npopul999i;p0p100;1998;22536752.0;999;i
KP;npopul999i;p0p100;1999;22731482.0;999;i
KP;npopul999i;p0p100;2000;22929076.0;999;i
KP;npopul999i;p0p100;2001;23132980.0;999;i
KP;npopul999i;p0p100;2002;23339452.0;999;i
KP;npopul999i;p0p100;2003;23542426.0;999;i
KP;npopul999i;p0p100;2004;23732732.0;999;i
KP;npopul999i;p0p100;2005;23904168.0;999;i
KP;npopul999i;p0p100;2006;24054864.0;999;i
KP;npopul999i;p0p100;2007;24188332.0;999;i
KP;npopul999i;p0p100;2008;24310142.0;999;i
KP;npopul999i;p0p100;2009;24428340.0;999;i
KP;npopul999i;p0p100;2010;24548836.0;999;i
KP;npopul999i;p0p100;2011;24673396.0;999;i
KP;npopul999i;p0p100;2012;24800644.0;999;i
KP;npopul999i;p0p100;2013;24929496.0;999;i
KP;npopul999i;p0p100;2014;25057790.0;999;i
KP;npopul999i;p0p100;2015;25183832.0;999;i
KP;npopul999i;p0p100;2016;25307664.0;999;i
KP;npopul999i;p0p100;2017;25429824.0;999;i
KP;npopul999i;p0p100;2018;25549604.0;999;i
KP;npopul999f;p0p100;1950;5677646.0;999;f
KP;npopul999f;p0p100;1951;5544505.0;999;f
KP;npopul999f;p0p100;1952;5457873.0;999;f
KP;npopul999f;p0p100;1953;5421041.0;999;f
KP;npopul999f;p0p100;1954;5433928.0;999;f
KP;npopul999f;p0p100;1955;5493173.0;999;f
KP;npopul999f;p0p100;1956;5591839.0;999;f
KP;npopul999f;p0p100;1957;5719690.0;999;f
KP;npopul999f;p0p100;1958;5863826.0;999;f
KP;npopul999f;p0p100;1959;6009811.0;999;f
KP;npopul999f;p0p100;1960;6145013.0;999;f
KP;npopul999f;p0p100;1961;6262146.0;999;f
KP;npopul999f;p0p100;1962;6362455.0;999;f
KP;npopul999f;p0p100;1963;6456953.0;999;f
KP;npopul999f;p0p100;1964;6562739.0;999;f
KP;npopul999f;p0p100;1965;6691778.0;999;f
KP;npopul999f;p0p100;1966;6846110.0;999;f
KP;npopul999f;p0p100;1967;7020006.0;999;f
KP;npopul999f;p0p100;1968;7208214.0;999;f
KP;npopul999f;p0p100;1969;7402751.0;999;f
KP;npopul999f;p0p100;1970;7597103.0;999;f
KP;npopul999f;p0p100;1971;7790983.0;999;f
KP;npopul999f;p0p100;1972;7984397.0;999;f
KP;npopul999f;p0p100;1973;8171570.0;999;f
KP;npopul999f;p0p100;1974;8345517.0;999;f
KP;npopul999f;p0p100;1975;8501726.0;999;f
KP;npopul999f;p0p100;1976;8636972.0;999;f
KP;npopul999f;p0p100;1977;8753448.0;999;f
KP;npopul999f;p0p100;1978;8858872.0;999;f
KP;npopul999f;p0p100;1979;8964332.0;999;f
KP;npopul999f;p0p100;1980;9077914.0;999;f
KP;npopul999f;p0p100;1981;9202501.0;999;f
KP;npopul999f;p0p100;1982;9335986.0;999;f
KP;npopul999f;p0p100;1983;9475404.0;999;f
KP;npopul999f;p0p100;1984;9615782.0;999;f
KP;npopul999f;p0p100;1985;9753613.0;999;f
KP;npopul999f;p0p100;1986;9887583.0;999;f
KP;npopul999f;p0p100;1987;10019342.0;999;f
KP;npopul999f;p0p100;1988;10151788.0;999;f
KP;npopul999f;p0p100;1989;10289098.0;999;f
KP;npopul999f;p0p100;1990;10433808.0;999;f
KP;npopul999f;p0p100;1991;10587335.0;999;f
KP;npopul999f;p0p100;1992;10747411.0;999;f
KP;npopul999f;p0p100;1993;10908410.0;999;f
KP;npopul999f;p0p100;1994;11062568.0;999;f
KP;npopul999f;p0p100;1995;11204391.0;999;f
KP;npopul999f;p0p100;1996;11331418.0;999;f
KP;npopul999f;p0p100;1997;11445343.0;999;f
KP;npopul999f;p0p100;1998;11549817.0;999;f
KP;npopul999f;p0p100;1999;11650473.0;999;f
KP;npopul999f;p0p100;2000;11751350.0;999;f
KP;npopul999f;p0p100;2001;11853810.0;999;f
KP;npopul999f;p0p100;2002;11956240.0;999;f
KP;npopul999f;p0p100;2003;12056080.0;999;f
KP;npopul999f;p0p100;2004;12149457.0;999;f
KP;npopul999f;p0p100;2005;12233823.0;999;f
KP;npopul999f;p0p100;2006;12308370.0;999;f
KP;npopul999f;p0p100;2007;12374676.0;999;f
KP;npopul999f;p0p100;2008;12435394.0;999;f
KP;npopul999f;p0p100;2009;12494308.0;999;f
KP;npopul999f;p0p100;2010;12554222.0;999;f
KP;npopul999f;p0p100;2011;12615979.0;999;f
KP;npopul999f;p0p100;2012;12678990.0;999;f
KP;npopul999f;p0p100;2013;12742849.0;999;f
KP;npopul999f;p0p100;2014;12806616.0;999;f
KP;npopul999f;p0p100;2015;12869582.0;999;f
KP;npopul999f;p0p100;2016;12931820.0;999;f
KP;npopul999f;p0p100;2017;12993548.0;999;f
KP;npopul999f;p0p100;2018;13054278.0;999;f
KP;npopul998m;p0p100;1950;7424.0;998;m
KP;npopul998m;p0p100;1951;8194.0;998;m
KP;npopul998m;p0p100;1952;8948.0;998;m
KP;npopul998m;p0p100;1953;9383.0;998;m
KP;npopul998m;p0p100;1954;9132.0;998;m
KP;npopul998m;p0p100;1955;7997.0;998;m
KP;npopul998m;p0p100;1956;8565.0;998;m
KP;npopul998m;p0p100;1957;8634.0;998;m
KP;npopul998m;p0p100;1958;8311.0;998;m
KP;npopul998m;p0p100;1959;7675.0;998;m
KP;npopul998m;p0p100;1960;6598.0;998;m
KP;npopul998m;p0p100;1961;7334.0;998;m
KP;npopul998m;p0p100;1962;7979.0;998;m
KP;npopul998m;p0p100;1963;8274.0;998;m
KP;npopul998m;p0p100;1964;7915.0;998;m
KP;npopul998m;p0p100;1965;6741.0;998;m
KP;npopul998m;p0p100;1966;7493.0;998;m
KP;npopul998m;p0p100;1967;7873.0;998;m
KP;npopul998m;p0p100;1968;7865.0;998;m
KP;npopul998m;p0p100;1969;7522.0;998;m
KP;npopul998m;p0p100;1970;6755.0;998;m
KP;npopul998m;p0p100;1971;7548.0;998;m
KP;npopul998m;p0p100;1972;8215.0;998;m
KP;npopul998m;p0p100;1973;8625.0;998;m
KP;npopul998m;p0p100;1974;8607.0;998;m
