country;variable;percentile;year;value;age;pop
KS;aptinc992j;p60p70;2003;2811.3958076555;992;j
KS;aptinc992j;p60p70;2004;2794.7808504789;992;j
KS;aptinc992j;p60p70;2005;2896.3478998981;992;j
KS;aptinc992j;p60p70;2006;3001.8134525691;992;j
KS;aptinc992j;p60p70;2007;3252.3595238532;992;j
KS;aptinc992j;p60p70;2008;3435.889741363;992;j
KS;aptinc992j;p60p70;2009;3457.7807289063;992;j
KS;aptinc992j;p60p70;2010;3530.0270409573;992;j
KS;aptinc992j;p60p70;2011;3727.6342245279;992;j
KS;aptinc992j;p60p70;2012;3855.7571885352;992;j
KS;aptinc992j;p60p70;2013;3943.4053391839;992;j
KS;aptinc992j;p60p61;2003;2623.1882619707;992;j
KS;aptinc992j;p60p61;2004;2605.3024264301;992;j
KS;aptinc992j;p60p61;2005;2696.803274217;992;j
KS;aptinc992j;p60p61;2006;2784.9521982406;992;j
KS;aptinc992j;p60p61;2007;3020.4866171737;992;j
KS;aptinc992j;p60p61;2008;3195.1200151451;992;j
KS;aptinc992j;p60p61;2009;3204.0008871549;992;j
KS;aptinc992j;p60p61;2010;3256.2462955437;992;j
KS;aptinc992j;p60p61;2011;3478.6532557182;992;j
KS;aptinc992j;p60p61;2012;3595.6948783048;992;j
KS;aptinc992j;p60p61;2013;3688.7897931399;992;j
KS;aptinc992j;p60p100;2003;4443.7223329849;992;j
KS;aptinc992j;p60p100;2004;4472.9268804984;992;j
KS;aptinc992j;p60p100;2005;4670.3072588033;992;j
KS;aptinc992j;p60p100;2006;4835.9619273744;992;j
KS;aptinc992j;p60p100;2007;5278.5814073257;992;j
KS;aptinc992j;p60p100;2008;5582.8782580744;992;j
KS;aptinc992j;p60p100;2009;5601.1677494746;992;j
KS;aptinc992j;p60p100;2010;5795.3365609384;992;j
KS;aptinc992j;p60p100;2011;5754.527072733;992;j
KS;aptinc992j;p60p100;2012;5982.0330921625;992;j
KS;aptinc992j;p60p100;2013;6012.8549908273;992;j
KS;aptinc992j;p5p6;2003;733.7229347078;992;j
KS;aptinc992j;p5p6;2004;667.6821126361;992;j
KS;aptinc992j;p5p6;2005;769.4794484333;992;j
KS;aptinc992j;p5p6;2006;796.195973298;992;j
KS;aptinc992j;p5p6;2007;853.865481616;992;j
KS;aptinc992j;p5p6;2008;907.6118112363;992;j
KS;aptinc992j;p5p6;2009;885.323365635;992;j
KS;aptinc992j;p5p6;2010;917.1914027994;992;j
KS;aptinc992j;p5p6;2011;1034.5984620038;992;j
KS;aptinc992j;p5p6;2012;1049.5071400479;992;j
KS;aptinc992j;p5p6;2013;1131.5432252998;992;j
KS;aptinc992j;p5p100;2003;2847.0581652034;992;j
KS;aptinc992j;p5p100;2004;2839.0764754215;992;j
KS;aptinc992j;p5p100;2005;2962.3955530478;992;j
KS;aptinc992j;p5p100;2006;3082.6423877841;992;j
KS;aptinc992j;p5p100;2007;3359.8456217353;992;j
KS;aptinc992j;p5p100;2008;3555.339347171;992;j
KS;aptinc992j;p5p100;2009;3551.8960020523;992;j
KS;aptinc992j;p5p100;2010;3650.432288892;992;j
KS;aptinc992j;p5p100;2011;3778.3829901443;992;j
KS;aptinc992j;p5p100;2012;3907.7468465184;992;j
KS;aptinc992j;p5p100;2013;3995.5613988732;992;j
KS;aptinc992j;p59p60;2003;2583.9314109813;992;j
KS;aptinc992j;p59p60;2004;2564.2953820403;992;j
KS;aptinc992j;p59p60;2005;2652.0095387085;992;j
KS;aptinc992j;p59p60;2006;2742.0804719359;992;j
KS;aptinc992j;p59p60;2007;2975.4067337309;992;j
KS;aptinc992j;p59p60;2008;3150.7081263798;992;j
KS;aptinc992j;p59p60;2009;3157.1227322248;992;j
KS;aptinc992j;p59p60;2010;3200.9649428751;992;j
KS;aptinc992j;p59p60;2011;3428.7896994422;992;j
KS;aptinc992j;p59p60;2012;3541.6985814782;992;j
KS;aptinc992j;p59p60;2013;3637.3586304021;992;j
KS;aptinc992j;p59p100;2003;4398.3615781951;992;j
KS;aptinc992j;p59p100;2004;4426.3748934194;992;j
KS;aptinc992j;p59p100;2005;4621.0804827821;992;j
KS;aptinc992j;p59p100;2006;4784.8916488906;992;j
KS;aptinc992j;p59p100;2007;5222.4064162575;992;j
KS;aptinc992j;p59p100;2008;5523.557036283;992;j
KS;aptinc992j;p59p100;2009;5541.5568980856;992;j
KS;aptinc992j;p59p100;2010;5732.0592038593;992;j
KS;aptinc992j;p59p100;2011;5697.8017729349;992;j
KS;aptinc992j;p59p100;2012;5922.5127413377;992;j
KS;aptinc992j;p59p100;2013;5954.9160514681;992;j
KS;aptinc992j;p58p59;2003;2545.2632173834;992;j
KS;aptinc992j;p58p59;2004;2525.5388475131;992;j
KS;aptinc992j;p58p59;2005;2612.1546619587;992;j
KS;aptinc992j;p58p59;2006;2702.5235415059;992;j
KS;aptinc992j;p58p59;2007;2931.8354809277;992;j
KS;aptinc992j;p58p59;2008;3106.0570842482;992;j
KS;aptinc992j;p58p59;2009;3110.1860456469;992;j
KS;aptinc992j;p58p59;2010;3149.8857392835;992;j
KS;aptinc992j;p58p59;2011;3381.6143771344;992;j
KS;aptinc992j;p58p59;2012;3490.0389828018;992;j
KS;aptinc992j;p58p59;2013;3589.1078361406;992;j
KS;aptinc992j;p58p100;2003;4354.2401915331;992;j
KS;aptinc992j;p58p100;2004;4381.1168937472;992;j
KS;aptinc992j;p58p100;2005;4573.2489176486;992;j
KS;aptinc992j;p58p100;2006;4735.3114552002;992;j
KS;aptinc992j;p58p100;2007;5167.8690163732;992;j
KS;aptinc992j;p58p100;2008;5465.9975117096;992;j
KS;aptinc992j;p58p100;2009;5483.6671174346;992;j
KS;aptinc992j;p58p100;2010;5670.578882852;992;j
KS;aptinc992j;p58p100;2011;5642.6544524561;992;j
KS;aptinc992j;p58p100;2012;5864.5966961514;992;j
KS;aptinc992j;p58p100;2013;5898.587285971;992;j
KS;aptinc992j;p57p58;2003;2511.1190588243;992;j
KS;aptinc992j;p57p58;2004;2485.4787610632;992;j
KS;aptinc992j;p57p58;2005;2568.3573049692;992;j
KS;aptinc992j;p57p58;2006;2661.8382342289;992;j
KS;aptinc992j;p57p58;2007;2893.2523795606;992;j
KS;aptinc992j;p57p58;2008;3065.0072800247;992;j
KS;aptinc992j;p57p58;2009;3063.7596917605;992;j
KS;aptinc992j;p57p58;2010;3096.6781406795;992;j
KS;aptinc992j;p57p58;2011;3333.1486755687;992;j
KS;aptinc992j;p57p58;2012;3439.9133757693;992;j
KS;aptinc992j;p57p58;2013;3541.8363843905;992;j
KS;aptinc992j;p57p100;2003;4311.3769086093;992;j
KS;aptinc992j;p57p100;2004;4337.0322871945;992;j
KS;aptinc992j;p57p100;2005;4526.6235312889;992;j
KS;aptinc992j;p57p100;2006;4687.091148218;992;j
KS;aptinc992j;p57p100;2007;5114.9709544758;992;j
KS;aptinc992j;p57p100;2008;5410.160529963;992;j
KS;aptinc992j;p57p100;2009;5427.3902027885;992;j
KS;aptinc992j;p57p100;2010;5610.720723214;992;j
KS;aptinc992j;p57p100;2011;5588.9450128121;992;j
KS;aptinc992j;p57p100;2012;5808.2087124361;992;j
KS;aptinc992j;p57p100;2013;5843.7791289445;992;j
KS;aptinc992j;p56p57;2003;2468.1973081097;992;j
KS;aptinc992j;p56p57;2004;2445.2890270491;992;j
KS;aptinc992j;p56p57;2005;2524.4572475972;992;j
KS;aptinc992j;p56p57;2006;2623.561339769;992;j
KS;aptinc992j;p56p57;2007;2852.6663532126;992;j
