country;variable;percentile;year;value;age;pop
KV;aconfc992i;p0p100;1990;715.29999;992;i
KV;aconfc992i;p0p100;1991;445.0;992;i
KV;aconfc992i;p0p100;1992;342.70001;992;i
KV;aconfc992i;p0p100;1993;276.0;992;i
KV;aconfc992i;p0p100;1994;242.10001;992;i
KV;aconfc992i;p0p100;1995;231.39999;992;i
KV;aconfc992i;p0p100;1996;233.2;992;i
KV;aconfc992i;p0p100;1997;238.60001;992;i
KV;aconfc992i;p0p100;1998;243.2;992;i
KV;aconfc992i;p0p100;1999;245.89999;992;i
KV;aconfc992i;p0p100;2000;256.70001;992;i
KV;aconfc992i;p0p100;2001;274.70001;992;i
KV;aconfc992i;p0p100;2002;293.29999;992;i
KV;aconfc992i;p0p100;2003;305.39999;992;i
KV;aconfc992i;p0p100;2004;317.79999;992;i
KV;aconfc992i;p0p100;2005;332.79999;992;i
KV;aconfc992i;p0p100;2006;351.20001;992;i
KV;aconfc992i;p0p100;2007;373.20001;992;i
KV;aconfc992i;p0p100;2008;396.60001;992;i
KV;aconfc992i;p0p100;2009;420.0;992;i
KV;aconfc992i;p0p100;2010;442.29999;992;i
KV;aconfc992i;p0p100;2011;455.5;992;i
KV;aconfc992i;p0p100;2012;473.5;992;i
KV;aconfc992i;p0p100;2013;490.79999;992;i
KV;aconfc992i;p0p100;2014;508.0;992;i
KV;aconfc992i;p0p100;2015;525.79999;992;i
KV;aconfc992i;p0p100;2016;546.29999;992;i
KV;aconfc992i;p0p100;2017;573.59998;992;i
KV;aconfc992i;p0p100;2018;602.40002;992;i
KV;aconfc999i;p0p100;1990;486.0;999;i
KV;aconfc999i;p0p100;1991;302.79999;999;i
KV;aconfc999i;p0p100;1992;233.89999;999;i
KV;aconfc999i;p0p100;1993;189.2;999;i
KV;aconfc999i;p0p100;1994;166.8;999;i
KV;aconfc999i;p0p100;1995;160.39999;999;i
KV;aconfc999i;p0p100;1996;162.89999;999;i
KV;aconfc999i;p0p100;1997;167.89999;999;i
KV;aconfc999i;p0p100;1998;172.3;999;i
KV;aconfc999i;p0p100;1999;175.3;999;i
KV;aconfc999i;p0p100;2000;184.2;999;i
KV;aconfc999i;p0p100;2001;197.89999;999;i
KV;aconfc999i;p0p100;2002;212.2;999;i
KV;aconfc999i;p0p100;2003;222.0;999;i
KV;aconfc999i;p0p100;2004;232.2;999;i
KV;aconfc999i;p0p100;2005;244.39999;999;i
KV;aconfc999i;p0p100;2006;259.0;999;i
KV;aconfc999i;p0p100;2007;276.60001;999;i
KV;aconfc999i;p0p100;2008;295.39999;999;i
KV;aconfc999i;p0p100;2009;314.39999;999;i
KV;aconfc999i;p0p100;2010;332.70001;999;i
KV;aconfc999i;p0p100;2011;343.89999;999;i
KV;aconfc999i;p0p100;2012;358.79999;999;i
KV;aconfc999i;p0p100;2013;373.29999;999;i
KV;aconfc999i;p0p100;2014;387.89999;999;i
KV;aconfc999i;p0p100;2015;402.89999;999;i
KV;aconfc999i;p0p100;2016;419.0;999;i
KV;aconfc999i;p0p100;2017;440.29999;999;i
KV;aconfc999i;p0p100;2018;462.79999;999;i
KV;adiinc992j;p66p100;2003;4551.7;992;j
KV;adiinc992j;p66p100;2004;4586.0;992;j
KV;adiinc992j;p66p100;2005;4840.2;992;j
KV;adiinc992j;p66p100;2006;5002.3;992;j
KV;adiinc992j;p66p100;2007;5460.6;992;j
KV;adiinc992j;p66p100;2008;5796.8;992;j
KV;adiinc992j;p66p100;2009;5800.9;992;j
KV;adiinc992j;p66p100;2010;6046.7;992;j
KV;adiinc992j;p66p100;2011;5985.0;992;j
KV;adiinc992j;p66p100;2012;6235.4;992;j
KV;adiinc992j;p66p100;2013;6239.4;992;j
KV;adiinc992j;p0p1;2003;253.1;992;j
KV;adiinc992j;p0p1;2004;212.5;992;j
KV;adiinc992j;p0p1;2005;171.9;992;j
KV;adiinc992j;p0p1;2006;214.6;992;j
KV;adiinc992j;p0p1;2007;188.5;992;j
KV;adiinc992j;p0p1;2008;161.3;992;j
KV;adiinc992j;p0p1;2009;169.0;992;j
KV;adiinc992j;p0p1;2010;217.5;992;j
KV;adiinc992j;p0p1;2011;333.0;992;j
KV;adiinc992j;p0p1;2012;265.7;992;j
KV;adiinc992j;p0p1;2013;227.8;992;j
KV;adiinc992j;p0p10;2003;751.7;992;j
KV;adiinc992j;p0p10;2004;732.8;992;j
KV;adiinc992j;p0p10;2005;728.0;992;j
KV;adiinc992j;p0p10;2006;776.7;992;j
KV;adiinc992j;p0p10;2007;846.9;992;j
KV;adiinc992j;p0p10;2008;880.2;992;j
KV;adiinc992j;p0p10;2009;878.0;992;j
