country;variable;percentile;year;value;age;pop
KZ;xlcyux999i;p0p100;1994;4.1233778;999;i
KZ;xlcyux999i;p0p100;1995;7.2981629;999;i
KZ;xlcyux999i;p0p100;1996;8.0950108;999;i
KZ;xlcyux999i;p0p100;1997;9.1000204;999;i
KZ;xlcyux999i;p0p100;1998;9.4581146;999;i
KZ;xlcyux999i;p0p100;1999;14.438237;999;i
KZ;xlcyux999i;p0p100;2000;17.168962;999;i
KZ;xlcyux999i;p0p100;2001;17.727997;999;i
KZ;xlcyux999i;p0p100;2002;18.51878;999;i
KZ;xlcyux999i;p0p100;2003;18.071182;999;i
KZ;xlcyux999i;p0p100;2004;16.435698;999;i
KZ;xlcyux999i;p0p100;2005;16.216118;999;i
KZ;xlcyux999i;p0p100;2006;15.813684;999;i
KZ;xlcyux999i;p0p100;2007;16.109583;999;i
KZ;xlcyux999i;p0p100;2008;17.312582;999;i
KZ;xlcyux999i;p0p100;2009;21.590937;999;i
KZ;xlcyux999i;p0p100;2010;21.765015;999;i
KZ;xlcyux999i;p0p100;2011;22.691589;999;i
KZ;xlcyux999i;p0p100;2012;23.62241;999;i
KZ;xlcyux999i;p0p100;2013;24.553761;999;i
KZ;xlcyux999i;p0p100;2014;29.167997;999;i
KZ;xlcyux999i;p0p100;2015;35.604774;999;i
KZ;xlcyux999i;p0p100;2016;51.495396;999;i
KZ;xlcyux999i;p0p100;2017;48.233887;999;i
KZ;xlcyux999i;p0p100;2018;50.704731;999;i
KZ;xlcyup999i;p0p100;1990;0.0005802657;999;i
KZ;xlcyup999i;p0p100;1991;0.0011271588;999;i
KZ;xlcyup999i;p0p100;1992;0.015412034;999;i
KZ;xlcyup999i;p0p100;1993;0.1616838;999;i
KZ;xlcyup999i;p0p100;1994;2.1008234;999;i
KZ;xlcyup999i;p0p100;1995;4.5787349;999;i
KZ;xlcyup999i;p0p100;1996;5.7605109;999;i
KZ;xlcyup999i;p0p100;1997;6.280355;999;i
KZ;xlcyup999i;p0p100;1998;6.5876007;999;i
