country;variable;percentile;year;value;age;pop
LA;xlcyux999i;p0p100;1960;32.49649;999;i
LA;xlcyux999i;p0p100;1961;32.49649;999;i
LA;xlcyux999i;p0p100;1962;32.49649;999;i
LA;xlcyux999i;p0p100;1963;32.49649;999;i
LA;xlcyux999i;p0p100;1964;97.489471;999;i
LA;xlcyux999i;p0p100;1965;97.489471;999;i
LA;xlcyux999i;p0p100;1966;97.489471;999;i
LA;xlcyux999i;p0p100;1967;97.489471;999;i
LA;xlcyux999i;p0p100;1968;97.489471;999;i
LA;xlcyux999i;p0p100;1969;97.489471;999;i
LA;xlcyux999i;p0p100;1970;97.489471;999;i
LA;xlcyux999i;p0p100;1971;97.489471;999;i
LA;xlcyux999i;p0p100;1972;227.16521;999;i
LA;xlcyux999i;p0p100;1973;301.59671;999;i
LA;xlcyux999i;p0p100;1974;305.95023;999;i
LA;xlcyux999i;p0p100;1975;389.82272;999;i
LA;xlcyux999i;p0p100;1976;221.05898;999;i
LA;xlcyux999i;p0p100;1977;107.65286;999;i
LA;xlcyux999i;p0p100;1978;197.98967;999;i
LA;xlcyux999i;p0p100;1979;236.34369;999;i
LA;xlcyux999i;p0p100;1980;6.6738477;999;i
LA;xlcyux999i;p0p100;1981;12.711139;999;i
LA;xlcyux999i;p0p100;1982;18.493649;999;i
LA;xlcyux999i;p0p100;1983;17.715464;999;i
LA;xlcyux999i;p0p100;1984;15.085936;999;i
LA;xlcyux999i;p0p100;1985;18.728769;999;i
LA;xlcyux999i;p0p100;1986;27.513968;999;i
LA;xlcyux999i;p0p100;1987;50.374786;999;i
LA;xlcyux999i;p0p100;1988;107.56696;999;i
LA;xlcyux999i;p0p100;1989;157.10039;999;i
LA;xlcyux999i;p0p100;1990;147.96555;999;i
LA;xlcyux999i;p0p100;1991;131.88647;999;i
LA;xlcyux999i;p0p100;1992;129.85246;999;i
LA;xlcyux999i;p0p100;1993;124.3067;999;i
LA;xlcyux999i;p0p100;1994;83.268135;999;i
LA;xlcyux999i;p0p100;1995;96.353806;999;i
LA;xlcyux999i;p0p100;1996;110.77728;999;i
LA;xlcyux999i;p0p100;1997;151.9912;999;i
LA;xlcyux999i;p0p100;1998;398.39954;999;i
LA;xlcyux999i;p0p100;1999;857.91382;999;i
LA;xlcyux999i;p0p100;2000;952.78607;999;i
LA;xlcyux999i;p0p100;2001;1081.8545;999;i
LA;xlcyux999i;p0p100;2002;1214.9794;999;i
LA;xlcyux999i;p0p100;2003;1276.9108;999;i
LA;xlcyux999i;p0p100;2004;1278.921;999;i
LA;xlcyux999i;p0p100;2005;1300.3118;999;i
LA;xlcyux999i;p0p100;2006;1274.2231;999;i
LA;xlcyux999i;p0p100;2007;1262.3226;999;i
LA;xlcyux999i;p0p100;2008;1258.4052;999;i
LA;xlcyux999i;p0p100;2009;1246.6013;999;i
LA;xlcyux999i;p0p100;2010;1219.8585;999;i
LA;xlcyux999i;p0p100;2011;1242.7615;999;i
LA;xlcyux999i;p0p100;2012;1268.5892;999;i
LA;xlcyux999i;p0p100;2013;1268.6321;999;i
LA;xlcyux999i;p0p100;2014;1310.1729;999;i
LA;xlcyux999i;p0p100;2015;1308.3778;999;i
LA;xlcyux999i;p0p100;2016;1230.9874;999;i
LA;xlcyux999i;p0p100;2017;1235.6604;999;i
LA;xlcyux999i;p0p100;2018;1287.9594;999;i
LA;xlcyup999i;p0p100;1970;0.19128458;999;i
LA;xlcyup999i;p0p100;1971;0.18776305;999;i
