country;variable;percentile;year;value;age;pop
LB;xlcyux999i;p0p100;1960;1.2874069;999;i
LB;xlcyux999i;p0p100;1961;1.2505506;999;i
LB;xlcyux999i;p0p100;1962;1.2222888;999;i
LB;xlcyux999i;p0p100;1963;1.2581365;999;i
LB;xlcyux999i;p0p100;1964;1.2485365;999;i
LB;xlcyux999i;p0p100;1965;1.247802;999;i
LB;xlcyux999i;p0p100;1966;1.2717274;999;i
LB;xlcyux999i;p0p100;1967;1.3016919;999;i
LB;xlcyux999i;p0p100;1968;1.2823193;999;i
LB;xlcyux999i;p0p100;1969;1.3220292;999;i
LB;xlcyux999i;p0p100;1970;1.3278786;999;i
LB;xlcyux999i;p0p100;1971;1.3111227;999;i
LB;xlcyux999i;p0p100;1972;1.3588536;999;i
LB;xlcyux999i;p0p100;1973;1.3121442;999;i
LB;xlcyux999i;p0p100;1974;1.1869613;999;i
LB;xlcyux999i;p0p100;1975;1.237743;999;i
LB;xlcyux999i;p0p100;1976;1.4791228;999;i
LB;xlcyux999i;p0p100;1977;1.6519107;999;i
LB;xlcyux999i;p0p100;1978;1.7554013;999;i
LB;xlcyux999i;p0p100;1979;2.0854516;999;i
LB;xlcyux999i;p0p100;1980;2.2932065;999;i
LB;xlcyux999i;p0p100;1981;2.5308123;999;i
LB;xlcyux999i;p0p100;1982;2.5064352;999;i
LB;xlcyux999i;p0p100;1983;2.2919593;999;i
LB;xlcyux999i;p0p100;1984;2.8064547;999;i
LB;xlcyux999i;p0p100;1985;5.5903759;999;i
LB;xlcyux999i;p0p100;1986;11.112722;999;i
LB;xlcyux999i;p0p100;1987;60.341293;999;i
LB;xlcyux999i;p0p100;1988;109.946;999;i
LB;xlcyux999i;p0p100;1989;131.91896;999;i
LB;xlcyux999i;p0p100;1990;145.3186;999;i
LB;xlcyux999i;p0p100;1991;174.36769;999;i
LB;xlcyux999i;p0p100;1992;310.5925;999;i
LB;xlcyux999i;p0p100;1993;302.21729;999;i
LB;xlcyux999i;p0p100;1994;194.93253;999;i
LB;xlcyux999i;p0p100;1995;194.1483;999;i
LB;xlcyux999i;p0p100;1996;189.00784;999;i
LB;xlcyux999i;p0p100;1997;185.70374;999;i
LB;xlcyux999i;p0p100;1998;183.13074;999;i
LB;xlcyux999i;p0p100;1999;182.10371;999;i
LB;xlcyux999i;p0p100;2000;182.09811;999;i
