country;variable;percentile;year;value;age;pop
LI;xlcyux999i;p0p100;2018;0.1487364;999;i
LI;xlcusx999i;p0p100;2018;0.94939625;999;i
LI;xlceux999i;p0p100;2018;1.1637942;999;i
LI;npopul999i;p0p100;1950;13758.0;999;i
LI;npopul999i;p0p100;1951;13941.0;999;i
LI;npopul999i;p0p100;1952;14127.0;999;i
LI;npopul999i;p0p100;1953;14338.0;999;i
LI;npopul999i;p0p100;1954;14568.0;999;i
LI;npopul999i;p0p100;1955;14830.0;999;i
LI;npopul999i;p0p100;1956;15111.0;999;i
LI;npopul999i;p0p100;1957;15429.0;999;i
LI;npopul999i;p0p100;1958;15765.0;999;i
LI;npopul999i;p0p100;1959;16124.0;999;i
LI;npopul999i;p0p100;1960;16493.0;999;i
LI;npopul999i;p0p100;1961;16893.0;999;i
LI;npopul999i;p0p100;1962;17289.0;999;i
LI;npopul999i;p0p100;1963;17719.0;999;i
LI;npopul999i;p0p100;1964;18168.0;999;i
LI;npopul999i;p0p100;1965;18649.0;999;i
LI;npopul999i;p0p100;1966;19152.0;999;i
LI;npopul999i;p0p100;1967;19691.0;999;i
LI;npopul999i;p0p100;1968;20235.0;999;i
LI;npopul999i;p0p100;1969;20766.0;999;i
LI;npopul999i;p0p100;1970;21266.0;999;i
LI;npopul999i;p0p100;1971;21728.0;999;i
LI;npopul999i;p0p100;1972;22151.0;999;i
LI;npopul999i;p0p100;1973;22563.0;999;i
LI;npopul999i;p0p100;1974;22983.0;999;i
LI;npopul999i;p0p100;1975;23438.0;999;i
LI;npopul999i;p0p100;1976;23931.0;999;i
LI;npopul999i;p0p100;1977;24448.0;999;i
LI;npopul999i;p0p100;1978;24975.0;999;i
LI;npopul999i;p0p100;1979;25459.0;999;i
LI;npopul999i;p0p100;1980;25879.0;999;i
LI;npopul999i;p0p100;1981;26238.0;999;i
LI;npopul999i;p0p100;1982;26536.0;999;i
LI;npopul999i;p0p100;1983;26789.0;999;i
LI;npopul999i;p0p100;1984;27036.0;999;i
LI;npopul999i;p0p100;1985;27288.0;999;i
LI;npopul999i;p0p100;1986;27559.0;999;i
LI;npopul999i;p0p100;1987;27837.0;999;i
LI;npopul999i;p0p100;1988;28129.0;999;i
LI;npopul999i;p0p100;1989;28449.0;999;i
LI;npopul999i;p0p100;1990;28789.0;999;i
LI;npopul999i;p0p100;1991;29159.0;999;i
LI;npopul999i;p0p100;1992;29553.0;999;i
LI;npopul999i;p0p100;1993;29975.0;999;i
LI;npopul999i;p0p100;1994;30426.0;999;i
LI;npopul999i;p0p100;1995;30880.0;999;i
LI;npopul999i;p0p100;1996;31348.0;999;i
LI;npopul999i;p0p100;1997;31830.0;999;i
LI;npopul999i;p0p100;1998;32311.0;999;i
LI;npopul999i;p0p100;1999;32769.0;999;i
LI;npopul999i;p0p100;2000;33184.0;999;i
LI;npopul999i;p0p100;2001;33552.0;999;i
LI;npopul999i;p0p100;2002;33879.0;999;i
LI;npopul999i;p0p100;2003;34175.0;999;i
LI;npopul999i;p0p100;2004;34452.0;999;i
LI;npopul999i;p0p100;2005;34713.0;999;i
LI;npopul999i;p0p100;2006;34970.0;999;i
LI;npopul999i;p0p100;2007;35217.0;999;i
LI;npopul999i;p0p100;2008;35471.0;999;i
LI;npopul999i;p0p100;2009;35727.0;999;i
LI;npopul999i;p0p100;2010;35994.0;999;i
LI;npopul999i;p0p100;2011;36293.0;999;i
LI;npopul999i;p0p100;2012;36615.0;999;i
