country;variable;percentile;year;value;age;pop
LR;tptinc992j;p9p100;1990;175.4229431152;992;j
LR;tptinc992j;p9p100;1991;155.5132446289;992;j
LR;tptinc992j;p9p100;1992;102.5710220337;992;j
LR;tptinc992j;p9p100;1993;69.2292251587;992;j
LR;tptinc992j;p9p100;1994;53.7207298279;992;j
LR;tptinc992j;p9p100;1995;49.8716201782;992;j
LR;tptinc992j;p9p100;1996;52.3677558899;992;j
LR;tptinc992j;p9p100;1997;101.4460678101;992;j
LR;tptinc992j;p9p100;1998;121.6141662598;992;j
LR;tptinc992j;p9p100;1999;137.0116729736;992;j
LR;tptinc992j;p9p100;2000;165.6487884521;992;j
LR;tptinc992j;p9p100;2001;164.3690032959;992;j
LR;tptinc992j;p9p100;2002;166.4899597168;992;j
LR;tptinc992j;p9p100;2003;111.9159240723;992;j
LR;tptinc992j;p9p100;2004;87.6953125;992;j
LR;tptinc992j;p9p100;2005;94.4325714111;992;j
LR;tptinc992j;p9p100;2006;106.4873580933;992;j
LR;tptinc992j;p9p100;2007;144.576675415;992;j
LR;tptinc992j;p9p100;2008;158.8886108398;992;j
LR;tptinc992j;p9p100;2009;172.3043060303;992;j
LR;tptinc992j;p9p100;2010;49.4470443726;992;j
LR;tptinc992j;p9p100;2011;69.3646697998;992;j
LR;tptinc992j;p9p100;2012;135.2229003906;992;j
LR;tptinc992j;p9p100;2013;187.2579193115;992;j
LR;tptinc992j;p9p100;2014;277.6694030762;992;j
LR;tptinc992j;p9p100;2015;278.4996948242;992;j
LR;tptinc992j;p9p100;2016;233.1442718506;992;j
LR;tptinc992j;p9p100;2017;226.415222168;992;j
LR;tptinc992j;p9p10;1990;175.4229431152;992;j
LR;tptinc992j;p9p10;1991;155.5132446289;992;j
LR;tptinc992j;p9p10;1992;102.5710220337;992;j
LR;tptinc992j;p9p10;1993;69.2292251587;992;j
LR;tptinc992j;p9p10;1994;53.7207298279;992;j
LR;tptinc992j;p9p10;1995;49.8716201782;992;j
LR;tptinc992j;p9p10;1996;52.3677558899;992;j
LR;tptinc992j;p9p10;1997;101.4460678101;992;j
LR;tptinc992j;p9p10;1998;121.6141662598;992;j
LR;tptinc992j;p9p10;1999;137.0116729736;992;j
LR;tptinc992j;p9p10;2000;165.6487884521;992;j
LR;tptinc992j;p9p10;2001;164.3690032959;992;j
LR;tptinc992j;p9p10;2002;166.4899597168;992;j
LR;tptinc992j;p9p10;2003;111.9159240723;992;j
LR;tptinc992j;p9p10;2004;87.6953125;992;j
LR;tptinc992j;p9p10;2005;94.4325714111;992;j
LR;tptinc992j;p9p10;2006;106.4873580933;992;j
LR;tptinc992j;p9p10;2007;144.576675415;992;j
LR;tptinc992j;p9p10;2008;158.8886108398;992;j
LR;tptinc992j;p9p10;2009;172.3043060303;992;j
LR;tptinc992j;p9p10;2010;49.4470443726;992;j
LR;tptinc992j;p9p10;2011;69.3646697998;992;j
LR;tptinc992j;p9p10;2012;135.2229003906;992;j
LR;tptinc992j;p9p10;2013;187.2579193115;992;j
LR;tptinc992j;p9p10;2014;277.6694030762;992;j
LR;tptinc992j;p9p10;2015;278.4996948242;992;j
LR;tptinc992j;p9p10;2016;233.1442718506;992;j
LR;tptinc992j;p9p10;2017;226.415222168;992;j
LR;tptinc992j;p99p99.1;1990;8181.5869140625;992;j
LR;tptinc992j;p99p99.1;1991;7253.013671875;992;j
LR;tptinc992j;p99p99.1;1992;4783.8310546875;992;j
LR;tptinc992j;p99p99.1;1993;3228.7958984375;992;j
LR;tptinc992j;p99p99.1;1994;2505.4921875;992;j
LR;tptinc992j;p99p99.1;1995;2325.97265625;992;j
LR;tptinc992j;p99p99.1;1996;2442.3903808594;992;j
LR;tptinc992j;p99p99.1;1997;4731.3637695312;992;j
LR;tptinc992j;p99p99.1;1998;5671.9877929688;992;j
LR;tptinc992j;p99p99.1;1999;6390.115234375;992;j
LR;tptinc992j;p99p99.1;2000;7725.7275390625;992;j
LR;tptinc992j;p99p99.1;2001;7666.0390625;992;j
LR;tptinc992j;p99p99.1;2002;7764.9594726562;992;j
LR;tptinc992j;p99p99.1;2003;5219.669921875;992;j
LR;tptinc992j;p99p99.1;2004;4090.0395507812;992;j
LR;tptinc992j;p99p99.1;2005;4404.259765625;992;j
LR;tptinc992j;p99p99.1;2006;4966.4853515625;992;j
LR;tptinc992j;p99p99.1;2007;6742.94140625;992;j
LR;tptinc992j;p99p99.1;2008;7105.2651367188;992;j
LR;tptinc992j;p99p99.1;2009;7393.8872070312;992;j
LR;tptinc992j;p99p99.1;2010;2037.6607666016;992;j
LR;tptinc992j;p99p99.1;2011;2746.9125976562;992;j
LR;tptinc992j;p99p99.1;2012;5149.3017578125;992;j
LR;tptinc992j;p99p99.1;2013;6860.9477539062;992;j
LR;tptinc992j;p99p99.1;2014;9793.7978515625;992;j
LR;tptinc992j;p99p99.1;2015;10351.3857421875;992;j
LR;tptinc992j;p99p99.1;2016;9148.1025390625;992;j
LR;tptinc992j;p99p99.1;2017;8884.068359375;992;j
LR;tptinc992j;p99p100;1990;8181.5869140625;992;j
LR;tptinc992j;p99p100;1991;7253.013671875;992;j
LR;tptinc992j;p99p100;1992;4783.8310546875;992;j
LR;tptinc992j;p99p100;1993;3228.7958984375;992;j
LR;tptinc992j;p99p100;1994;2505.4921875;992;j
LR;tptinc992j;p99p100;1995;2325.97265625;992;j
LR;tptinc992j;p99p100;1996;2442.3903808594;992;j
