country;variable;percentile;year;value;age;pop
LY;tptinc992j;p9p100;1990;15305.466796875;992;j
LY;tptinc992j;p9p100;1991;17531.423828125;992;j
LY;tptinc992j;p9p100;1992;16475.7421875;992;j
LY;tptinc992j;p9p100;1993;15158.2998046875;992;j
LY;tptinc992j;p9p100;1994;15113.6640625;992;j
LY;tptinc992j;p9p100;1995;14352.7490234375;992;j
LY;tptinc992j;p9p100;1996;14044.6181640625;992;j
LY;tptinc992j;p9p100;1997;14306.74609375;992;j
LY;tptinc992j;p9p100;1998;13250.115234375;992;j
LY;tptinc992j;p9p100;1999;12875.546875;992;j
LY;tptinc992j;p9p100;2000;12685.724609375;992;j
LY;tptinc992j;p9p100;2001;12330.9384765625;992;j
LY;tptinc992j;p9p100;2002;12148.4638671875;992;j
LY;tptinc992j;p9p100;2003;13607.6982421875;992;j
LY;tptinc992j;p9p100;2004;13544.998046875;992;j
LY;tptinc992j;p9p100;2005;14600.4677734375;992;j
LY;tptinc992j;p9p100;2006;15177.900390625;992;j
LY;tptinc992j;p9p100;2007;16075.05078125;992;j
LY;tptinc992j;p9p100;2008;17899.193359375;992;j
LY;tptinc992j;p9p100;2009;17567.818359375;992;j
LY;tptinc992j;p9p100;2010;18401.19140625;992;j
LY;tptinc992j;p9p100;2011;6220.6284179688;992;j
LY;tptinc992j;p9p100;2012;16715.373046875;992;j
LY;tptinc992j;p9p100;2013;7686.3920898438;992;j
LY;tptinc992j;p9p100;2014;3696.1669921875;992;j
LY;tptinc992j;p9p100;2015;1974.3590087891;992;j
LY;tptinc992j;p9p100;2016;1625.9921875;992;j
LY;tptinc992j;p9p100;2017;2843.2768554688;992;j
LY;tptinc992j;p9p10;1990;15305.466796875;992;j
LY;tptinc992j;p9p10;1991;17531.423828125;992;j
LY;tptinc992j;p9p10;1992;16475.7421875;992;j
LY;tptinc992j;p9p10;1993;15158.2998046875;992;j
LY;tptinc992j;p9p10;1994;15113.6640625;992;j
