country;variable;percentile;year;value;age;pop
MA;tptinc992j;p9p100;1984;3845.01171875;992;j
MA;tptinc992j;p9p100;1985;3900.9780273438;992;j
MA;tptinc992j;p9p100;1986;4169.4936523438;992;j
MA;tptinc992j;p9p100;1987;3909.60546875;992;j
MA;tptinc992j;p9p100;1988;4171.6298828125;992;j
MA;tptinc992j;p9p100;1989;4128.0283203125;992;j
MA;tptinc992j;p9p100;1990;4205.1079101562;992;j
MA;tptinc992j;p9p100;1991;4359.4184570312;992;j
MA;tptinc992j;p9p100;1992;4034.8012695312;992;j
MA;tptinc992j;p9p100;1993;3834.3728027344;992;j
MA;tptinc992j;p9p100;1994;4172.6079101562;992;j
MA;tptinc992j;p9p100;1995;3734.8508300781;992;j
MA;tptinc992j;p9p100;1996;4100.4931640625;992;j
MA;tptinc992j;p9p100;1997;3861.6628417969;992;j
MA;tptinc992j;p9p100;1998;4079.8791503906;992;j
MA;tptinc992j;p9p100;1999;4051.7255859375;992;j
MA;tptinc992j;p9p100;2000;4058.3781738281;992;j
MA;tptinc992j;p9p100;2001;4274.484375;992;j
MA;tptinc992j;p9p100;2002;4308.3012695312;992;j
MA;tptinc992j;p9p100;2003;4469.005859375;992;j
MA;tptinc992j;p9p100;2004;4574.31640625;992;j
MA;tptinc992j;p9p100;2005;4614.4443359375;992;j
MA;tptinc992j;p9p100;2006;4866.328125;992;j
MA;tptinc992j;p9p100;2007;4658.6357421875;992;j
MA;tptinc992j;p9p100;2008;4902.3256835938;992;j
MA;tptinc992j;p9p100;2009;5245.515625;992;j
MA;tptinc992j;p9p100;2010;5414.9794921875;992;j
MA;tptinc992j;p9p100;2011;5672.1596679688;992;j
MA;tptinc992j;p9p100;2012;5723.5791015625;992;j
MA;tptinc992j;p9p100;2013;6023.8452148438;992;j
MA;tptinc992j;p9p100;2014;6065.6567382812;992;j
MA;tptinc992j;p9p100;2015;6278.8110351562;992;j
MA;tptinc992j;p9p100;2016;6370.5317382812;992;j
MA;tptinc992j;p9p100;2017;6605.4448242188;992;j
MA;tptinc992j;p9p10;1984;3845.01171875;992;j
MA;tptinc992j;p9p10;1985;3900.9780273438;992;j
