country;variable;percentile;year;value;age;pop
ME;acainc992j;p27p28;1990;3015.5;992;j
ME;acainc992j;p27p28;1991;2740.0;992;j
ME;acainc992j;p27p28;1992;2089.3;992;j
ME;acainc992j;p27p28;1993;1274.2;992;j
ME;acainc992j;p27p28;1994;1314.2;992;j
ME;acainc992j;p27p28;1995;1528.7;992;j
ME;acainc992j;p27p28;1996;1997.7;992;j
ME;acainc992j;p27p28;1997;2134.6;992;j
ME;acainc992j;p27p28;1998;2227.8;992;j
ME;acainc992j;p27p28;1999;1998.5;992;j
ME;acainc992j;p27p28;2000;2319.9;992;j
ME;acainc992j;p27p28;2001;2331.6;992;j
ME;acainc992j;p27p28;2002;2315.0;992;j
ME;acainc992j;p27p28;2003;2311.7;992;j
ME;acainc992j;p27p28;2004;2360.8;992;j
ME;acainc992j;p27p28;2005;2397.9;992;j
ME;acainc992j;p27p28;2006;2616.7;992;j
ME;acainc992j;p27p28;2007;2727.9;992;j
ME;acainc992j;p27p28;2008;3038.5;992;j
ME;acainc992j;p27p28;2009;2765.4;992;j
ME;acainc992j;p27p28;2010;2815.6;992;j
ME;acainc992j;p27p28;2011;2953.7;992;j
ME;acainc992j;p27p28;2012;2840.6;992;j
ME;acainc992j;p27p28;2013;2966.5;992;j
ME;acainc992j;p27p28;2014;2973.2;992;j
ME;acainc992j;p27p28;2015;3099.8;992;j
ME;acainc992j;p27p28;2016;3135.5;992;j
ME;acainc992j;p27p28;2017;3324.4;992;j
ME;acainc992j;p35p36;1990;3549.3;992;j
ME;acainc992j;p35p36;1991;3243.0;992;j
ME;acainc992j;p35p36;1992;2481.3;992;j
ME;acainc992j;p35p36;1993;1519.0;992;j
ME;acainc992j;p35p36;1994;1569.7;992;j
ME;acainc992j;p35p36;1995;1827.3;992;j
ME;acainc992j;p35p36;1996;2394.5;992;j
ME;acainc992j;p35p36;1997;2565.6;992;j
ME;acainc992j;p35p36;1998;2613.6;992;j
ME;acainc992j;p35p36;1999;2355.7;992;j
ME;acainc992j;p35p36;2000;2726.7;992;j
ME;acainc992j;p35p36;2001;2732.1;992;j
ME;acainc992j;p35p36;2002;2715.1;992;j
ME;acainc992j;p35p36;2003;2712.9;992;j
ME;acainc992j;p35p36;2004;2773.2;992;j
ME;acainc992j;p35p36;2005;2812.3;992;j
ME;acainc992j;p35p36;2006;3025.3;992;j
ME;acainc992j;p35p36;2007;3166.8;992;j
ME;acainc992j;p35p36;2008;3547.9;992;j
ME;acainc992j;p35p36;2009;3200.6;992;j
ME;acainc992j;p35p36;2010;3307.1;992;j
ME;acainc992j;p35p36;2011;3525.5;992;j
ME;acainc992j;p35p36;2012;3272.1;992;j
ME;acainc992j;p35p36;2013;3398.6;992;j
ME;acainc992j;p35p36;2014;3420.6;992;j
ME;acainc992j;p35p36;2015;3568.9;992;j
ME;acainc992j;p35p36;2016;3613.4;992;j
ME;acainc992j;p35p36;2017;3834.7;992;j
ME;acainc992j;p45p100;1990;7496.1;992;j
ME;acainc992j;p45p100;1991;6766.0;992;j
ME;acainc992j;p45p100;1992;5131.0;992;j
ME;acainc992j;p45p100;1993;3119.2;992;j
ME;acainc992j;p45p100;1994;3203.3;992;j
ME;acainc992j;p45p100;1995;3715.4;992;j
ME;acainc992j;p45p100;1996;4834.4;992;j
ME;acainc992j;p45p100;1997;5141.1;992;j
ME;acainc992j;p45p100;1998;5364.4;992;j
ME;acainc992j;p45p100;1999;4839.2;992;j
ME;acainc992j;p45p100;2000;5617.1;992;j
ME;acainc992j;p45p100;2001;5663.2;992;j
ME;acainc992j;p45p100;2002;5795.1;992;j
