country;variable;percentile;year;value;age;pop
MG;tptinc992j;p9p100;1980;560800.875;992;j
MG;tptinc992j;p9p100;1981;489024.0;992;j
MG;tptinc992j;p9p100;1982;466536.21875;992;j
MG;tptinc992j;p9p100;1983;453359.0625;992;j
MG;tptinc992j;p9p100;1984;439567.65625;992;j
MG;tptinc992j;p9p100;1985;436057.09375;992;j
MG;tptinc992j;p9p100;1986;437186.71875;992;j
MG;tptinc992j;p9p100;1987;422031.125;992;j
MG;tptinc992j;p9p100;1988;421894.71875;992;j
MG;tptinc992j;p9p100;1989;427756.625;992;j
MG;tptinc992j;p9p100;1990;439903.0;992;j
MG;tptinc992j;p9p100;1991;396296.375;992;j
MG;tptinc992j;p9p100;1992;394850.6875;992;j
MG;tptinc992j;p9p100;1993;393884.0;992;j
MG;tptinc992j;p9p100;1994;400467.21875;992;j
MG;tptinc992j;p9p100;1995;415104.96875;992;j
MG;tptinc992j;p9p100;1996;434969.28125;992;j
MG;tptinc992j;p9p100;1997;464934.625;992;j
MG;tptinc992j;p9p100;1998;486027.9375;992;j
MG;tptinc992j;p9p100;1999;512629.03125;992;j
MG;tptinc992j;p9p100;2000;445122.59375;992;j
MG;tptinc992j;p9p100;2001;380455.34375;992;j
MG;tptinc992j;p9p100;2002;349286.21875;992;j
MG;tptinc992j;p9p100;2003;416156.28125;992;j
MG;tptinc992j;p9p100;2004;460186.9375;992;j
MG;tptinc992j;p9p100;2005;499612.78125;992;j
MG;tptinc992j;p9p100;2006;493115.6875;992;j
MG;tptinc992j;p9p100;2007;503093.09375;992;j
MG;tptinc992j;p9p100;2008;510140.9375;992;j
MG;tptinc992j;p9p100;2009;455176.0;992;j
MG;tptinc992j;p9p100;2010;428127.5;992;j
MG;tptinc992j;p9p100;2011;410914.75;992;j
MG;tptinc992j;p9p100;2012;393953.75;992;j
MG;tptinc992j;p9p100;2013;386612.4375;992;j
MG;tptinc992j;p9p100;2014;388700.5625;992;j
MG;tptinc992j;p9p100;2015;384319.96875;992;j
MG;tptinc992j;p9p100;2016;385109.0625;992;j
MG;tptinc992j;p9p100;2017;380378.65625;992;j
MG;tptinc992j;p9p10;1980;560800.875;992;j
MG;tptinc992j;p9p10;1981;489024.0;992;j
MG;tptinc992j;p9p10;1982;466536.21875;992;j
MG;tptinc992j;p9p10;1983;453359.0625;992;j
MG;tptinc992j;p9p10;1984;439567.65625;992;j
MG;tptinc992j;p9p10;1985;436057.09375;992;j
MG;tptinc992j;p9p10;1986;437186.71875;992;j
MG;tptinc992j;p9p10;1987;422031.125;992;j
MG;tptinc992j;p9p10;1988;421894.71875;992;j
MG;tptinc992j;p9p10;1989;427756.625;992;j
MG;tptinc992j;p9p10;1990;439903.0;992;j
MG;tptinc992j;p9p10;1991;396296.375;992;j
MG;tptinc992j;p9p10;1992;394850.6875;992;j
MG;tptinc992j;p9p10;1993;393884.0;992;j
MG;tptinc992j;p9p10;1994;400467.21875;992;j
MG;tptinc992j;p9p10;1995;415104.96875;992;j
MG;tptinc992j;p9p10;1996;434969.28125;992;j
MG;tptinc992j;p9p10;1997;464934.625;992;j
MG;tptinc992j;p9p10;1998;486027.9375;992;j
MG;tptinc992j;p9p10;1999;512629.03125;992;j
MG;tptinc992j;p9p10;2000;445122.59375;992;j
MG;tptinc992j;p9p10;2001;380455.34375;992;j
MG;tptinc992j;p9p10;2002;349286.21875;992;j
MG;tptinc992j;p9p10;2003;416156.28125;992;j
MG;tptinc992j;p9p10;2004;460186.9375;992;j
MG;tptinc992j;p9p10;2005;499612.78125;992;j
MG;tptinc992j;p9p10;2006;493115.6875;992;j
MG;tptinc992j;p9p10;2007;503093.09375;992;j
MG;tptinc992j;p9p10;2008;510140.9375;992;j
MG;tptinc992j;p9p10;2009;455176.0;992;j
MG;tptinc992j;p9p10;2010;428127.5;992;j
MG;tptinc992j;p9p10;2011;410914.75;992;j
MG;tptinc992j;p9p10;2012;393953.75;992;j
MG;tptinc992j;p9p10;2013;386612.4375;992;j
MG;tptinc992j;p9p10;2014;388700.5625;992;j
MG;tptinc992j;p9p10;2015;384319.96875;992;j
MG;tptinc992j;p9p10;2016;385109.0625;992;j
MG;tptinc992j;p9p10;2017;380378.65625;992;j
MG;tptinc992j;p99p99.1;1980;59329372.0;992;j
MG;tptinc992j;p99p99.1;1981;50704068.0;992;j
MG;tptinc992j;p99p99.1;1982;47330992.0;992;j
MG;tptinc992j;p99p99.1;1983;44931964.0;992;j
MG;tptinc992j;p99p99.1;1984;42491292.0;992;j
MG;tptinc992j;p99p99.1;1985;41047180.0;992;j
MG;tptinc992j;p99p99.1;1986;40009936.0;992;j
MG;tptinc992j;p99p99.1;1987;37487448.0;992;j
MG;tptinc992j;p99p99.1;1988;36311484.0;992;j
MG;tptinc992j;p99p99.1;1989;35609428.0;992;j
MG;tptinc992j;p99p99.1;1990;35354820.0;992;j
MG;tptinc992j;p99p99.1;1991;30689370.0;992;j
MG;tptinc992j;p99p99.1;1992;29402146.0;992;j
MG;tptinc992j;p99p99.1;1993;28140692.0;992;j
MG;tptinc992j;p99p99.1;1994;26633890.0;992;j
MG;tptinc992j;p99p99.1;1995;25729034.0;992;j
MG;tptinc992j;p99p99.1;1996;25124258.0;992;j
MG;tptinc992j;p99p99.1;1997;24975162.0;992;j
MG;tptinc992j;p99p99.1;1998;25210780.0;992;j
MG;tptinc992j;p99p99.1;1999;25634656.0;992;j
MG;tptinc992j;p99p99.1;2000;29735274.0;992;j
MG;tptinc992j;p99p99.1;2001;34344180.0;992;j
MG;tptinc992j;p99p99.1;2002;27357758.0;992;j
MG;tptinc992j;p99p99.1;2003;28490780.0;992;j
MG;tptinc992j;p99p99.1;2004;27688098.0;992;j
MG;tptinc992j;p99p99.1;2005;26521526.0;992;j
MG;tptinc992j;p99p99.1;2006;27508202.0;992;j
MG;tptinc992j;p99p99.1;2007;29494734.0;992;j
MG;tptinc992j;p99p99.1;2008;31436500.0;992;j
MG;tptinc992j;p99p99.1;2009;29489522.0;992;j
MG;tptinc992j;p99p99.1;2010;29169852.0;992;j
MG;tptinc992j;p99p99.1;2011;28440922.0;992;j
MG;tptinc992j;p99p99.1;2012;27663360.0;992;j
MG;tptinc992j;p99p99.1;2013;27147856.0;992;j
MG;tptinc992j;p99p99.1;2014;27294484.0;992;j
MG;tptinc992j;p99p99.1;2015;26986878.0;992;j
MG;tptinc992j;p99p99.1;2016;27042288.0;992;j
MG;tptinc992j;p99p99.1;2017;26710120.0;992;j
MG;tptinc992j;p99p100;1980;59329372.0;992;j
MG;tptinc992j;p99p100;1981;50704068.0;992;j
MG;tptinc992j;p99p100;1982;47330992.0;992;j
MG;tptinc992j;p99p100;1983;44931964.0;992;j
MG;tptinc992j;p99p100;1984;42491292.0;992;j
MG;tptinc992j;p99p100;1985;41047180.0;992;j
MG;tptinc992j;p99p100;1986;40009936.0;992;j
MG;tptinc992j;p99p100;1987;37487448.0;992;j
MG;tptinc992j;p99p100;1988;36311484.0;992;j
MG;tptinc992j;p99p100;1989;35609428.0;992;j
MG;tptinc992j;p99p100;1990;35354820.0;992;j
MG;tptinc992j;p99p100;1991;30689370.0;992;j
MG;tptinc992j;p99p100;1992;29402146.0;992;j
MG;tptinc992j;p99p100;1993;28140692.0;992;j
MG;tptinc992j;p99p100;1994;26633890.0;992;j
MG;tptinc992j;p99p100;1995;25729034.0;992;j
MG;tptinc992j;p99p100;1996;25124258.0;992;j
MG;tptinc992j;p99p100;1997;24975162.0;992;j
MG;tptinc992j;p99p100;1998;25210780.0;992;j
MG;tptinc992j;p99p100;1999;25634656.0;992;j
MG;tptinc992j;p99p100;2000;29735274.0;992;j
MG;tptinc992j;p99p100;2001;34344180.0;992;j
MG;tptinc992j;p99p100;2002;27357758.0;992;j
MG;tptinc992j;p99p100;2003;28490780.0;992;j
MG;tptinc992j;p99p100;2004;27688098.0;992;j
MG;tptinc992j;p99p100;2005;26521526.0;992;j
MG;tptinc992j;p99p100;2006;27508202.0;992;j
MG;tptinc992j;p99p100;2007;29494734.0;992;j
MG;tptinc992j;p99p100;2008;31436500.0;992;j
MG;tptinc992j;p99p100;2009;29489522.0;992;j
MG;tptinc992j;p99p100;2010;29169852.0;992;j
MG;tptinc992j;p99p100;2011;28440922.0;992;j
MG;tptinc992j;p99p100;2012;27663360.0;992;j
MG;tptinc992j;p99p100;2013;27147856.0;992;j
MG;tptinc992j;p99p100;2014;27294484.0;992;j
MG;tptinc992j;p99p100;2015;26986878.0;992;j
MG;tptinc992j;p99p100;2016;27042288.0;992;j
