country;variable;percentile;year;value;age;pop
MH;xlcyux999i;p0p100;2018;0.15666421;999;i
MH;xlcyup999i;p0p100;1970;0.58945745;999;i
MH;xlcyup999i;p0p100;1971;0.60846364;999;i
MH;xlcyup999i;p0p100;1972;0.62254655;999;i
MH;xlcyup999i;p0p100;1973;0.56756055;999;i
MH;xlcyup999i;p0p100;1974;0.63374197;999;i
MH;xlcyup999i;p0p100;1975;0.68431824;999;i
MH;xlcyup999i;p0p100;1976;0.71255928;999;i
MH;xlcyup999i;p0p100;1977;0.75585127;999;i
MH;xlcyup999i;p0p100;1978;0.78425115;999;i
MH;xlcyup999i;p0p100;1979;0.84277523;999;i
MH;xlcyup999i;p0p100;1980;0.88500762;999;i
MH;xlcyup999i;p0p100;1981;0.94808519;999;i
MH;xlcyup999i;p0p100;1982;0.99456173;999;i
MH;xlcyup999i;p0p100;1983;1.0198683;999;i
MH;xlcyup999i;p0p100;1984;1.0744665;999;i
MH;xlcyup999i;p0p100;1985;1.0852095;999;i
MH;xlcyup999i;p0p100;1986;1.0547204;999;i
MH;xlcyup999i;p0p100;1987;1.0171931;999;i
MH;xlcyup999i;p0p100;1988;0.91756457;999;i
MH;xlcyup999i;p0p100;1989;0.81146359;999;i
MH;xlcyup999i;p0p100;1990;0.75201017;999;i
MH;xlcyup999i;p0p100;1991;0.75795335;999;i
MH;xlcyup999i;p0p100;1992;0.71280378;999;i
MH;xlcyup999i;p0p100;1993;0.57822406;999;i
MH;xlcyup999i;p0p100;1994;0.46859795;999;i
MH;xlcyup999i;p0p100;1995;0.40225974;999;i
MH;xlcyup999i;p0p100;1996;0.37216932;999;i
MH;xlcyup999i;p0p100;1997;0.35513633;999;i
MH;xlcyup999i;p0p100;1998;0.36797279;999;i
MH;xlcyup999i;p0p100;1999;0.36582217;999;i
MH;xlcyup999i;p0p100;2000;0.33368292;999;i
MH;xlcyup999i;p0p100;2001;0.32875183;999;i
MH;xlcyup999i;p0p100;2002;0.34348437;999;i
MH;xlcyup999i;p0p100;2003;0.33865663;999;i
MH;xlcyup999i;p0p100;2004;0.32715911;999;i
MH;xlcyup999i;p0p100;2005;0.32087258;999;i
MH;xlcyup999i;p0p100;2006;0.31777614;999;i
MH;xlcyup999i;p0p100;2007;0.30026597;999;i
MH;xlcyup999i;p0p100;2008;0.28595051;999;i
MH;xlcyup999i;p0p100;2009;0.29451472;999;i
MH;xlcyup999i;p0p100;2010;0.28052634;999;i
