country;variable;percentile;year;value;age;pop
ML;tptinc992j;p9p100;1990;20847.259765625;992;j
ML;tptinc992j;p9p100;1991;23714.052734375;992;j
ML;tptinc992j;p9p100;1992;22647.2890625;992;j
ML;tptinc992j;p9p100;1993;23136.724609375;992;j
ML;tptinc992j;p9p100;1994;23731.541015625;992;j
ML;tptinc992j;p9p100;1995;34412.41015625;992;j
ML;tptinc992j;p9p100;1996;42994.328125;992;j
ML;tptinc992j;p9p100;1997;49292.73828125;992;j
ML;tptinc992j;p9p100;1998;54222.734375;992;j
ML;tptinc992j;p9p100;1999;62831.37890625;992;j
ML;tptinc992j;p9p100;2000;62810.70703125;992;j
ML;tptinc992j;p9p100;2001;72767.421875;992;j
ML;tptinc992j;p9p100;2002;75171.2734375;992;j
ML;tptinc992j;p9p100;2003;85071.203125;992;j
ML;tptinc992j;p9p100;2004;76438.875;992;j
ML;tptinc992j;p9p100;2005;82250.5859375;992;j
ML;tptinc992j;p9p100;2006;89854.203125;992;j
ML;tptinc992j;p9p100;2007;104850.8125;992;j
ML;tptinc992j;p9p100;2008;122782.5625;992;j
ML;tptinc992j;p9p100;2009;142455.75;992;j
ML;tptinc992j;p9p100;2010;153589.953125;992;j
ML;tptinc992j;p9p100;2011;161401.84375;992;j
ML;tptinc992j;p9p100;2012;174199.765625;992;j
ML;tptinc992j;p9p100;2013;182187.078125;992;j
ML;tptinc992j;p9p100;2014;191700.1875;992;j
ML;tptinc992j;p9p100;2015;201402.265625;992;j
ML;tptinc992j;p9p100;2016;211409.65625;992;j
ML;tptinc992j;p9p100;2017;217668.59375;992;j
ML;tptinc992j;p9p10;1990;20847.259765625;992;j
ML;tptinc992j;p9p10;1991;23714.052734375;992;j
ML;tptinc992j;p9p10;1992;22647.2890625;992;j
ML;tptinc992j;p9p10;1993;23136.724609375;992;j
ML;tptinc992j;p9p10;1994;23731.541015625;992;j
ML;tptinc992j;p9p10;1995;34412.41015625;992;j
ML;tptinc992j;p9p10;1996;42994.328125;992;j
ML;tptinc992j;p9p10;1997;49292.73828125;992;j
ML;tptinc992j;p9p10;1998;54222.734375;992;j
ML;tptinc992j;p9p10;1999;62831.37890625;992;j
ML;tptinc992j;p9p10;2000;62810.70703125;992;j
ML;tptinc992j;p9p10;2001;72767.421875;992;j
ML;tptinc992j;p9p10;2002;75171.2734375;992;j
ML;tptinc992j;p9p10;2003;85071.203125;992;j
ML;tptinc992j;p9p10;2004;76438.875;992;j
ML;tptinc992j;p9p10;2005;82250.5859375;992;j
ML;tptinc992j;p9p10;2006;89854.203125;992;j
ML;tptinc992j;p9p10;2007;104850.8125;992;j
ML;tptinc992j;p9p10;2008;122782.5625;992;j
ML;tptinc992j;p9p10;2009;142455.75;992;j
ML;tptinc992j;p9p10;2010;153589.953125;992;j
ML;tptinc992j;p9p10;2011;161401.84375;992;j
ML;tptinc992j;p9p10;2012;174199.765625;992;j
ML;tptinc992j;p9p10;2013;182187.078125;992;j
