country;variable;percentile;year;value;age;pop
MM;xlcyux999i;p0p100;1960;1.9343094;999;i
MM;xlcyux999i;p0p100;1961;1.9343094;999;i
MM;xlcyux999i;p0p100;1962;1.9343094;999;i
MM;xlcyux999i;p0p100;1963;1.9343094;999;i
MM;xlcyux999i;p0p100;1964;1.9343094;999;i
MM;xlcyux999i;p0p100;1965;1.9343094;999;i
MM;xlcyux999i;p0p100;1966;1.9343094;999;i
MM;xlcyux999i;p0p100;1967;1.9343094;999;i
MM;xlcyux999i;p0p100;1968;1.9343094;999;i
MM;xlcyux999i;p0p100;1969;1.9343094;999;i
MM;xlcyux999i;p0p100;1970;1.9343094;999;i
MM;xlcyux999i;p0p100;1971;1.9355046;999;i
MM;xlcyux999i;p0p100;1972;2.4317739;999;i
MM;xlcyux999i;p0p100;1973;2.4786453;999;i
MM;xlcyux999i;p0p100;1974;2.4794793;999;i
MM;xlcyux999i;p0p100;1975;3.4301105;999;i
MM;xlcyux999i;p0p100;1976;3.4545672;999;i
MM;xlcyux999i;p0p100;1977;3.8042367;999;i
MM;xlcyux999i;p0p100;1978;4.0379562;999;i
MM;xlcyux999i;p0p100;1979;4.235383;999;i
MM;xlcyux999i;p0p100;1980;4.3634562;999;i
MM;xlcyux999i;p0p100;1981;4.2359405;999;i
MM;xlcyux999i;p0p100;1982;4.0733919;999;i
MM;xlcyux999i;p0p100;1983;4.0292034;999;i
MM;xlcyux999i;p0p100;1984;3.5789299;999;i
MM;xlcyux999i;p0p100;1985;2.8858821;999;i
MM;xlcyux999i;p0p100;1986;2.1230285;999;i
MM;xlcyux999i;p0p100;1987;1.7875527;999;i
MM;xlcyux999i;p0p100;1988;1.717993;999;i
MM;xlcyux999i;p0p100;1989;1.7807987;999;i
MM;xlcyux999i;p0p100;1990;1.3251687;999;i
MM;xlcyux999i;p0p100;1991;1.1803942;999;i
MM;xlcyux999i;p0p100;1992;1.1069783;999;i
MM;xlcyux999i;p0p100;1993;1.0685545;999;i
MM;xlcyux999i;p0p100;1994;0.69324642;999;i
MM;xlcyux999i;p0p100;1995;0.67857254;999;i
MM;xlcyux999i;p0p100;1996;0.71174437;999;i
MM;xlcyux999i;p0p100;1997;0.75295186;999;i
MM;xlcyux999i;p0p100;1998;0.76617831;999;i
MM;xlcyux999i;p0p100;1999;0.75931412;999;i
MM;xlcyux999i;p0p100;2000;0.78718626;999;i
MM;xlcyux999i;p0p100;2001;0.81537431;999;i
MM;xlcyux999i;p0p100;2002;0.80247885;999;i
MM;xlcyux999i;p0p100;2003;0.74168152;999;i
MM;xlcyux999i;p0p100;2004;0.70145857;999;i
