country;variable;percentile;year;value;age;pop
MN;xlcyux999i;p0p100;1991;1.5049928;999;i
MN;xlcyux999i;p0p100;1992;6.4979119;999;i
MN;xlcyux999i;p0p100;1993;51.199699;999;i
MN;xlcyux999i;p0p100;1994;47.886497;999;i
MN;xlcyux999i;p0p100;1995;53.716953;999;i
MN;xlcyux999i;p0p100;1996;65.960045;999;i
MN;xlcyux999i;p0p100;1997;95.296738;999;i
MN;xlcyux999i;p0p100;1998;101.56209;999;i
MN;xlcyux999i;p0p100;1999;123.44004;999;i
MN;xlcyux999i;p0p100;2000;130.05569;999;i
MN;xlcyux999i;p0p100;2001;132.61913;999;i
MN;xlcyux999i;p0p100;2002;134.14471;999;i
MN;xlcyux999i;p0p100;2003;138.52089;999;i
MN;xlcyux999i;p0p100;2004;143.2072;999;i
MN;xlcyux999i;p0p100;2005;147.08324;999;i
MN;xlcyux999i;p0p100;2006;147.95364;999;i
MN;xlcyux999i;p0p100;2007;153.84764;999;i
MN;xlcyux999i;p0p100;2008;167.77408;999;i
MN;xlcyux999i;p0p100;2009;210.46808;999;i
MN;xlcyux999i;p0p100;2010;200.44466;999;i
MN;xlcyux999i;p0p100;2011;195.85597;999;i
MN;xlcyux999i;p0p100;2012;215.06787;999;i
MN;xlcyux999i;p0p100;2013;245.96303;999;i
MN;xlcyux999i;p0p100;2014;295.91571;999;i
MN;xlcyux999i;p0p100;2015;316.38907;999;i
MN;xlcyux999i;p0p100;2016;322.11572;999;i
MN;xlcyux999i;p0p100;2017;360.98029;999;i
MN;xlcyux999i;p0p100;2018;377.11142;999;i
MN;xlcyup999i;p0p100;1970;5.5644069;999;i
MN;xlcyup999i;p0p100;1971;5.3904119;999;i
MN;xlcyup999i;p0p100;1972;5.3772001;999;i
MN;xlcyup999i;p0p100;1973;5.275351;999;i
MN;xlcyup999i;p0p100;1974;5.2337904;999;i
MN;xlcyup999i;p0p100;1975;5.1711726;999;i
MN;xlcyup999i;p0p100;1976;4.9644661;999;i
MN;xlcyup999i;p0p100;1977;4.9008713;999;i
MN;xlcyup999i;p0p100;1978;4.7860618;999;i
MN;xlcyup999i;p0p100;1979;4.5667114;999;i
MN;xlcyup999i;p0p100;1980;4.2914052;999;i
MN;xlcyup999i;p0p100;1981;4.558569;999;i
MN;xlcyup999i;p0p100;1982;4.6572294;999;i
MN;xlcyup999i;p0p100;1983;4.2534504;999;i
MN;xlcyup999i;p0p100;1984;4.2446113;999;i
MN;xlcyup999i;p0p100;1985;4.1335783;999;i
MN;xlcyup999i;p0p100;1986;3.5775495;999;i
MN;xlcyup999i;p0p100;1987;3.2119668;999;i
MN;xlcyup999i;p0p100;1988;2.804352;999;i
MN;xlcyup999i;p0p100;1989;2.3659341;999;i
MN;xlcyup999i;p0p100;1990;2.0889299;999;i
MN;xlcyup999i;p0p100;1991;4.010828;999;i
MN;xlcyup999i;p0p100;1992;10.119115;999;i
MN;xlcyup999i;p0p100;1993;28.894363;999;i
MN;xlcyup999i;p0p100;1994;37.992668;999;i
MN;xlcyup999i;p0p100;1995;45.215633;999;i
MN;xlcyup999i;p0p100;1996;46.66103;999;i
MN;xlcyup999i;p0p100;1997;54.260117;999;i
MN;xlcyup999i;p0p100;1998;51.080341;999;i
MN;xlcyup999i;p0p100;1999;55.523136;999;i
MN;xlcyup999i;p0p100;2000;57.992073;999;i
MN;xlcyup999i;p0p100;2001;62.924412;999;i
MN;xlcyup999i;p0p100;2002;66.897781;999;i
MN;xlcyup999i;p0p100;2003;71.285172;999;i
MN;xlcyup999i;p0p100;2004;78.009575;999;i
MN;xlcyup999i;p0p100;2005;89.872063;999;i
MN;xlcyup999i;p0p100;2006;106.03405;999;i
MN;xlcyup999i;p0p100;2007;110.08736;999;i
MN;xlcyup999i;p0p100;2008;124.02064;999;i
MN;xlcyup999i;p0p100;2009;128.11823;999;i
MN;xlcyup999i;p0p100;2010;143.84256;999;i
MN;xlcyup999i;p0p100;2011;153.2224;999;i
MN;xlcyup999i;p0p100;2012;170.26213;999;i
MN;xlcyup999i;p0p100;2013;171.88922;999;i
MN;xlcyup999i;p0p100;2014;183.84401;999;i
MN;xlcyup999i;p0p100;2015;188.17474;999;i
MN;xlcyup999i;p0p100;2016;193.54517;999;i
MN;xlcyup999i;p0p100;2017;210.28317;999;i
MN;xlcyup999i;p0p100;2018;228.10757;999;i
MN;xlcusx999i;p0p100;1991;8.0116663;999;i
MN;xlcusx999i;p0p100;1992;35.833332;999;i
MN;xlcusx999i;p0p100;1993;295.01053;999;i
MN;xlcusx999i;p0p100;1994;412.72141;999;i
MN;xlcusx999i;p0p100;1995;448.61264;999;i
MN;xlcusx999i;p0p100;1996;548.40332;999;i
MN;xlcusx999i;p0p100;1997;789.99249;999;i
MN;xlcusx999i;p0p100;1998;840.82831;999;i
MN;xlcusx999i;p0p100;1999;1021.8675;999;i
MN;xlcusx999i;p0p100;2000;1076.6666;999;i
MN;xlcusx999i;p0p100;2001;1097.6975;999;i
MN;xlcusx999i;p0p100;2002;1110.3101;999;i
MN;xlcusx999i;p0p100;2003;1146.5425;999;i
MN;xlcusx999i;p0p100;2004;1185.2975;999;i
MN;xlcusx999i;p0p100;2005;1205.2467;999;i
MN;xlcusx999i;p0p100;2006;1179.6992;999;i
MN;xlcusx999i;p0p100;2007;1170.4009;999;i
