country;variable;percentile;year;value;age;pop
MO;xlcyux999i;p0p100;1967;2.4680183;999;i
MO;xlcyux999i;p0p100;1968;2.4663079;999;i
MO;xlcyux999i;p0p100;1969;2.4519126;999;i
MO;xlcyux999i;p0p100;1970;2.4581127;999;i
MO;xlcyux999i;p0p100;1971;2.415853;999;i
MO;xlcyux999i;p0p100;1972;2.5453863;999;i
MO;xlcyux999i;p0p100;1973;2.4774888;999;i
MO;xlcyux999i;p0p100;1974;2.5698564;999;i
MO;xlcyux999i;p0p100;1975;2.7564108;999;i
MO;xlcyux999i;p0p100;1976;3.1221805;999;i
MO;xlcyux999i;p0p100;1977;3.0001698;999;i
MO;xlcyux999i;p0p100;1978;2.9871693;999;i
MO;xlcyux999i;p0p100;1979;3.3291769;999;i
MO;xlcyux999i;p0p100;1980;3.4003253;999;i
MO;xlcyux999i;p0p100;1981;3.3743186;999;i
MO;xlcyux999i;p0p100;1982;3.2896678;999;i
MO;xlcyux999i;p0p100;1983;3.7780337;999;i
MO;xlcyux999i;p0p100;1984;3.4634507;999;i
MO;xlcyux999i;p0p100;1985;2.7237904;999;i
MO;xlcyux999i;p0p100;1986;2.3207767;999;i
MO;xlcyux999i;p0p100;1987;2.1519594;999;i
MO;xlcyux999i;p0p100;1988;2.1602297;999;i
MO;xlcyux999i;p0p100;1989;2.1337721;999;i
MO;xlcyux999i;p0p100;1990;1.6769061;999;i
MO;xlcyux999i;p0p100;1991;1.5035996;999;i
MO;xlcyux999i;p0p100;1992;1.4456812;999;i
MO;xlcyux999i;p0p100;1993;1.3827851;999;i
MO;xlcyux999i;p0p100;1994;0.92360145;999;i
MO;xlcyux999i;p0p100;1995;0.95406067;999;i
MO;xlcyux999i;p0p100;1996;0.95817089;999;i
MO;xlcyux999i;p0p100;1997;0.96205884;999;i
MO;xlcyux999i;p0p100;1998;0.96374041;999;i
MO;xlcyux999i;p0p100;1999;0.96540332;999;i
MO;xlcyux999i;p0p100;2000;0.96948671;999;i
MO;xlcyux999i;p0p100;2001;0.97057313;999;i
MO;xlcyux999i;p0p100;2002;0.97057801;999;i
MO;xlcyux999i;p0p100;2003;0.96909577;999;i
MO;xlcyux999i;p0p100;2004;0.96923566;999;i
MO;xlcyux999i;p0p100;2005;0.97763664;999;i
MO;xlcyux999i;p0p100;2006;1.0035101;999;i
MO;xlcyux999i;p0p100;2007;1.0563023;999;i
MO;xlcyux999i;p0p100;2008;1.154196;999;i
MO;xlcyux999i;p0p100;2009;1.1687596;999;i
MO;xlcyux999i;p0p100;2010;1.1819643;999;i
