country;variable;percentile;year;value;age;pop
MP;xlcyux999i;p0p100;2018;0.15666421;999;i
MP;xlcusx999i;p0p100;2018;1.0;999;i
MP;xlceux999i;p0p100;2018;1.2258255;999;i
MP;npopul999i;p0p100;1950;6999.0;999;i
MP;npopul999i;p0p100;1951;7080.0;999;i
MP;npopul999i;p0p100;1952;7202.0;999;i
MP;npopul999i;p0p100;1953;7395.0;999;i
MP;npopul999i;p0p100;1954;7650.0;999;i
MP;npopul999i;p0p100;1955;7985.0;999;i
MP;npopul999i;p0p100;1956;8378.0;999;i
MP;npopul999i;p0p100;1957;8802.0;999;i
MP;npopul999i;p0p100;1958;9239.0;999;i
MP;npopul999i;p0p100;1959;9645.0;999;i
MP;npopul999i;p0p100;1960;9979.0;999;i
MP;npopul999i;p0p100;1961;10245.0;999;i
MP;npopul999i;p0p100;1962;10436.0;999;i
MP;npopul999i;p0p100;1963;10590.0;999;i
MP;npopul999i;p0p100;1964;10783.0;999;i
MP;npopul999i;p0p100;1965;11022.0;999;i
MP;npopul999i;p0p100;1966;11344.0;999;i
MP;npopul999i;p0p100;1967;11721.0;999;i
MP;npopul999i;p0p100;1968;12140.0;999;i
MP;npopul999i;p0p100;1969;12574.0;999;i
MP;npopul999i;p0p100;1970;12994.0;999;i
MP;npopul999i;p0p100;1971;13429.0;999;i
MP;npopul999i;p0p100;1972;13882.0;999;i
MP;npopul999i;p0p100;1973;14325.0;999;i
MP;npopul999i;p0p100;1974;14677.0;999;i
MP;npopul999i;p0p100;1975;14924.0;999;i
MP;npopul999i;p0p100;1976;15026.0;999;i
MP;npopul999i;p0p100;1977;15048.0;999;i
MP;npopul999i;p0p100;1978;15170.0;999;i
MP;npopul999i;p0p100;1979;15638.0;999;i
MP;npopul999i;p0p100;1980;16633.0;999;i
MP;npopul999i;p0p100;1981;18158.0;999;i
MP;npopul999i;p0p100;1982;20167.0;999;i
MP;npopul999i;p0p100;1983;22622.0;999;i
MP;npopul999i;p0p100;1984;25500.0;999;i
MP;npopul999i;p0p100;1985;28720.0;999;i
MP;npopul999i;p0p100;1986;32370.0;999;i
MP;npopul999i;p0p100;1987;36377.0;999;i
MP;npopul999i;p0p100;1988;40288.0;999;i
MP;npopul999i;p0p100;1989;43540.0;999;i
MP;npopul999i;p0p100;1990;45752.0;999;i
MP;npopul999i;p0p100;1991;46666.0;999;i
