country;variable;percentile;year;value;age;pop
MR;tptinc992j;p9p100;1987;2716.1184082031;992;j
MR;tptinc992j;p9p100;1988;3079.1372070312;992;j
MR;tptinc992j;p9p100;1989;4941.8525390625;992;j
MR;tptinc992j;p9p100;1990;5014.89453125;992;j
MR;tptinc992j;p9p100;1991;5745.8315429688;992;j
MR;tptinc992j;p9p100;1992;5897.4541015625;992;j
MR;tptinc992j;p9p100;1993;2592.0092773438;992;j
MR;tptinc992j;p9p100;1994;6961.4458007812;992;j
MR;tptinc992j;p9p100;1995;8133.3071289062;992;j
MR;tptinc992j;p9p100;1996;8877.7470703125;992;j
MR;tptinc992j;p9p100;1997;8474.6103515625;992;j
MR;tptinc992j;p9p100;1998;8561.8955078125;992;j
MR;tptinc992j;p9p100;1999;8772.291015625;992;j
MR;tptinc992j;p9p100;2000;8320.8955078125;992;j
MR;tptinc992j;p9p100;2001;8307.4228515625;992;j
MR;tptinc992j;p9p100;2002;8131.9921875;992;j
MR;tptinc992j;p9p100;2003;8356.7607421875;992;j
MR;tptinc992j;p9p100;2004;8555.20703125;992;j
MR;tptinc992j;p9p100;2005;9251.3623046875;992;j
MR;tptinc992j;p9p100;2006;10951.9892578125;992;j
MR;tptinc992j;p9p100;2007;11153.3505859375;992;j
MR;tptinc992j;p9p100;2008;11155.916015625;992;j
MR;tptinc992j;p9p100;2009;10845.763671875;992;j
MR;tptinc992j;p9p100;2010;11205.2705078125;992;j
MR;tptinc992j;p9p100;2011;11593.494140625;992;j
MR;tptinc992j;p9p100;2012;10165.8232421875;992;j
MR;tptinc992j;p9p100;2013;10536.0361328125;992;j
MR;tptinc992j;p9p100;2014;8793.119140625;992;j
MR;tptinc992j;p9p100;2015;10278.0576171875;992;j
MR;tptinc992j;p9p100;2016;6231.8061523438;992;j
MR;tptinc992j;p9p100;2017;11016.3203125;992;j
MR;tptinc992j;p9p10;1987;2716.1184082031;992;j
MR;tptinc992j;p9p10;1988;3079.1372070312;992;j
MR;tptinc992j;p9p10;1989;4941.8525390625;992;j
MR;tptinc992j;p9p10;1990;5014.89453125;992;j
