country;variable;percentile;year;value;age;pop
MS;xlcyux999i;p0p100;2018;0.42114472;999;i
MS;xlcusx999i;p0p100;2018;2.6882;999;i
MS;xlceux999i;p0p100;2018;3.2952642;999;i
MS;npopul999i;p0p100;1950;13519.0;999;i
MS;npopul999i;p0p100;1951;14119.0;999;i
MS;npopul999i;p0p100;1952;14485.0;999;i
MS;npopul999i;p0p100;1953;14606.0;999;i
MS;npopul999i;p0p100;1954;14514.0;999;i
MS;npopul999i;p0p100;1955;14233.0;999;i
MS;npopul999i;p0p100;1956;13820.0;999;i
MS;npopul999i;p0p100;1957;13317.0;999;i
MS;npopul999i;p0p100;1958;12796.0;999;i
MS;npopul999i;p0p100;1959;12319.0;999;i
MS;npopul999i;p0p100;1960;11957.0;999;i
MS;npopul999i;p0p100;1961;11734.0;999;i
MS;npopul999i;p0p100;1962;11652.0;999;i
MS;npopul999i;p0p100;1963;11671.0;999;i
MS;npopul999i;p0p100;1964;11705.0;999;i
MS;npopul999i;p0p100;1965;11726.0;999;i
MS;npopul999i;p0p100;1966;11700.0;999;i
MS;npopul999i;p0p100;1967;11655.0;999;i
MS;npopul999i;p0p100;1968;11601.0;999;i
MS;npopul999i;p0p100;1969;11556.0;999;i
MS;npopul999i;p0p100;1970;11534.0;999;i
MS;npopul999i;p0p100;1971;11517.0;999;i
MS;npopul999i;p0p100;1972;11522.0;999;i
MS;npopul999i;p0p100;1973;11533.0;999;i
MS;npopul999i;p0p100;1974;11559.0;999;i
MS;npopul999i;p0p100;1975;11580.0;999;i
MS;npopul999i;p0p100;1976;11611.0;999;i
MS;npopul999i;p0p100;1977;11648.0;999;i
MS;npopul999i;p0p100;1978;11676.0;999;i
MS;npopul999i;p0p100;1979;11669.0;999;i
MS;npopul999i;p0p100;1980;11607.0;999;i
MS;npopul999i;p0p100;1981;11481.0;999;i
MS;npopul999i;p0p100;1982;11307.0;999;i
MS;npopul999i;p0p100;1983;11107.0;999;i
MS;npopul999i;p0p100;1984;10932.0;999;i
MS;npopul999i;p0p100;1985;10792.0;999;i
MS;npopul999i;p0p100;1986;10704.0;999;i
MS;npopul999i;p0p100;1987;10659.0;999;i
MS;npopul999i;p0p100;1988;10638.0;999;i
MS;npopul999i;p0p100;1989;10632.0;999;i
MS;npopul999i;p0p100;1990;10615.0;999;i
MS;npopul999i;p0p100;1991;10632.0;999;i
MS;npopul999i;p0p100;1992;10661.0;999;i
MS;npopul999i;p0p100;1993;10601.0;999;i
MS;npopul999i;p0p100;1994;10362.0;999;i
MS;npopul999i;p0p100;1995;9848.0;999;i
MS;npopul999i;p0p100;1996;9015.0;999;i
MS;npopul999i;p0p100;1997;7930.0;999;i
MS;npopul999i;p0p100;1998;6741.0;999;i
MS;npopul999i;p0p100;1999;5692.0;999;i
MS;npopul999i;p0p100;2000;4929.0;999;i
MS;npopul999i;p0p100;2001;4530.0;999;i
MS;npopul999i;p0p100;2002;4425.0;999;i
MS;npopul999i;p0p100;2003;4535.0;999;i
MS;npopul999i;p0p100;2004;4705.0;999;i
MS;npopul999i;p0p100;2005;4835.0;999;i
MS;npopul999i;p0p100;2006;4892.0;999;i
MS;npopul999i;p0p100;2007;4910.0;999;i
MS;npopul999i;p0p100;2008;4901.0;999;i
MS;npopul999i;p0p100;2009;4891.0;999;i
MS;npopul999i;p0p100;2010;4899.0;999;i
MS;npopul999i;p0p100;2011;4917.0;999;i
MS;npopul999i;p0p100;2012;4930.0;999;i
MS;npopul999i;p0p100;2013;4944.0;999;i
MS;npopul999i;p0p100;2014;4957.0;999;i
MS;npopul999i;p0p100;2015;4967.0;999;i
MS;npopul999i;p0p100;2016;4981.0;999;i
MS;npopul999i;p0p100;2017;4984.0;999;i
MS;npopul999i;p0p100;2018;4993.0;999;i
MS;mnnfin999i;p0p100;1986;-4030084.0;999;i
MS;mnnfin999i;p0p100;1987;-3616666.0;999;i
MS;mnnfin999i;p0p100;1988;642471.0;999;i
MS;mnnfin999i;p0p100;1989;-1159855.0;999;i
MS;mnnfin999i;p0p100;1990;-2626801.0;999;i
MS;mnnfin999i;p0p100;1991;-5221628.0;999;i
MS;mnnfin999i;p0p100;1992;-2495535.0;999;i
MS;mnnfin999i;p0p100;1993;-13262850.0;999;i
MS;mnnfin999i;p0p100;1994;-17038230.0;999;i
MS;mnnfin999i;p0p100;1995;-7329482.0;999;i
MS;mnnfin999i;p0p100;1996;-4534931.0;999;i
MS;mnnfin999i;p0p100;1997;-8028254.0;999;i
MS;mnnfin999i;p0p100;1998;-5469824.0;999;i
MS;mnnfin999i;p0p100;1999;-19470266.0;999;i
MS;mnnfin999i;p0p100;2000;-8608271.0;999;i
MS;mnnfin999i;p0p100;2001;-1524043.0;999;i
MS;mnnfin999i;p0p100;2002;-8785571.0;999;i
MS;mnnfin999i;p0p100;2003;-2893065.0;999;i
MS;mnnfin999i;p0p100;2004;-9667641.0;999;i
MS;mnnfin999i;p0p100;2005;-7163201.0;999;i
MS;mnnfin999i;p0p100;2006;-4330612.0;999;i
MS;mnnfin999i;p0p100;2007;-8863208.0;999;i
MS;mnnfin999i;p0p100;2008;-10297130.0;999;i
MS;mnnfin999i;p0p100;2009;-8182132.0;999;i
MS;mnnfin999i;p0p100;2010;-9242123.0;999;i
MS;mnnfin999i;p0p100;2011;-7893912.0;999;i
MS;mnnfin999i;p0p100;2012;-6682471.0;999;i
MS;mnnfin999i;p0p100;2013;-7552837.0;999;i
MS;mnnfin999i;p0p100;2014;775267.0;999;i
MS;mnnfin999i;p0p100;2015;1631158.0;999;i
MS;mnnfin999i;p0p100;2016;1657472.0;999;i
MS;mnnfin999i;p0p100;2017;1620748.0;999;i
MS;mnnfin999i;p0p100;2018;1491795.0;999;i
MS;mgdpro999i;p0p100;1970;155589345.0;999;i
MS;mgdpro999i;p0p100;1971;159223696.0;999;i
MS;mgdpro999i;p0p100;1972;161964902.0;999;i
MS;mgdpro999i;p0p100;1973;166431481.0;999;i
MS;mgdpro999i;p0p100;1974;172924380.0;999;i
MS;mgdpro999i;p0p100;1975;181023057.0;999;i
MS;mgdpro999i;p0p100;1976;178709853.0;999;i
MS;mgdpro999i;p0p100;1977;176396325.0;999;i
MS;mgdpro999i;p0p100;1978;190680285.0;999;i
MS;mgdpro999i;p0p100;1979;209391226.0;999;i
MS;mgdpro999i;p0p100;1980;227575085.0;999;i
MS;mgdpro999i;p0p100;1981;236882882.0;999;i
MS;mgdpro999i;p0p100;1982;249285886.0;999;i
MS;mgdpro999i;p0p100;1983;234497918.0;999;i
MS;mgdpro999i;p0p100;1984;242053861.0;999;i
MS;mgdpro999i;p0p100;1985;256356680.0;999;i
MS;mgdpro999i;p0p100;1986;263124045.0;999;i
MS;mgdpro999i;p0p100;1987;272656501.0;999;i
MS;mgdpro999i;p0p100;1988;297689699.0;999;i
MS;mgdpro999i;p0p100;1989;307203080.0;999;i
MS;mgdpro999i;p0p100;1990;328236803.0;999;i
MS;mgdpro999i;p0p100;1991;305260697.0;999;i
MS;mgdpro999i;p0p100;1992;305852411.0;999;i
MS;mgdpro999i;p0p100;1993;298046163.0;999;i
MS;mgdpro999i;p0p100;1994;315570663.0;999;i
MS;mgdpro999i;p0p100;1995;287717488.0;999;i
MS;mgdpro999i;p0p100;1996;212316045.0;999;i
MS;mgdpro999i;p0p100;1997;165367059.0;999;i
MS;mgdpro999i;p0p100;1998;136540159.0;999;i
MS;mgdpro999i;p0p100;1999;126353182.0;999;i
MS;mgdpro999i;p0p100;2000;123158928.0;999;i
MS;mgdpro999i;p0p100;2001;122770440.0;999;i
MS;mgdpro999i;p0p100;2002;125596869.0;999;i
MS;mgdpro999i;p0p100;2003;126208698.0;999;i
MS;mgdpro999i;p0p100;2004;132172423.0;999;i
MS;mgdpro999i;p0p100;2005;136310035.0;999;i
MS;mgdpro999i;p0p100;2006;135338808.0;999;i
MS;mgdpro999i;p0p100;2007;139719338.0;999;i
MS;mgdpro999i;p0p100;2008;145945215.0;999;i
MS;mgdpro999i;p0p100;2009;145275111.0;999;i
MS;mgdpro999i;p0p100;2010;141176241.0;999;i
MS;mgdpro999i;p0p100;2011;148888303.0;999;i
MS;mgdpro999i;p0p100;2012;154103882.0;999;i
MS;mgdpro999i;p0p100;2013;162233543.0;999;i
MS;mgdpro999i;p0p100;2014;165866116.0;999;i
MS;mgdpro999i;p0p100;2015;162670745.0;999;i
MS;mgdpro999i;p0p100;2016;163535033.0;999;i
MS;mgdpro999i;p0p100;2017;158940976.0;999;i
MS;mgdpro999i;p0p100;2018;154475936.0;999;i
MS;inyixx999i;p0p100;1970;0.10032006;999;i
MS;inyixx999i;p0p100;1971;0.1110201;999;i
MS;inyixx999i;p0p100;1972;0.12370399;999;i
MS;inyixx999i;p0p100;1973;0.13665238;999;i
MS;inyixx999i;p0p100;1974;0.15088642;999;i
MS;inyixx999i;p0p100;1975;0.1724184;999;i
MS;inyixx999i;p0p100;1976;0.18427674;999;i
MS;inyixx999i;p0p100;1977;0.21246833;999;i
MS;inyixx999i;p0p100;1978;0.224794;999;i
MS;inyixx999i;p0p100;1979;0.24763653;999;i
MS;inyixx999i;p0p100;1980;0.33593175;999;i
MS;inyixx999i;p0p100;1981;0.37948802;999;i
MS;inyixx999i;p0p100;1982;0.39885637;999;i
MS;inyixx999i;p0p100;1983;0.45024881;999;i
MS;inyixx999i;p0p100;1984;0.46525678;999;i
MS;inyixx999i;p0p100;1985;0.45922798;999;i
MS;inyixx999i;p0p100;1986;0.47481167;999;i
MS;inyixx999i;p0p100;1987;0.49569911;999;i
MS;inyixx999i;p0p100;1988;0.51391327;999;i
MS;inyixx999i;p0p100;1989;0.55975038;999;i
MS;inyixx999i;p0p100;1990;0.62035739;999;i
MS;inyixx999i;p0p100;1991;0.56914181;999;i
MS;inyixx999i;p0p100;1992;0.5945912;999;i
MS;inyixx999i;p0p100;1993;0.6082924;999;i
MS;inyixx999i;p0p100;1994;0.62562865;999;i
MS;inyixx999i;p0p100;1995;0.64607465;999;i
MS;inyixx999i;p0p100;1996;0.69844639;999;i
MS;inyixx999i;p0p100;1997;0.71850789;999;i
MS;inyixx999i;p0p100;1998;0.77700305;999;i
MS;inyixx999i;p0p100;1999;0.7912696;999;i
MS;inyixx999i;p0p100;2000;0.7879256;999;i
MS;inyixx999i;p0p100;2001;0.79025602;999;i
MS;inyixx999i;p0p100;2002;0.85631192;999;i
MS;inyixx999i;p0p100;2003;0.8835367;999;i
MS;inyixx999i;p0p100;2004;0.90064228;999;i
MS;inyixx999i;p0p100;2005;0.96808726;999;i
MS;inyixx999i;p0p100;2006;1.0295647;999;i
MS;inyixx999i;p0p100;2007;1.0448811;999;i
MS;inyixx999i;p0p100;2008;1.0619742;999;i
MS;inyixx999i;p0p100;2009;1.1040442;999;i
MS;inyixx999i;p0p100;2010;1.0616522;999;i
MS;inyixx999i;p0p100;2011;1.1551623;999;i
MS;inyixx999i;p0p100;2012;1.1115223;999;i
MS;inyixx999i;p0p100;2013;0.98999226;999;i
MS;inyixx999i;p0p100;2014;0.9596892;999;i
MS;inyixx999i;p0p100;2015;1.0188068;999;i
MS;inyixx999i;p0p100;2016;1.0374531;999;i
MS;inyixx999i;p0p100;2017;1.0185542;999;i
MS;inyixx999i;p0p100;2018;1.0;999;i
MS;annfin999i;p0p100;1986;-376.5;999;i
MS;annfin999i;p0p100;1987;-339.29999;999;i
MS;annfin999i;p0p100;1988;60.400002;999;i
MS;annfin999i;p0p100;1989;-109.1;999;i
MS;annfin999i;p0p100;1990;-247.5;999;i
MS;annfin999i;p0p100;1991;-491.10001;999;i
MS;annfin999i;p0p100;1992;-234.10001;999;i
MS;annfin999i;p0p100;1993;-1251.1;999;i
MS;annfin999i;p0p100;1994;-1644.3;999;i
MS;annfin999i;p0p100;1995;-744.29999;999;i
MS;annfin999i;p0p100;1996;-503.0;999;i
