country;variable;percentile;year;value;age;pop
MV;xlcyux999i;p0p100;1960;1.9343094;999;i
MV;xlcyux999i;p0p100;1961;1.9343094;999;i
MV;xlcyux999i;p0p100;1962;1.9343094;999;i
MV;xlcyux999i;p0p100;1963;1.9343094;999;i
MV;xlcyux999i;p0p100;1964;1.9343094;999;i
MV;xlcyux999i;p0p100;1965;1.9343094;999;i
MV;xlcyux999i;p0p100;1966;1.9343094;999;i
MV;xlcyux999i;p0p100;1967;1.9339064;999;i
MV;xlcyux999i;p0p100;1968;1.9294755;999;i
MV;xlcyux999i;p0p100;1969;1.9294755;999;i
MV;xlcyux999i;p0p100;1970;1.9294755;999;i
MV;xlcyux999i;p0p100;1971;1.9231454;999;i
MV;xlcyux999i;p0p100;1972;1.9487174;999;i
MV;xlcyux999i;p0p100;1973;2.0034361;999;i
MV;xlcyux999i;p0p100;1974;2.0039701;999;i
MV;xlcyux999i;p0p100;1975;3.0996673;999;i
MV;xlcyux999i;p0p100;1976;4.3085408;999;i
MV;xlcyux999i;p0p100;1977;4.7188287;999;i
MV;xlcyux999i;p0p100;1978;5.3271599;999;i
MV;xlcyux999i;p0p100;1979;4.8159986;999;i
MV;xlcyux999i;p0p100;1980;5.0387549;999;i
MV;xlcyux999i;p0p100;1981;4.4293432;999;i
MV;xlcyux999i;p0p100;1982;3.7904932;999;i
MV;xlcyux999i;p0p100;1983;3.5684009;999;i
MV;xlcyux999i;p0p100;1984;3.0387387;999;i
MV;xlcyux999i;p0p100;1985;2.4170613;999;i
MV;xlcyux999i;p0p100;1986;2.0710006;999;i
MV;xlcyux999i;p0p100;1987;2.4779022;999;i
MV;xlcyux999i;p0p100;1988;2.3601148;999;i
MV;xlcyux999i;p0p100;1989;2.4012146;999;i
MV;xlcyux999i;p0p100;1990;1.9969319;999;i
MV;xlcyux999i;p0p100;1991;1.9259652;999;i
MV;xlcyux999i;p0p100;1992;1.916582;999;i
MV;xlcyux999i;p0p100;1993;1.9016089;999;i
MV;xlcyux999i;p0p100;1994;1.3442506;999;i
MV;xlcyux999i;p0p100;1995;1.4093418;999;i
MV;xlcyux999i;p0p100;1996;1.4156547;999;i
MV;xlcyux999i;p0p100;1997;1.4198143;999;i
MV;xlcyux999i;p0p100;1998;1.4216765;999;i
MV;xlcyux999i;p0p100;1999;1.4217982;999;i
MV;xlcyux999i;p0p100;2000;1.4217545;999;i
MV;xlcyux999i;p0p100;2001;1.4790362;999;i
MV;xlcyux999i;p0p100;2002;1.5464619;999;i
MV;xlcyux999i;p0p100;2003;1.5464472;999;i
MV;xlcyux999i;p0p100;2004;1.5464913;999;i
MV;xlcyux999i;p0p100;2005;1.5620582;999;i
MV;xlcyux999i;p0p100;2006;1.6053301;999;i
MV;xlcyux999i;p0p100;2007;1.6825429;999;i
MV;xlcyux999i;p0p100;2008;1.8420831;999;i
MV;xlcyux999i;p0p100;2009;1.8736964;999;i
MV;xlcyux999i;p0p100;2010;1.8906192;999;i
MV;xlcyux999i;p0p100;2011;2.2598617;999;i
MV;xlcyux999i;p0p100;2012;2.434098;999;i
MV;xlcyux999i;p0p100;2013;2.4801984;999;i
MV;xlcyux999i;p0p100;2014;2.5035501;999;i
MV;xlcyux999i;p0p100;2015;2.4675004;999;i
MV;xlcyux999i;p0p100;2016;2.3129594;999;i
MV;xlcyux999i;p0p100;2017;2.276598;999;i
MV;xlcyux999i;p0p100;2018;2.3819153;999;i
MV;xlcyup999i;p0p100;1970;2.2918835;999;i
MV;xlcyup999i;p0p100;1971;2.3446453;999;i
MV;xlcyup999i;p0p100;1972;2.4627755;999;i
MV;xlcyup999i;p0p100;1973;2.662461;999;i
MV;xlcyup999i;p0p100;1974;3.1187603;999;i
MV;xlcyup999i;p0p100;1975;3.0792797;999;i
MV;xlcyup999i;p0p100;1976;3.8931968;999;i
MV;xlcyup999i;p0p100;1977;3.3739748;999;i
MV;xlcyup999i;p0p100;1978;3.4338112;999;i
MV;xlcyup999i;p0p100;1979;3.907913;999;i
MV;xlcyup999i;p0p100;1980;3.44279;999;i
MV;xlcyup999i;p0p100;1981;3.2115009;999;i
MV;xlcyup999i;p0p100;1982;3.9433889;999;i
MV;xlcyup999i;p0p100;1983;3.4440556;999;i
MV;xlcyup999i;p0p100;1984;3.166832;999;i
MV;xlcyup999i;p0p100;1985;3.0394821;999;i
MV;xlcyup999i;p0p100;1986;2.9595511;999;i
MV;xlcyup999i;p0p100;1987;3.26193;999;i
MV;xlcyup999i;p0p100;1988;2.9496114;999;i
MV;xlcyup999i;p0p100;1989;2.6363816;999;i
MV;xlcyup999i;p0p100;1990;2.3995087;999;i
MV;xlcyup999i;p0p100;1991;2.6221039;999;i
MV;xlcyup999i;p0p100;1992;2.7067878;999;i
MV;xlcyup999i;p0p100;1993;2.3578372;999;i
MV;xlcyup999i;p0p100;1994;2.0376911;999;i
MV;xlcyup999i;p0p100;1995;1.9672031;999;i
MV;xlcyup999i;p0p100;1996;1.8641747;999;i
MV;xlcyup999i;p0p100;1997;1.822408;999;i
MV;xlcyup999i;p0p100;1998;1.7887344;999;i
MV;xlcyup999i;p0p100;1999;1.8172417;999;i
MV;xlcyup999i;p0p100;2000;1.7366761;999;i
MV;xlcyup999i;p0p100;2001;1.8492546;999;i
MV;xlcyup999i;p0p100;2002;1.8548086;999;i
MV;xlcyup999i;p0p100;2003;1.8157245;999;i
MV;xlcyup999i;p0p100;2004;1.8725435;999;i
MV;xlcyup999i;p0p100;2005;1.9607786;999;i
MV;xlcyup999i;p0p100;2006;2.0361183;999;i
MV;xlcyup999i;p0p100;2007;2.0853448;999;i
MV;xlcyup999i;p0p100;2008;2.1481278;999;i
MV;xlcyup999i;p0p100;2009;2.4252613;999;i
MV;xlcyup999i;p0p100;2010;2.3338447;999;i
MV;xlcyup999i;p0p100;2011;2.4323809;999;i
MV;xlcyup999i;p0p100;2012;2.5589201;999;i
MV;xlcyup999i;p0p100;2013;2.6718092;999;i
MV;xlcyup999i;p0p100;2014;2.7829435;999;i
MV;xlcyup999i;p0p100;2015;3.0220048;999;i
MV;xlcyup999i;p0p100;2016;3.0444181;999;i
MV;xlcyup999i;p0p100;2017;3.1618934;999;i
MV;xlcyup999i;p0p100;2018;3.2512255;999;i
MV;xlcusx999i;p0p100;1960;4.7618999;999;i
MV;xlcusx999i;p0p100;1961;4.7618999;999;i
MV;xlcusx999i;p0p100;1962;4.7618999;999;i
MV;xlcusx999i;p0p100;1963;4.7618999;999;i
MV;xlcusx999i;p0p100;1964;4.7618999;999;i
MV;xlcusx999i;p0p100;1965;4.7618999;999;i
MV;xlcusx999i;p0p100;1966;4.7618999;999;i
MV;xlcusx999i;p0p100;1967;4.7609081;999;i
MV;xlcusx999i;p0p100;1968;4.75;999;i
MV;xlcusx999i;p0p100;1969;4.75;999;i
MV;xlcusx999i;p0p100;1970;4.75;999;i
MV;xlcusx999i;p0p100;1971;4.7344165;999;i
MV;xlcusx999i;p0p100;1972;4.375;999;i
MV;xlcusx999i;p0p100;1973;3.9856668;999;i
MV;xlcusx999i;p0p100;1974;3.9300001;999;i
MV;xlcusx999i;p0p100;1975;5.7648335;999;i
MV;xlcusx999i;p0p100;1976;8.3646669;999;i
MV;xlcusx999i;p0p100;1977;8.7667503;999;i
MV;xlcusx999i;p0p100;1978;8.96875;999;i
MV;xlcusx999i;p0p100;1979;7.4885836;999;i
MV;xlcusx999i;p0p100;1980;7.5500002;999;i
MV;xlcusx999i;p0p100;1981;7.5500002;999;i
MV;xlcusx999i;p0p100;1982;7.1736665;999;i
MV;xlcusx999i;p0p100;1983;7.0500002;999;i
MV;xlcusx999i;p0p100;1984;7.0500002;999;i
MV;xlcusx999i;p0p100;1985;7.0980835;999;i
MV;xlcusx999i;p0p100;1986;7.1507335;999;i
MV;xlcusx999i;p0p100;1987;9.2229996;999;i
MV;xlcusx999i;p0p100;1988;8.7845831;999;i
MV;xlcusx999i;p0p100;1989;9.0408335;999;i
MV;xlcusx999i;p0p100;1990;9.5517416;999;i
MV;xlcusx999i;p0p100;1991;10.252666;999;i
MV;xlcusx999i;p0p100;1992;10.569167;999;i
MV;xlcusx999i;p0p100;1993;10.956991;999;i
MV;xlcusx999i;p0p100;1994;11.58575;999;i
MV;xlcusx999i;p0p100;1995;11.77;999;i
MV;xlcusx999i;p0p100;1996;11.77;999;i
MV;xlcusx999i;p0p100;1997;11.77;999;i
MV;xlcusx999i;p0p100;1998;11.77;999;i
MV;xlcusx999i;p0p100;1999;11.77;999;i
MV;xlcusx999i;p0p100;2000;11.77;999;i
MV;xlcusx999i;p0p100;2001;12.242084;999;i
MV;xlcusx999i;p0p100;2002;12.8;999;i
MV;xlcusx999i;p0p100;2003;12.8;999;i
MV;xlcusx999i;p0p100;2004;12.8;999;i
MV;xlcusx999i;p0p100;2005;12.8;999;i
MV;xlcusx999i;p0p100;2006;12.8;999;i
MV;xlcusx999i;p0p100;2007;12.8;999;i
MV;xlcusx999i;p0p100;2008;12.8;999;i
MV;xlcusx999i;p0p100;2009;12.8;999;i
MV;xlcusx999i;p0p100;2010;12.8;999;i
MV;xlcusx999i;p0p100;2011;14.602009;999;i
MV;xlcusx999i;p0p100;2012;15.364836;999;i
MV;xlcusx999i;p0p100;2013;15.36671;999;i
MV;xlcusx999i;p0p100;2014;15.380394;999;i
MV;xlcusx999i;p0p100;2015;15.366331;999;i
MV;xlcusx999i;p0p100;2016;15.368407;999;i
MV;xlcusx999i;p0p100;2017;15.386969;999;i
MV;xlcusx999i;p0p100;2018;15.203954;999;i
MV;xlcusp999i;p0p100;1970;3.5434945;999;i
MV;xlcusp999i;p0p100;1971;3.5616536;999;i
MV;xlcusp999i;p0p100;1972;3.5939517;999;i
MV;xlcusp999i;p0p100;1973;3.7545104;999;i
MV;xlcusp999i;p0p100;1974;4.0810161;999;i
MV;xlcusp999i;p0p100;1975;3.7434161;999;i
MV;xlcusp999i;p0p100;1976;4.6746745;999;i
MV;xlcusp999i;p0p100;1977;3.8693187;999;i
MV;xlcusp999i;p0p100;1978;3.7722127;999;i
MV;xlcusp999i;p0p100;1979;4.1591072;999;i
MV;xlcusp999i;p0p100;1980;3.5788035;999;i
MV;xlcusp999i;p0p100;1981;3.0957546;999;i
MV;xlcusp999i;p0p100;1982;3.6319592;999;i
MV;xlcusp999i;p0p100;1983;3.0710802;999;i
MV;xlcusp999i;p0p100;1984;2.6831379;999;i
MV;xlcusp999i;p0p100;1985;2.5465791;999;i
MV;xlcusp999i;p0p100;1986;2.5639656;999;i
MV;xlcusp999i;p0p100;1987;2.9466813;999;i
MV;xlcusp999i;p0p100;1988;2.9734623;999;i
MV;xlcusp999i;p0p100;1989;3.0251095;999;i
MV;xlcusp999i;p0p100;1990;2.9995942;999;i
MV;xlcusp999i;p0p100;1991;3.281662;999;i
MV;xlcusp999i;p0p100;1992;3.6166942;999;i
MV;xlcusp999i;p0p100;1993;3.8988061;999;i
MV;xlcusp999i;p0p100;1994;4.177135;999;i
MV;xlcusp999i;p0p100;1995;4.7317047;999;i
MV;xlcusp999i;p0p100;1996;4.8515396;999;i
MV;xlcusp999i;p0p100;1997;4.9541116;999;i
MV;xlcusp999i;p0p100;1998;4.8348999;999;i
MV;xlcusp999i;p0p100;1999;4.8907561;999;i
MV;xlcusp999i;p0p100;2000;4.8751945;999;i
MV;xlcusp999i;p0p100;2001;5.1547155;999;i
MV;xlcusp999i;p0p100;2002;5.0825548;999;i
MV;xlcusp999i;p0p100;2003;5.0361161;999;i
MV;xlcusp999i;p0p100;2004;5.3874993;999;i
MV;xlcusp999i;p0p100;2005;5.7067761;999;i
MV;xlcusp999i;p0p100;2006;5.9506192;999;i
MV;xlcusp999i;p0p100;2007;6.3777022;999;i
MV;xlcusp999i;p0p100;2008;6.9421697;999;i
MV;xlcusp999i;p0p100;2009;7.6377234;999;i
MV;xlcusp999i;p0p100;2010;7.7339959;999;i
