country;variable;percentile;year;value;age;pop
MW;tptinc992j;p99.91p100;1990;21697694.0;992;j
MW;tptinc992j;p99.91p100;1991;23183080.0;992;j
MW;tptinc992j;p99.91p100;1992;21084690.0;992;j
MW;tptinc992j;p99.91p100;1993;23539850.0;992;j
MW;tptinc992j;p99.91p100;1994;20587242.0;992;j
MW;tptinc992j;p99.91p100;1995;22356664.0;992;j
MW;tptinc992j;p99.91p100;1996;24327064.0;992;j
MW;tptinc992j;p99.91p100;1997;24835332.0;992;j
MW;tptinc992j;p99.91p100;1998;25870924.0;992;j
MW;tptinc992j;p99.91p100;1999;26449630.0;992;j
MW;tptinc992j;p99.91p100;2000;26320842.0;992;j
MW;tptinc992j;p99.91p100;2001;23702400.0;992;j
MW;tptinc992j;p99.91p100;2002;21985234.0;992;j
MW;tptinc992j;p99.91p100;2003;19028694.0;992;j
MW;tptinc992j;p99.91p100;2004;14397778.0;992;j
MW;tptinc992j;p99.91p100;2005;15027271.0;992;j
MW;tptinc992j;p99.91p100;2006;15749607.0;992;j
MW;tptinc992j;p99.91p100;2007;17285106.0;992;j
MW;tptinc992j;p99.91p100;2008;18328908.0;992;j
MW;tptinc992j;p99.91p100;2009;19847494.0;992;j
MW;tptinc992j;p99.91p100;2010;20525132.0;992;j
MW;tptinc992j;p99.91p100;2011;22347946.0;992;j
MW;tptinc992j;p99.91p100;2012;23781540.0;992;j
MW;tptinc992j;p99.91p100;2013;24499394.0;992;j
MW;tptinc992j;p99.91p100;2014;26061520.0;992;j
MW;tptinc992j;p99.91p100;2015;26602356.0;992;j
MW;tptinc992j;p99.91p100;2016;27065434.0;992;j
MW;tptinc992j;p99.91p100;2017;27712788.0;992;j
MW;tptinc992j;p99.8p99.9;1990;10500934.0;992;j
MW;tptinc992j;p99.8p99.9;1991;11219810.0;992;j
MW;tptinc992j;p99.8p99.9;1992;10204261.0;992;j
MW;tptinc992j;p99.8p99.9;1993;11392474.0;992;j
MW;tptinc992j;p99.8p99.9;1994;9963514.0;992;j
MW;tptinc992j;p99.8p99.9;1995;10819853.0;992;j
MW;tptinc992j;p99.8p99.9;1996;11773458.0;992;j
MW;tptinc992j;p99.8p99.9;1997;12019442.0;992;j
MW;tptinc992j;p99.8p99.9;1998;12733731.0;992;j
MW;tptinc992j;p99.8p99.9;1999;13294349.0;992;j
MW;tptinc992j;p99.8p99.9;2000;13588012.0;992;j
MW;tptinc992j;p99.8p99.9;2001;12675239.0;992;j
MW;tptinc992j;p99.8p99.9;2002;12342247.0;992;j
MW;tptinc992j;p99.8p99.9;2003;11470736.0;992;j
MW;tptinc992j;p99.8p99.9;2004;9729303.0;992;j
MW;tptinc992j;p99.8p99.9;2005;10106990.0;992;j
MW;tptinc992j;p99.8p99.9;2006;10545327.0;992;j
MW;tptinc992j;p99.8p99.9;2007;11523860.0;992;j
MW;tptinc992j;p99.8p99.9;2008;12169686.0;992;j
MW;tptinc992j;p99.8p99.9;2009;13126274.0;992;j
MW;tptinc992j;p99.8p99.9;2010;13523405.0;992;j
MW;tptinc992j;p99.8p99.9;2011;14172020.0;992;j
MW;tptinc992j;p99.8p99.9;2012;14575815.0;992;j
MW;tptinc992j;p99.8p99.9;2013;14563766.0;992;j
MW;tptinc992j;p99.8p99.9;2014;15071158.0;992;j
MW;tptinc992j;p99.8p99.9;2015;15004326.0;992;j
MW;tptinc992j;p99.8p99.9;2016;14922179.0;992;j
MW;tptinc992j;p99.8p99.9;2017;15279089.0;992;j
MW;tptinc992j;p99.8p100;1990;10500934.0;992;j
MW;tptinc992j;p99.8p100;1991;11219810.0;992;j
MW;tptinc992j;p99.8p100;1992;10204261.0;992;j
MW;tptinc992j;p99.8p100;1993;11392474.0;992;j
MW;tptinc992j;p99.8p100;1994;9963514.0;992;j
MW;tptinc992j;p99.8p100;1995;10819853.0;992;j
MW;tptinc992j;p99.8p100;1996;11773458.0;992;j
MW;tptinc992j;p99.8p100;1997;12019442.0;992;j
MW;tptinc992j;p99.8p100;1998;12733731.0;992;j
MW;tptinc992j;p99.8p100;1999;13294349.0;992;j
MW;tptinc992j;p99.8p100;2000;13588012.0;992;j
MW;tptinc992j;p99.8p100;2001;12675239.0;992;j
MW;tptinc992j;p99.8p100;2002;12342247.0;992;j
MW;tptinc992j;p99.8p100;2003;11470736.0;992;j
