country;variable;percentile;year;value;age;pop
MX;xlcyux999i;p0p100;1960;0.0050775674;999;i
MX;xlcyux999i;p0p100;1961;0.0050775674;999;i
MX;xlcyux999i;p0p100;1962;0.0050775674;999;i
MX;xlcyux999i;p0p100;1963;0.0050775674;999;i
MX;xlcyux999i;p0p100;1964;0.0050775674;999;i
MX;xlcyux999i;p0p100;1965;0.0050775674;999;i
MX;xlcyux999i;p0p100;1966;0.0050775674;999;i
MX;xlcyux999i;p0p100;1967;0.0050775674;999;i
MX;xlcyux999i;p0p100;1968;0.0050775674;999;i
MX;xlcyux999i;p0p100;1969;0.0050775674;999;i
MX;xlcyux999i;p0p100;1970;0.0050775674;999;i
MX;xlcyux999i;p0p100;1971;0.0050775674;999;i
MX;xlcyux999i;p0p100;1972;0.0055677746;999;i
MX;xlcyux999i;p0p100;1973;0.0062832283;999;i
MX;xlcyux999i;p0p100;1974;0.0063739344;999;i
MX;xlcyux999i;p0p100;1975;0.0067210686;999;i
MX;xlcyux999i;p0p100;1976;0.0079456726;999;i
MX;xlcyux999i;p0p100;1977;0.012150168;999;i
MX;xlcyux999i;p0p100;1978;0.013523061;999;i
MX;xlcyux999i;p0p100;1979;0.014666418;999;i
MX;xlcyux999i;p0p100;1980;0.015317153;999;i
MX;xlcyux999i;p0p100;1981;0.014381931;999;i
MX;xlcyux999i;p0p100;1982;0.029802091;999;i
MX;xlcyux999i;p0p100;1983;0.060786102;999;i
MX;xlcyux999i;p0p100;1984;0.072338171;999;i
MX;xlcyux999i;p0p100;1985;0.087470703;999;i
MX;xlcyux999i;p0p100;1986;0.17718202;999;i
MX;xlcyux999i;p0p100;1987;0.37027016;999;i
MX;xlcyux999i;p0p100;1988;0.61070496;999;i
MX;xlcyux999i;p0p100;1989;0.65375876;999;i
MX;xlcyux999i;p0p100;1990;0.5880152;999;i
MX;xlcyux999i;p0p100;1991;0.56701261;999;i
MX;xlcyux999i;p0p100;1992;0.56121981;999;i
MX;xlcyux999i;p0p100;1993;0.54072183;999;i
MX;xlcyux999i;p0p100;1994;0.39160195;999;i
MX;xlcyux999i;p0p100;1995;0.76866299;999;i
MX;xlcyux999i;p0p100;1996;0.9140352;999;i
MX;xlcyux999i;p0p100;1997;0.95520324;999;i
MX;xlcyux999i;p0p100;1998;1.1035255;999;i
MX;xlcyux999i;p0p100;1999;1.1548815;999;i
MX;xlcyux999i;p0p100;2000;1.142182;999;i
MX;xlcyux999i;p0p100;2001;1.1287018;999;i
MX;xlcyux999i;p0p100;2002;1.1666071;999;i
MX;xlcyux999i;p0p100;2003;1.3034883;999;i
MX;xlcyux999i;p0p100;2004;1.3635663;999;i
MX;xlcyux999i;p0p100;2005;1.3299329;999;i
MX;xlcyux999i;p0p100;2006;1.3669437;999;i
MX;xlcyux999i;p0p100;2007;1.4364963;999;i
MX;xlcyux999i;p0p100;2008;1.6017081;999;i
MX;xlcyux999i;p0p100;2009;1.9781368;999;i
MX;xlcyux999i;p0p100;2010;1.8663968;999;i
MX;xlcyux999i;p0p100;2011;1.9226803;999;i
MX;xlcyux999i;p0p100;2012;2.0863061;999;i
MX;xlcyux999i;p0p100;2013;2.061409;999;i
MX;xlcyux999i;p0p100;2014;2.1636839;999;i
MX;xlcyux999i;p0p100;2015;2.544889;999;i
MX;xlcyux999i;p0p100;2016;2.8089578;999;i
MX;xlcyux999i;p0p100;2017;2.8002963;999;i
MX;xlcyux999i;p0p100;2018;2.9481702;999;i
MX;xlcyup999i;p0p100;1960;0.0030669048;999;i
MX;xlcyup999i;p0p100;1961;0.0025727053;999;i
MX;xlcyup999i;p0p100;1962;0.0029793545;999;i
MX;xlcyup999i;p0p100;1963;0.003281374;999;i
MX;xlcyup999i;p0p100;1964;0.0033778211;999;i
MX;xlcyup999i;p0p100;1965;0.0032095993;999;i
MX;xlcyup999i;p0p100;1966;0.0033396496;999;i
MX;xlcyup999i;p0p100;1967;0.003354395;999;i
MX;xlcyup999i;p0p100;1968;0.0033545557;999;i
MX;xlcyup999i;p0p100;1969;0.0036014589;999;i
MX;xlcyup999i;p0p100;1970;0.0036226253;999;i
MX;xlcyup999i;p0p100;1971;0.0037137354;999;i
MX;xlcyup999i;p0p100;1972;0.0039395094;999;i
MX;xlcyup999i;p0p100;1973;0.0043623908;999;i
MX;xlcyup999i;p0p100;1974;0.005313809;999;i
MX;xlcyup999i;p0p100;1975;0.0060700146;999;i
MX;xlcyup999i;p0p100;1976;0.0069776513;999;i
MX;xlcyup999i;p0p100;1977;0.0089788549;999;i
MX;xlcyup999i;p0p100;1978;0.010226357;999;i
MX;xlcyup999i;p0p100;1979;0.01173757;999;i
MX;xlcyup999i;p0p100;1980;0.014192629;999;i
MX;xlcyup999i;p0p100;1981;0.017632404;999;i
MX;xlcyup999i;p0p100;1982;0.028005252;999;i
MX;xlcyup999i;p0p100;1983;0.052820668;999;i
MX;xlcyup999i;p0p100;1984;0.085139409;999;i
MX;xlcyup999i;p0p100;1985;0.13016081;999;i
MX;xlcyup999i;p0p100;1986;0.21586184;999;i
MX;xlcyup999i;p0p100;1987;0.47557765;999;i
MX;xlcyup999i;p0p100;1988;0.81026506;999;i
