country;variable;percentile;year;value;age;pop
NA;tptinc992j;p2p100;1990;1848.0053710938;992;j
NA;tptinc992j;p2p100;1991;1984.6171875;992;j
NA;tptinc992j;p2p100;1992;2017.4353027344;992;j
NA;tptinc992j;p2p100;1993;1959.5334472656;992;j
NA;tptinc992j;p2p100;1994;1963.6550292969;992;j
NA;tptinc992j;p2p100;1995;2014.3316650391;992;j
NA;tptinc992j;p2p100;1996;1993.2719726562;992;j
NA;tptinc992j;p2p100;1997;2021.3721923828;992;j
NA;tptinc992j;p2p100;1998;2036.5362548828;992;j
NA;tptinc992j;p2p100;1999;1970.4685058594;992;j
NA;tptinc992j;p2p100;2000;2044.4261474609;992;j
NA;tptinc992j;p2p100;2001;1983.3209228516;992;j
NA;tptinc992j;p2p100;2002;2107.658203125;992;j
NA;tptinc992j;p2p100;2003;2185.6657714844;992;j
NA;tptinc992j;p2p100;2004;2394.0249023438;992;j
NA;tptinc992j;p2p100;2005;2406.8811035156;992;j
NA;tptinc992j;p2p100;2006;2617.6809082031;992;j
NA;tptinc992j;p2p100;2007;2781.1166992188;992;j
NA;tptinc992j;p2p100;2008;2839.0263671875;992;j
NA;tptinc992j;p2p100;2009;2829.59375;992;j
NA;tptinc992j;p2p100;2010;2757.8088378906;992;j
NA;tptinc992j;p2p100;2011;2733.9174804688;992;j
NA;tptinc992j;p2p100;2012;2597.9675292969;992;j
NA;tptinc992j;p2p100;2013;2634.4145507812;992;j
NA;tptinc992j;p2p100;2014;2576.5285644531;992;j
NA;tptinc992j;p2p100;2015;2508.4985351562;992;j
NA;tptinc992j;p2p100;2016;2427.3557128906;992;j
NA;tptinc992j;p2p100;2017;2332.216796875;992;j
NA;tptinc992j;p29p30;1990;11700.435546875;992;j
NA;tptinc992j;p29p30;1991;12565.376953125;992;j
NA;tptinc992j;p29p30;1992;12773.162109375;992;j
NA;tptinc992j;p29p30;1993;12406.5634765625;992;j
NA;tptinc992j;p29p30;1994;12432.658203125;992;j
NA;tptinc992j;p29p30;1995;12753.51171875;992;j
NA;tptinc992j;p29p30;1996;12620.173828125;992;j
NA;tptinc992j;p29p30;1997;12798.087890625;992;j
NA;tptinc992j;p29p30;1998;12894.0966796875;992;j
NA;tptinc992j;p29p30;1999;12475.796875;992;j
NA;tptinc992j;p29p30;2000;12944.05078125;992;j
