country;variable;percentile;year;value;age;pop
NE;tptinc992j;p52p100;1990;265892.3125;992;j
NE;tptinc992j;p52p100;1991;264036.84375;992;j
NE;tptinc992j;p52p100;1992;254609.625;992;j
NE;tptinc992j;p52p100;1993;239557.671875;992;j
NE;tptinc992j;p52p100;1994;223047.0625;992;j
NE;tptinc992j;p52p100;1995;218992.40625;992;j
NE;tptinc992j;p52p100;1996;222296.375;992;j
NE;tptinc992j;p52p100;1997;212515.96875;992;j
NE;tptinc992j;p52p100;1998;231321.84375;992;j
NE;tptinc992j;p52p100;1999;223457.109375;992;j
NE;tptinc992j;p52p100;2000;206766.25;992;j
NE;tptinc992j;p52p100;2001;214510.640625;992;j
NE;tptinc992j;p52p100;2002;215492.453125;992;j
NE;tptinc992j;p52p100;2003;212831.390625;992;j
NE;tptinc992j;p52p100;2004;202015.9375;992;j
NE;tptinc992j;p52p100;2005;208349.703125;992;j
NE;tptinc992j;p52p100;2006;229584.734375;992;j
NE;tptinc992j;p52p100;2007;244213.84375;992;j
NE;tptinc992j;p52p100;2008;271960.8125;992;j
NE;tptinc992j;p52p100;2009;266386.34375;992;j
NE;tptinc992j;p52p100;2010;288855.28125;992;j
NE;tptinc992j;p52p100;2011;295310.78125;992;j
NE;tptinc992j;p52p100;2012;313867.65625;992;j
NE;tptinc992j;p52p100;2013;315293.1875;992;j
NE;tptinc992j;p52p100;2014;326533.53125;992;j
NE;tptinc992j;p52p100;2015;327320.625;992;j
NE;tptinc992j;p52p100;2016;330282.0;992;j
NE;tptinc992j;p52p100;2017;333114.78125;992;j
NE;tptinc992j;p51p52;1990;261493.84375;992;j
NE;tptinc992j;p51p52;1991;259669.078125;992;j
NE;tptinc992j;p51p52;1992;250397.8125;992;j
NE;tptinc992j;p51p52;1993;235795.953125;992;j
NE;tptinc992j;p51p52;1994;219751.5;992;j
NE;tptinc992j;p51p52;1995;215596.109375;992;j
NE;tptinc992j;p51p52;1996;218682.78125;992;j
NE;tptinc992j;p51p52;1997;208899.65625;992;j
NE;tptinc992j;p51p52;1998;227206.21875;992;j
NE;tptinc992j;p51p52;1999;219304.921875;992;j
NE;tptinc992j;p51p52;2000;202757.796875;992;j
NE;tptinc992j;p51p52;2001;210176.09375;992;j
NE;tptinc992j;p51p52;2002;210957.84375;992;j
NE;tptinc992j;p51p52;2003;208171.3125;992;j
NE;tptinc992j;p51p52;2004;197416.96875;992;j
NE;tptinc992j;p51p52;2005;203421.734375;992;j
NE;tptinc992j;p51p52;2006;224507.859375;992;j
NE;tptinc992j;p51p52;2007;239144.078125;992;j
NE;tptinc992j;p51p52;2008;266635.75;992;j
NE;tptinc992j;p51p52;2009;261460.640625;992;j
NE;tptinc992j;p51p52;2010;283805.59375;992;j
NE;tptinc992j;p51p52;2011;290425.125;992;j
NE;tptinc992j;p51p52;2012;307604.875;992;j
NE;tptinc992j;p51p52;2013;307915.4375;992;j
NE;tptinc992j;p51p52;2014;317755.4375;992;j
NE;tptinc992j;p51p52;2015;318521.375;992;j
NE;tptinc992j;p51p52;2016;321403.125;992;j
NE;tptinc992j;p51p52;2017;324159.75;992;j
NE;tptinc992j;p51p100;1990;261493.84375;992;j
NE;tptinc992j;p51p100;1991;259669.078125;992;j
NE;tptinc992j;p51p100;1992;250397.8125;992;j
NE;tptinc992j;p51p100;1993;235795.953125;992;j
NE;tptinc992j;p51p100;1994;219751.5;992;j
NE;tptinc992j;p51p100;1995;215596.109375;992;j
NE;tptinc992j;p51p100;1996;218682.78125;992;j
NE;tptinc992j;p51p100;1997;208899.65625;992;j
NE;tptinc992j;p51p100;1998;227206.21875;992;j
NE;tptinc992j;p51p100;1999;219304.921875;992;j
NE;tptinc992j;p51p100;2000;202757.796875;992;j
NE;tptinc992j;p51p100;2001;210176.09375;992;j
NE;tptinc992j;p51p100;2002;210957.84375;992;j
NE;tptinc992j;p51p100;2003;208171.3125;992;j
NE;tptinc992j;p51p100;2004;197416.96875;992;j
NE;tptinc992j;p51p100;2005;203421.734375;992;j
NE;tptinc992j;p51p100;2006;224507.859375;992;j
NE;tptinc992j;p51p100;2007;239144.078125;992;j
NE;tptinc992j;p51p100;2008;266635.75;992;j
NE;tptinc992j;p51p100;2009;261460.640625;992;j
NE;tptinc992j;p51p100;2010;283805.59375;992;j
NE;tptinc992j;p51p100;2011;290425.125;992;j
NE;tptinc992j;p51p100;2012;307604.875;992;j
NE;tptinc992j;p51p100;2013;307915.4375;992;j
NE;tptinc992j;p51p100;2014;317755.4375;992;j
NE;tptinc992j;p51p100;2015;318521.375;992;j
NE;tptinc992j;p51p100;2016;321403.125;992;j
NE;tptinc992j;p51p100;2017;324159.75;992;j
NE;tptinc992j;p50p90;1990;257011.1875;992;j
NE;tptinc992j;p50p90;1991;255217.703125;992;j
NE;tptinc992j;p50p90;1992;246105.375;992;j
NE;tptinc992j;p50p90;1993;231440.5625;992;j
NE;tptinc992j;p50p90;1994;215370.390625;992;j
NE;tptinc992j;p50p90;1995;211223.71875;992;j
NE;tptinc992j;p50p90;1996;214171.125;992;j
NE;tptinc992j;p50p90;1997;204515.09375;992;j
NE;tptinc992j;p50p90;1998;222354.484375;992;j
NE;tptinc992j;p50p90;1999;214540.234375;992;j
NE;tptinc992j;p50p90;2000;198275.484375;992;j
NE;tptinc992j;p50p90;2001;205448.1875;992;j
NE;tptinc992j;p50p90;2002;206128.65625;992;j
NE;tptinc992j;p50p90;2003;203321.578125;992;j
NE;tptinc992j;p50p90;2004;192736.0625;992;j
NE;tptinc992j;p50p90;2005;198512.375;992;j
NE;tptinc992j;p50p90;2006;220446.21875;992;j
NE;tptinc992j;p50p90;2007;236085.140625;992;j
NE;tptinc992j;p50p90;2008;262808.125;992;j
NE;tptinc992j;p50p90;2009;257330.5;992;j
NE;tptinc992j;p50p90;2010;278944.375;992;j
NE;tptinc992j;p50p90;2011;285091.78125;992;j
NE;tptinc992j;p50p90;2012;301544.21875;992;j
NE;tptinc992j;p50p90;2013;301429.1875;992;j
NE;tptinc992j;p50p90;2014;310621.34375;992;j
NE;tptinc992j;p50p90;2015;311370.0625;992;j
