country;variable;percentile;year;value;age;pop
NG;tptinc992j;p94p100;1985;1941351.5;992;j
NG;tptinc992j;p94p100;1986;1963834.25;992;j
NG;tptinc992j;p94p100;1987;1838366.125;992;j
NG;tptinc992j;p94p100;1988;1994475.75;992;j
NG;tptinc992j;p94p100;1989;2110248.75;992;j
NG;tptinc992j;p94p100;1990;2327631.75;992;j
NG;tptinc992j;p94p100;1991;2303869.25;992;j
NG;tptinc992j;p94p100;1992;2329016.0;992;j
NG;tptinc992j;p94p100;1993;2241853.25;992;j
NG;tptinc992j;p94p100;1994;2173768.0;992;j
NG;tptinc992j;p94p100;1995;2250792.5;992;j
NG;tptinc992j;p94p100;1996;2259024.5;992;j
NG;tptinc992j;p94p100;1997;2243826.5;992;j
NG;tptinc992j;p94p100;1998;2244316.75;992;j
NG;tptinc992j;p94p100;1999;2088234.75;992;j
NG;tptinc992j;p94p100;2000;2115263.25;992;j
NG;tptinc992j;p94p100;2001;2134171.0;992;j
NG;tptinc992j;p94p100;2002;2549993.0;992;j
NG;tptinc992j;p94p100;2003;2691849.5;992;j
NG;tptinc992j;p94p100;2004;2930140.75;992;j
NG;tptinc992j;p94p100;2005;3041049.5;992;j
NG;tptinc992j;p94p100;2006;3133911.5;992;j
NG;tptinc992j;p94p100;2007;3170364.75;992;j
NG;tptinc992j;p94p100;2008;3286280.0;992;j
NG;tptinc992j;p94p100;2009;3390035.25;992;j
NG;tptinc992j;p94p100;2010;3555663.75;992;j
NG;tptinc992j;p94p100;2011;3615999.0;992;j
NG;tptinc992j;p94p100;2012;3697297.25;992;j
NG;tptinc992j;p94p100;2013;3796855.0;992;j
NG;tptinc992j;p94p100;2014;4012158.75;992;j
NG;tptinc992j;p94p100;2015;4041381.25;992;j
NG;tptinc992j;p94p100;2016;3882033.0;992;j
NG;tptinc992j;p94p100;2017;3770185.75;992;j
NG;tptinc992j;p93p94;1985;1758026.375;992;j
NG;tptinc992j;p93p94;1986;1774280.625;992;j
NG;tptinc992j;p93p94;1987;1657188.0;992;j
NG;tptinc992j;p93p94;1988;1793972.75;992;j
NG;tptinc992j;p93p94;1989;1894053.0;992;j
NG;tptinc992j;p93p94;1990;2084813.625;992;j
NG;tptinc992j;p93p94;1991;2059337.875;992;j
NG;tptinc992j;p93p94;1992;2077688.875;992;j
NG;tptinc992j;p93p94;1993;2000089.375;992;j
NG;tptinc992j;p93p94;1994;1939500.5;992;j
NG;tptinc992j;p93p94;1995;2008384.625;992;j
NG;tptinc992j;p93p94;1996;2015892.625;992;j
NG;tptinc992j;p93p94;1997;2002493.0;992;j
NG;tptinc992j;p93p94;1998;2003094.875;992;j
NG;tptinc992j;p93p94;1999;1863942.875;992;j
NG;tptinc992j;p93p94;2000;1888226.125;992;j
NG;tptinc992j;p93p94;2001;1905265.25;992;j
NG;tptinc992j;p93p94;2002;2276681.5;992;j
NG;tptinc992j;p93p94;2003;2403540.75;992;j
NG;tptinc992j;p93p94;2004;2613674.75;992;j
NG;tptinc992j;p93p94;2005;2709895.5;992;j
NG;tptinc992j;p93p94;2006;2789879.5;992;j
NG;tptinc992j;p93p94;2007;2819558.5;992;j
NG;tptinc992j;p93p94;2008;2919800.0;992;j
NG;tptinc992j;p93p94;2009;3009073.0;992;j
NG;tptinc992j;p93p94;2010;3156088.75;992;j
NG;tptinc992j;p93p94;2011;3209643.75;992;j
NG;tptinc992j;p93p94;2012;3281805.75;992;j
NG;tptinc992j;p93p94;2013;3370175.75;992;j
NG;tptinc992j;p93p94;2014;3561284.0;992;j
NG;tptinc992j;p93p94;2015;3587222.75;992;j
NG;tptinc992j;p93p94;2016;3445781.5;992;j
NG;tptinc992j;p93p94;2017;3346503.5;992;j
NG;tptinc992j;p93p100;1985;1758026.375;992;j
NG;tptinc992j;p93p100;1986;1774280.625;992;j
NG;tptinc992j;p93p100;1987;1657188.0;992;j
NG;tptinc992j;p93p100;1988;1793972.75;992;j
NG;tptinc992j;p93p100;1989;1894053.0;992;j
NG;tptinc992j;p93p100;1990;2084813.625;992;j
NG;tptinc992j;p93p100;1991;2059337.875;992;j
NG;tptinc992j;p93p100;1992;2077688.875;992;j
NG;tptinc992j;p93p100;1993;2000089.375;992;j
NG;tptinc992j;p93p100;1994;1939500.5;992;j
NG;tptinc992j;p93p100;1995;2008384.625;992;j
NG;tptinc992j;p93p100;1996;2015892.625;992;j
NG;tptinc992j;p93p100;1997;2002493.0;992;j
NG;tptinc992j;p93p100;1998;2003094.875;992;j
NG;tptinc992j;p93p100;1999;1863942.875;992;j
NG;tptinc992j;p93p100;2000;1888226.125;992;j
NG;tptinc992j;p93p100;2001;1905265.25;992;j
NG;tptinc992j;p93p100;2002;2276681.5;992;j
NG;tptinc992j;p93p100;2003;2403540.75;992;j
NG;tptinc992j;p93p100;2004;2613674.75;992;j
NG;tptinc992j;p93p100;2005;2709895.5;992;j
NG;tptinc992j;p93p100;2006;2789879.5;992;j
NG;tptinc992j;p93p100;2007;2819558.5;992;j
NG;tptinc992j;p93p100;2008;2919800.0;992;j
NG;tptinc992j;p93p100;2009;3009073.0;992;j
NG;tptinc992j;p93p100;2010;3156088.75;992;j
NG;tptinc992j;p93p100;2011;3209643.75;992;j
NG;tptinc992j;p93p100;2012;3281805.75;992;j
NG;tptinc992j;p93p100;2013;3370175.75;992;j
NG;tptinc992j;p93p100;2014;3561284.0;992;j
NG;tptinc992j;p93p100;2015;3587222.75;992;j
NG;tptinc992j;p93p100;2016;3445781.5;992;j
NG;tptinc992j;p93p100;2017;3346503.5;992;j
